,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
385,124.0,123.0,127.0,120.0,9273700,JSKY,2021-04-01,,,,,
1225,123.0,119.0,125.0,118.0,7655200,JSKY,2021-04-05,,,,,
2065,120.0,120.0,124.0,116.0,7103600,JSKY,2021-04-06,,,,,
2905,121.0,124.0,125.0,117.0,6233800,JSKY,2021-04-07,,,,,
3747,125.0,134.0,138.0,124.0,43064000,JSKY,2021-04-08,,,,,
4591,136.0,130.0,136.0,129.0,12760900,JSKY,2021-04-09,,,,,
5434,130.0,125.0,131.0,123.0,6415100,JSKY,2021-04-12,,,,,
6278,125.0,120.0,125.0,119.0,6451500,JSKY,2021-04-13,,,,,124.375
7122,120.0,130.0,130.0,120.0,17852800,JSKY,2021-04-14,,,,,125.625
7967,132.0,128.0,133.0,127.0,9294600,JSKY,2021-04-15,,,,125.3,126.15277777777777
8811,129.0,126.0,129.0,124.0,5202500,JSKY,2021-04-16,,,,125.6,126.11882716049382
9655,126.0,123.0,126.0,122.0,4199700,JSKY,2021-04-19,,,,126.0,125.42575445816186
10499,123.0,123.0,125.0,123.0,2473200,JSKY,2021-04-20,,,,126.3,124.88669791190367
11343,124.0,124.0,124.0,122.0,1947100,JSKY,2021-04-21,,,,126.3,124.68965393148063
12187,124.0,130.0,133.0,124.0,17963500,JSKY,2021-04-22,,,,125.9,125.86973083559604
13031,129.0,126.0,136.0,126.0,30234800,JSKY,2021-04-23,,,,125.5,125.89867953879693
13874,126.0,122.0,128.0,120.0,10781100,JSKY,2021-04-26,,,,125.2,125.03230630795316
14717,122.0,120.0,125.0,119.0,8311300,JSKY,2021-04-27,,,,125.2,123.9140160172969
15561,119.0,120.0,122.0,118.0,3529000,JSKY,2021-04-28,,,,124.2,123.04423468011981
16405,118.0,120.0,123.0,118.0,4292600,JSKY,2021-04-29,,,,123.4,122.36773808453763
17249,119.0,121.0,125.0,119.0,5078500,JSKY,2021-04-30,,,,122.9,122.06379628797372
18092,122.0,119.0,122.0,118.0,6245500,JSKY,2021-05-03,,,,122.5,121.382952668424
18935,120.0,121.0,121.0,119.0,4406400,JSKY,2021-05-04,,,,122.3,121.29785207544089
19777,123.0,121.0,123.0,118.0,8493400,JSKY,2021-05-05,,,,122.0,121.23166272534291
20621,120.0,121.0,122.0,120.0,2970500,JSKY,2021-05-06,,,,121.1,121.18018211971116
21465,121.0,120.0,122.0,120.0,4822600,JSKY,2021-05-07,,,,120.5,120.91791942644201
22309,119.0,125.0,133.0,118.0,23439500,JSKY,2021-05-10,,,,120.8,121.82504844278823
23152,125.0,138.0,150.0,120.0,245111100,JSKY,2021-05-11,,,,122.6,125.41948212216862
23994,139.0,129.0,147.0,129.0,99079100,JSKY,2021-05-17,,,,123.5,126.2151527616867
24834,128.0,134.0,139.0,121.0,58683500,JSKY,2021-05-18,,,124.53333333333333,124.9,127.94511881464521
25674,135.0,130.0,136.0,129.0,17965600,JSKY,2021-05-19,,,124.76666666666667,125.8,128.40175907805738
26585,130.0,131.0,133.0,125.0,15045700,JSKY,2021-05-20,,,125.16666666666667,127.0,128.9791459496002
27398,132.0,128.0,138.0,127.0,34984000,JSKY,2021-05-21,,,125.43333333333334,127.7,128.76155796080016
28240,128.0,124.0,130.0,121.0,23404200,JSKY,2021-05-24,,,125.43333333333334,128.0,127.70343396951124
29082,124.0,124.0,133.0,121.0,44048400,JSKY,2021-05-25,,,125.1,128.3,126.88044864295318
29873,124.0,132.0,132.0,123.0,41900900,JSKY,2021-05-27,,,125.16666666666667,129.5,128.01812672229693
30715,133.0,127.0,134.0,127.0,50048200,JSKY,2021-05-28,,,125.23333333333333,129.7,127.79187633956428
31557,130.0,128.0,130.0,125.0,13555500,JSKY,2021-05-31,,,125.5,128.7,127.83812604188333
32399,128.0,133.0,142.0,126.0,88264100,JSKY,2021-06-02,,,125.6,129.1,128.98520914368703
33240,134.0,134.0,135.0,128.0,33067500,JSKY,2021-06-03,,,125.8,129.1,130.09960711175657
34081,135.0,130.0,135.0,130.0,13738600,JSKY,2021-06-04,,,125.93333333333334,129.1,130.0774721980329
34922,131.0,131.0,134.0,128.0,13034500,JSKY,2021-06-07,,,126.2,129.1,130.2824783762478
35763,131.0,145.0,145.0,129.0,61265200,JSKY,2021-06-08,,,126.93333333333334,130.8,133.55303873708164
36606,146.0,176.0,176.0,141.0,618390600,JSKY,2021-06-09,,,128.66666666666666,136.0,142.98569679550795
37449,179.0,193.0,199.0,179.0,618398500,JSKY,2021-06-10,,,130.76666666666668,142.9,154.09998639650618
38296,195.0,180.0,199.0,180.0,175356000,JSKY,2021-06-11,,,132.56666666666666,147.7,159.85554497506035
39143,180.0,168.0,182.0,168.0,141316500,JSKY,2021-06-14,,,134.1,151.8,161.66542386949138
39990,177.0,184.0,189.0,170.0,431741800,JSKY,2021-06-15,,,136.23333333333332,157.4,166.6286630096044
40837,183.0,176.0,185.0,172.0,107032500,JSKY,2021-06-16,,,138.1,161.7,168.71118234080342
41684,176.0,192.0,192.0,170.0,253125600,JSKY,2021-06-17,,,140.5,167.5,173.8864751539582
42531,195.0,179.0,195.0,179.0,238069000,JSKY,2021-06-18,,,142.43333333333334,172.4,175.02281400863416
43378,182.0,175.0,185.0,171.0,71522200,JSKY,2021-06-21,,,144.3,176.8,175.0177442289377
44225,175.0,182.0,184.0,173.0,106062100,JSKY,2021-06-22,,,146.33333333333334,180.5,176.5693566225071
45072,179.0,179.0,183.0,176.0,70555700,JSKY,2021-06-23,,,148.26666666666668,180.8,177.1094995952833
45919,179.0,180.0,185.0,177.0,115377000,JSKY,2021-06-24,,,150.23333333333332,179.5,177.75183301855367
46766,180.0,177.0,188.0,177.0,119990400,JSKY,2021-06-25,,,152.13333333333333,179.2,177.58475901443063
47614,177.0,165.0,179.0,165.0,61361800,JSKY,2021-06-28,,,153.46666666666667,178.9,174.7881459001127
48460,170.0,175.0,179.0,166.0,109298800,JSKY,2021-06-29,,,154.7,178.0,174.83522458897656
49255,176.0,180.0,182.0,174.0,61548300,JSKY,2021-06-30,,,156.4,178.4,175.98295245809288
50106,181.0,174.0,183.0,168.0,72956700,JSKY,2021-07-01,,,157.73333333333332,176.6,175.54229635629446
50957,172.0,171.0,176.0,168.0,79863000,JSKY,2021-07-02,,,159.1,175.8,174.5328971660068
51808,171.0,173.0,179.0,170.0,33073600,JSKY,2021-07-05,,,160.5,175.6,174.19225335133862
52660,174.0,178.0,181.0,172.0,61896900,JSKY,2021-07-06,,,162.16666666666666,175.2,175.03841927326337
53502,177.0,166.0,182.0,166.0,141455600,JSKY,2021-07-07,,,163.56666666666666,173.9,173.0298816569826
54322,156.0,155.0,166.0,155.0,93977300,JSKY,2021-07-08,,,164.6,171.4,169.02324128876424
55173,145.0,149.0,154.0,145.0,45391000,JSKY,2021-07-09,,,165.16666666666666,168.6,164.57363211348328
56026,150.0,141.0,152.0,141.0,38850800,JSKY,2021-07-12,,,165.63333333333333,166.2,159.33504719937588
56879,141.0,143.0,152.0,140.0,46153500,JSKY,2021-07-13,,,166.13333333333333,163.0,155.70503671062568
57732,145.0,143.0,150.0,140.0,10966900,JSKY,2021-07-14,,,166.46666666666667,159.3,152.88169521937553
58585,143.0,137.0,148.0,133.0,50154200,JSKY,2021-07-15,,,166.56666666666666,155.6,149.35242961506987
59438,140.0,139.0,152.0,136.0,105075300,JSKY,2021-07-16,,,166.86666666666667,152.4,147.0518897006099
60290,140.0,137.0,143.0,134.0,19835700,JSKY,2021-07-19,,,167.06666666666666,148.8,144.8181364338077
61142,136.0,140.0,143.0,136.0,17069400,JSKY,2021-07-21,,,166.9,145.0,143.7474394485171
61994,139.0,146.0,147.0,137.0,46917000,JSKY,2021-07-22,,,165.9,143.0,144.24800845995773
62846,147.0,145.0,150.0,143.0,39950200,JSKY,2021-07-23,,,164.3,142.0,144.41511769107822
63698,145.0,150.0,154.0,144.0,81428300,JSKY,2021-07-26,,,163.3,142.1,145.6562026486164
64550,151.0,144.0,152.0,142.0,31675200,JSKY,2021-07-27,,,162.5,142.4,145.28815761559053
65404,144.0,147.0,149.0,141.0,20738600,JSKY,2021-07-28,,,161.26666666666668,142.8,145.6685670343482
66258,147.0,147.0,149.0,145.0,7460400,JSKY,2021-07-29,,,160.3,143.2,145.96444102671526
67112,147.0,147.0,148.0,144.0,13829800,JSKY,2021-07-30,,,158.8,144.2,146.19456524300077
67966,147.0,142.0,149.0,142.0,14343800,JSKY,2021-08-02,,,157.56666666666666,144.5,145.26243963344504
68820,142.0,144.0,146.0,141.0,11602200,JSKY,2021-08-03,,,156.53333333333333,145.2,144.98189749267948
69674,144.0,148.0,150.0,141.0,48069200,JSKY,2021-08-04,,,155.4,146.0,145.65258693875072
70528,149.0,160.0,169.0,149.0,199239600,JSKY,2021-08-05,,,154.76666666666668,147.4,148.84090095236166
71383,162.0,158.0,170.0,153.0,89645100,JSKY,2021-08-06,,,154.03333333333333,148.7,150.8762562962813
72238,158.0,147.0,163.0,147.0,77887200,JSKY,2021-08-09,,,153.03333333333333,148.4,150.01486600821877
73093,147.0,144.0,150.0,140.0,19323700,JSKY,2021-08-10,,,152.33333333333334,148.4,148.6782291175035
73948,145.0,142.0,145.0,142.0,10133800,JSKY,2021-08-12,,,151.23333333333332,147.9,147.1941782025027
74803,142.0,141.0,142.0,139.0,9526700,JSKY,2021-08-13,,,149.93333333333334,147.3,145.8176941575021
75658,141.0,146.0,146.0,138.0,26133900,JSKY,2021-08-16,,,149.0,147.2,145.85820656694608
76513,148.0,140.0,149.0,136.0,42677700,JSKY,2021-08-18,,,147.96666666666667,147.0,144.5563828854025
77368,141.0,134.0,142.0,131.0,21986500,JSKY,2021-08-19,,,146.66666666666666,146.0,142.21052002197973
