,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120630,4410.0,4400.0,4420.0,4300.0,6597900,JSMR,2020-07-01,,,,,
128051,4410.0,4490.0,4530.0,4400.0,5546900,JSMR,2020-07-02,,,,,
101725,4510.0,4490.0,4570.0,4480.0,3088000,JSMR,2020-07-03,,,,,
84418,4490.0,4460.0,4520.0,4420.0,9331000,JSMR,2020-07-06,,,,,
34149,4470.0,4390.0,4490.0,4380.0,10617800,JSMR,2020-07-07,,,,,
47326,4390.0,4440.0,4480.0,4390.0,7744200,JSMR,2020-07-08,,,,,
114053,4470.0,4430.0,4500.0,4390.0,5648500,JSMR,2020-07-09,,,,,
23445,4430.0,4410.0,4450.0,4390.0,3195300,JSMR,2020-07-10,,,,,4438.75
15209,4430.0,4450.0,4470.0,4400.0,3095500,JSMR,2020-07-13,,,,,4441.25
31687,4450.0,4400.0,4450.0,4400.0,3779200,JSMR,2020-07-14,,,,4436.0,4432.083333333333
89356,4400.0,4400.0,4440.0,4360.0,6599700,JSMR,2020-07-15,,,,4436.0,4424.9537037037035
21800,4400.0,4390.0,4440.0,4380.0,6596200,JSMR,2020-07-16,,,,4426.0,4417.186213991769
104162,4310.0,4400.0,4450.0,4310.0,5019100,JSMR,2020-07-17,,,,4417.0,4413.367055326932
77830,4420.0,4240.0,4430.0,4230.0,8460600,JSMR,2020-07-20,,,,4395.0,4374.841043032058
102533,4260.0,4270.0,4310.0,4160.0,5943900,JSMR,2020-07-21,,,,4383.0,4351.543033469378
93476,4330.0,4230.0,4330.0,4220.0,3951000,JSMR,2020-07-22,,,,4362.0,4324.5334704761835
8618,4240.0,4190.0,4250.0,4160.0,12125100,JSMR,2020-07-23,,,,4338.0,4294.637143703699
100911,4180.0,4040.0,4180.0,4010.0,15587000,JSMR,2020-07-24,,,,4301.0,4238.051111769543
54741,4100.0,4070.0,4100.0,4020.0,5359300,JSMR,2020-07-27,,,,4263.0,4200.7064202652
41566,4070.0,4030.0,4120.0,4020.0,6841500,JSMR,2020-07-28,,,,4226.0,4162.7716602062665
110764,4030.0,3990.0,4060.0,3960.0,5734800,JSMR,2020-07-29,,,,4185.0,4124.377957938207
80284,4010.0,3930.0,4020.0,3900.0,10167500,JSMR,2020-07-30,,,,4139.0,4081.1828561741613
117350,3960.0,3860.0,3960.0,3680.0,10716200,JSMR,2020-08-03,,,,4085.0,4032.031110357681
6981,3880.0,4050.0,4080.0,3860.0,6876300,JSMR,2020-08-04,,,,4066.0,4036.024196944863
53097,4070.0,4210.0,4210.0,4040.0,15772700,JSMR,2020-08-05,,,,4060.0,4074.685486512671
69586,4230.0,4070.0,4240.0,4060.0,8086400,JSMR,2020-08-06,,,,4044.0,4073.6442672876333
43203,4120.0,4030.0,4120.0,3970.0,7705200,JSMR,2020-08-07,,,,4028.0,4063.945541223715
98432,4050.0,4010.0,4050.0,3970.0,3594800,JSMR,2020-08-10,,,,4025.0,4051.9576431740006
52281,4020.0,4050.0,4070.0,4010.0,5855300,JSMR,2020-08-11,,,,4023.0,4051.522611357556
119813,4060.0,4120.0,4140.0,4060.0,5327000,JSMR,2020-08-12,,,4231.333333333333,4032.0,4066.7398088336545
62162,4140.0,4140.0,4190.0,4110.0,7242500,JSMR,2020-08-13,,,4222.666666666667,4047.0,4083.0198513150644
86899,4140.0,4060.0,4150.0,4060.0,4136600,JSMR,2020-08-14,,,4208.333333333333,4060.0,4077.9043288006055
60518,4100.0,4050.0,4130.0,4030.0,6441600,JSMR,2020-08-18,,,4193.666666666667,4079.0,4071.7033668449153
88540,4070.0,3980.0,4080.0,3980.0,17284900,JSMR,2020-08-19,,,4177.666666666667,4072.0,4051.3248408793784
10266,4000.0,3950.0,4020.0,3940.0,7813600,JSMR,2020-08-24,,,4163.0,4046.0,4028.80820957285
128859,3980.0,3960.0,3980.0,3950.0,6206400,JSMR,2020-08-25,,,4147.0,4035.0,4013.517496334439
103346,4000.0,3940.0,4030.0,3930.0,11483200,JSMR,2020-08-26,,,4130.666666666667,4026.0,3997.180274926786
3686,3950.0,3940.0,3970.0,3930.0,6258800,JSMR,2020-08-27,,,4115.0,4019.0,3984.473547165278
78642,3970.0,3980.0,3980.0,3940.0,4891400,JSMR,2020-08-28,,,4099.333333333333,4012.0,3983.479425572994
27565,3980.0,3910.0,4000.0,3880.0,12696700,JSMR,2020-08-31,,,4083.0,3991.0,3967.150664334551
34960,3910.0,3890.0,3950.0,3850.0,6199200,JSMR,2020-09-01,,,4066.0,3966.0,3950.0060722602066
39098,3920.0,3910.0,3920.0,3850.0,9732900,JSMR,2020-09-02,,,4050.0,3951.0,3941.1158339801605
67933,3920.0,3860.0,3950.0,3850.0,6341100,JSMR,2020-09-03,,,4032.0,3932.0,3923.0900930956805
12741,3820.0,3880.0,3890.0,3770.0,8143000,JSMR,2020-09-04,,,4020.0,3922.0,3913.514516852196
26746,3800.0,3760.0,3840.0,3750.0,14028800,JSMR,2020-09-07,,,4003.0,3903.0,3879.40017977393
107457,3770.0,3660.0,3800.0,3630.0,14676100,JSMR,2020-09-08,,,3984.0,3873.0,3830.6445842686126
