,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
392,50.0,50.0,50.0,50.0,41310700,KBAG,2021-04-01,,,,,
1232,50.0,50.0,50.0,50.0,43308400,KBAG,2021-04-05,,,,,
2072,50.0,50.0,50.0,50.0,3118300,KBAG,2021-04-06,,,,,
2912,50.0,50.0,50.0,50.0,21808600,KBAG,2021-04-07,,,,,
3754,50.0,50.0,50.0,50.0,419500,KBAG,2021-04-08,,,,,
4598,50.0,50.0,50.0,50.0,17195100,KBAG,2021-04-09,,,,,
5441,50.0,50.0,50.0,50.0,934600,KBAG,2021-04-12,,,,,
6285,50.0,50.0,50.0,50.0,25469000,KBAG,2021-04-13,,,,,50.0
7129,50.0,50.0,50.0,50.0,28216500,KBAG,2021-04-14,,,,,50.0
7974,50.0,50.0,50.0,50.0,467500,KBAG,2021-04-15,,,,50.0,50.0
8818,50.0,50.0,50.0,50.0,14200,KBAG,2021-04-16,,,,50.0,50.0
9662,50.0,50.0,50.0,50.0,5767900,KBAG,2021-04-19,,,,50.0,50.0
10506,50.0,50.0,50.0,50.0,110200,KBAG,2021-04-20,,,,50.0,50.0
11350,50.0,50.0,50.0,50.0,1150300,KBAG,2021-04-21,,,,50.0,50.0
12194,50.0,50.0,50.0,50.0,543500,KBAG,2021-04-22,,,,50.0,50.0
13038,50.0,50.0,50.0,50.0,42700,KBAG,2021-04-23,,,,50.0,50.0
13881,50.0,50.0,50.0,50.0,1063600,KBAG,2021-04-26,,,,50.0,50.0
14724,50.0,50.0,50.0,50.0,212900,KBAG,2021-04-27,,,,50.0,50.0
15568,50.0,50.0,50.0,50.0,34800,KBAG,2021-04-28,,,,50.0,50.0
16412,50.0,50.0,50.0,50.0,409500,KBAG,2021-04-29,,,,50.0,50.0
17256,50.0,50.0,50.0,50.0,1005300,KBAG,2021-04-30,,,,50.0,50.0
18099,50.0,50.0,50.0,50.0,5768500,KBAG,2021-05-03,,,,50.0,50.0
18942,50.0,50.0,50.0,50.0,398600,KBAG,2021-05-04,,,,50.0,50.0
19784,50.0,50.0,50.0,50.0,183400,KBAG,2021-05-05,,,,50.0,50.0
20628,50.0,50.0,50.0,50.0,1602200,KBAG,2021-05-06,,,,50.0,50.0
21472,50.0,50.0,50.0,50.0,102800,KBAG,2021-05-07,,,,50.0,50.0
22316,50.0,50.0,50.0,50.0,4068200,KBAG,2021-05-10,,,,50.0,50.0
23159,50.0,50.0,50.0,50.0,67900,KBAG,2021-05-11,,,,50.0,50.0
24001,50.0,50.0,50.0,50.0,80900,KBAG,2021-05-17,,,,50.0,50.0
24841,50.0,50.0,50.0,50.0,230300,KBAG,2021-05-18,,,50.0,50.0,50.0
25681,50.0,50.0,50.0,50.0,365200,KBAG,2021-05-19,,,50.0,50.0,50.0
26592,50.0,50.0,50.0,50.0,77900,KBAG,2021-05-20,,,50.0,50.0,50.0
27405,50.0,50.0,50.0,50.0,619700,KBAG,2021-05-21,,,50.0,50.0,50.0
28247,50.0,50.0,50.0,50.0,14600,KBAG,2021-05-24,,,50.0,50.0,50.0
29089,50.0,50.0,50.0,50.0,46100,KBAG,2021-05-25,,,50.0,50.0,50.0
