,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126478,370.0,370.0,370.0,370.0,0,KBLV,2020-07-01,,,,,
133899,362.0,360.0,362.0,360.0,2400,KBLV,2020-07-02,,,,,
107573,340.0,360.0,360.0,340.0,1200,KBLV,2020-07-03,,,,,
89432,360.0,420.0,420.0,360.0,1200,KBLV,2020-07-06,,,,,
34159,410.0,410.0,410.0,410.0,400,KBLV,2020-07-07,,,,,
51506,410.0,382.0,410.0,382.0,20400,KBLV,2020-07-08,,,,,
119901,390.0,356.0,390.0,356.0,14200,KBLV,2020-07-09,,,,,
23455,390.0,346.0,390.0,346.0,16500,KBLV,2020-07-10,,,,,375.5
15219,340.0,330.0,340.0,330.0,17100,KBLV,2020-07-13,,,,,365.3888888888889
31697,330.0,350.0,360.0,330.0,600,KBLV,2020-07-14,,,,368.4,361.96913580246917
95204,360.0,350.0,360.0,350.0,1700,KBLV,2020-07-15,,,,366.4,359.3093278463649
21810,330.0,330.0,330.0,330.0,100,KBLV,2020-07-16,,,,363.4,352.79614388050607
110010,330.0,330.0,330.0,330.0,100,KBLV,2020-07-17,,,,360.4,347.7303341292825
82844,310.0,312.0,314.0,310.0,1100,KBLV,2020-07-20,,,,349.6,339.7902598783308
108381,310.0,310.0,310.0,310.0,100,KBLV,2020-07-21,,,,339.6,333.17020212759064
99324,312.0,312.0,312.0,312.0,200,KBLV,2020-07-22,,,,332.6,328.46571276590385
8628,312.0,312.0,312.0,312.0,600,KBLV,2020-07-23,,,,328.2,324.80666548459186
106759,310.0,350.0,350.0,310.0,6100,KBLV,2020-07-24,,,,328.6,330.40518426579365
59755,350.0,350.0,350.0,350.0,100,KBLV,2020-07-27,,,,330.6,334.75958776228396
43244,370.0,348.0,370.0,346.0,3000,KBLV,2020-07-28,,,,330.4,337.7019015928875
116612,346.0,346.0,346.0,346.0,500,KBLV,2020-07-29,,,,330.0,339.54592346113475
85298,346.0,346.0,346.0,346.0,10500,KBLV,2020-07-30,,,,331.6,340.9801626919937
123198,350.0,322.0,350.0,322.0,500,KBLV,2020-08-03,,,,330.8,336.7623487604396
6991,346.0,346.0,346.0,346.0,100,KBLV,2020-08-04,,,,334.2,338.81516014700856
58111,350.0,324.0,350.0,322.0,8900,KBLV,2020-08-05,,,,335.6,335.5229023365622
74600,304.0,310.0,312.0,304.0,2200,KBLV,2020-08-06,,,,335.4,329.8511462617706
46549,310.0,312.0,312.0,310.0,700,KBLV,2020-08-07,,,,335.4,325.88422487026605
104280,300.0,300.0,300.0,300.0,100,KBLV,2020-08-10,,,,330.4,320.13217489909584
57295,282.0,292.0,292.0,282.0,400,KBLV,2020-08-11,,,,324.6,313.88058047707455
125661,274.0,296.0,296.0,274.0,300,KBLV,2020-08-12,,,339.4,319.4,309.90711814883576
67176,296.0,296.0,296.0,296.0,0,KBLV,2020-08-13,,,336.93333333333334,314.4,306.8166474490945
92747,296.0,324.0,350.0,276.0,28600,KBLV,2020-08-14,,,335.73333333333335,312.2,310.6351702381846
65532,330.0,340.0,340.0,302.0,5300,KBLV,2020-08-18,,,335.06666666666666,314.0,317.1606879630325
94388,360.0,356.0,360.0,340.0,4100,KBLV,2020-08-19,,,332.93333333333334,315.0,325.7916461934697
