,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120642,725.0,740.0,740.0,725.0,500,KDSI,2020-07-01,,,,,
128063,755.0,745.0,805.0,745.0,122000,KDSI,2020-07-02,,,,,
101737,785.0,840.0,930.0,745.0,82400,KDSI,2020-07-03,,,,,
84430,785.0,935.0,950.0,785.0,29300,KDSI,2020-07-06,,,,,
34161,885.0,935.0,945.0,880.0,9700,KDSI,2020-07-07,,,,,
47338,930.0,910.0,930.0,900.0,3100,KDSI,2020-07-08,,,,,
114065,910.0,910.0,945.0,850.0,27600,KDSI,2020-07-09,,,,,
23457,900.0,910.0,920.0,860.0,8600,KDSI,2020-07-10,,,,,865.625
15221,915.0,915.0,915.0,915.0,100,KDSI,2020-07-13,,,,,876.5972222222222
31699,910.0,855.0,910.0,855.0,6100,KDSI,2020-07-14,,,,869.5,871.7978395061727
89368,840.0,800.0,935.0,800.0,126400,KDSI,2020-07-15,,,,875.5,855.8427640603566
21812,850.0,765.0,850.0,755.0,44900,KDSI,2020-07-16,,,,877.5,835.6554831580551
104174,760.0,760.0,850.0,760.0,45600,KDSI,2020-07-17,,,,869.5,818.8431535673761
77842,830.0,750.0,830.0,750.0,6200,KDSI,2020-07-20,,,,851.0,803.5446749968481
102545,800.0,810.0,815.0,795.0,2600,KDSI,2020-07-21,,,,838.5,804.9791916642153
93488,805.0,770.0,805.0,765.0,37500,KDSI,2020-07-22,,,,824.5,797.2060379610563
8630,820.0,805.0,820.0,760.0,12800,KDSI,2020-07-23,,,,814.0,798.938029525266
100923,805.0,775.0,805.0,775.0,15100,KDSI,2020-07-24,,,,800.5,793.6184674085401
54753,835.0,770.0,835.0,770.0,10700,KDSI,2020-07-27,,,,786.0,788.3699190955313
41578,815.0,750.0,815.0,750.0,7300,KDSI,2020-07-28,,,,775.5,779.8432704076354
110776,780.0,780.0,780.0,765.0,2700,KDSI,2020-07-29,,,,773.5,779.8780992059386
80296,805.0,760.0,855.0,760.0,32600,KDSI,2020-07-30,,,,773.0,775.4607438268412
117362,760.0,760.0,760.0,760.0,100,KDSI,2020-08-03,,,,773.0,772.0250229764321
6993,760.0,755.0,760.0,710.0,12500,KDSI,2020-08-04,,,,773.5,768.241684537225
53109,755.0,765.0,925.0,755.0,12600,KDSI,2020-08-05,,,,769.0,767.5213101956194
69598,810.0,750.0,810.0,750.0,79000,KDSI,2020-08-06,,,,767.0,763.627685707704
43215,785.0,720.0,785.0,720.0,99600,KDSI,2020-08-07,,,,758.5,753.9326444393254
98444,725.0,720.0,730.0,720.0,55300,KDSI,2020-08-10,,,,753.0,746.392056786142
52293,715.0,720.0,720.0,710.0,31200,KDSI,2020-08-11,,,,748.0,740.5271552781104
119825,725.0,725.0,730.0,720.0,1282400,KDSI,2020-08-12,,,796.8333333333334,745.5,737.0766763274192
62174,780.0,730.0,780.0,730.0,400,KDSI,2020-08-13,,,796.5,740.5,735.5040815879928
86911,730.0,900.0,900.0,725.0,84300,KDSI,2020-08-14,,,801.6666666666666,754.5,772.0587301239945
60530,900.0,840.0,900.0,840.0,7600,KDSI,2020-08-18,,,801.6666666666666,762.5,787.1567900964401
88552,820.0,830.0,840.0,820.0,3300,KDSI,2020-08-19,,,798.1666666666666,770.0,796.6775034083423
10278,825.0,860.0,905.0,800.0,8000,KDSI,2020-08-24,,,795.6666666666666,779.5,810.7491693175996
128871,855.0,830.0,855.0,800.0,800,KDSI,2020-08-25,,,793.0,787.5,815.0271316914664
103358,810.0,840.0,840.0,810.0,400,KDSI,2020-08-26,,,790.6666666666666,799.5,820.5766579822516
3698,825.0,825.0,825.0,785.0,1500,KDSI,2020-08-27,,,787.8333333333334,810.0,821.5596228750846
