,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120645,50.0,50.0,50.0,50.0,0,KIAS,2020-07-01,,,,,
128066,50.0,50.0,50.0,50.0,0,KIAS,2020-07-02,,,,,
101740,50.0,50.0,50.0,50.0,0,KIAS,2020-07-03,,,,,
84433,50.0,50.0,50.0,50.0,0,KIAS,2020-07-06,,,,,
34164,50.0,50.0,50.0,50.0,100,KIAS,2020-07-07,,,,,
47341,50.0,50.0,50.0,50.0,0,KIAS,2020-07-08,,,,,
114068,50.0,50.0,50.0,50.0,0,KIAS,2020-07-09,,,,,
23460,50.0,50.0,50.0,50.0,0,KIAS,2020-07-10,,,,,50.0
15224,50.0,50.0,50.0,50.0,0,KIAS,2020-07-13,,,,,50.0
31702,50.0,50.0,50.0,50.0,100,KIAS,2020-07-14,,,,50.0,50.0
89371,50.0,50.0,50.0,50.0,0,KIAS,2020-07-15,,,,50.0,50.0
21815,50.0,50.0,50.0,50.0,0,KIAS,2020-07-16,,,,50.0,50.0
104177,50.0,50.0,50.0,50.0,2600,KIAS,2020-07-17,,,,50.0,50.0
77845,50.0,50.0,50.0,50.0,500000,KIAS,2020-07-20,,,,50.0,50.0
102548,50.0,50.0,50.0,50.0,3000,KIAS,2020-07-21,,,,50.0,50.0
93491,50.0,50.0,50.0,50.0,2800,KIAS,2020-07-22,,,,50.0,50.0
8633,50.0,50.0,54.0,50.0,1433800,KIAS,2020-07-23,,,,50.0,50.0
100926,50.0,50.0,50.0,50.0,5600,KIAS,2020-07-24,,,,50.0,50.0
54756,50.0,50.0,50.0,50.0,0,KIAS,2020-07-27,,,,50.0,50.0
41581,50.0,50.0,50.0,50.0,0,KIAS,2020-07-28,,,,50.0,50.0
110779,50.0,50.0,50.0,50.0,100,KIAS,2020-07-29,,,,50.0,50.0
80299,50.0,50.0,50.0,50.0,0,KIAS,2020-07-30,,,,50.0,50.0
117365,50.0,50.0,50.0,50.0,0,KIAS,2020-08-03,,,,50.0,50.0
6996,50.0,50.0,50.0,50.0,100,KIAS,2020-08-04,,,,50.0,50.0
53112,50.0,50.0,50.0,50.0,30500,KIAS,2020-08-05,,,,50.0,50.0
69601,50.0,50.0,50.0,50.0,200,KIAS,2020-08-06,,,,50.0,50.0
43218,50.0,50.0,50.0,50.0,500,KIAS,2020-08-07,,,,50.0,50.0
98447,50.0,50.0,50.0,50.0,1000,KIAS,2020-08-10,,,,50.0,50.0
52296,50.0,50.0,50.0,50.0,0,KIAS,2020-08-11,,,,50.0,50.0
119828,50.0,50.0,50.0,50.0,0,KIAS,2020-08-12,,,50.0,50.0,50.0
62177,50.0,50.0,50.0,50.0,0,KIAS,2020-08-13,,,50.0,50.0,50.0
86914,50.0,50.0,50.0,50.0,0,KIAS,2020-08-14,,,50.0,50.0,50.0
60533,50.0,50.0,50.0,50.0,100,KIAS,2020-08-18,,,50.0,50.0,50.0
88555,50.0,50.0,50.0,50.0,0,KIAS,2020-08-19,,,50.0,50.0,50.0
10281,50.0,50.0,50.0,50.0,200,KIAS,2020-08-24,,,50.0,50.0,50.0
128874,50.0,50.0,50.0,50.0,100,KIAS,2020-08-25,,,50.0,50.0,50.0
103361,50.0,50.0,50.0,50.0,100,KIAS,2020-08-26,,,50.0,50.0,50.0
3701,50.0,50.0,50.0,50.0,0,KIAS,2020-08-27,,,50.0,50.0,50.0
78657,50.0,50.0,50.0,50.0,0,KIAS,2020-08-28,,,50.0,50.0,50.0
27580,50.0,50.0,50.0,50.0,0,KIAS,2020-08-31,,,50.0,50.0,50.0
34975,50.0,50.0,50.0,50.0,0,KIAS,2020-09-01,,,50.0,50.0,50.0
39113,50.0,50.0,50.0,50.0,0,KIAS,2020-09-02,,,50.0,50.0,50.0
67948,50.0,50.0,50.0,50.0,0,KIAS,2020-09-03,,,50.0,50.0,50.0
12756,50.0,50.0,50.0,50.0,100,KIAS,2020-09-04,,,50.0,50.0,50.0
26761,50.0,50.0,50.0,50.0,300,KIAS,2020-09-07,,,50.0,50.0,50.0
107472,50.0,50.0,50.0,50.0,100,KIAS,2020-09-08,,,50.0,50.0,50.0
121453,50.0,50.0,50.0,50.0,100,KIAS,2020-09-09,,,50.0,50.0,50.0
7810,50.0,50.0,50.0,50.0,0,KIAS,2020-09-10,,,50.0,50.0,50.0
17687,50.0,50.0,50.0,50.0,100,KIAS,2020-09-11,,,50.0,50.0,50.0
44035,50.0,50.0,50.0,50.0,0,KIAS,2020-09-14,,,50.0,50.0,50.0
65474,50.0,50.0,50.0,50.0,0,KIAS,2020-09-15,,,50.0,50.0,50.0
1222,50.0,50.0,50.0,50.0,500,KIAS,2020-09-16,,,50.0,50.0,50.0
55572,50.0,50.0,50.0,50.0,700,KIAS,2020-09-17,,,50.0,50.0,50.0
61352,50.0,50.0,50.0,50.0,100,KIAS,2020-09-18,,,50.0,50.0,50.0
71244,50.0,50.0,50.0,50.0,6100,KIAS,2020-09-21,,,50.0,50.0,50.0
99266,50.0,50.0,50.0,50.0,0,KIAS,2020-09-22,,,50.0,50.0,50.0
76197,50.0,50.0,50.0,50.0,0,KIAS,2020-09-23,,,50.0,50.0,50.0
