,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123985,224.0,224.0,224.0,224.0,7000,KIOS,2020-07-01,,,,,
131406,222.0,222.0,222.0,222.0,100,KIOS,2020-07-02,,,,,
105080,220.0,220.0,220.0,220.0,100,KIOS,2020-07-03,,,,,
86939,218.0,214.0,218.0,206.0,2900,KIOS,2020-07-06,,,,,
34168,212.0,210.0,212.0,210.0,200,KIOS,2020-07-07,,,,,
49013,208.0,200.0,208.0,200.0,3000,KIOS,2020-07-08,,,,,
117408,187.0,187.0,187.0,187.0,100,KIOS,2020-07-09,,,,,
23464,187.0,187.0,187.0,187.0,0,KIOS,2020-07-10,,,,,208.0
15228,187.0,188.0,188.0,187.0,200,KIOS,2020-07-13,,,,,203.55555555555554
31706,188.0,188.0,188.0,188.0,3700,KIOS,2020-07-14,,,,204.0,200.09876543209876
92711,178.0,194.0,194.0,178.0,13200,KIOS,2020-07-15,,,,201.0,198.7434842249657
21819,208.0,200.0,216.0,200.0,700,KIOS,2020-07-16,,,,198.8,199.0227099527511
107517,208.0,200.0,208.0,200.0,2700,KIOS,2020-07-17,,,,196.8,199.2398855188064
80351,220.0,200.0,220.0,200.0,1100,KIOS,2020-07-20,,,,195.4,199.40879984796052
105888,208.0,206.0,208.0,206.0,200,KIOS,2020-07-21,,,,195.0,200.87351099285817
96831,210.0,202.0,210.0,202.0,700,KIOS,2020-07-22,,,,195.2,201.12384188333414
8637,196.0,196.0,196.0,196.0,300,KIOS,2020-07-23,,,,196.1,199.98521035370433
104266,206.0,193.0,206.0,193.0,3100,KIOS,2020-07-24,,,,196.7,198.43294138621448
57262,183.0,183.0,183.0,182.0,2700,KIOS,2020-07-27,,,,196.2,195.0033988559446
41585,180.0,183.0,183.0,180.0,2500,KIOS,2020-07-28,,,,195.7,192.33597688795692
114119,173.0,175.0,175.0,173.0,200,KIOS,2020-07-29,,,,193.8,188.48353757952205
82805,165.0,175.0,175.0,165.0,2300,KIOS,2020-07-30,,,,191.3,185.48719589518382
120705,185.0,185.0,185.0,184.0,400,KIOS,2020-08-03,,,,189.8,185.37893014069851
7000,185.0,185.0,185.0,185.0,0,KIOS,2020-08-04,,,,188.3,185.2947234427655
55618,185.0,185.0,185.0,185.0,300,KIOS,2020-08-05,,,,186.2,185.22922934437318
72107,173.0,173.0,173.0,173.0,100,KIOS,2020-08-06,,,,183.3,182.51162282340135
44056,173.0,165.0,174.0,163.0,11700,KIOS,2020-08-07,,,,180.2,178.62015108486773
101787,160.0,165.0,165.0,160.0,200,KIOS,2020-08-10,,,,177.4,175.593450843786
54802,165.0,165.0,165.0,165.0,100,KIOS,2020-08-11,,,,175.6,173.239350656278
123168,155.0,160.0,160.0,155.0,1200,KIOS,2020-08-12,,,191.0,173.3,170.29727273266067
64683,154.0,194.0,194.0,154.0,8600,KIOS,2020-08-13,,,190.0,175.2,175.5645454587361
90254,196.0,194.0,206.0,182.0,55400,KIOS,2020-08-14,,,189.06666666666666,177.1,179.6613131345725
63039,184.0,183.0,208.0,183.0,25100,KIOS,2020-08-18,,,187.83333333333334,176.9,180.40324354911195
91895,173.0,177.0,177.0,173.0,200,KIOS,2020-08-19,,,186.6,176.1,179.64696720486484
