,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120653,1470.0,1465.0,1480.0,1455.0,15494600,KLBF,2020-07-01,,,,,
128074,1465.0,1495.0,1500.0,1460.0,31753200,KLBF,2020-07-02,,,,,
101748,1495.0,1495.0,1510.0,1480.0,9003800,KLBF,2020-07-03,,,,,
84441,1495.0,1530.0,1530.0,1490.0,31247600,KLBF,2020-07-06,,,,,
34172,1530.0,1515.0,1545.0,1495.0,25055700,KLBF,2020-07-07,,,,,
47349,1500.0,1520.0,1525.0,1500.0,18521200,KLBF,2020-07-08,,,,,
114076,1525.0,1530.0,1540.0,1510.0,33397400,KLBF,2020-07-09,,,,,
23468,1530.0,1470.0,1530.0,1470.0,31067400,KLBF,2020-07-10,,,,,1502.5
15232,1480.0,1460.0,1495.0,1455.0,18842500,KLBF,2020-07-13,,,,,1493.0555555555557
31710,1460.0,1505.0,1510.0,1460.0,31936900,KLBF,2020-07-14,,,,1498.5,1495.70987654321
89379,1505.0,1510.0,1525.0,1505.0,26236800,KLBF,2020-07-15,,,,1503.0,1498.8854595336077
21823,1510.0,1485.0,1520.0,1470.0,24543800,KLBF,2020-07-16,,,,1502.0,1495.7998018594726
104185,1485.0,1465.0,1500.0,1450.0,17736000,KLBF,2020-07-17,,,,1499.0,1488.9554014462565
77853,1465.0,1485.0,1485.0,1465.0,19394400,KLBF,2020-07-20,,,,1494.5,1488.0764233470884
102556,1495.0,1520.0,1695.0,1475.0,420160800,KLBF,2020-07-21,,,,1495.0,1495.1705514921798
93499,1535.0,1575.0,1640.0,1520.0,365930700,KLBF,2020-07-22,,,,1500.5,1512.910428938362
8641,1575.0,1615.0,1655.0,1575.0,378713700,KLBF,2020-07-23,,,,1509.0,1535.5970002853926
100934,1600.0,1570.0,1635.0,1510.0,210299200,KLBF,2020-07-24,,,,1519.0,1543.2421113330831
54764,1540.0,1550.0,1610.0,1530.0,108755400,KLBF,2020-07-27,,,,1528.0,1544.7438643701757
41589,1550.0,1515.0,1570.0,1510.0,72817700,KLBF,2020-07-28,,,,1529.0,1538.134116732359
110787,1525.0,1525.0,1555.0,1515.0,87768200,KLBF,2020-07-29,,,,1530.5,1535.215424125168
80307,1530.0,1565.0,1575.0,1530.0,104773100,KLBF,2020-07-30,,,,1538.5,1541.8342187640196
117373,1575.0,1560.0,1585.0,1470.0,87572700,KLBF,2020-08-03,,,,1548.0,1545.871059038682
7004,1585.0,1575.0,1585.0,1560.0,37390200,KLBF,2020-08-04,,,,1557.0,1552.344157030086
