,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126494,99.0,99.0,99.0,99.0,0,KOIN,2020-07-01,,,,,
133915,99.0,99.0,99.0,98.0,17400,KOIN,2020-07-02,,,,,
107589,99.0,99.0,99.0,99.0,0,KOIN,2020-07-03,,,,,
89448,100.0,98.0,100.0,98.0,4500,KOIN,2020-07-06,,,,,
34175,98.0,98.0,98.0,98.0,0,KOIN,2020-07-07,,,,,
51522,100.0,100.0,100.0,100.0,200,KOIN,2020-07-08,,,,,
119917,100.0,100.0,100.0,100.0,0,KOIN,2020-07-09,,,,,
23471,100.0,100.0,100.0,100.0,0,KOIN,2020-07-10,,,,,99.125
15235,100.0,100.0,100.0,100.0,0,KOIN,2020-07-13,,,,,99.31944444444444
31713,100.0,100.0,100.0,100.0,0,KOIN,2020-07-14,,,,99.3,99.47067901234568
95220,100.0,100.0,100.0,100.0,0,KOIN,2020-07-15,,,,99.4,99.58830589849109
21826,100.0,100.0,100.0,100.0,10000,KOIN,2020-07-16,,,,99.5,99.67979347660417
110026,100.0,100.0,100.0,100.0,0,KOIN,2020-07-17,,,,99.6,99.75095048180324
82860,100.0,100.0,100.0,100.0,0,KOIN,2020-07-20,,,,99.8,99.8062948191803
108397,98.0,98.0,98.0,98.0,1700,KOIN,2020-07-21,,,,99.8,99.40489597047356
99340,98.0,98.0,98.0,98.0,0,KOIN,2020-07-22,,,,99.6,99.09269686592388
8644,98.0,98.0,98.0,98.0,0,KOIN,2020-07-23,,,,99.4,98.84987534016302
106775,98.0,98.0,98.0,98.0,0,KOIN,2020-07-24,,,,99.2,98.66101415346013
59771,98.0,98.0,98.0,98.0,0,KOIN,2020-07-27,,,,99.0,98.51412211935788
43260,98.0,98.0,98.0,98.0,0,KOIN,2020-07-28,,,,98.8,98.39987275950057
116628,100.0,100.0,100.0,100.0,200,KOIN,2020-07-29,,,,98.8,98.75545659072266
85314,100.0,100.0,100.0,100.0,0,KOIN,2020-07-30,,,,98.8,99.03202179278429
123214,100.0,100.0,100.0,100.0,0,KOIN,2020-08-03,,,,98.8,99.24712806105445
7007,98.0,98.0,98.0,98.0,200,KOIN,2020-08-04,,,,98.6,98.96998849193125
58127,98.0,98.0,98.0,98.0,0,KOIN,2020-08-05,,,,98.6,98.7544354937243
74616,100.0,100.0,100.0,100.0,100,KOIN,2020-08-06,,,,98.8,99.03122760623002
46565,100.0,100.0,100.0,100.0,0,KOIN,2020-08-07,,,,99.0,99.24651036040113
104296,100.0,118.0,118.0,100.0,7000,KOIN,2020-08-10,,,,101.0,103.41395250253422
57311,110.0,110.0,110.0,110.0,3500,KOIN,2020-08-11,,,,102.2,104.87751861308217
125677,110.0,103.0,110.0,103.0,1200,KOIN,2020-08-12,,,100.26666666666667,102.7,104.46029225461947
67192,100.0,100.0,100.0,100.0,6800,KOIN,2020-08-13,,,100.3,102.7,103.46911619803737
92763,108.0,108.0,108.0,108.0,100,KOIN,2020-08-14,,,100.6,103.5,104.47597926514018
65548,108.0,104.0,108.0,104.0,3600,KOIN,2020-08-18,,,100.76666666666667,103.9,104.37020609510903
94404,100.0,100.0,108.0,100.0,7600,KOIN,2020-08-19,,,100.83333333333333,104.1,103.39904918508479
10292,100.0,98.0,100.0,98.0,7600,KOIN,2020-08-24,,,100.83333333333333,104.1,102.19926047728818
134723,98.0,98.0,98.0,98.0,4000,KOIN,2020-08-25,,,100.76666666666667,103.9,101.26609148233526
109210,98.0,98.0,98.0,98.0,0,KOIN,2020-08-26,,,100.7,103.7,100.54029337514964
3712,98.0,98.0,98.0,98.0,0,KOIN,2020-08-27,,,100.63333333333334,101.7,99.9757837362275
83672,98.0,98.0,98.0,98.0,0,KOIN,2020-08-28,,,100.56666666666666,100.5,99.5367206837325
27591,100.0,100.0,100.0,100.0,100,KOIN,2020-08-31,,,100.56666666666666,100.2,99.63967164290305
34986,98.0,98.0,98.0,98.0,5000,KOIN,2020-09-01,,,100.5,100.0,99.27530016670238
39124,98.0,98.0,98.0,98.0,300,KOIN,2020-09-02,,,100.43333333333334,99.0,98.99190012965741
72963,100.0,100.0,100.0,100.0,2000,KOIN,2020-09-03,,,100.43333333333334,98.6,99.21592232306688
12767,100.0,100.0,100.0,100.0,0,KOIN,2020-09-04,,,100.43333333333334,98.6,99.3901618068298
26773,100.0,100.0,100.0,100.0,100,KOIN,2020-09-07,,,100.5,98.8,99.52568140531206
113322,100.0,100.0,100.0,100.0,100,KOIN,2020-09-08,,,100.56666666666666,99.0,99.63108553746493
127303,100.0,100.0,100.0,100.0,1000,KOIN,2020-09-09,,,100.63333333333334,99.2,99.71306652913938
7822,98.0,98.0,98.0,98.0,13000,KOIN,2020-09-10,,,100.63333333333334,99.2,99.33238507821952
17699,98.0,98.0,98.0,98.0,0,KOIN,2020-09-11,,,100.63333333333334,99.2,99.03629950528185
47383,99.0,99.0,99.0,99.0,100,KOIN,2020-09-14,,,100.66666666666667,99.1,99.02823294855254
70490,98.0,98.0,98.0,98.0,1000,KOIN,2020-09-15,,,100.6,99.1,98.79973673776308
1234,98.0,98.0,98.0,98.0,0,KOIN,2020-09-16,,,100.53333333333333,99.1,98.62201746270462
60588,98.0,98.0,98.0,98.0,0,KOIN,2020-09-17,,,100.46666666666667,98.9,98.48379135988137
66368,98.0,98.0,98.0,98.0,0,KOIN,2020-09-18,,,100.46666666666667,98.7,98.37628216879662
76260,98.0,98.0,98.0,98.0,4000,KOIN,2020-09-21,,,100.46666666666667,98.5,98.29266390906403
105116,98.0,98.0,98.0,98.0,1000,KOIN,2020-09-22,,,100.4,98.3,98.22762748482758
81213,98.0,98.0,98.0,98.0,0,KOIN,2020-09-23,,,100.33333333333333,98.1,98.17704359931034
69663,98.0,98.0,98.0,98.0,100,KOIN,2020-09-24,,,99.66666666666667,98.1,98.13770057724138
101818,98.0,98.0,98.0,98.0,0,KOIN,2020-09-25,,,99.26666666666667,98.1,98.10710044896551
63900,98.0,98.0,98.0,98.0,100,KOIN,2020-09-28,,,99.1,98.0,98.0833003491954
16050,98.0,98.0,98.0,98.0,0,KOIN,2020-09-29,,,99.03333333333333,98.0,98.0647891604853
88625,98.0,98.0,98.0,98.0,900,KOIN,2020-09-30,,,98.7,98.0,98.05039156926635
96859,98.0,98.0,98.0,98.0,0,KOIN,2020-10-01,,,98.5,98.0,98.03919344276272
72142,98.0,98.0,98.0,98.0,500,KOIN,2020-10-02,,,98.43333333333334,98.0,98.03048378881545
11946,98.0,98.0,98.0,98.0,0,KOIN,2020-10-05,,,98.43333333333334,98.0,98.02370961352312
124855,98.0,98.0,98.0,98.0,0,KOIN,2020-10-06,,,98.43333333333334,98.0,98.01844081051799
21004,98.0,98.0,98.0,98.0,0,KOIN,2020-10-07,,,98.43333333333334,98.0,98.0143428526251
19348,98.0,98.0,98.0,98.0,100,KOIN,2020-10-08,,,98.43333333333334,98.0,98.01115555204174
114981,99.0,99.0,99.0,99.0,400,KOIN,2020-10-09,,,98.46666666666667,98.1,98.23089876269913
28412,99.0,99.0,99.0,99.0,100,KOIN,2020-10-12,,,98.43333333333334,98.2,98.40181014876599
80387,99.0,99.0,99.0,99.0,100,KOIN,2020-10-13,,,98.46666666666667,98.3,98.53474122681799
111670,99.0,99.0,99.0,99.0,100,KOIN,2020-10-14,,,98.5,98.4,98.63813206530288
14413,99.0,99.0,99.0,99.0,0,KOIN,2020-10-15,,,98.46666666666667,98.5,98.71854716190224
5361,99.0,99.0,99.0,99.0,0,KOIN,2020-10-16,,,98.43333333333334,98.6,98.78109223703507
408,100.0,100.0,100.0,100.0,7400,KOIN,2020-10-19,,,98.43333333333334,98.8,99.05196062880505
129786,100.0,100.0,100.0,100.0,0,KOIN,2020-10-20,,,98.43333333333334,99.0,99.26263604462615
78737,100.0,100.0,100.0,100.0,100,KOIN,2020-10-21,,,98.43333333333334,99.2,99.42649470137589
30067,100.0,100.0,100.0,100.0,0,KOIN,2020-10-22,,,98.5,99.4,99.55394032329235
32527,100.0,100.0,100.0,100.0,200,KOIN,2020-10-23,,,98.56666666666666,99.5,99.65306469589405
61415,100.0,100.0,100.0,100.0,0,KOIN,2020-10-26,,,98.6,99.6,99.73016143013982
56489,100.0,100.0,100.0,100.0,0,KOIN,2020-10-27,,,98.66666666666667,99.7,99.79012555677541
93582,100.0,100.0,100.0,100.0,200,KOIN,2020-11-02,,,98.73333333333333,99.8,99.83676432193643
87799,100.0,98.0,100.0,98.0,1400,KOIN,2020-11-03,,,98.73333333333333,99.7,99.42859447261722
