,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120664,112.0,111.0,113.0,111.0,1132900,KPIG,2020-07-01,,,,,
128085,112.0,112.0,113.0,111.0,3369700,KPIG,2020-07-02,,,,,
101759,113.0,112.0,113.0,111.0,3589800,KPIG,2020-07-03,,,,,
84452,113.0,110.0,113.0,110.0,6041900,KPIG,2020-07-06,,,,,
34183,112.0,111.0,112.0,110.0,13514300,KPIG,2020-07-07,,,,,
47360,112.0,110.0,112.0,110.0,7433200,KPIG,2020-07-08,,,,,
114087,111.0,110.0,111.0,109.0,6962300,KPIG,2020-07-09,,,,,
23479,111.0,111.0,111.0,110.0,1139700,KPIG,2020-07-10,,,,,110.875
15243,112.0,110.0,112.0,110.0,947700,KPIG,2020-07-13,,,,,110.68055555555556
31721,111.0,110.0,112.0,108.0,5206600,KPIG,2020-07-14,,,,110.7,110.52932098765432
89390,111.0,110.0,111.0,109.0,369900,KPIG,2020-07-15,,,,110.6,110.41169410150891
21834,111.0,110.0,111.0,109.0,573600,KPIG,2020-07-16,,,,110.4,110.32020652339583
104196,111.0,110.0,111.0,108.0,660600,KPIG,2020-07-17,,,,110.2,110.24904951819676
77864,111.0,109.0,111.0,108.0,1631600,KPIG,2020-07-20,,,,110.1,109.97148295859748
102567,110.0,110.0,110.0,108.0,11601100,KPIG,2020-07-21,,,,110.0,109.97782007890915
93510,111.0,110.0,111.0,109.0,611900,KPIG,2020-07-22,,,,110.0,109.98274895026267
8652,111.0,108.0,111.0,108.0,1552300,KPIG,2020-07-23,,,,109.8,109.54213807242652
100945,109.0,109.0,109.0,107.0,7277400,KPIG,2020-07-24,,,,109.6,109.42166294522063
54775,110.0,108.0,110.0,107.0,1890500,KPIG,2020-07-27,,,,109.4,109.10573784628271
41600,109.0,109.0,109.0,107.0,949600,KPIG,2020-07-28,,,,109.3,109.08224054710877
110798,110.0,108.0,110.0,107.0,1309400,KPIG,2020-07-29,,,,109.1,108.84174264775126
80318,109.0,107.0,109.0,106.0,881800,KPIG,2020-07-30,,,,108.8,108.43246650380654
117384,108.0,107.0,108.0,101.0,1118000,KPIG,2020-08-03,,,,108.5,108.11414061407176
7015,108.0,108.0,108.0,104.0,1622000,KPIG,2020-08-04,,,,108.4,108.08877603316692
53131,109.0,107.0,109.0,105.0,1545600,KPIG,2020-08-05,,,,108.1,107.84682580357428
69620,108.0,108.0,108.0,106.0,868300,KPIG,2020-08-06,,,,107.9,107.8808645138911
43237,109.0,108.0,109.0,107.0,14624800,KPIG,2020-08-07,,,,107.9,107.90733906635974
98466,109.0,109.0,109.0,106.0,12131500,KPIG,2020-08-10,,,,107.9,108.15015260716869
52315,110.0,109.0,110.0,107.0,12237400,KPIG,2020-08-11,,,,108.0,108.33900758335342
119847,110.0,109.0,120.0,107.0,49726100,KPIG,2020-08-12,,,109.33333333333333,108.0,108.48589478705266
62196,110.0,108.0,110.0,105.0,4660700,KPIG,2020-08-13,,,109.23333333333333,108.0,108.37791816770762
86933,109.0,107.0,109.0,103.0,4925500,KPIG,2020-08-14,,,109.06666666666666,108.0,108.07171413043926
60552,108.0,107.0,108.0,105.0,2478000,KPIG,2020-08-18,,,108.9,108.0,107.83355543478609
88574,108.0,107.0,108.0,103.0,3481000,KPIG,2020-08-19,,,108.8,107.9,107.64832089372251
10300,108.0,107.0,108.0,104.0,4951100,KPIG,2020-08-24,,,108.66666666666667,107.9,107.5042495840064
128893,108.0,105.0,109.0,104.0,26176600,KPIG,2020-08-25,,,108.5,107.6,106.94774967644942
103380,106.0,106.0,109.0,105.0,17163600,KPIG,2020-08-26,,,108.36666666666666,107.4,106.73713863723843
3720,107.0,106.0,109.0,104.0,20430400,KPIG,2020-08-27,,,108.2,107.1,106.57333005118545
78676,107.0,106.0,109.0,105.0,21249400,KPIG,2020-08-28,,,108.06666666666666,106.8,106.44592337314424
27599,107.0,105.0,107.0,104.0,23686400,KPIG,2020-08-31,,,107.9,106.4,106.12460706800107
34994,106.0,104.0,107.0,104.0,25357500,KPIG,2020-09-01,,,107.7,106.0,105.65247216400083
39132,106.0,104.0,106.0,104.0,26515800,KPIG,2020-09-02,,,107.5,105.7,105.2852561275562
67967,105.0,105.0,106.0,104.0,25941400,KPIG,2020-09-03,,,107.33333333333333,105.5,105.22186587698815
12775,105.0,104.0,106.0,103.0,31080900,KPIG,2020-09-04,,,107.16666666666667,105.2,104.95034012654634
26781,106.0,104.0,107.0,104.0,24544100,KPIG,2020-09-07,,,106.96666666666667,104.9,104.73915343175827
107492,105.0,105.0,107.0,104.0,26466900,KPIG,2020-09-08,,,106.8,104.9,104.79711933581198
121473,106.0,104.0,107.0,104.0,25383000,KPIG,2020-09-09,,,106.66666666666667,104.7,104.61998170563155
7830,105.0,103.0,105.0,99.0,4572000,KPIG,2020-09-10,,,106.46666666666667,104.4,104.25998577104676
17707,104.0,103.0,104.0,99.0,1662400,KPIG,2020-09-11,,,106.3,104.1,103.97998893303637
44055,104.0,104.0,104.0,102.0,1027000,KPIG,2020-09-14,,,106.13333333333334,104.0,103.98443583680606
65494,105.0,104.0,105.0,102.0,1557300,KPIG,2020-09-15,,,106.0,104.0,103.98789453973805
1242,105.0,104.0,105.0,103.0,338900,KPIG,2020-09-16,,,105.9,104.0,103.99058464201849
55592,105.0,104.0,105.0,102.0,1384100,KPIG,2020-09-17,,,105.8,103.9,103.99267694379216
61372,105.0,104.0,105.0,103.0,576200,KPIG,2020-09-18,,,105.66666666666667,103.9,103.99430428961612
71264,105.0,104.0,105.0,103.0,801900,KPIG,2020-09-21,,,105.56666666666666,103.9,103.99557000303476
99286,104.0,103.0,104.0,101.0,1885700,KPIG,2020-09-22,,,105.4,103.7,103.7743322245826
76217,103.0,102.0,103.0,101.0,2173400,KPIG,2020-09-23,,,105.2,103.5,103.38003617467535
64667,103.0,102.0,103.0,99.0,2339400,KPIG,2020-09-24,,,104.96666666666667,103.4,103.07336146919194
95988,103.0,102.0,103.0,100.0,1447800,KPIG,2020-09-25,,,104.73333333333333,103.3,102.83483669826039
58904,103.0,101.0,103.0,100.0,780800,KPIG,2020-09-28,,,104.46666666666667,103.0,102.42709520975808
16058,102.0,103.0,103.0,100.0,2083200,KPIG,2020-09-29,,,104.3,102.9,102.5544073853674
83629,104.0,104.0,104.0,100.0,3812000,KPIG,2020-09-30,,,104.2,102.9,102.87565018861909
91029,104.0,103.0,105.0,101.0,55868200,KPIG,2020-10-01,,,104.06666666666666,102.8,102.90328348003708
67146,104.0,103.0,104.0,101.0,692900,KPIG,2020-10-02,,,103.93333333333334,102.7,102.92477604002883
11954,104.0,104.0,104.0,101.0,1075400,KPIG,2020-10-05,,,103.83333333333333,102.7,103.1637146978002
119025,104.0,104.0,105.0,102.0,662100,KPIG,2020-10-06,,,103.8,102.8,103.34955587606683
21012,105.0,104.0,105.0,102.0,897400,KPIG,2020-10-07,,,103.73333333333333,103.0,103.49409901471864
19356,105.0,104.0,105.0,102.0,481600,KPIG,2020-10-08,,,103.66666666666667,103.2,103.60652145589228
109151,105.0,104.0,105.0,103.0,652500,KPIG,2020-10-09,,,103.6,103.4,103.69396113236066
28420,105.0,104.0,105.0,103.0,447300,KPIG,2020-10-12,,,103.56666666666666,103.7,103.76196976961384
75391,105.0,105.0,105.0,103.0,788500,KPIG,2020-10-13,,,103.6,103.9,104.03708759858854
105840,106.0,105.0,106.0,102.0,1701800,KPIG,2020-10-14,,,103.63333333333334,104.0,104.25106813223553
14421,106.0,104.0,106.0,103.0,2361900,KPIG,2020-10-15,,,103.6,104.1,104.19527521396097
5369,105.0,105.0,105.0,103.0,995200,KPIG,2020-10-16,,,103.63333333333334,104.3,104.37410294419186
416,106.0,105.0,106.0,103.0,1042800,KPIG,2020-10-19,,,103.66666666666667,104.4,104.51319117881589
123956,106.0,105.0,106.0,103.0,1352300,KPIG,2020-10-20,,,103.66666666666667,104.5,104.6213709168568
73741,106.0,105.0,106.0,104.0,518100,KPIG,2020-10-21,,,103.7,104.6,104.70551071311085
30075,106.0,105.0,106.0,103.0,1254500,KPIG,2020-10-22,,,103.76666666666667,104.7,104.770952776864
32535,106.0,104.0,106.0,104.0,476400,KPIG,2020-10-23,,,103.8,104.7,104.59962993756088
56419,105.0,105.0,105.0,102.0,1794400,KPIG,2020-10-26,,,103.83333333333333,104.8,104.68860106254735
51493,106.0,104.0,106.0,103.0,1870600,KPIG,2020-10-27,,,103.83333333333333,104.7,104.5355786042035
87752,105.0,104.0,105.0,103.0,1197600,KPIG,2020-11-02,,,103.83333333333333,104.6,104.41656113660272
82803,105.0,105.0,105.0,103.0,1350000,KPIG,2020-11-03,,,103.86666666666666,104.7,104.54621421735767
6193,106.0,107.0,110.0,103.0,5264300,KPIG,2020-11-04,,,103.96666666666667,104.9,105.09149994683375
18531,108.0,105.0,108.0,103.0,3530300,KPIG,2020-11-05,,,104.0,104.9,105.07116662531514
42415,106.0,104.0,106.0,103.0,2773600,KPIG,2020-11-06,,,104.03333333333333,104.8,104.83312959746733
90203,105.0,104.0,108.0,104.0,2181000,KPIG,2020-11-09,,,104.1,104.7,104.64798968691903
2068,105.0,104.0,105.0,103.0,1567600,KPIG,2020-11-10,,,104.16666666666667,104.6,104.50399197871481
24292,105.0,104.0,105.0,103.0,1740600,KPIG,2020-11-11,,,104.23333333333333,104.6,104.39199376122262
77042,105.0,104.0,105.0,103.0,1086700,KPIG,2020-11-12,,,104.33333333333333,104.5,104.30488403650648
74566,105.0,105.0,105.0,103.0,837800,KPIG,2020-11-13,,,104.4,104.6,104.45935425061614
72916,105.0,104.0,106.0,103.0,1054100,KPIG,2020-11-16,,,104.4,104.6,104.357275528257
39953,105.0,104.0,106.0,103.0,1765900,KPIG,2020-11-17,,,104.43333333333334,104.5,104.27788096642212
16883,105.0,105.0,105.0,103.0,604800,KPIG,2020-11-18,,,104.5,104.3,104.43835186277276
66321,106.0,105.0,106.0,103.0,885500,KPIG,2020-11-19,,,104.53333333333333,104.3,104.56316255993437
79496,106.0,106.0,106.0,104.0,898300,KPIG,2020-11-20,,,104.6,104.5,104.88245976883785
70437,107.0,106.0,107.0,104.0,737400,KPIG,2020-11-23,,,104.66666666666667,104.7,105.13080204242944
111613,107.0,106.0,107.0,104.0,1560200,KPIG,2020-11-24,,,104.73333333333333,104.9,105.32395714411179
118199,107.0,105.0,107.0,104.0,1620200,KPIG,2020-11-25,,,104.76666666666667,105.0,105.2519666676425
58077,106.0,105.0,106.0,104.0,5556100,KPIG,2020-11-26,105.95,,104.8,105.1,105.19597407483306
13595,106.0,105.0,106.0,104.0,560200,KPIG,2020-11-27,105.89,,104.8,105.1,105.15242428042572
116561,106.0,105.0,106.0,104.0,1104900,KPIG,2020-11-30,105.82,,104.8,105.2,105.11855221810889
113264,106.0,105.0,106.0,104.0,620200,KPIG,2020-12-01,105.75,,104.83333333333333,105.3,105.09220728075135
115736,106.0,105.0,106.0,104.0,602000,KPIG,2020-12-02,105.7,,104.83333333333333,105.3,105.07171677391771
38310,106.0,105.0,106.0,104.0,540900,KPIG,2020-12-03,105.64,,104.83333333333333,105.3,105.05577971304712
30899,106.0,105.0,106.0,104.0,1265800,KPIG,2020-12-04,105.59,,104.83333333333333,105.2,105.04338422125886
45709,106.0,105.0,106.0,103.0,1192100,KPIG,2020-12-07,105.54,,104.83333333333333,105.1,105.03374328320133
91853,106.0,104.0,106.0,103.0,1347100,KPIG,2020-12-08,105.47,,104.8,104.9,104.80402255360103
125609,105.0,105.0,105.0,103.0,1450900,KPIG,2020-12-10,105.42,,104.83333333333333,104.9,104.84757309724525
40778,106.0,104.0,106.0,103.0,1073600,KPIG,2020-12-11,105.36,,104.8,104.8,104.65922352007964
72091,105.0,103.0,105.0,102.0,1603000,KPIG,2020-12-14,105.29,,104.76666666666667,104.6,104.29050718228416
109976,104.0,104.0,104.0,102.0,837400,KPIG,2020-12-15,105.23,,104.76666666666667,104.5,104.22595003066546
127263,105.0,108.0,112.0,102.0,17970500,KPIG,2020-12-16,105.21,,104.86666666666666,104.8,105.06462780162869
63015,110.0,108.0,110.0,105.0,3234900,KPIG,2020-12-17,105.2,,104.9,105.1,105.71693273460009
97643,109.0,106.0,111.0,105.0,6152600,KPIG,2020-12-18,105.16,,104.93333333333334,105.2,105.77983657135563
112439,107.0,106.0,108.0,105.0,3225300,KPIG,2020-12-21,105.12,,105.0,105.3,105.82876177772104
33359,107.0,105.0,107.0,105.0,2068800,KPIG,2020-12-22,105.09,,105.03333333333333,105.3,105.64459249378304
95160,106.0,105.0,106.0,103.0,1785300,KPIG,2020-12-23,105.05,,105.06666666666666,105.4,105.5013497173868
