,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
37488,168.0,168.0,168.0,168.0,1053200,LABA,2021-06-10,,,,,
38335,226.0,226.0,226.0,226.0,21930800,LABA,2021-06-11,,,,,
39182,244.0,212.0,244.0,212.0,15373300,LABA,2021-06-14,,,,,
40029,198.0,202.0,210.0,198.0,10691800,LABA,2021-06-15,,,,,
40876,200.0,202.0,220.0,190.0,12973600,LABA,2021-06-16,,,,,
41723,204.0,232.0,252.0,196.0,25698400,LABA,2021-06-17,,,,,
42570,234.0,218.0,246.0,216.0,10586400,LABA,2021-06-18,,,,,
43417,222.0,228.0,242.0,204.0,12623500,LABA,2021-06-21,,,,,211.0
44264,230.0,232.0,240.0,222.0,7960400,LABA,2021-06-22,,,,,215.66666666666666
45111,232.0,230.0,240.0,224.0,12898900,LABA,2021-06-23,,,,215.0,218.85185185185185
45958,232.0,224.0,240.0,220.0,21962800,LABA,2021-06-24,,,,220.6,219.99588477366254
46805,220.0,222.0,228.0,220.0,1644800,LABA,2021-06-25,,,,220.2,220.44124371284863
47653,222.0,224.0,228.0,220.0,8298400,LABA,2021-06-28,,,,221.4,221.2320784433267
48499,224.0,220.0,228.0,218.0,10225800,LABA,2021-06-29,,,,223.2,220.95828323369855
49294,222.0,222.0,222.0,212.0,15275900,LABA,2021-06-30,,,,225.2,221.18977584843222
50145,222.0,218.0,224.0,212.0,17652600,LABA,2021-07-01,,,,223.8,220.48093677100283
50996,218.0,222.0,226.0,212.0,23395900,LABA,2021-07-02,,,,224.2,220.81850637744665
51847,222.0,224.0,228.0,218.0,12988500,LABA,2021-07-05,,,,223.8,221.52550496023628
52699,224.0,218.0,226.0,216.0,8182000,LABA,2021-07-06,,,,222.4,220.7420594135171
54361,222.0,228.0,232.0,220.0,14012800,LABA,2021-07-08,,,,222.2,222.35493509940218
55212,226.0,284.0,284.0,226.0,7291800,LABA,2021-07-09,,,,228.2,236.05383841064614
56065,302.0,298.0,322.0,282.0,36707700,LABA,2021-07-12,,,,235.8,249.8196520971692
56918,300.0,300.0,300.0,290.0,14581300,LABA,2021-07-13,,,,243.4,260.9708405200205
57771,300.0,374.0,374.0,296.0,35279500,LABA,2021-07-14,,,,258.8,286.0884315155715
58624,376.0,404.0,432.0,366.0,36478100,LABA,2021-07-15,,,,277.0,312.2910022898889
59477,404.0,400.0,408.0,392.0,13264100,LABA,2021-07-16,,,,295.2,331.7818906699136
60329,402.0,426.0,438.0,400.0,24243200,LABA,2021-07-19,,,,315.6,352.7192482988217
61181,428.0,420.0,428.0,414.0,11183100,LABA,2021-07-21,,,,335.2,367.6705264546391
62033,420.0,418.0,426.0,418.0,8703800,LABA,2021-07-22,,,,355.2,378.85485390916375
62885,420.0,418.0,422.0,418.0,2954700,LABA,2021-07-23,,,270.46666666666664,374.2,387.5537752626829
63737,418.0,434.0,434.0,416.0,20446500,LABA,2021-07-26,,,279.3333333333333,389.2,397.8751585376423
64589,434.0,436.0,442.0,430.0,13341100,LABA,2021-07-27,,,286.3333333333333,403.0,406.34734552927733
65443,434.0,432.0,440.0,430.0,18339100,LABA,2021-07-28,,,293.6666666666667,416.2,412.04793541166015
66297,432.0,430.0,434.0,422.0,12243300,LABA,2021-07-29,,,301.26666666666665,421.8,416.03728309795787
67151,430.0,440.0,452.0,428.0,21512500,LABA,2021-07-30,,,309.2,425.4,421.3623312984117
68005,460.0,460.0,466.0,438.0,26964400,LABA,2021-08-02,,,316.8,431.4,429.9484798987646
68859,460.0,464.0,468.0,450.0,21532800,LABA,2021-08-03,,,325.0,435.2,437.5154843657058
69713,464.0,580.0,580.0,462.0,44915900,LABA,2021-08-04,,,336.73333333333335,451.2,469.1787100622156
70567,600.0,575.0,600.0,540.0,18057900,LABA,2021-08-05,,,348.1666666666667,466.9,492.6945522706121
71422,575.0,715.0,715.0,550.0,47609400,LABA,2021-08-06,,,364.3333333333333,496.6,542.0957628771428
72277,715.0,715.0,715.0,715.0,0,LABA,2021-08-09,,,380.7,524.7,580.5189266822222
73132,715.0,725.0,770.0,705.0,29657400,LABA,2021-08-10,,,397.46666666666664,553.6,612.6258318639506
73987,725.0,755.0,760.0,715.0,26960300,LABA,2021-08-12,,,415.1666666666667,585.9,644.2645358941837
74842,745.0,730.0,755.0,720.0,16732900,LABA,2021-08-13,,,432.1666666666667,615.9,663.3168612510318
75697,730.0,705.0,730.0,700.0,10483600,LABA,2021-08-16,,,448.26666666666665,642.4,672.5797809730248
76552,725.0,715.0,725.0,700.0,15641300,LABA,2021-08-18,,,464.8333333333333,667.9,682.0064963123526
77407,715.0,710.0,735.0,700.0,17876300,LABA,2021-08-19,,,481.1,692.5,688.2272749096076
78262,710.0,710.0,720.0,685.0,18402400,LABA,2021-08-20,,,497.3,705.5,693.0656582630281
79117,710.0,720.0,740.0,705.0,12541300,LABA,2021-08-23,,,514.0333333333333,720.0,699.0510675379107
79972,720.0,670.0,745.0,670.0,25712300,LABA,2021-08-24,,,528.7666666666667,715.5,692.5952747517083
80827,670.0,700.0,730.0,665.0,22719600,LABA,2021-08-25,,,542.6333333333333,714.0,694.2407692513286
81682,695.0,710.0,750.0,695.0,22437900,LABA,2021-08-26,,,556.3666666666667,712.5,697.7428205288112
82537,710.0,700.0,735.0,690.0,21911400,LABA,2021-08-27,,,569.7,707.0,698.2444159668531
83392,700.0,705.0,710.0,670.0,15947500,LABA,2021-08-30,,,580.7333333333333,704.5,699.745656863108
84247,705.0,660.0,715.0,660.0,16575500,LABA,2021-08-31,,,589.2666666666667,700.0,690.9132886713062
85103,685.0,615.0,685.0,615.0,5095300,LABA,2021-09-01,,,596.4333333333333,690.0,674.0436689665714
85959,615.0,575.0,615.0,575.0,1884700,LABA,2021-09-02,,,601.4,676.5,652.0339647517778
86815,575.0,535.0,575.0,535.0,3635400,LABA,2021-09-03,,,605.2333333333333,659.0,626.0264170291605
87673,500.0,498.0,500.0,498.0,1083800,LABA,2021-09-06,,,607.9,636.8,597.5761021337914
88533,464.0,464.0,472.0,464.0,10786800,LABA,2021-09-07,,,609.4333333333333,616.2,567.8925238818377
89396,432.0,432.0,432.0,432.0,280600,LABA,2021-09-08,,,609.3666666666667,589.4,537.6941852414294
90264,402.0,402.0,402.0,402.0,2396300,LABA,2021-09-09,,,608.2333333333333,558.6,507.5399218544451
91132,374.0,374.0,374.0,374.0,750300,LABA,2021-09-10,,,606.3,526.0,477.8643836645684
92000,348.0,348.0,348.0,348.0,154900,LABA,2021-09-13,,,603.5666666666667,490.3,449.00563173910876
92868,324.0,324.0,324.0,324.0,1679500,LABA,2021-09-14,,,599.7,456.7,421.22660246375125
93736,302.0,302.0,302.0,302.0,2605800,LABA,2021-09-15,,,594.4333333333333,425.4,394.73180191625096
94604,286.0,300.0,352.0,282.0,104700000,LABA,2021-09-16,,,588.9666666666667,397.9,373.6802903793063
95472,300.0,288.0,314.0,286.0,34389100,LABA,2021-09-17,,,579.2333333333333,373.2,354.6402258505716
96340,290.0,286.0,292.0,268.0,25156400,LABA,2021-09-20,,,569.6,352.0,339.3868423282224
97208,284.0,268.0,284.0,266.0,7594900,LABA,2021-09-21,,,554.7,332.4,323.5230995886174
98077,268.0,254.0,272.0,250.0,23787500,LABA,2021-09-22,,,539.3333333333334,314.6,308.073521902258
98946,256.0,274.0,282.0,254.0,39898300,LABA,2021-09-23,,,524.3,301.8,300.5016281462007
99815,274.0,278.0,282.0,258.0,32474600,LABA,2021-09-24,,,508.4,292.2,295.50126633593385
100683,276.0,260.0,278.0,260.0,14799000,LABA,2021-09-27,,,492.73333333333335,283.4,287.6120960390597
101551,256.0,242.0,260.0,242.0,3429200,LABA,2021-09-28,,,477.3,275.2,277.47607469704644
102419,242.0,230.0,242.0,226.0,6105500,LABA,2021-09-29,,,461.1333333333333,268.0,266.9258358754806
103287,232.0,220.0,232.0,214.0,9550800,LABA,2021-09-30,,,444.8,260.0,256.497872347596
104154,220.0,210.0,220.0,206.0,14146800,LABA,2021-10-01,,,428.1333333333333,252.2,246.165011825908
105021,210.0,228.0,244.0,210.0,52902600,LABA,2021-10-04,,,411.73333333333335,246.4,242.12834253126178
105888,228.0,246.0,252.0,222.0,54031400,LABA,2021-10-05,,,397.6,244.2,242.98871085764804
106755,246.0,242.0,250.0,232.0,35961900,LABA,2021-10-06,,,382.3333333333333,243.0,242.76899733372625
107622,236.0,238.0,248.0,228.0,30949100,LABA,2021-10-07,,,366.6,239.4,241.70922014845374
108489,238.0,224.0,244.0,222.0,37636900,LABA,2021-10-08,,,350.73333333333335,234.0,237.7738378932418
109355,226.0,222.0,226.0,214.0,23160900,LABA,2021-10-11,,,334.6333333333333,230.2,234.2685405836325
110221,222.0,232.0,234.0,214.0,47805100,LABA,2021-10-12,,,320.3666666666667,229.2,233.7644204539364
111087,232.0,230.0,234.0,224.0,35467900,LABA,2021-10-13,,,307.53333333333336,229.2,232.92788257528386
111953,230.0,220.0,234.0,214.0,54911700,LABA,2021-10-14,,,295.7,229.2,230.05501978077635
112819,222.0,214.0,222.0,208.0,35041000,LABA,2021-10-15,,,285.0,229.6,226.4872376072705
113685,214.0,212.0,218.0,210.0,29531400,LABA,2021-10-18,,,275.46666666666664,228.0,223.2678514723215
114551,212.0,206.0,214.0,202.0,38882600,LABA,2021-10-19,,,266.8666666666667,224.0,219.43055114513893
115417,206.0,204.0,212.0,199.0,26794800,LABA,2021-10-21,,,259.26666666666665,220.2,216.0015397795525
116282,206.0,204.0,208.0,197.0,32484800,LABA,2021-10-22,,,252.66666666666666,216.8,213.33453093965196
117149,204.0,210.0,210.0,200.0,49386300,LABA,2021-10-25,,,247.2,215.4,212.59352406417375
118017,210.0,202.0,218.0,202.0,62084000,LABA,2021-10-26,,,242.33333333333334,213.4,210.23940760546847
118885,204.0,206.0,210.0,202.0,30908600,LABA,2021-10-27,,,238.4,210.8,209.29731702647547
119753,208.0,206.0,208.0,199.0,42402400,LABA,2021-10-28,,,235.2,208.4,208.56457990948093
120621,206.0,202.0,210.0,199.0,32173100,LABA,2021-10-29,,,231.93333333333334,206.6,207.10578437404072
121489,204.0,204.0,206.0,197.0,27406700,LABA,2021-11-01,,,229.13333333333333,205.6,206.41561006869833
122356,204.0,206.0,214.0,199.0,39260600,LABA,2021-11-02,,,226.46666666666667,205.0,206.32325227565426
123223,206.0,200.0,210.0,199.0,55609400,LABA,2021-11-03,364.47,,224.2,204.4,204.91808510328664
124090,200.0,198.0,206.0,196.0,35731500,LABA,2021-11-04,364.77,,222.33333333333334,203.8,203.38073285811183
124957,198.0,199.0,202.0,193.0,44568100,LABA,2021-11-05,364.5,,219.83333333333334,203.3,202.4072366674203
125824,200.0,202.0,206.0,197.0,52410400,LABA,2021-11-08,364.4,,217.3,202.5,202.3167396302158
126690,202.0,208.0,212.0,199.0,71654300,LABA,2021-11-09,364.46,,215.56666666666666,203.1,203.57968637905674
127556,208.0,202.0,210.0,198.0,71700300,LABA,2021-11-10,364.46,,214.23333333333332,202.7,203.22864496148858
128422,202.0,196.0,206.0,194.0,66528900,LABA,2021-11-11,364.1,,213.1,201.7,201.62227941449112
129288,196.0,202.0,202.0,195.0,60315700,LABA,2021-11-12,363.94,,212.5,201.7,201.70621732238197
130155,202.0,194.0,202.0,194.0,28146300,LABA,2021-11-15,363.6,,211.96666666666667,200.7,199.99372458407487
