,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
427,256.0,256.0,270.0,252.0,43500,LCKM,2021-04-01,,,,,
1267,260.0,278.0,280.0,260.0,39000,LCKM,2021-04-05,,,,,
2107,278.0,260.0,278.0,260.0,2300,LCKM,2021-04-06,,,,,
2947,258.0,254.0,258.0,242.0,42900,LCKM,2021-04-07,,,,,
3789,254.0,254.0,254.0,254.0,1500,LCKM,2021-04-08,,,,,
4633,250.0,280.0,288.0,250.0,23400,LCKM,2021-04-09,,,,,
5476,300.0,262.0,300.0,262.0,9600,LCKM,2021-04-12,,,,,
6320,250.0,248.0,254.0,248.0,7700,LCKM,2021-04-13,,,,,261.5
7164,248.0,260.0,268.0,248.0,1100,LCKM,2021-04-14,,,,,261.1666666666667
8009,260.0,248.0,260.0,248.0,700,LCKM,2021-04-15,,,,260.0,258.24074074074076
8853,268.0,250.0,268.0,250.0,1500,LCKM,2021-04-16,,,,259.4,256.40946502057614
9697,250.0,250.0,250.0,250.0,1600,LCKM,2021-04-19,,,,256.6,254.9851394604481
10541,250.0,254.0,262.0,250.0,400,LCKM,2021-04-20,,,,256.0,254.76621958034852
11385,254.0,278.0,278.0,254.0,8800,LCKM,2021-04-21,,,,258.4,259.92928189582665
12229,262.0,260.0,262.0,260.0,1500,LCKM,2021-04-22,,,,259.0,259.9449970300874
13073,260.0,260.0,260.0,260.0,0,LCKM,2021-04-23,,,,257.0,259.9572199122902
13916,252.0,252.0,252.0,252.0,600,LCKM,2021-04-26,,,,256.0,258.1889488206702
14759,254.0,266.0,274.0,254.0,24800,LCKM,2021-04-27,,,,257.8,259.9247379716324
15603,274.0,274.0,274.0,274.0,1000,LCKM,2021-04-28,,,,259.2,263.05257397793633
16447,272.0,256.0,272.0,256.0,15100,LCKM,2021-04-29,,,,260.0,261.4853353161727
17291,256.0,248.0,262.0,244.0,4600,LCKM,2021-04-30,,,,259.8,258.488594134801
18134,248.0,252.0,296.0,248.0,38200,LCKM,2021-05-03,,,,260.0,257.04668432706745
18977,252.0,252.0,278.0,248.0,21800,LCKM,2021-05-04,,,,259.8,255.92519892105247
19819,258.0,266.0,296.0,258.0,59500,LCKM,2021-05-05,,,,258.6,258.16404360526303
20663,266.0,268.0,296.0,266.0,20000,LCKM,2021-05-06,,,,259.4,260.34981169298237
21507,268.0,268.0,268.0,268.0,0,LCKM,2021-05-07,,,,260.2,262.04985353898627
22351,268.0,254.0,268.0,252.0,1700,LCKM,2021-05-10,,,,260.4,260.2609971969893
23194,254.0,260.0,270.0,254.0,700,LCKM,2021-05-11,,,,259.8,260.2029978198806
24036,260.0,270.0,290.0,252.0,31300,LCKM,2021-05-17,,,,259.4,262.3801094154627
24876,256.0,254.0,276.0,254.0,7900,LCKM,2021-05-18,,,259.73333333333335,259.2,260.5178628786932
25716,246.0,278.0,288.0,246.0,67900,LCKM,2021-05-19,,,260.46666666666664,262.2,264.4027822389836
26628,260.0,264.0,278.0,260.0,14200,LCKM,2021-05-20,,,260.0,263.4,264.31327507476504
27440,272.0,310.0,330.0,262.0,110500,LCKM,2021-05-21,,,261.6666666666667,269.2,274.46588061370613
28282,328.0,324.0,328.0,312.0,21100,LCKM,2021-05-24,,,264.0,275.0,285.4734626995492
29124,324.0,332.0,338.0,324.0,6800,LCKM,2021-05-25,,,266.6,281.4,295.8126932107605
29915,310.0,310.0,310.0,310.0,10200,LCKM,2021-05-27,,,267.6,285.6,298.9654280528137
30757,290.0,290.0,290.0,290.0,11200,LCKM,2021-05-28,,,268.53333333333336,289.2,296.973110707744
31599,270.0,298.0,332.0,270.0,94600,LCKM,2021-05-31,,,270.2,293.0,297.2013083282453
32441,298.0,288.0,298.0,288.0,28800,LCKM,2021-06-02,,,271.1333333333333,294.8,295.1565731441908
33282,300.0,290.0,328.0,284.0,21900,LCKM,2021-06-03,,,272.53333333333336,298.4,294.0106680010373
34123,290.0,308.0,310.0,290.0,10800,LCKM,2021-06-04,,,274.46666666666664,301.4,297.1194084452512
34964,308.0,290.0,308.0,290.0,3300,LCKM,2021-06-07,,,275.8,304.0,295.53731767963984
35805,290.0,290.0,290.0,290.0,19500,LCKM,2021-06-08,,,277.0,302.0,294.3068026397199
36648,292.0,296.0,296.0,292.0,600,LCKM,2021-06-09,,,277.6,299.2,294.6830687197821
37493,296.0,296.0,296.0,296.0,0,LCKM,2021-06-10,,,278.8,295.6,294.9757201153861
38340,300.0,310.0,310.0,296.0,1200,LCKM,2021-06-11,,,280.46666666666664,295.6,298.3144489786336
39187,310.0,310.0,310.0,310.0,5100,LCKM,2021-06-14,,,282.4,297.6,300.91123809449283
40034,308.0,308.0,308.0,308.0,100,LCKM,2021-06-15,,,283.8,298.6,302.48651851793886
40881,308.0,308.0,308.0,308.0,0,LCKM,2021-06-16,,,284.93333333333334,300.6,303.71173662506357
41728,308.0,308.0,308.0,308.0,1100,LCKM,2021-06-17,,,286.6666666666667,302.4,304.6646840417161
42575,308.0,308.0,308.0,308.0,100,LCKM,2021-06-18,,,288.6666666666667,302.4,305.40586536577916
43422,306.0,306.0,306.0,306.0,100,LCKM,2021-06-21,,,290.46666666666664,304.0,305.5378952844949
44269,306.0,286.0,306.0,286.0,700,LCKM,2021-06-22,,,291.6,303.6,301.19614077682934
45116,268.0,300.0,300.0,268.0,13300,LCKM,2021-06-23,,,292.73333333333335,304.0,300.9303317153117
45963,304.0,298.0,304.0,298.0,3600,LCKM,2021-06-24,,,293.73333333333335,304.2,300.2791468896869
46810,298.0,296.0,300.0,296.0,7700,LCKM,2021-06-25,,,294.6666666666667,302.8,299.32822535864534
47658,296.0,288.0,296.0,288.0,300,LCKM,2021-06-28,,,295.8,300.6,296.81084194561305
48503,288.0,286.0,288.0,270.0,1500,LCKM,2021-06-29,,,296.6666666666667,298.4,294.40843262436573
49299,286.0,268.0,286.0,266.0,9000,LCKM,2021-06-30,,,296.6,294.4,288.53989204117335
50150,268.0,268.0,268.0,268.0,0,LCKM,2021-07-01,,,297.06666666666666,290.4,283.97547158757925
51001,270.0,268.0,300.0,250.0,65700,LCKM,2021-07-02,,,296.73333333333335,286.4,280.4253667903394
51852,268.0,268.0,268.0,268.0,400,LCKM,2021-07-05,,,296.8666666666667,282.6,277.664174170264
52704,268.0,260.0,298.0,250.0,58900,LCKM,2021-07-06,,,295.2,280.0,273.73880213242757
53543,290.0,290.0,290.0,288.0,2700,LCKM,2021-07-07,,,294.06666666666666,279.0,277.35240165855475
54366,294.0,292.0,294.0,290.0,16600,LCKM,2021-07-08,,,292.73333333333335,278.4,280.60742351220927
55217,292.0,296.0,296.0,272.0,14600,LCKM,2021-07-09,,,292.26666666666665,278.4,284.02799606505164
56070,296.0,296.0,296.0,296.0,100,LCKM,2021-07-12,,,292.46666666666664,279.2,286.68844138392905
56923,296.0,296.0,302.0,296.0,19700,LCKM,2021-07-13,,,292.4,280.2,288.75767663194483
57776,296.0,300.0,310.0,280.0,4500,LCKM,2021-07-14,,,292.8,283.4,291.2559707137349
58629,298.0,306.0,306.0,298.0,20100,LCKM,2021-07-15,,,293.3333333333333,287.2,294.53242166623824
59482,306.0,304.0,306.0,304.0,18900,LCKM,2021-07-16,,,293.2,290.8,296.63632796262976
60334,304.0,310.0,310.0,304.0,15700,LCKM,2021-07-19,,,293.8666666666667,295.0,299.60603285982313
61186,310.0,310.0,310.0,310.0,5100,LCKM,2021-07-21,,,294.53333333333336,300.0,301.915803335418
62038,310.0,310.0,310.0,310.0,5000,LCKM,2021-07-22,,,295.0,302.0,303.7122914831029
62890,308.0,310.0,310.0,308.0,5500,LCKM,2021-07-23,,,295.46666666666664,303.8,305.10956004241336
63742,310.0,310.0,310.0,310.0,11000,LCKM,2021-07-26,,,295.46666666666664,305.2,306.1963244774326
64594,310.0,310.0,310.0,310.0,0,LCKM,2021-07-27,,,295.46666666666664,306.6,307.0415857046698
65448,310.0,310.0,310.0,310.0,9400,LCKM,2021-07-28,,,295.53333333333336,308.0,307.6990111036321
66302,310.0,310.0,310.0,310.0,100,LCKM,2021-07-29,,,295.6,309.0,308.2103419694916
67156,310.0,310.0,310.0,310.0,0,LCKM,2021-07-30,,,295.6666666666667,309.4,308.608043754049
68010,290.0,290.0,290.0,290.0,1000,LCKM,2021-08-02,,,295.06666666666666,308.0,304.47292291981586
68864,290.0,300.0,304.0,272.0,21900,LCKM,2021-08-03,,,294.8666666666667,307.0,303.47894004874564
69718,280.0,284.0,284.0,280.0,5100,LCKM,2021-08-04,,,294.8,304.4,299.15028670457997
70572,278.0,280.0,298.0,278.0,11000,LCKM,2021-08-05,,,294.1333333333333,301.4,294.89466743689553
71427,276.0,284.0,284.0,276.0,29000,LCKM,2021-08-06,,,293.6666666666667,298.8,292.47363022869655
72282,280.0,294.0,294.0,280.0,2700,LCKM,2021-08-09,,,293.6,297.2,292.8128235112084
73137,294.0,294.0,294.0,294.0,100,LCKM,2021-08-10,,,293.8,295.6,293.0766405087177
73992,306.0,302.0,306.0,300.0,5800,LCKM,2021-08-12,,,294.3333333333333,294.8,295.0596092845582
74847,302.0,302.0,302.0,302.0,0,LCKM,2021-08-13,,,295.46666666666664,294.0,296.60191833243414
75702,302.0,302.0,302.0,302.0,100,LCKM,2021-08-16,,,296.6,293.2,297.80149203633766
76557,300.0,298.0,302.0,298.0,13000,LCKM,2021-08-18,,,297.6,294.0,297.8456049171515
77412,298.0,300.0,300.0,298.0,4500,LCKM,2021-08-19,,,298.6666666666667,294.0,298.32435938000674
78267,300.0,300.0,300.0,300.0,2300,LCKM,2021-08-20,,,300.0,295.6,298.69672396222745
