,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124010,2260.0,2180.0,2270.0,2160.0,1860500,LINK,2020-07-01,,,,,
131431,2190.0,2280.0,2330.0,2180.0,1793200,LINK,2020-07-02,,,,,
105105,2300.0,2280.0,2330.0,2280.0,1108100,LINK,2020-07-03,,,,,
86964,2320.0,2270.0,2400.0,2230.0,2210600,LINK,2020-07-06,,,,,
34193,2260.0,2190.0,2300.0,2180.0,2599100,LINK,2020-07-07,,,,,
49038,2200.0,2130.0,2240.0,2130.0,3735500,LINK,2020-07-08,,,,,
117433,2130.0,2100.0,2160.0,2080.0,2699000,LINK,2020-07-09,,,,,
23489,2110.0,2050.0,2110.0,2040.0,1835100,LINK,2020-07-10,,,,,2185.0
15253,2050.0,2010.0,2060.0,2000.0,1861800,LINK,2020-07-13,,,,,2146.1111111111113
31731,2010.0,2060.0,2160.0,2010.0,2295300,LINK,2020-07-14,,,,2155.0,2126.9753086419755
92736,2070.0,2030.0,2100.0,2030.0,1862400,LINK,2020-07-15,,,,2140.0,2105.42524005487
21844,2040.0,2030.0,2060.0,2020.0,703900,LINK,2020-07-16,,,,2115.0,2088.664075598232
107542,2030.0,2040.0,2070.0,2030.0,862400,LINK,2020-07-17,,,,2091.0,2077.8498365764026
80376,2050.0,2040.0,2100.0,2040.0,1215800,LINK,2020-07-20,,,,2068.0,2069.4387617816465
105913,2050.0,2040.0,2060.0,2040.0,1518100,LINK,2020-07-21,,,,2053.0,2062.8968147190585
96856,2050.0,2030.0,2080.0,2030.0,1581600,LINK,2020-07-22,,,,2043.0,2055.5864114481565
8662,2040.0,2020.0,2050.0,2010.0,1672300,LINK,2020-07-23,,,,2035.0,2047.6783200152329
104291,2030.0,2000.0,2040.0,1995.0,2072100,LINK,2020-07-24,,,,2030.0,2037.0831377896257
57287,2010.0,1975.0,2030.0,1950.0,2998400,LINK,2020-07-27,,,,2026.5,2023.2868849474867
41610,1975.0,1955.0,1995.0,1950.0,1552500,LINK,2020-07-28,,,,2016.0,2008.112021625823
114144,1955.0,1900.0,1960.0,1895.0,2505500,LINK,2020-07-29,,,,2003.0,1984.0871279311957
82830,1900.0,1905.0,1920.0,1900.0,1517400,LINK,2020-07-30,,,,1990.5,1966.5122106131523
120730,1910.0,1805.0,1920.0,1775.0,2590800,LINK,2020-08-03,,,,1967.0,1930.620608254674
7025,1805.0,1875.0,1930.0,1790.0,2771500,LINK,2020-08-04,,,,1950.5,1918.2604730869687
55643,1875.0,1875.0,1895.0,1835.0,2830100,LINK,2020-08-05,,,,1934.0,1908.647034623198
72132,1880.0,1950.0,2000.0,1880.0,7110500,LINK,2020-08-06,,,,1926.0,1917.8365824847094
44081,1960.0,1925.0,1975.0,1915.0,1351400,LINK,2020-08-07,,,,1916.5,1919.4284530436628
101812,1925.0,1910.0,1940.0,1900.0,1575300,LINK,2020-08-10,,,,1907.5,1917.3332412561822
54827,1920.0,1945.0,1975.0,1920.0,2260800,LINK,2020-08-11,,,,1904.5,1923.4814098659194
123193,1950.0,1935.0,1960.0,1925.0,1050600,LINK,2020-08-12,,,2024.5,1902.5,1926.0410965623819
64708,1940.0,1920.0,1945.0,1920.0,1068400,LINK,2020-08-13,,,2015.8333333333333,1904.5,1924.6986306596305
90279,1920.0,1905.0,1920.0,1890.0,901500,LINK,2020-08-14,,,2003.3333333333333,1904.5,1920.3211571797126
63064,1905.0,1895.0,1910.0,1880.0,1012100,LINK,2020-08-18,,,1990.5,1913.5,1914.6942333619986
91920,1900.0,1915.0,1920.0,1900.0,711900,LINK,2020-08-19,,,1978.6666666666667,1917.5,1914.7621815037767
10310,1915.0,1905.0,1925.0,1895.0,1025800,LINK,2020-08-24,,,1969.1666666666667,1920.5,1912.5928078362708
132239,1905.0,1905.0,1915.0,1890.0,777100,LINK,2020-08-25,,,1961.6666666666667,1916.0,1910.9055172059884
106726,1910.0,1885.0,1915.0,1885.0,1780400,LINK,2020-08-26,,,1954.5,1912.0,1905.1487356046578
3730,1890.0,1870.0,1890.0,1870.0,1661200,LINK,2020-08-27,,,1948.5,1908.0,1897.3379054702893
81188,1870.0,1855.0,1880.0,1850.0,1955100,LINK,2020-08-28,,,1943.3333333333333,1899.0,1887.9294820324474
27609,1855.0,1825.0,1860.0,1805.0,3570800,LINK,2020-08-31,,,1935.5,1888.0,1873.9451526919036
35004,1850.0,2130.0,2220.0,1840.0,29491400,LINK,2020-09-01,,,1938.8333333333333,1909.0,1930.8462298714805
39142,2190.0,2150.0,2200.0,2110.0,20569200,LINK,2020-09-02,,,1942.8333333333333,1933.5,1979.5470676778182
70479,2160.0,2220.0,2270.0,2140.0,18658700,LINK,2020-09-03,,,1948.8333333333333,1966.0,2032.981052638303
12785,2200.0,2220.0,2250.0,2130.0,9863900,LINK,2020-09-04,,,1954.8333333333333,1996.5,2074.54081871868
26791,2240.0,2220.0,2280.0,2200.0,4019800,LINK,2020-09-07,,,1960.8333333333333,2028.0,2106.86508122564
110838,2240.0,2220.0,2250.0,2180.0,3297700,LINK,2020-09-08,,,1967.1666666666667,2059.5,2132.006174286609
124819,2210.0,2140.0,2220.0,2120.0,3166400,LINK,2020-09-09,,,1971.1666666666667,2085.0,2133.782580000696
7840,2140.0,2010.0,2140.0,1995.0,4190300,LINK,2020-09-10,,,1971.5,2099.0,2106.2753400005413
17717,2020.0,2040.0,2100.0,1900.0,5237200,LINK,2020-09-11,,,1973.6666666666667,2117.5,2091.5474866670875
44899,2050.0,2070.0,2100.0,2040.0,2532300,LINK,2020-09-14,,,1977.5,2142.0,2086.7591562966236
68006,2080.0,2010.0,2100.0,1995.0,1984000,LINK,2020-09-15,,,1981.1666666666667,2130.0,2069.701566008485
1252,2020.0,1995.0,2020.0,1975.0,1372500,LINK,2020-09-16,,,1984.1666666666667,2114.5,2053.1012180065995
58104,1995.0,1985.0,2020.0,1985.0,577600,LINK,2020-09-17,,,1990.1666666666667,2091.0,2037.9676140051329
63884,1985.0,1990.0,2030.0,1985.0,575500,LINK,2020-09-18,,,1994.0,2068.0,2027.3081442262144
73776,2000.0,1915.0,2000.0,1890.0,1239600,LINK,2020-09-21,,,1995.3333333333333,2037.5,2002.3507788426111
102632,1915.0,1880.0,1920.0,1840.0,902000,LINK,2020-09-22,,,1993.0,2003.5,1975.1617168775865
78729,1880.0,1855.0,1915.0,1820.0,2046900,LINK,2020-09-23,,,1990.6666666666667,1975.0,1948.4591131270117
67179,1855.0,1815.0,1855.0,1800.0,1758000,LINK,2020-09-24,,,1987.5,1955.5,1918.8015324321202
99334,1815.0,1825.0,1840.0,1810.0,746100,LINK,2020-09-25,,,1983.5,1934.0,1897.9567474472046
61416,1830.0,1825.0,1850.0,1815.0,839700,LINK,2020-09-28,,,1979.8333333333333,1909.5,1881.7441369033813
16068,1825.0,1825.0,1865.0,1825.0,744000,LINK,2020-09-29,,,1976.6666666666667,1891.0,1869.13432870263
86141,1825.0,1765.0,1825.0,1755.0,2765300,LINK,2020-09-30,,,1972.0,1868.0,1845.9933667687121
94375,1770.0,1810.0,1825.0,1765.0,2188900,LINK,2020-10-01,,,1969.1666666666667,1850.5,1837.9948408201094
69658,1850.0,2010.0,2260.0,1830.0,36119200,LINK,2020-10-02,,,1972.3333333333333,1852.5,1876.2182095267517
11964,2040.0,2400.0,2400.0,2040.0,38840500,LINK,2020-10-05,,,1988.8333333333333,1901.0,1992.6141629652514
122371,2420.0,2240.0,2500.0,2240.0,32090400,LINK,2020-10-06,,,2000.0,1937.0,2047.5887934174177
21022,2240.0,2090.0,2270.0,2090.0,9827800,LINK,2020-10-07,,,2006.8333333333333,1960.5,2057.013505991325
19366,2110.0,2090.0,2190.0,2080.0,12148100,LINK,2020-10-08,,,2014.1666666666667,1988.0,2064.3438379932527
112497,2100.0,2100.0,2130.0,2080.0,2842300,LINK,2020-10-09,,,2022.3333333333333,2015.5,2072.2674295503075
28430,2120.0,2130.0,2220.0,2110.0,12859700,LINK,2020-10-12,,,2032.5,2046.0,2085.096889650239
77903,2130.0,2040.0,2130.0,2030.0,9049400,LINK,2020-10-13,,,2029.5,2067.5,2075.0753586168526
109186,2050.0,2120.0,2180.0,2010.0,9655300,LINK,2020-10-14,,,2028.5,2103.0,2085.058612257552
14431,2120.0,2170.0,2310.0,2110.0,26110600,LINK,2020-10-15,,,2026.8333333333333,2139.0,2103.934476200318
5379,2200.0,2130.0,2220.0,2130.0,7253700,LINK,2020-10-16,,,2023.8333333333333,2151.0,2109.7268148224694
426,2140.0,2140.0,2180.0,2120.0,3489900,LINK,2020-10-19,,,2021.1666666666667,2125.0,2116.454189306365
127302,2150.0,2100.0,2170.0,2090.0,4746200,LINK,2020-10-20,,,2017.1666666666667,2111.0,2112.7977027938396
76253,2080.0,2070.0,2130.0,2060.0,3708600,LINK,2020-10-21,,,2014.8333333333333,2109.0,2103.287102172986
30085,2080.0,2100.0,2140.0,2070.0,7732000,LINK,2020-10-22,,,2017.8333333333333,2110.0,2102.5566350234335
32545,2130.0,2080.0,2130.0,2080.0,3550200,LINK,2020-10-23,,,2019.1666666666667,2108.0,2097.5440494626705
58931,2080.0,2080.0,2130.0,2050.0,6844400,LINK,2020-10-26,,,2019.5,2103.0,2093.6453718042994
54005,2080.0,2100.0,2180.0,2060.0,10368000,LINK,2020-10-27,,,2022.5,2109.0,2095.057511403344
91098,2070.0,2130.0,2150.0,2070.0,5839600,LINK,2020-11-02,,,2027.0,2110.0,2102.8225088692675
85315,2150.0,2150.0,2200.0,2130.0,9729300,LINK,2020-11-03,,,2032.5,2108.0,2113.306395787208
6203,2150.0,2080.0,2170.0,2080.0,4042300,LINK,2020-11-04,,,2035.5,2103.0,2105.904974501162
18541,2110.0,2150.0,2190.0,2100.0,7988100,LINK,2020-11-05,,,2043.3333333333333,2104.0,2115.7038690564596
42425,2150.0,2120.0,2170.0,2100.0,6432900,LINK,2020-11-06,,,2051.3333333333335,2106.0,2116.6585648216906
93549,2130.0,2120.0,2190.0,2110.0,4709400,LINK,2020-11-09,,,2060.1666666666665,2111.0,2117.401105972426
2078,2150.0,2150.0,2160.0,2100.0,6529700,LINK,2020-11-10,,,2071.3333333333335,2116.0,2124.64530464522
24302,2160.0,2250.0,2310.0,2120.0,22291400,LINK,2020-11-11,,,2085.5,2133.0,2152.5019036129493
79554,2250.0,2160.0,2270.0,2150.0,10011400,LINK,2020-11-12,,,2096.6666666666665,2141.0,2154.168147254516
77078,2160.0,2160.0,2190.0,2140.0,5251300,LINK,2020-11-13,,,2107.8333333333335,2147.0,2155.4641145312903
75428,2190.0,2240.0,2250.0,2170.0,8709500,LINK,2020-11-16,,,2123.6666666666665,2158.0,2174.2498668576704
39963,2260.0,2300.0,2380.0,2240.0,16683000,LINK,2020-11-17,,,2140.0,2173.0,2202.1943408892994
16893,2310.0,2300.0,2330.0,2290.0,6195300,LINK,2020-11-18,,,2149.6666666666665,2195.0,2223.9289318027886
68833,2300.0,2310.0,2330.0,2280.0,4655300,LINK,2020-11-19,,,2146.6666666666665,2211.0,2243.0558358466133
82008,2330.0,2310.0,2350.0,2300.0,3436700,LINK,2020-11-20,,,2149.0,2230.0,2257.932316769588
72949,2310.0,2360.0,2390.0,2310.0,6738700,LINK,2020-11-23,,,2158.0,2254.0,2280.614024154124
114959,2380.0,2470.0,2490.0,2380.0,12933700,LINK,2020-11-24,,,2170.6666666666665,2286.0,2322.6997965643186
121545,2520.0,2610.0,2700.0,2500.0,23005900,LINK,2020-11-25,,,2187.6666666666665,2322.0,2386.5442862166924
60589,2620.0,2570.0,2640.0,2560.0,10613100,LINK,2020-11-26,2066.6,,2202.3333333333335,2363.0,2427.312222612983
13605,2570.0,2600.0,2640.0,2530.0,9005700,LINK,2020-11-27,2070.8,,2221.0,2407.0,2465.687284254542
119907,2600.0,2420.0,2650.0,2420.0,18404000,LINK,2020-11-30,2072.2,,2231.0,2425.0,2455.5345544201996
116610,2430.0,2550.0,2570.0,2400.0,13514800,LINK,2020-12-01,2074.9,,2243.6666666666665,2450.0,2476.5268756601554
119082,2550.0,2550.0,2600.0,2520.0,5723900,LINK,2020-12-02,2077.7,,2257.6666666666665,2475.0,2492.854236624565
38320,2570.0,2580.0,2610.0,2530.0,6195700,LINK,2020-12-03,2081.6,,2272.3333333333335,2502.0,2512.219961819106
30909,2590.0,2540.0,2590.0,2510.0,4035400,LINK,2020-12-04,2085.7,,2287.0,2525.0,2518.3933036370827
47387,2540.0,2610.0,2640.0,2540.0,6789900,LINK,2020-12-07,2090.8,,2305.0,2550.0,2538.7503472732865
95199,2620.0,2730.0,2730.0,2580.0,9224300,LINK,2020-12-08,2097.6,,2326.0,2576.0,2581.250270101445
128955,2740.0,2710.0,2840.0,2670.0,16008200,LINK,2020-12-10,2104.6,,2347.0,2586.0,2609.861321190013
40788,2770.0,2680.0,2770.0,2670.0,2950200,LINK,2020-12-11,2110.8,,2367.0,2597.0,2625.447694258899
74603,2700.0,2730.0,2750.0,2680.0,4022300,LINK,2020-12-14,2117.8,,2388.0,2610.0,2648.6815399791435
113322,2740.0,2660.0,2750.0,2580.0,6415000,LINK,2020-12-15,2124.1,,2405.6666666666665,2634.0,2651.1967533171114
130609,2660.0,2750.0,2750.0,2620.0,5778000,LINK,2020-12-16,2131.2,,2425.6666666666665,2654.0,2673.1530303577533
