,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
432,50.0,50.0,50.0,50.0,0,LMAS,2021-04-01,,,,,
1272,50.0,50.0,50.0,50.0,100,LMAS,2021-04-05,,,,,
2112,50.0,50.0,50.0,50.0,100,LMAS,2021-04-06,,,,,
2954,50.0,50.0,50.0,50.0,3000,LMAS,2021-04-07,,,,,
3796,50.0,50.0,50.0,50.0,2000,LMAS,2021-04-08,,,,,
4640,50.0,50.0,50.0,50.0,800,LMAS,2021-04-09,,,,,
5483,50.0,50.0,50.0,50.0,161400,LMAS,2021-04-12,,,,,
6327,50.0,50.0,50.0,50.0,0,LMAS,2021-04-13,,,,,50.0
7171,50.0,50.0,50.0,50.0,2900,LMAS,2021-04-14,,,,,50.0
8016,50.0,50.0,50.0,50.0,400,LMAS,2021-04-15,,,,50.0,50.0
8860,50.0,50.0,50.0,50.0,1300,LMAS,2021-04-16,,,,50.0,50.0
9704,50.0,50.0,50.0,50.0,0,LMAS,2021-04-19,,,,50.0,50.0
10548,50.0,50.0,50.0,50.0,10100,LMAS,2021-04-20,,,,50.0,50.0
11392,50.0,50.0,50.0,50.0,2700,LMAS,2021-04-21,,,,50.0,50.0
12236,50.0,50.0,57.0,50.0,51904300,LMAS,2021-04-22,,,,50.0,50.0
13080,50.0,50.0,53.0,50.0,10221200,LMAS,2021-04-23,,,,50.0,50.0
13923,50.0,50.0,52.0,50.0,4824700,LMAS,2021-04-26,,,,50.0,50.0
14766,50.0,50.0,51.0,50.0,2830600,LMAS,2021-04-27,,,,50.0,50.0
15610,50.0,50.0,50.0,50.0,34700,LMAS,2021-04-28,,,,50.0,50.0
16454,50.0,50.0,50.0,50.0,77600,LMAS,2021-04-29,,,,50.0,50.0
17298,50.0,50.0,50.0,50.0,17900,LMAS,2021-04-30,,,,50.0,50.0
18141,50.0,50.0,50.0,50.0,47800,LMAS,2021-05-03,,,,50.0,50.0
18984,50.0,50.0,50.0,50.0,2600,LMAS,2021-05-04,,,,50.0,50.0
19826,50.0,50.0,50.0,50.0,3100,LMAS,2021-05-05,,,,50.0,50.0
20670,50.0,50.0,50.0,50.0,78000,LMAS,2021-05-06,,,,50.0,50.0
21514,50.0,50.0,50.0,50.0,22200,LMAS,2021-05-07,,,,50.0,50.0
22358,50.0,50.0,50.0,50.0,21000,LMAS,2021-05-10,,,,50.0,50.0
23201,50.0,50.0,50.0,50.0,1000,LMAS,2021-05-11,,,,50.0,50.0
24043,50.0,50.0,50.0,50.0,224400,LMAS,2021-05-17,,,,50.0,50.0
24883,50.0,50.0,50.0,50.0,4000,LMAS,2021-05-18,,,50.0,50.0,50.0
25723,50.0,50.0,50.0,50.0,0,LMAS,2021-05-19,,,50.0,50.0,50.0
26635,50.0,50.0,50.0,50.0,10300,LMAS,2021-05-20,,,50.0,50.0,50.0
27447,50.0,50.0,50.0,50.0,8500,LMAS,2021-05-21,,,50.0,50.0,50.0
28289,50.0,50.0,50.0,50.0,105800,LMAS,2021-05-24,,,50.0,50.0,50.0
29131,50.0,50.0,50.0,50.0,10100,LMAS,2021-05-25,,,50.0,50.0,50.0
29922,50.0,50.0,50.0,50.0,2000,LMAS,2021-05-27,,,50.0,50.0,50.0
30764,50.0,50.0,50.0,50.0,2200,LMAS,2021-05-28,,,50.0,50.0,50.0
31606,50.0,50.0,50.0,50.0,100,LMAS,2021-05-31,,,50.0,50.0,50.0
32448,50.0,50.0,50.0,50.0,800,LMAS,2021-06-02,,,50.0,50.0,50.0
33289,50.0,50.0,50.0,50.0,3300,LMAS,2021-06-03,,,50.0,50.0,50.0
34130,50.0,50.0,50.0,50.0,4600,LMAS,2021-06-04,,,50.0,50.0,50.0
