,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120677,78.0,81.0,81.0,78.0,3100,LMPI,2020-07-01,,,,,
128098,80.0,79.0,80.0,76.0,7500,LMPI,2020-07-02,,,,,
101772,79.0,79.0,80.0,77.0,2000,LMPI,2020-07-03,,,,,
84465,78.0,80.0,80.0,78.0,10100,LMPI,2020-07-06,,,,,
34196,78.0,79.0,80.0,77.0,5800,LMPI,2020-07-07,,,,,
47373,77.0,81.0,81.0,76.0,31600,LMPI,2020-07-08,,,,,
114100,83.0,80.0,83.0,77.0,2000,LMPI,2020-07-09,,,,,
23492,76.0,81.0,81.0,76.0,2400,LMPI,2020-07-10,,,,,80.0
15256,80.0,80.0,80.0,76.0,3500,LMPI,2020-07-13,,,,,80.0
31734,76.0,80.0,80.0,76.0,25200,LMPI,2020-07-14,,,,80.0,80.0
89403,76.0,80.0,80.0,75.0,2800,LMPI,2020-07-15,,,,79.9,80.0
21847,80.0,79.0,80.0,76.0,6100,LMPI,2020-07-16,,,,79.9,79.77777777777777
104209,79.0,80.0,80.0,79.0,10200,LMPI,2020-07-17,,,,80.0,79.82716049382715
77877,77.0,78.0,78.0,75.0,78200,LMPI,2020-07-20,,,,79.8,79.42112482853223
102580,82.0,81.0,82.0,81.0,200,LMPI,2020-07-21,,,,80.0,79.77198597774729
93523,81.0,84.0,84.0,81.0,300,LMPI,2020-07-22,,,,80.3,80.711544649359
8665,84.0,84.0,84.0,84.0,0,LMPI,2020-07-23,,,,80.7,81.442312505057
100958,80.0,83.0,83.0,80.0,400,LMPI,2020-07-24,,,,80.9,81.788465281711
54788,82.0,83.0,83.0,82.0,400,LMPI,2020-07-27,,,,81.2,82.05769521910855
41613,83.0,83.0,83.0,83.0,0,LMPI,2020-07-28,,,,81.5,82.26709628152888
110811,82.0,82.0,82.0,78.0,1000,LMPI,2020-07-29,,,,81.7,82.20774155230023
80331,82.0,82.0,82.0,82.0,0,LMPI,2020-07-30,,,,82.0,82.16157676290018
117397,82.0,82.0,82.0,82.0,0,LMPI,2020-08-03,,,,82.2,82.12567081558903
7028,78.0,81.0,81.0,78.0,1600,LMPI,2020-08-04,,,,82.5,81.87552174545813
53144,81.0,82.0,82.0,80.0,8400,LMPI,2020-08-05,,,,82.6,81.90318357980077
