,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126518,3800.0,3800.0,3800.0,3800.0,0,LPGI,2020-07-01,,,,,
133939,3800.0,3800.0,3800.0,3800.0,0,LPGI,2020-07-02,,,,,
107613,3800.0,3800.0,3800.0,3800.0,12600,LPGI,2020-07-03,,,,,
89472,3800.0,3800.0,3800.0,3800.0,0,LPGI,2020-07-06,,,,,
34199,3750.0,3750.0,3750.0,3750.0,8800,LPGI,2020-07-07,,,,,
51546,3750.0,3750.0,3750.0,3750.0,0,LPGI,2020-07-08,,,,,
119941,3750.0,3750.0,3750.0,3750.0,0,LPGI,2020-07-09,,,,,
23495,3750.0,3750.0,3750.0,3750.0,0,LPGI,2020-07-10,,,,,3775.0
15259,3800.0,3800.0,3800.0,3800.0,3000,LPGI,2020-07-13,,,,,3780.5555555555557
31737,3800.0,3780.0,3800.0,3780.0,269000,LPGI,2020-07-14,,,,3778.0,3780.4320987654323
95244,3780.0,3780.0,3780.0,3780.0,18700,LPGI,2020-07-15,,,,3776.0,3780.3360768175585
21850,3800.0,3800.0,3800.0,3800.0,2100,LPGI,2020-07-16,,,,3776.0,3784.7058375247675
110050,3800.0,3800.0,3800.0,3800.0,25200,LPGI,2020-07-17,,,,3776.0,3788.1045402970412
82884,3800.0,3800.0,3800.0,3800.0,6800,LPGI,2020-07-20,,,,3776.0,3790.7479757865876
108421,3780.0,3780.0,3780.0,3780.0,1100,LPGI,2020-07-21,,,,3779.0,3788.3595367229013
99364,3760.0,3700.0,3760.0,3700.0,71100,LPGI,2020-07-22,,,,3774.0,3768.7240841178123
8668,3710.0,3710.0,3710.0,3710.0,3100,LPGI,2020-07-23,,,,3770.0,3755.674287647187
106799,3710.0,3710.0,3710.0,3710.0,200,LPGI,2020-07-24,,,,3766.0,3745.524445947812
59795,3710.0,3710.0,3710.0,3680.0,68000,LPGI,2020-07-27,,,,3757.0,3737.630124626076
43284,3700.0,3710.0,3710.0,3700.0,500,LPGI,2020-07-28,,,,3750.0,3731.4900969313926
116652,3700.0,3700.0,3700.0,3700.0,1400,LPGI,2020-07-29,,,,3742.0,3724.4922976133053
85338,3800.0,3800.0,3800.0,3800.0,1100,LPGI,2020-07-30,,,,3742.0,3741.271787032571
123238,3790.0,3750.0,3900.0,3750.0,67400,LPGI,2020-08-03,,,,3737.0,3743.211389914222
7031,3800.0,3750.0,3800.0,3750.0,100500,LPGI,2020-08-04,,,,3732.0,3744.7199699332837
58151,3760.0,3760.0,3800.0,3760.0,45100,LPGI,2020-08-05,,,,3730.0,3748.115532170332
74640,3780.0,3700.0,3780.0,3700.0,77700,LPGI,2020-08-06,,,,3730.0,3737.423191688036
46589,3750.0,3700.0,3780.0,3690.0,97100,LPGI,2020-08-07,,,,3729.0,3729.1069268684723
104320,3700.0,3770.0,3770.0,3700.0,7100,LPGI,2020-08-10,,,,3735.0,3738.1942764532564
57335,3800.0,3900.0,3900.0,3800.0,100700,LPGI,2020-08-11,,,,3754.0,3774.1511039080883
125701,3900.0,3900.0,4000.0,3850.0,143100,LPGI,2020-08-12,,,3767.0,3773.0,3802.1175252618464
67216,3900.0,3860.0,3900.0,3790.0,71300,LPGI,2020-08-13,,,3769.0,3789.0,3814.9802974258805
92787,3850.0,3880.0,3900.0,3830.0,130400,LPGI,2020-08-14,,,3771.6666666666665,3797.0,3829.4291202201293
65572,3880.0,3890.0,3900.0,3840.0,165100,LPGI,2020-08-18,,,3774.6666666666665,3811.0,3842.889315726767
94428,3750.0,3620.0,3750.0,3620.0,105700,LPGI,2020-08-19,,,3768.6666666666665,3798.0,3793.3583566763746
10316,3620.0,3620.0,3660.0,3620.0,35300,LPGI,2020-08-24,,,3764.3333333333335,3784.0,3754.834277414958
134747,3620.0,3620.0,3660.0,3620.0,16200,LPGI,2020-08-25,,,3760.0,3776.0,3724.8711046560784
109234,3620.0,3620.0,3620.0,3590.0,9300,LPGI,2020-08-26,,,3755.6666666666665,3768.0,3701.5664147325056
3736,3600.0,3510.0,3600.0,3500.0,6600,LPGI,2020-08-27,,,3747.6666666666665,3742.0,3658.996100347504
83696,3510.0,3450.0,3510.0,3400.0,16900,LPGI,2020-08-28,,,3736.0,3697.0,3612.552522492503
27615,3550.0,3540.0,3550.0,3450.0,3500,LPGI,2020-08-31,,,3728.0,3661.0,3596.4297397163914
35010,3600.0,3450.0,3600.0,3360.0,1900,LPGI,2020-09-01,,,3717.0,3620.0,3563.889797557193
39148,3530.0,3400.0,3530.0,3400.0,8600,LPGI,2020-09-02,,,3703.6666666666665,3572.0,3527.4698425444835
72987,3400.0,3360.0,3400.0,3350.0,20400,LPGI,2020-09-03,,,3689.0,3519.0,3490.2543219790427
12791,3360.0,3370.0,3440.0,3360.0,14400,LPGI,2020-09-04,,,3674.6666666666665,3494.0,3463.531139317033
26797,3370.0,3380.0,3390.0,3370.0,13200,LPGI,2020-09-07,,,3661.3333333333335,3470.0,3444.968663913248
113346,3390.0,3430.0,3430.0,3390.0,1600,LPGI,2020-09-08,,,3652.3333333333335,3451.0,3441.6422941547485
127327,3400.0,3400.0,3450.0,3390.0,39100,LPGI,2020-09-09,,,3642.0,3429.0,3432.388451009249
7846,3290.0,3370.0,3370.0,3280.0,11100,LPGI,2020-09-10,,,3630.6666666666665,3415.0,3418.5243507849714
17723,3370.0,3350.0,3600.0,3330.0,13500,LPGI,2020-09-11,,,3618.6666666666665,3405.0,3403.2967172772
47407,3120.0,3410.0,3410.0,3120.0,1800,LPGI,2020-09-14,,,3608.6666666666665,3392.0,3404.7863356600446
70514,3450.0,3450.0,3460.0,3450.0,4800,LPGI,2020-09-15,,,3600.3333333333335,3392.0,3414.8338166244794
1258,3460.0,3360.0,3460.0,3360.0,900,LPGI,2020-09-16,,,3585.6666666666665,3388.0,3402.6485240412617
60612,3380.0,3390.0,3390.0,3380.0,1300,LPGI,2020-09-17,,,3573.6666666666665,3391.0,3399.837740920981
66392,3580.0,3670.0,3670.0,3580.0,2000,LPGI,2020-09-18,,,3571.0,3421.0,3459.8737984940963
76284,3670.0,3450.0,3670.0,3450.0,600,LPGI,2020-09-21,,,3560.6666666666665,3428.0,3457.6796210509638
105140,3450.0,3300.0,3450.0,3300.0,1800,LPGI,2020-09-22,,,3547.3333333333335,3415.0,3422.639705261861
81237,3320.0,3270.0,3320.0,3270.0,2800,LPGI,2020-09-23,,,3533.0,3402.0,3388.719770759225
69687,3270.0,3270.0,3270.0,3270.0,5600,LPGI,2020-09-24,,,3516.3333333333335,3392.0,3362.3375994793973
101842,3280.0,3280.0,3280.0,3280.0,500,LPGI,2020-09-25,,,3495.6666666666665,3385.0,3344.0403551506424
63924,3280.0,3310.0,3310.0,3280.0,4600,LPGI,2020-09-28,,,3476.0,3375.0,3336.475831783833
16074,3320.0,3350.0,3350.0,3310.0,18200,LPGI,2020-09-29,,,3459.0,3365.0,3339.4812024985367
88649,3350.0,3360.0,3360.0,3350.0,2800,LPGI,2020-09-30,,,3441.6666666666665,3365.0,3344.0409352766396
96883,3390.0,3340.0,3500.0,3340.0,201400,LPGI,2020-10-01,,,3423.3333333333335,3360.0,3343.142949659609
72166,3600.0,3560.0,3600.0,3340.0,20500,LPGI,2020-10-02,,,3421.3333333333335,3349.0,3391.3334052908067
11970,3400.0,3400.0,3400.0,3330.0,21700,LPGI,2020-10-05,,,3414.0,3344.0,3393.259315226183
124879,3390.0,3390.0,3390.0,3390.0,1200,LPGI,2020-10-06,,,3406.3333333333335,3353.0,3392.535022953698
21028,3600.0,3570.0,3600.0,3570.0,200,LPGI,2020-10-07,,,3404.6666666666665,3383.0,3431.971684519543
