,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
441,90.0,90.0,90.0,86.0,70400,LPPS,2021-04-01,,,,,
1281,87.0,89.0,91.0,87.0,1349100,LPPS,2021-04-05,,,,,
2121,90.0,90.0,91.0,88.0,1449100,LPPS,2021-04-06,,,,,
2963,88.0,91.0,91.0,88.0,1206900,LPPS,2021-04-07,,,,,
3805,91.0,92.0,98.0,88.0,236100,LPPS,2021-04-08,,,,,
4649,88.0,90.0,95.0,88.0,464200,LPPS,2021-04-09,,,,,
5492,89.0,89.0,99.0,89.0,1209700,LPPS,2021-04-12,,,,,
6336,89.0,92.0,98.0,89.0,2483800,LPPS,2021-04-13,,,,,90.375
7180,90.0,91.0,95.0,90.0,280400,LPPS,2021-04-14,,,,,90.51388888888889
8025,93.0,93.0,95.0,90.0,51100,LPPS,2021-04-15,,,,90.7,91.06635802469135
8869,90.0,92.0,93.0,90.0,12300,LPPS,2021-04-16,,,,90.9,91.27383401920439
9713,92.0,93.0,94.0,91.0,287300,LPPS,2021-04-19,,,,91.3,91.65742645938118
10557,93.0,93.0,94.0,90.0,229200,LPPS,2021-04-20,,,,91.6,91.95577613507426
11401,91.0,93.0,93.0,90.0,2315000,LPPS,2021-04-21,,,,91.8,92.18782588283554
12245,94.0,99.0,104.0,93.0,1114300,LPPS,2021-04-22,,,,92.5,93.70164235331653
13089,101.0,100.0,107.0,93.0,7871000,LPPS,2021-04-23,,,,93.5,95.10127738591285
13932,100.0,96.0,104.0,94.0,819300,LPPS,2021-04-26,,,,94.2,95.30099352237666
14775,96.0,100.0,103.0,95.0,389000,LPPS,2021-04-27,,,,95.0,96.34521718407073
15619,98.0,100.0,100.0,96.0,136500,LPPS,2021-04-28,,,,95.9,97.15739114316612
16463,100.0,99.0,103.0,96.0,145600,LPPS,2021-04-29,,,,96.5,97.5668597780181
17307,99.0,98.0,102.0,95.0,1174900,LPPS,2021-04-30,,,,97.1,97.66311316068074
18150,97.0,100.0,100.0,97.0,1769200,LPPS,2021-05-03,,,,97.8,98.18242134719613
18993,100.0,102.0,104.0,98.0,2923900,LPPS,2021-05-04,,,,98.7,99.03077215893032
19835,100.0,104.0,115.0,100.0,1841400,LPPS,2021-05-05,,,,99.8,100.13504501250137
20679,100.0,105.0,110.0,100.0,3668600,LPPS,2021-05-06,,,,100.4,101.2161461208344
21523,105.0,105.0,107.0,103.0,444200,LPPS,2021-05-07,,,,100.9,102.05700253842676
22367,105.0,105.0,105.0,101.0,407900,LPPS,2021-05-10,,,,101.8,102.71100197433192
23210,102.0,105.0,107.0,101.0,120100,LPPS,2021-05-11,,,,102.3,103.21966820225816
24052,105.0,107.0,107.0,102.0,1142200,LPPS,2021-05-17,,,,103.0,104.05974193508968
24892,108.0,119.0,119.0,105.0,4717400,LPPS,2021-05-18,,,97.4,105.0,107.37979928284753
25732,119.0,116.0,126.0,113.0,9867200,LPPS,2021-05-19,,,98.26666666666667,106.8,109.29539944221474
26644,116.0,118.0,118.0,113.0,1118700,LPPS,2021-05-20,,,99.23333333333333,108.6,111.22975512172258
27456,120.0,115.0,120.0,114.0,778600,LPPS,2021-05-21,,,100.06666666666666,109.9,112.06758731689534
28298,113.0,115.0,118.0,113.0,943600,LPPS,2021-05-24,,,100.86666666666666,111.0,112.71923457980749
29140,115.0,119.0,132.0,114.0,8219300,LPPS,2021-05-25,,,101.76666666666667,112.4,114.11496022873916
29931,112.0,119.0,125.0,112.0,4473700,LPPS,2021-05-27,,,102.73333333333333,113.8,115.20052462235269
30773,118.0,117.0,118.0,111.0,3071400,LPPS,2021-05-28,,,103.66666666666667,115.0,115.60040803960764
31615,114.0,116.0,120.0,114.0,240500,LPPS,2021-05-31,,,104.46666666666667,116.1,115.68920625302816
32457,112.0,116.0,122.0,112.0,636500,LPPS,2021-06-02,,,105.3,117.0,115.75827153013302
33298,111.0,115.0,118.0,111.0,136000,LPPS,2021-06-03,,,106.03333333333333,116.6,115.589766745659
34139,113.0,115.0,124.0,109.0,1761400,LPPS,2021-06-04,,,106.8,116.5,115.45870746884589
34980,118.0,118.0,128.0,116.0,6031100,LPPS,2021-06-07,,,107.63333333333334,116.5,116.02343914243569
35821,118.0,122.0,122.0,116.0,1186100,LPPS,2021-06-08,,,108.6,117.2,117.35156377744998
36664,122.0,125.0,127.0,117.0,4599100,LPPS,2021-06-09,,,109.66666666666667,118.2,119.05121627134999
37509,127.0,132.0,135.0,125.0,4516100,LPPS,2021-06-10,,,110.76666666666667,119.5,121.92872376660554
38356,132.0,127.0,132.0,125.0,2819700,LPPS,2021-06-11,,,111.66666666666667,120.3,123.0556740406932
39203,126.0,124.0,140.0,121.0,5537200,LPPS,2021-06-14,,,112.6,121.0,123.2655242538725
40050,124.0,122.0,126.0,121.0,5461900,LPPS,2021-06-15,,,113.33333333333333,121.6,122.98429664190083
40897,120.0,123.0,123.0,118.0,2797400,LPPS,2021-06-16,,,114.1,122.3,122.98778627703398
41744,123.0,119.0,126.0,117.0,1375400,LPPS,2021-06-17,,,114.76666666666667,122.7,122.1016115488042
42591,119.0,113.0,120.0,111.0,2268500,LPPS,2021-06-18,,,115.26666666666667,122.5,120.0790312046255
