,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126532,5.0,4.0,5.0,4.0,348200,MAMI-W,2020-07-01,,,,,
133953,5.0,5.0,5.0,4.0,276600,MAMI-W,2020-07-02,,,,,
107627,5.0,5.0,5.0,4.0,22000,MAMI-W,2020-07-03,,,,,
89486,4.0,5.0,5.0,4.0,1234800,MAMI-W,2020-07-06,,,,,
34213,5.0,5.0,5.0,4.0,525600,MAMI-W,2020-07-07,,,,,
51560,5.0,4.0,5.0,4.0,287400,MAMI-W,2020-07-08,,,,,
119955,5.0,5.0,5.0,4.0,54300,MAMI-W,2020-07-09,,,,,
23509,5.0,5.0,5.0,4.0,266700,MAMI-W,2020-07-10,,,,,4.75
15273,5.0,5.0,5.0,4.0,17800,MAMI-W,2020-07-13,,,,,4.805555555555555
31751,5.0,5.0,5.0,4.0,244000,MAMI-W,2020-07-14,,,,4.8,4.848765432098765
95258,5.0,5.0,5.0,4.0,448700,MAMI-W,2020-07-15,,,,4.9,4.882373113854595
21864,4.0,5.0,5.0,4.0,224100,MAMI-W,2020-07-16,,,,4.9,4.908512421886908
110064,4.0,5.0,5.0,4.0,5330900,MAMI-W,2020-07-17,,,,4.9,4.928842994800928
82898,4.0,5.0,5.0,4.0,273400,MAMI-W,2020-07-20,,,,4.9,4.944655662622944
108435,4.0,5.0,5.0,4.0,212100,MAMI-W,2020-07-21,,,,4.9,4.95695440426229
99378,5.0,5.0,5.0,4.0,19400,MAMI-W,2020-07-22,,,,5.0,4.966520092204004
8682,4.0,5.0,5.0,4.0,1512600,MAMI-W,2020-07-23,,,,5.0,4.973960071714225
106813,5.0,5.0,5.0,4.0,240600,MAMI-W,2020-07-24,,,,5.0,4.979746722444397
59809,5.0,5.0,5.0,4.0,174000,MAMI-W,2020-07-27,,,,5.0,4.984247450790087
43298,5.0,5.0,6.0,4.0,9153200,MAMI-W,2020-07-28,,,,5.0,4.987748017281179
116666,5.0,5.0,5.0,4.0,703700,MAMI-W,2020-07-29,,,,5.0,4.990470680107584
85352,5.0,4.0,5.0,4.0,3841400,MAMI-W,2020-07-30,,,,4.9,4.770366084528121
123252,4.0,5.0,5.0,4.0,168600,MAMI-W,2020-08-03,,,,4.9,4.821395843521872
7045,5.0,5.0,5.0,4.0,40200,MAMI-W,2020-08-04,,,,4.9,4.861085656072567
58165,4.0,5.0,5.0,4.0,39600,MAMI-W,2020-08-05,,,,4.9,4.891955510278663
74654,5.0,5.0,5.0,5.0,700,MAMI-W,2020-08-06,,,,4.9,4.915965396883404
46603,5.0,4.0,5.0,4.0,691200,MAMI-W,2020-08-07,,,,4.8,4.712417530909314
104334,4.0,5.0,5.0,3.0,3712900,MAMI-W,2020-08-10,,,,4.8,4.7763247462628
57349,4.0,5.0,5.0,4.0,563300,MAMI-W,2020-08-11,,,,4.8,4.8260303582044
125715,4.0,5.0,5.0,4.0,519000,MAMI-W,2020-08-12,,,4.866666666666666,4.8,4.864690278603422
67230,5.0,5.0,5.0,4.0,11900,MAMI-W,2020-08-13,,,4.9,4.8,4.894759105580439
92801,4.0,5.0,5.0,4.0,175800,MAMI-W,2020-08-14,,,4.9,4.9,4.918145971007008
65586,4.0,5.0,5.0,4.0,167900,MAMI-W,2020-08-18,,,4.9,4.9,4.936335755227673
94442,4.0,5.0,5.0,4.0,1384500,MAMI-W,2020-08-19,,,4.9,4.9,4.950483365177079
10330,4.0,5.0,5.0,4.0,943200,MAMI-W,2020-08-24,,,4.9,4.9,4.9614870618043945
134761,5.0,5.0,5.0,5.0,513000,MAMI-W,2020-08-25,,,4.933333333333334,4.9,4.970045492514529
109248,4.0,5.0,5.0,4.0,1599200,MAMI-W,2020-08-26,,,4.933333333333334,5.0,4.976702049733523
3750,4.0,5.0,5.0,4.0,1503100,MAMI-W,2020-08-27,,,4.933333333333334,5.0,4.981879372014962
83710,5.0,5.0,5.0,4.0,2096100,MAMI-W,2020-08-28,,,4.933333333333334,5.0,4.98590617823386
27629,5.0,5.0,5.0,4.0,1011500,MAMI-W,2020-08-31,,,4.933333333333334,5.0,4.989038138626335
35024,5.0,5.0,5.0,4.0,1436100,MAMI-W,2020-09-01,,,4.933333333333334,5.0,4.9914741078204825
39162,5.0,5.0,5.0,4.0,2629500,MAMI-W,2020-09-02,,,4.933333333333334,5.0,4.993368750527042
73001,5.0,5.0,5.0,4.0,1383700,MAMI-W,2020-09-03,,,4.933333333333334,5.0,4.994842361521032
12805,5.0,5.0,5.0,4.0,250800,MAMI-W,2020-09-04,,,4.933333333333334,5.0,4.995988503405247
26811,4.0,5.0,5.0,4.0,1370200,MAMI-W,2020-09-07,,,4.933333333333334,5.0,4.99687994709297
113360,5.0,5.0,5.0,4.0,1026200,MAMI-W,2020-09-08,,,4.933333333333334,5.0,4.9975732921834215
127341,5.0,4.0,5.0,4.0,1007800,MAMI-W,2020-09-09,,,4.9,4.9,4.775890338364883
7860,4.0,4.0,5.0,4.0,1104600,MAMI-W,2020-09-10,,,4.866666666666666,4.8,4.603470263172687
17737,5.0,5.0,5.0,4.0,735600,MAMI-W,2020-09-11,,,4.866666666666666,4.8,4.691587982467645
47421,5.0,5.0,5.0,3.0,3093000,MAMI-W,2020-09-14,,,4.866666666666666,4.8,4.760123986363724
70528,4.0,5.0,5.0,4.0,478000,MAMI-W,2020-09-15,,,4.866666666666666,4.8,4.813429767171786
1272,5.0,5.0,5.0,5.0,800,MAMI-W,2020-09-16,,,4.9,4.8,4.854889818911389
60626,4.0,5.0,5.0,4.0,400,MAMI-W,2020-09-17,,,4.9,4.8,4.88713652581997
66406,4.0,5.0,5.0,4.0,241200,MAMI-W,2020-09-18,,,4.9,4.8,4.912217297859977
76298,4.0,5.0,5.0,4.0,1600,MAMI-W,2020-09-21,,,4.9,4.8,4.931724565002204
105154,4.0,5.0,5.0,4.0,106500,MAMI-W,2020-09-22,,,4.9,4.8,4.946896883890603
81251,5.0,5.0,5.0,4.0,550200,MAMI-W,2020-09-23,,,4.933333333333334,4.9,4.958697576359358
69701,5.0,4.0,5.0,4.0,602100,MAMI-W,2020-09-24,,,4.9,4.9,4.745653670501723
101856,4.0,5.0,5.0,4.0,235300,MAMI-W,2020-09-25,,,4.9,4.9,4.802175077056896
63938,4.0,5.0,6.0,3.0,6697000,MAMI-W,2020-09-28,,,4.9,4.9,4.846136171044252
16088,4.0,5.0,6.0,4.0,627500,MAMI-W,2020-09-29,,,4.9,4.9,4.880328133034419
88663,5.0,5.0,6.0,5.0,84200,MAMI-W,2020-09-30,,,4.9,4.9,4.9069218812489925
96897,5.0,5.0,6.0,4.0,186300,MAMI-W,2020-10-01,,,4.9,4.9,4.927605907638105
72180,5.0,5.0,6.0,4.0,713300,MAMI-W,2020-10-02,,,4.9,4.9,4.943693483718526
11984,4.0,5.0,6.0,4.0,45700,MAMI-W,2020-10-05,,,4.9,4.9,4.9562060428921875
124893,5.0,5.0,5.0,4.0,33600,MAMI-W,2020-10-06,,,4.9,4.9,4.96593803336059
21042,5.0,5.0,5.0,4.0,468600,MAMI-W,2020-10-07,,,4.9,4.9,4.973507359280459
