,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120693,50.0,50.0,50.0,50.0,2900,MAMI,2020-07-01,,,,,
128114,50.0,50.0,50.0,50.0,3700,MAMI,2020-07-02,,,,,
101788,50.0,50.0,50.0,50.0,4600,MAMI,2020-07-03,,,,,
84481,50.0,50.0,50.0,50.0,1074500,MAMI,2020-07-06,,,,,
34212,50.0,50.0,50.0,50.0,10000,MAMI,2020-07-07,,,,,
47389,50.0,50.0,50.0,50.0,1000,MAMI,2020-07-08,,,,,
114116,50.0,50.0,50.0,50.0,2500,MAMI,2020-07-09,,,,,
23508,50.0,50.0,50.0,50.0,2100,MAMI,2020-07-10,,,,,50.0
15272,50.0,50.0,50.0,50.0,2100,MAMI,2020-07-13,,,,,50.0
31750,50.0,50.0,50.0,50.0,10600,MAMI,2020-07-14,,,,50.0,50.0
89419,50.0,50.0,50.0,50.0,48900,MAMI,2020-07-15,,,,50.0,50.0
21863,50.0,50.0,50.0,50.0,1000,MAMI,2020-07-16,,,,50.0,50.0
104225,50.0,50.0,50.0,50.0,12500,MAMI,2020-07-17,,,,50.0,50.0
77893,50.0,50.0,50.0,50.0,900,MAMI,2020-07-20,,,,50.0,50.0
102596,50.0,50.0,50.0,50.0,103200,MAMI,2020-07-21,,,,50.0,50.0
93539,50.0,50.0,50.0,50.0,8300,MAMI,2020-07-22,,,,50.0,50.0
8681,50.0,50.0,50.0,50.0,500,MAMI,2020-07-23,,,,50.0,50.0
100974,50.0,50.0,50.0,50.0,7600,MAMI,2020-07-24,,,,50.0,50.0
54804,50.0,50.0,50.0,50.0,1600,MAMI,2020-07-27,,,,50.0,50.0
41629,50.0,50.0,50.0,50.0,76500,MAMI,2020-07-28,,,,50.0,50.0
110827,50.0,50.0,50.0,50.0,7500,MAMI,2020-07-29,,,,50.0,50.0
80347,50.0,50.0,50.0,50.0,200,MAMI,2020-07-30,,,,50.0,50.0
117413,50.0,50.0,50.0,50.0,500,MAMI,2020-08-03,,,,50.0,50.0
7044,50.0,50.0,50.0,50.0,5900,MAMI,2020-08-04,,,,50.0,50.0
53160,50.0,50.0,50.0,50.0,10200,MAMI,2020-08-05,,,,50.0,50.0
69649,50.0,50.0,50.0,50.0,5700,MAMI,2020-08-06,,,,50.0,50.0
43266,50.0,50.0,50.0,50.0,2800,MAMI,2020-08-07,,,,50.0,50.0
98495,50.0,50.0,50.0,50.0,2400,MAMI,2020-08-10,,,,50.0,50.0
52344,50.0,50.0,50.0,50.0,4200,MAMI,2020-08-11,,,,50.0,50.0
119876,50.0,50.0,50.0,50.0,1800,MAMI,2020-08-12,,,50.0,50.0,50.0
62225,50.0,50.0,50.0,50.0,1800,MAMI,2020-08-13,,,50.0,50.0,50.0
86962,50.0,50.0,50.0,50.0,2000,MAMI,2020-08-14,,,50.0,50.0,50.0
60581,50.0,50.0,50.0,50.0,41700,MAMI,2020-08-18,,,50.0,50.0,50.0
88603,50.0,50.0,50.0,50.0,600,MAMI,2020-08-19,,,50.0,50.0,50.0
10329,50.0,50.0,50.0,50.0,0,MAMI,2020-08-24,,,50.0,50.0,50.0
128922,50.0,50.0,50.0,50.0,900,MAMI,2020-08-25,,,50.0,50.0,50.0
103409,50.0,50.0,50.0,50.0,3600,MAMI,2020-08-26,,,50.0,50.0,50.0
3749,50.0,50.0,50.0,50.0,5900,MAMI,2020-08-27,,,50.0,50.0,50.0
78705,50.0,50.0,50.0,50.0,6100,MAMI,2020-08-28,,,50.0,50.0,50.0
27628,50.0,50.0,50.0,50.0,200,MAMI,2020-08-31,,,50.0,50.0,50.0
35023,50.0,50.0,50.0,50.0,1100,MAMI,2020-09-01,,,50.0,50.0,50.0
39161,50.0,50.0,50.0,50.0,1000,MAMI,2020-09-02,,,50.0,50.0,50.0
67996,50.0,50.0,50.0,50.0,27300,MAMI,2020-09-03,,,50.0,50.0,50.0
12804,50.0,50.0,50.0,50.0,1500,MAMI,2020-09-04,,,50.0,50.0,50.0
26810,50.0,50.0,50.0,50.0,3600,MAMI,2020-09-07,,,50.0,50.0,50.0
107521,50.0,50.0,50.0,50.0,4000,MAMI,2020-09-08,,,50.0,50.0,50.0
121502,50.0,50.0,50.0,50.0,1000,MAMI,2020-09-09,,,50.0,50.0,50.0
7859,50.0,50.0,50.0,50.0,0,MAMI,2020-09-10,,,50.0,50.0,50.0
17736,50.0,50.0,50.0,50.0,0,MAMI,2020-09-11,,,50.0,50.0,50.0
44084,50.0,50.0,50.0,50.0,1800,MAMI,2020-09-14,,,50.0,50.0,50.0
65523,50.0,50.0,50.0,50.0,29800,MAMI,2020-09-15,,,50.0,50.0,50.0
1271,50.0,50.0,50.0,50.0,2600,MAMI,2020-09-16,,,50.0,50.0,50.0
55621,50.0,50.0,50.0,50.0,1000,MAMI,2020-09-17,,,50.0,50.0,50.0
