,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121529,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-01,,,,,
128950,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-02,,,,,
102624,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-03,,,,,
85317,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-06,,,,,
34214,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-07,,,,,
48225,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-08,,,,,
114952,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-09,,,,,
23510,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-10,,,,,600.0
15274,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-13,,,,,600.0
31752,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-14,,,,600.0,600.0
90255,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-15,,,,600.0,600.0
21865,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-16,,,,600.0,600.0
105061,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-17,,,,600.0,600.0
78729,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-20,,,,600.0,600.0
103432,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-21,,,,600.0,600.0
94375,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-22,,,,600.0,600.0
8683,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-23,,,,600.0,600.0
101810,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-24,,,,600.0,600.0
55640,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-27,,,,600.0,600.0
41631,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-28,,,,600.0,600.0
111663,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-29,,,,600.0,600.0
81183,600.0,600.0,600.0,600.0,0,MAMIP,2020-07-30,,,,600.0,600.0
118249,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-03,,,,600.0,600.0
7046,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-04,,,,600.0,600.0
53996,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-05,,,,600.0,600.0
70485,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-06,,,,600.0,600.0
44102,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-07,,,,600.0,600.0
99331,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-10,,,,600.0,600.0
53180,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-11,,,,600.0,600.0
120712,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-12,,,600.0,600.0,600.0
63061,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-13,,,600.0,600.0,600.0
87798,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-14,,,600.0,600.0,600.0
61417,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-18,,,600.0,600.0,600.0
89439,600.0,600.0,600.0,600.0,0,MAMIP,2020-08-19,,,600.0,600.0,600.0
