,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
454,740.0,745.0,750.0,730.0,4242900,MAPI,2021-04-01,,,,,
1294,745.0,750.0,760.0,745.0,4585000,MAPI,2021-04-05,,,,,
2134,755.0,760.0,760.0,740.0,8297700,MAPI,2021-04-06,,,,,
2976,770.0,790.0,800.0,755.0,30619500,MAPI,2021-04-07,,,,,
3818,790.0,805.0,810.0,770.0,20588900,MAPI,2021-04-08,,,,,
4662,805.0,800.0,810.0,790.0,13343400,MAPI,2021-04-09,,,,,
5505,810.0,790.0,810.0,765.0,11569400,MAPI,2021-04-12,,,,,
6349,790.0,780.0,790.0,745.0,14769700,MAPI,2021-04-13,,,,,777.5
7193,780.0,790.0,800.0,765.0,26179400,MAPI,2021-04-14,,,,,780.2777777777778
8038,790.0,775.0,800.0,770.0,4696800,MAPI,2021-04-15,,,,778.5,779.104938271605
8882,780.0,795.0,805.0,775.0,13493500,MAPI,2021-04-16,,,,783.5,782.6371742112483
9726,795.0,815.0,830.0,795.0,51641700,MAPI,2021-04-19,,,,790.0,789.8289132754153
10570,815.0,800.0,825.0,780.0,16841600,MAPI,2021-04-20,,,,794.0,792.0891547697674
11414,800.0,790.0,800.0,770.0,11332400,MAPI,2021-04-21,,,,794.0,791.6248981542635
12258,790.0,805.0,815.0,775.0,43524300,MAPI,2021-04-22,,,,794.0,794.5971430088716
13102,805.0,830.0,850.0,805.0,85649500,MAPI,2021-04-23,,,,797.0,802.4644445624557
13945,830.0,810.0,845.0,805.0,24345700,MAPI,2021-04-26,,,,799.0,804.1390124374656
14788,810.0,790.0,820.0,770.0,18466100,MAPI,2021-04-27,,,,800.0,800.9970096735843
15632,790.0,780.0,795.0,770.0,8853000,MAPI,2021-04-28,,,,799.0,796.331007523899
16476,780.0,800.0,800.0,780.0,6532500,MAPI,2021-04-29,,,,801.5,797.1463391852548
17320,800.0,800.0,825.0,795.0,19377300,MAPI,2021-04-30,,,,802.0,797.7804860329759
18163,800.0,800.0,815.0,785.0,10734500,MAPI,2021-05-03,,,,800.5,798.2737113589812
19006,805.0,780.0,805.0,775.0,7651700,MAPI,2021-05-04,,,,798.5,794.212886612541
19850,780.0,800.0,805.0,770.0,9916900,MAPI,2021-05-05,,,,799.5,795.4989118097541
20694,795.0,790.0,805.0,780.0,3466200,MAPI,2021-05-06,,,,798.0,794.2769314075865
21538,805.0,755.0,815.0,750.0,11685000,MAPI,2021-05-07,,,,790.5,785.5487244281228
22382,760.0,760.0,765.0,750.0,5590900,MAPI,2021-05-10,,,,785.5,779.8712301107622
23225,770.0,770.0,790.0,760.0,16981600,MAPI,2021-05-11,,,,783.5,777.6776234194817
24067,775.0,770.0,790.0,765.0,22247000,MAPI,2021-05-17,,,,782.5,775.9714848818192
24907,760.0,770.0,780.0,755.0,4133800,MAPI,2021-05-18,,,786.5,779.5,774.6444882414149
25747,770.0,740.0,770.0,730.0,10072400,MAPI,2021-05-19,,,786.3333333333334,773.5,766.945713076656
26661,740.0,710.0,745.0,710.0,13123600,MAPI,2021-05-20,,,785.0,764.5,754.2911101707325
27471,720.0,710.0,730.0,705.0,16419200,MAPI,2021-05-21,,,783.3333333333334,757.5,744.448641243903
28313,710.0,725.0,735.0,700.0,10684300,MAPI,2021-05-24,,,781.1666666666666,750.0,740.1267209674801
29155,725.0,715.0,740.0,700.0,11727900,MAPI,2021-05-25,,,778.1666666666666,742.5,734.5430051969289
29946,715.0,690.0,730.0,690.0,21495500,MAPI,2021-05-27,,,774.5,736.0,724.6445595976114
30788,710.0,690.0,725.0,685.0,17486000,MAPI,2021-05-28,,,771.1666666666666,729.0,716.9457685759199
31630,700.0,700.0,720.0,700.0,12410200,MAPI,2021-05-31,,,768.5,722.0,713.1800422257155
32472,710.0,730.0,730.0,700.0,11327100,MAPI,2021-06-02,,,766.5,718.0,716.917810620001
33313,730.0,765.0,770.0,730.0,21436100,MAPI,2021-06-03,,,766.1666666666666,717.5,727.6027415933341
