,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
455,230.0,240.0,244.0,226.0,163981800,MARI,2021-04-01,,,,,
1295,244.0,250.0,252.0,240.0,113705100,MARI,2021-04-05,,,,,
2135,250.0,286.0,296.0,250.0,569667500,MARI,2021-04-06,,,,,
2977,288.0,272.0,288.0,268.0,208812000,MARI,2021-04-07,,,,,
3819,272.0,274.0,284.0,260.0,144571300,MARI,2021-04-08,,,,,
4663,276.0,286.0,302.0,276.0,310418100,MARI,2021-04-09,,,,,
5506,290.0,290.0,306.0,284.0,277367100,MARI,2021-04-12,,,,,
6350,292.0,290.0,296.0,280.0,84107900,MARI,2021-04-13,,,,,273.5
7194,292.0,316.0,330.0,290.0,599147400,MARI,2021-04-14,,,,,282.94444444444446
8039,318.0,314.0,324.0,300.0,238186000,MARI,2021-04-15,,,,281.8,289.84567901234567
8883,318.0,318.0,324.0,310.0,109050900,MARI,2021-04-16,,,,289.6,296.10219478738
9727,318.0,308.0,324.0,306.0,93339700,MARI,2021-04-19,,,,295.4,298.7461515012955
10571,308.0,320.0,324.0,302.0,100476400,MARI,2021-04-20,,,,298.8,303.4692289454521
11415,320.0,322.0,330.0,314.0,82634900,MARI,2021-04-21,,,,303.8,307.5871780686849
12259,324.0,324.0,336.0,320.0,204693800,MARI,2021-04-22,,,,308.8,311.23447183119936
13103,326.0,318.0,328.0,318.0,54306600,MARI,2021-04-23,,,,312.0,312.73792253537727
13946,318.0,312.0,332.0,300.0,245420100,MARI,2021-04-26,,,,314.2,312.57393974973786
14789,312.0,302.0,314.0,294.0,137951200,MARI,2021-04-27,,,,315.4,310.2241753609072
15633,308.0,306.0,314.0,300.0,107225900,MARI,2021-04-28,,,,314.4,309.28546972515005
16477,308.0,306.0,308.0,296.0,59898000,MARI,2021-04-29,,,,313.6,308.5553653417834
17321,308.0,292.0,324.0,292.0,272620500,MARI,2021-04-30,,,,311.0,304.87639526583155
18164,276.0,284.0,288.0,272.0,320372100,MARI,2021-05-03,,,,308.6,300.237196317869
19007,284.0,280.0,288.0,272.0,92986800,MARI,2021-05-04,,,,304.6,295.74004158056476
19851,282.0,274.0,292.0,270.0,184074500,MARI,2021-05-05,,,,299.8,290.90892122932814
20695,278.0,266.0,278.0,264.0,92361200,MARI,2021-05-06,,,,294.0,285.37360540058853
21539,266.0,258.0,274.0,256.0,89833100,MARI,2021-05-07,,,,288.0,279.29058197823554
22383,258.0,270.0,280.0,248.0,163777400,MARI,2021-05-10,,,,283.8,277.2260082052943
23226,272.0,262.0,272.0,260.0,35108900,MARI,2021-05-11,,,,279.8,273.84245082634004
24068,262.0,244.0,264.0,244.0,70788300,MARI,2021-05-17,,,,273.6,267.2107950871534
24908,244.0,266.0,274.0,230.0,351369400,MARI,2021-05-18,,,288.3333333333333,269.6,266.9417295122304
25748,264.0,276.0,286.0,264.0,245623900,MARI,2021-05-19,,,289.53333333333336,268.0,268.9546785095125
