,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124037,600.0,600.0,600.0,550.0,31600,MASA,2020-07-01,,,,,
131458,560.0,595.0,600.0,560.0,29100,MASA,2020-07-02,,,,,
105132,595.0,585.0,595.0,560.0,108500,MASA,2020-07-03,,,,,
86991,585.0,575.0,585.0,565.0,1400,MASA,2020-07-06,,,,,
34220,560.0,535.0,575.0,535.0,266400,MASA,2020-07-07,,,,,
49065,610.0,550.0,610.0,530.0,121700,MASA,2020-07-08,,,,,
117460,550.0,560.0,560.0,550.0,29100,MASA,2020-07-09,,,,,
23516,560.0,540.0,580.0,540.0,94700,MASA,2020-07-10,,,,,567.5
15280,540.0,540.0,540.0,540.0,0,MASA,2020-07-13,,,,,561.3888888888889
31758,580.0,580.0,580.0,580.0,100,MASA,2020-07-14,,,,566.0,565.5246913580247
92763,545.0,550.0,550.0,545.0,1600,MASA,2020-07-15,,,,561.0,562.0747599451304
21871,610.0,535.0,610.0,535.0,9100,MASA,2020-07-16,,,,555.0,556.0581466239903
107569,620.0,560.0,620.0,560.0,13200,MASA,2020-07-17,,,,552.5,556.9341140408814
80403,620.0,565.0,620.0,565.0,400,MASA,2020-07-20,,,,551.5,558.7265331429077
105940,600.0,560.0,600.0,540.0,50400,MASA,2020-07-21,,,,554.0,559.0095257778171
96883,600.0,540.0,600.0,540.0,52100,MASA,2020-07-22,,,,553.0,554.7851867160799
8689,590.0,545.0,590.0,540.0,24500,MASA,2020-07-23,,,,551.5,552.6107007791733
104318,545.0,545.0,575.0,540.0,29200,MASA,2020-07-24,,,,552.0,550.919433939357
57314,545.0,545.0,545.0,545.0,2500,MASA,2020-07-27,,,,552.5,549.6040041750554
41637,585.0,590.0,590.0,540.0,760700,MASA,2020-07-28,,,,553.5,558.5808921361541
114171,600.0,600.0,610.0,590.0,316700,MASA,2020-07-29,,,,558.5,567.7851383281198
82857,600.0,585.0,610.0,585.0,42400,MASA,2020-07-30,,,,563.5,571.6106631440932
120757,680.0,545.0,680.0,545.0,21300,MASA,2020-08-03,,,,562.0,565.6971824454058
7052,545.0,595.0,595.0,545.0,27200,MASA,2020-08-04,,,,565.0,572.2089196797601
55670,570.0,565.0,570.0,555.0,9000,MASA,2020-08-05,,,,565.5,570.6069375287024
72159,580.0,565.0,585.0,565.0,6700,MASA,2020-08-06,,,,568.0,569.3609514112129
44108,565.0,555.0,605.0,555.0,33900,MASA,2020-08-07,,,,569.0,566.1696288753878
101839,605.0,600.0,605.0,600.0,400,MASA,2020-08-10,,,,574.5,573.6874891253017
