,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126541,1630.0,1640.0,1650.0,1630.0,65700,MBAP,2020-07-01,,,,,
133962,1665.0,1675.0,1780.0,1665.0,31700,MBAP,2020-07-02,,,,,
107636,1680.0,1675.0,1705.0,1675.0,99300,MBAP,2020-07-03,,,,,
89495,1685.0,1645.0,1685.0,1645.0,43400,MBAP,2020-07-06,,,,,
34222,1680.0,1650.0,1685.0,1640.0,67700,MBAP,2020-07-07,,,,,
51569,1675.0,1685.0,1705.0,1630.0,194600,MBAP,2020-07-08,,,,,
119964,1685.0,1680.0,1700.0,1650.0,177700,MBAP,2020-07-09,,,,,
23518,1680.0,1685.0,1770.0,1650.0,296900,MBAP,2020-07-10,,,,,1666.875
15282,1685.0,1705.0,1715.0,1675.0,149200,MBAP,2020-07-13,,,,,1675.3472222222222
31760,1650.0,1690.0,1705.0,1650.0,76200,MBAP,2020-07-14,,,,1673.0,1678.6033950617284
95267,1695.0,1755.0,1755.0,1690.0,151800,MBAP,2020-07-15,,,,1684.5,1695.5804183813443
21873,1760.0,1890.0,1920.0,1735.0,309200,MBAP,2020-07-16,,,,1706.0,1738.7847698521566
110073,1840.0,1805.0,1950.0,1800.0,346200,MBAP,2020-07-17,,,,1719.0,1753.4992654405662
82907,1805.0,1840.0,1920.0,1800.0,130000,MBAP,2020-07-20,,,,1738.5,1772.721650898218
108444,1750.0,1760.0,1895.0,1745.0,233500,MBAP,2020-07-21,,,,1749.5,1769.8946173652807
99387,1800.0,1750.0,1800.0,1700.0,90400,MBAP,2020-07-22,,,,1756.0,1765.4735912841072
8691,1700.0,1740.0,1770.0,1700.0,82600,MBAP,2020-07-23,,,,1762.0,1759.8127932209723
106822,1690.0,1700.0,1770.0,1680.0,168200,MBAP,2020-07-24,,,,1763.5,1746.5210613940894
59818,1740.0,1830.0,1830.0,1720.0,470700,MBAP,2020-07-27,,,,1776.0,1765.0719366398473
43307,1840.0,1810.0,1870.0,1790.0,380500,MBAP,2020-07-28,,,,1788.0,1775.0559507198811
116675,1740.0,1750.0,1795.0,1740.0,500400,MBAP,2020-07-29,,,,1787.5,1769.4879616710186
85361,1795.0,1770.0,1795.0,1700.0,215500,MBAP,2020-07-30,,,,1775.5,1769.6017479663478
123261,1770.0,1725.0,1780.0,1695.0,146300,MBAP,2020-08-03,,,,1767.5,1759.6902484182706
7054,1650.0,1755.0,1780.0,1650.0,167400,MBAP,2020-08-04,,,,1759.0,1758.6479709919881
58174,1755.0,1730.0,1760.0,1700.0,94000,MBAP,2020-08-05,,,,1756.0,1752.2817552159909
74663,1730.0,1775.0,1780.0,1650.0,536400,MBAP,2020-08-06,,,,1758.5,1757.3302540568818
46612,1735.0,1750.0,1770.0,1700.0,369400,MBAP,2020-08-07,,,,1759.5,1755.701308710908
104343,1750.0,1855.0,1880.0,1750.0,441200,MBAP,2020-08-10,,,,1775.0,1777.7676845529286
57358,1890.0,1865.0,1910.0,1800.0,423000,MBAP,2020-08-11,,,,1778.5,1797.1526435411668
125724,1800.0,1820.0,1880.0,1795.0,236800,MBAP,2020-08-12,,,1746.8333333333333,1779.5,1802.229833865352
67239,1865.0,2270.0,2270.0,1840.0,891500,MBAP,2020-08-13,,,1767.8333333333333,1831.5,1906.1787596730514
92810,2350.0,2830.0,2830.0,2350.0,3220700,MBAP,2020-08-14,,,1806.3333333333333,1937.5,2111.4723686345956
65595,2830.0,2890.0,3330.0,2830.0,8265800,MBAP,2020-08-18,,,1846.8333333333333,2054.0,2284.478508938019
94451,2900.0,2840.0,2940.0,2800.0,2671000,MBAP,2020-08-19,,,1886.6666666666667,2162.5,2407.9277291740145
10339,2840.0,2830.0,2860.0,2750.0,3397200,MBAP,2020-08-24,,,1926.0,2272.5,2501.7215671353447
134770,2640.0,2640.0,2640.0,2640.0,95300,MBAP,2020-08-25,,,1957.8333333333333,2359.0,2532.4501077719347
109257,2460.0,2460.0,2460.0,2460.0,81100,MBAP,2020-08-26,,,1983.8333333333333,2430.0,2516.350083822616
3759,2350.0,2290.0,2350.0,2290.0,173000,MBAP,2020-08-27,,,2004.0,2473.5,2466.050065195368
83719,2130.0,2130.0,2130.0,2130.0,369500,MBAP,2020-08-28,,,2018.1666666666667,2500.0,2391.3722729297306
27638,2130.0,2120.0,2300.0,2000.0,2617500,MBAP,2020-08-31,,,2032.5,2530.0,2331.0673233897905
