,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120705,62.0,63.0,63.0,60.0,8200,MBTO,2020-07-01,,,,,
128126,63.0,63.0,63.0,63.0,3200,MBTO,2020-07-02,,,,,
101800,63.0,64.0,64.0,63.0,15400,MBTO,2020-07-03,,,,,
84493,62.0,68.0,68.0,62.0,2800,MBTO,2020-07-06,,,,,
34224,67.0,68.0,69.0,67.0,1153600,MBTO,2020-07-07,,,,,
47401,65.0,65.0,65.0,64.0,18800,MBTO,2020-07-08,,,,,
114128,65.0,65.0,65.0,63.0,40000,MBTO,2020-07-09,,,,,
23520,64.0,65.0,65.0,64.0,1000,MBTO,2020-07-10,,,,,65.125
15284,62.0,64.0,65.0,62.0,18700,MBTO,2020-07-13,,,,,64.875
31762,64.0,79.0,86.0,64.0,65900,MBTO,2020-07-14,,,,66.4,68.01388888888889
89431,80.0,74.0,80.0,74.0,259100,MBTO,2020-07-15,,,,67.5,69.34413580246914
21875,74.0,69.0,79.0,69.0,22300,MBTO,2020-07-16,,,,68.1,69.26766117969822
104237,70.0,66.0,70.0,65.0,35700,MBTO,2020-07-17,,,,68.3,68.54151425087639
77905,66.0,66.0,66.0,66.0,5200,MBTO,2020-07-20,,,,68.1,67.9767333062372
102608,66.0,67.0,69.0,63.0,5800,MBTO,2020-07-21,,,,68.0,67.75968146040671
93551,66.0,69.0,73.0,66.0,26600,MBTO,2020-07-22,,,,68.4,68.03530780253855
8693,72.0,75.0,75.0,72.0,262700,MBTO,2020-07-23,,,,69.4,69.5830171797522
100986,75.0,75.0,75.0,75.0,910500,MBTO,2020-07-24,,,,70.4,70.78679113980726
54816,74.0,75.0,75.0,73.0,120600,MBTO,2020-07-27,,,,71.5,71.72305977540564
41641,70.0,72.0,75.0,70.0,405300,MBTO,2020-07-28,,,,70.8,71.78460204753772
110839,70.0,71.0,72.0,69.0,121800,MBTO,2020-07-29,,,,70.5,71.61024603697378
80359,68.0,72.0,75.0,68.0,401100,MBTO,2020-07-30,,,,70.8,71.69685802875738
117425,68.0,67.0,68.0,67.0,1400,MBTO,2020-08-03,,,,70.9,70.65311180014463
7056,68.0,67.0,68.0,67.0,1500,MBTO,2020-08-04,,,,71.0,69.84130917789027
53172,65.0,65.0,65.0,63.0,2500,MBTO,2020-08-05,,,,70.8,68.76546269391466
69661,61.0,75.0,75.0,61.0,5800,MBTO,2020-08-06,,,,71.4,70.15091542860029
43278,75.0,70.0,76.0,70.0,223000,MBTO,2020-08-07,,,,70.9,70.1173786666891
98507,67.0,67.0,67.0,66.0,2400,MBTO,2020-08-10,,,,70.1,69.4246278518693
52356,71.0,70.0,81.0,67.0,221900,MBTO,2020-08-11,,,,69.6,69.55248832923168
119888,70.0,68.0,70.0,68.0,2000,MBTO,2020-08-12,,,68.8,69.2,69.20749092273574
