,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124045,1375.0,1385.0,1400.0,1360.0,59775700,MDKA,2020-07-01,,,,,
131466,1390.0,1355.0,1395.0,1350.0,77527200,MDKA,2020-07-02,,,,,
105140,1350.0,1360.0,1375.0,1350.0,36394300,MDKA,2020-07-03,,,,,
86999,1365.0,1370.0,1380.0,1360.0,50503200,MDKA,2020-07-06,,,,,
34228,1385.0,1375.0,1390.0,1360.0,48892100,MDKA,2020-07-07,,,,,
49073,1390.0,1450.0,1450.0,1380.0,230080300,MDKA,2020-07-08,,,,,
117468,1465.0,1535.0,1555.0,1460.0,244166100,MDKA,2020-07-09,,,,,
23524,1535.0,1485.0,1545.0,1470.0,79471100,MDKA,2020-07-10,,,,,1414.375
15288,1495.0,1530.0,1530.0,1470.0,110432000,MDKA,2020-07-13,,,,,1440.0694444444443
31766,1530.0,1510.0,1540.0,1495.0,60000100,MDKA,2020-07-14,,,,1435.5,1455.6095679012344
92771,1520.0,1495.0,1525.0,1495.0,29866300,MDKA,2020-07-15,,,,1446.5,1464.3629972565157
21879,1500.0,1485.0,1515.0,1485.0,37249400,MDKA,2020-07-16,,,,1459.5,1468.9489978661788
107577,1485.0,1485.0,1500.0,1455.0,54905100,MDKA,2020-07-17,,,,1472.0,1472.5158872292502
80411,1490.0,1475.0,1515.0,1470.0,40293900,MDKA,2020-07-20,,,,1482.5,1473.0679122894169
105948,1480.0,1610.0,1725.0,1480.0,160765100,MDKA,2020-07-21,,,,1506.0,1503.4972651139908
96891,1650.0,1630.0,1700.0,1595.0,107400400,MDKA,2020-07-22,,,,1524.0,1531.6089839775484
8697,1645.0,1710.0,1810.0,1635.0,179183100,MDKA,2020-07-23,,,,1541.5,1571.2514319825377
104326,1735.0,1715.0,1780.0,1685.0,88978600,MDKA,2020-07-24,,,,1564.5,1603.1955582086405
57322,1770.0,1860.0,1955.0,1755.0,316915800,MDKA,2020-07-27,,,,1597.5,1660.2632119400537
41645,1920.0,1810.0,1965.0,1760.0,209396600,MDKA,2020-07-28,,,,1627.5,1693.5380537311528
114179,1820.0,1800.0,1860.0,1785.0,69232100,MDKA,2020-07-29,,,,1658.0,1717.196264013119
82865,1805.0,1790.0,1835.0,1760.0,117558100,MDKA,2020-07-30,,,,1688.5,1733.3748720102037
120765,1830.0,1745.0,1840.0,1690.0,82931500,MDKA,2020-08-03,,,,1714.5,1735.958233785714
7060,1750.0,1810.0,1815.0,1745.0,111542800,MDKA,2020-08-04,,,,1748.0,1752.411959611111
55678,1900.0,1935.0,1950.0,1860.0,238426200,MDKA,2020-08-05,,,,1780.5,1792.9870796975306
72167,1955.0,2020.0,2060.0,1950.0,194409800,MDKA,2020-08-06,,,,1819.5,1843.4343953203015
44116,2040.0,2050.0,2120.0,2010.0,140705300,MDKA,2020-08-07,,,,1853.5,1889.3378630269012
101847,2060.0,1980.0,2060.0,1945.0,77940700,MDKA,2020-08-10,,,,1880.0,1909.4850045764788
54862,1970.0,1915.0,1970.0,1875.0,135105800,MDKA,2020-08-11,,,,1885.5,1910.7105591150391
123228,1890.0,1810.0,1890.0,1785.0,267636700,MDKA,2020-08-12,,,1649.5,1885.5,1888.3304348672527
64743,1820.0,1770.0,1850.0,1770.0,98448500,MDKA,2020-08-13,,,1662.3333333333333,1882.5,1862.0347826745299
90314,1775.0,1810.0,1845.0,1775.0,159977700,MDKA,2020-08-14,,,1677.5,1884.5,1850.4714976357454
63099,1850.0,1870.0,1915.0,1845.0,195343500,MDKA,2020-08-18,,,1694.5,1897.0,1854.811164827802
91955,1900.0,1825.0,1905.0,1820.0,112232300,MDKA,2020-08-19,,,1709.6666666666667,1898.5,1848.186461532735
10345,1820.0,1800.0,1820.0,1740.0,95339300,MDKA,2020-08-24,,,1723.8333333333333,1885.0,1837.478358969905
132274,1810.0,1805.0,1820.0,1770.0,88088600,MDKA,2020-08-25,,,1735.6666666666667,1863.5,1830.2609458654817
106761,1800.0,1790.0,1830.0,1785.0,69866000,MDKA,2020-08-26,,,1744.1666666666667,1837.5,1821.3140690064859
3765,1745.0,1790.0,1800.0,1675.0,150502000,MDKA,2020-08-27,,,1754.3333333333333,1818.5,1814.3553870050446
81223,1790.0,1735.0,1800.0,1720.0,149498800,MDKA,2020-08-28,,,1761.1666666666667,1800.5,1796.7208565594792
27644,1755.0,1740.0,1780.0,1725.0,104446600,MDKA,2020-08-31,,,1768.8333333333333,1793.5,1784.116221768484
35039,1740.0,1815.0,1815.0,1735.0,184457100,MDKA,2020-09-01,,,1779.5,1798.0,1790.9792835977098
39177,1815.0,1780.0,1830.0,1765.0,111200000,MDKA,2020-09-02,,,1789.3333333333333,1795.0,1788.5394427982187
70514,1770.0,1745.0,1775.0,1740.0,94046000,MDKA,2020-09-03,,,1798.0,1782.5,1778.8640110652811
12820,1735.0,1730.0,1745.0,1710.0,84289800,MDKA,2020-09-04,,,1806.5,1773.0,1768.0053419396631
26826,1725.0,1700.0,1740.0,1700.0,99276200,MDKA,2020-09-07,,,1809.5,1763.0,1752.893043730849
110873,1700.0,1705.0,1705.0,1675.0,60392600,MDKA,2020-09-08,,,1812.0,1753.0,1742.2501451239937
124854,1700.0,1650.0,1700.0,1630.0,75556200,MDKA,2020-09-09,,,1810.0,1739.0,1721.7501128742174
7875,1660.0,1570.0,1670.0,1560.0,79504300,MDKA,2020-09-10,,,1805.1666666666667,1717.0,1688.0278655688358
17752,1540.0,1630.0,1655.0,1505.0,127323100,MDKA,2020-09-11,,,1797.5,1706.5,1675.1327843313168
44934,1630.0,1670.0,1680.0,1620.0,134670700,MDKA,2020-09-14,,,1792.8333333333333,1699.5,1673.992165591024
68041,1690.0,1620.0,1725.0,1610.0,234628300,MDKA,2020-09-15,,,1786.8333333333333,1680.0,1661.9939065707965
1287,1550.0,1530.0,1575.0,1530.0,140647300,MDKA,2020-09-16,,,1778.1666666666667,1655.0,1632.6619273328417
58139,1520.0,1575.0,1590.0,1505.0,139644300,MDKA,2020-09-17,,,1772.5,1638.0,1619.8481657033215
63919,1575.0,1600.0,1615.0,1555.0,107382800,MDKA,2020-09-18,,,1765.5,1625.0,1615.4374622136945
73811,1600.0,1570.0,1610.0,1550.0,83700000,MDKA,2020-09-21,,,1753.3333333333333,1612.0,1605.340248388429
102667,1540.0,1570.0,1590.0,1505.0,70032800,MDKA,2020-09-22,,,1738.3333333333333,1598.5,1597.486859857667
78764,1560.0,1580.0,1585.0,1550.0,55485600,MDKA,2020-09-23,,,1722.6666666666667,1591.5,1593.6008910004077
67214,1550.0,1530.0,1570.0,1510.0,49966400,MDKA,2020-09-24,,,1707.6666666666667,1587.5,1579.4673596669838
99369,1545.0,1555.0,1565.0,1530.0,45581600,MDKA,2020-09-25,,,1695.6666666666667,1580.0,1574.0301686298762
61451,1560.0,1615.0,1635.0,1540.0,129001500,MDKA,2020-09-28,,,1689.1666666666667,1574.5,1583.1345756010148
16103,1630.0,1615.0,1650.0,1590.0,135012200,MDKA,2020-09-29,,,1684.0,1574.0,1590.2157810230115
86176,1635.0,1615.0,1645.0,1595.0,60159400,MDKA,2020-09-30,,,1677.5,1582.5,1595.72338524012
94410,1650.0,1625.0,1650.0,1605.0,57647400,MDKA,2020-10-01,,,1669.3333333333333,1587.5,1602.2292996312044
69693,1630.0,1690.0,1725.0,1600.0,161055500,MDKA,2020-10-02,,,1664.8333333333333,1596.5,1621.733899713159
11999,1690.0,1690.0,1695.0,1655.0,83149000,MDKA,2020-10-05,,,1661.1666666666667,1608.5,1636.9041442213459
122406,1705.0,1680.0,1710.0,1675.0,58633300,MDKA,2020-10-06,,,1657.0,1619.5,1646.4810010610468
21057,1650.0,1715.0,1725.0,1640.0,104827500,MDKA,2020-10-07,,,1654.5,1633.0,1661.707445269703
19401,1715.0,1745.0,1750.0,1710.0,79058300,MDKA,2020-10-08,,,1653.0,1654.5,1680.2169018764357
112532,1745.0,1770.0,1775.0,1740.0,86696300,MDKA,2020-10-09,,,1654.1666666666667,1676.0,1700.16870145945
28465,1800.0,1790.0,1810.0,1775.0,116272000,MDKA,2020-10-12,,,1655.8333333333333,1693.5,1720.1312122462389
77938,1790.0,1805.0,1810.0,1760.0,78056500,MDKA,2020-10-13,,,1655.5,1712.5,1738.9909428581857
109221,1795.0,1805.0,1830.0,1785.0,94658000,MDKA,2020-10-14,,,1656.3333333333333,1731.5,1753.6596222230332
14466,1810.0,1835.0,1860.0,1805.0,135038900,MDKA,2020-10-15,,,1659.3333333333333,1752.5,1771.7352617290258
