,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126554,2770.0,2760.0,2770.0,2740.0,48400,MERK,2020-07-01,,,,,
133975,2760.0,2760.0,2770.0,2750.0,31100,MERK,2020-07-02,,,,,
107649,2780.0,2810.0,3000.0,2780.0,62100,MERK,2020-07-03,,,,,
89508,2810.0,2810.0,2880.0,2810.0,13100,MERK,2020-07-06,,,,,
34235,2820.0,2860.0,2900.0,2820.0,62600,MERK,2020-07-07,,,,,
51582,2860.0,2860.0,2900.0,2850.0,15700,MERK,2020-07-08,,,,,
119977,2860.0,2930.0,2940.0,2860.0,57000,MERK,2020-07-09,,,,,
23531,2950.0,2970.0,3000.0,2870.0,49500,MERK,2020-07-10,,,,,2845.0
15295,2970.0,3110.0,3140.0,2970.0,84400,MERK,2020-07-13,,,,,2903.8888888888887
31773,3110.0,3370.0,3450.0,3100.0,332100,MERK,2020-07-14,,,,2924.0,3007.469135802469
95280,3370.0,3500.0,3500.0,3360.0,315500,MERK,2020-07-15,,,,2998.0,3116.9204389574757
21886,3500.0,3940.0,3960.0,3410.0,727100,MERK,2020-07-16,,,,3116.0,3299.8270080780367
110086,3940.0,4050.0,4450.0,3940.0,1036800,MERK,2020-07-17,,,,3240.0,3466.5321173940283
82920,4050.0,3780.0,4160.0,3770.0,547900,MERK,2020-07-20,,,,3337.0,3536.191646862022
108457,3850.0,3850.0,3950.0,3520.0,490400,MERK,2020-07-21,,,,3436.0,3605.9268364482396
99400,3860.0,3940.0,4040.0,3850.0,698400,MERK,2020-07-22,,,,3544.0,3680.1653172375195
8704,4000.0,3870.0,4000.0,3870.0,439900,MERK,2020-07-23,,,,3638.0,3722.3508022958486
106835,3890.0,3770.0,3890.0,3720.0,203700,MERK,2020-07-24,,,,3718.0,3732.9395128967712
59831,3770.0,3740.0,3850.0,3690.0,70200,MERK,2020-07-27,,,,3781.0,3734.508510030822
43320,3750.0,3600.0,3750.0,3540.0,256600,MERK,2020-07-28,,,,3804.0,3704.617730023973
116688,3500.0,3710.0,3850.0,3500.0,339200,MERK,2020-07-29,,,,3825.0,3705.8137900186457
85374,3750.0,3660.0,3800.0,3650.0,306400,MERK,2020-07-30,,,,3797.0,3695.63294779228
123274,3660.0,3430.0,3730.0,3410.0,276100,MERK,2020-08-03,,,,3735.0,3636.60340383844
7067,3430.0,3440.0,3480.0,3430.0,62300,MERK,2020-08-04,,,,3701.0,3592.913758541009
58187,3450.0,3450.0,3580.0,3440.0,428200,MERK,2020-08-05,,,,3661.0,3561.155145531896
74676,3500.0,3500.0,3550.0,3490.0,327800,MERK,2020-08-06,,,,3617.0,3547.5651131914747
46625,3550.0,3500.0,3600.0,3480.0,653300,MERK,2020-08-07,,,,3580.0,3536.9950880378137
104356,3400.0,3360.0,3450.0,3260.0,248500,MERK,2020-08-10,,,,3539.0,3497.662846251633
57371,3340.0,3410.0,3460.0,3340.0,290400,MERK,2020-08-11,,,,3506.0,3478.18221375127
125737,3410.0,3380.0,3420.0,3370.0,47700,MERK,2020-08-12,,,3404.0,3484.0,3456.3639440287657
67252,3390.0,3300.0,3390.0,3260.0,176600,MERK,2020-08-13,,,3422.0,3443.0,3421.616400911262
92823,3300.0,3250.0,3350.0,3230.0,124100,MERK,2020-08-14,,,3438.3333333333335,3402.0,3383.479422930982
65608,3270.0,3210.0,3290.0,3200.0,206000,MERK,2020-08-18,,,3451.6666666666665,3380.0,3344.92844005743
94464,3220.0,3170.0,3230.0,3150.0,173200,MERK,2020-08-19,,,3463.6666666666665,3353.0,3306.0554533780014
10352,3180.0,3170.0,3220.0,3170.0,77200,MERK,2020-08-24,,,3474.0,3325.0,3275.82090818289
134783,3170.0,3200.0,3220.0,3170.0,84700,MERK,2020-08-25,,,3485.3333333333335,3295.0,3258.9718174755812
109270,3200.0,3300.0,3390.0,3200.0,422900,MERK,2020-08-26,,,3497.6666666666665,3275.0,3268.0891913698965
3772,3300.0,3260.0,3390.0,3260.0,377900,MERK,2020-08-27,,,3507.3333333333335,3265.0,3266.291593287697
83732,3300.0,3260.0,3320.0,3260.0,53600,MERK,2020-08-28,,,3512.3333333333335,3250.0,3264.8934614459868
27651,3260.0,3200.0,3280.0,3200.0,73900,MERK,2020-08-31,,,3506.6666666666665,3232.0,3250.4726922357677
35046,3200.0,3190.0,3200.0,3160.0,29000,MERK,2020-09-01,,,3496.3333333333335,3221.0,3237.034316183375
39184,3190.0,3170.0,3200.0,3150.0,75000,MERK,2020-09-02,,,3470.6666666666665,3213.0,3222.137801475958
73023,3200.0,3150.0,3200.0,3140.0,38800,MERK,2020-09-03,,,3440.6666666666665,3207.0,3206.1071789257453
12827,3140.0,3120.0,3150.0,3110.0,58000,MERK,2020-09-04,,,3418.6666666666665,3202.0,3186.97225027558
26833,3110.0,3000.0,3120.0,3000.0,206400,MERK,2020-09-07,,,3390.3333333333335,3185.0,3145.422861325451
113382,3010.0,3010.0,3070.0,3000.0,43400,MERK,2020-09-08,,,3359.3333333333335,3166.0,3115.328892142017
127363,3000.0,2850.0,3000.0,2830.0,169300,MERK,2020-09-09,,,3325.3333333333335,3121.0,3056.3669161104576
7882,2840.0,2690.0,2840.0,2680.0,224900,MERK,2020-09-10,,,3289.3333333333335,3064.0,2974.9520458636894
17759,2600.0,2810.0,2820.0,2600.0,75900,MERK,2020-09-11,,,3258.3333333333335,3019.0,2938.2960356717585
