,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
473,1060.0,1060.0,1070.0,1060.0,49400,MFIN,2021-04-01,,,,,
1313,1060.0,1060.0,1060.0,1060.0,20000,MFIN,2021-04-05,,,,,
2153,1070.0,1070.0,1070.0,1070.0,20000,MFIN,2021-04-06,,,,,
2995,1035.0,1085.0,1085.0,1030.0,20300,MFIN,2021-04-07,,,,,
3837,1080.0,1080.0,1080.0,1080.0,30000,MFIN,2021-04-08,,,,,
4681,1035.0,1075.0,1075.0,1035.0,20600,MFIN,2021-04-09,,,,,
5524,1075.0,1075.0,1075.0,1075.0,20000,MFIN,2021-04-12,,,,,
6368,1075.0,1095.0,1095.0,1075.0,10100,MFIN,2021-04-13,,,,,1075.0
7212,1090.0,1080.0,1090.0,1055.0,50600,MFIN,2021-04-14,,,,,1076.111111111111
8057,1150.0,1150.0,1150.0,1150.0,12000,MFIN,2021-04-15,,,,1083.0,1092.530864197531
8901,1070.0,1115.0,1140.0,1070.0,35500,MFIN,2021-04-16,,,,1088.5,1097.5240054869685
9745,1110.0,1140.0,1140.0,1085.0,12100,MFIN,2021-04-19,,,,1096.5,1106.9631153787532
10589,1100.0,1125.0,1125.0,1100.0,19200,MFIN,2021-04-20,,,,1102.0,1110.9713119612525
11433,1125.0,1120.0,1125.0,1120.0,20300,MFIN,2021-04-21,,,,1105.5,1112.9776870809742
12277,1120.0,1115.0,1120.0,1115.0,10100,MFIN,2021-04-22,,,,1109.0,1113.4270899518688
13121,1115.0,1110.0,1115.0,1070.0,25400,MFIN,2021-04-23,,,,1112.5,1112.6655144070091
13964,1110.0,1110.0,1110.0,1095.0,12100,MFIN,2021-04-26,,,,1116.0,1112.0731778721183
14807,1110.0,1105.0,1110.0,1105.0,30100,MFIN,2021-04-27,,,,1117.0,1110.5013605672032
15651,1105.0,1105.0,1105.0,1105.0,5000,MFIN,2021-04-28,,,,1119.5,1109.2788359967135
16495,1100.0,1100.0,1100.0,1100.0,15000,MFIN,2021-04-29,,,,1114.5,1107.2168724418882
17339,1100.0,1100.0,1100.0,1045.0,20800,MFIN,2021-04-30,,,,1113.0,1105.6131230103574
18182,1055.0,1110.0,1110.0,1050.0,19800,MFIN,2021-05-03,,,,1110.0,1106.5879845636114
19025,1110.0,1110.0,1110.0,1110.0,11200,MFIN,2021-05-04,,,,1108.5,1107.3462102161423
19869,1120.0,1120.0,1120.0,1120.0,14000,MFIN,2021-05-05,,,,1108.5,1110.158163501444
20713,1150.0,1150.0,1150.0,1150.0,10100,MFIN,2021-05-06,,,,1112.0,1119.0119049455675
21557,1130.0,1150.0,1150.0,1110.0,20900,MFIN,2021-05-07,,,,1116.0,1125.898148290997
22401,1120.0,1145.0,1145.0,1120.0,21100,MFIN,2021-05-10,,,,1119.5,1130.143004226331
23244,1150.0,1140.0,1150.0,1120.0,90100,MFIN,2021-05-11,,,,1123.0,1132.3334477315907
24086,1120.0,1125.0,1140.0,1100.0,59200,MFIN,2021-05-17,,,,1125.0,1130.703792680126
24926,1125.0,1125.0,1125.0,1125.0,100,MFIN,2021-05-18,,,1108.3333333333333,1127.5,1129.4362831956537
25766,1125.0,1125.0,1125.0,1125.0,0,MFIN,2021-05-19,,,1110.5,1130.0,1128.4504424855083
26680,1100.0,1160.0,1160.0,1100.0,7800,MFIN,2021-05-20,,,1113.8333333333333,1135.0,1135.4614552665064
27490,1165.0,1230.0,1230.0,1160.0,8000,MFIN,2021-05-21,,,1119.1666666666667,1147.0,1156.4700207628382
28332,1230.0,1225.0,1230.0,1145.0,72800,MFIN,2021-05-24,,,1123.8333333333333,1157.5,1171.698905037763
29174,1220.0,1165.0,1220.0,1160.0,98200,MFIN,2021-05-25,,,1126.6666666666667,1159.0,1170.2102594738158
29965,1160.0,1195.0,1195.0,1155.0,22200,MFIN,2021-05-27,,,1130.6666666666667,1163.5,1175.7190907018567
30807,1195.0,1200.0,1200.0,1185.0,13400,MFIN,2021-05-28,,,1134.8333333333333,1169.0,1181.1148483236664
31649,1185.0,1130.0,1185.0,1120.0,165900,MFIN,2021-05-31,,,1136.0,1168.0,1169.7559931406295
32491,1130.0,1140.0,1190.0,1130.0,99800,MFIN,2021-06-02,,,1138.0,1169.5,1163.1435502204895
33332,1130.0,1135.0,1145.0,1120.0,18700,MFIN,2021-06-03,,,1137.5,1170.5,1156.8894279492697
34173,1130.0,1135.0,1135.0,1115.0,29700,MFIN,2021-06-04,,,1138.1666666666667,1171.5,1152.0251106272099
35014,1135.0,1130.0,1135.0,1115.0,26000,MFIN,2021-06-07,,,1137.8333333333333,1168.5,1147.130641598941
35855,1125.0,1130.0,1130.0,1110.0,21700,MFIN,2021-06-08,,,1138.0,1158.5,1143.323832354732
36698,1110.0,1130.0,1130.0,1110.0,13000,MFIN,2021-06-09,,,1138.3333333333333,1149.0,1140.3629807203472
37543,1130.0,1150.0,1150.0,1130.0,18900,MFIN,2021-06-10,,,1139.5,1147.5,1142.50454056027
38390,1145.0,1145.0,1145.0,1135.0,17800,MFIN,2021-06-11,,,1140.6666666666667,1142.5,1143.0590871024322
39237,1140.0,1200.0,1200.0,1140.0,20100,MFIN,2021-06-14,,,1143.6666666666667,1142.5,1155.7126233018917
40084,1200.0,1195.0,1200.0,1150.0,15600,MFIN,2021-06-15,,,1146.6666666666667,1149.0,1164.443151457027
40931,1170.0,1225.0,1225.0,1150.0,21100,MFIN,2021-06-16,,,1150.6666666666667,1157.5,1177.900228911021
41778,1220.0,1245.0,1245.0,1220.0,20100,MFIN,2021-06-17,,,1155.5,1168.5,1192.8112891530163
42625,1245.0,1195.0,1245.0,1165.0,32200,MFIN,2021-06-18,,,1158.6666666666667,1174.5,1193.297669341235
43472,1240.0,1230.0,1240.0,1230.0,33100,MFIN,2021-06-21,,,1162.6666666666667,1184.5,1201.4537428209605
44319,1180.0,1235.0,1235.0,1180.0,20100,MFIN,2021-06-22,,,1166.8333333333333,1195.0,1208.908466638525
45166,1235.0,1235.0,1235.0,1235.0,0,MFIN,2021-06-23,,,1170.6666666666667,1205.5,1214.7065851632972
46013,1180.0,1175.0,1180.0,1175.0,74200,MFIN,2021-06-24,,,1171.5,1208.0,1205.8828995714534
46860,1175.0,1175.0,1175.0,1175.0,20100,MFIN,2021-06-25,,,1172.3333333333333,1211.0,1199.0200330000193
47708,1175.0,1180.0,1180.0,1175.0,10600,MFIN,2021-06-28,,,1173.5,1209.0,1194.793359000015
48553,1180.0,1175.0,1180.0,1175.0,20100,MFIN,2021-06-29,,,1174.6666666666667,1207.0,1190.3948347777894
49351,1175.0,1175.0,1175.0,1175.0,10500,MFIN,2021-06-30,,,1176.3333333333333,1202.0,1186.973760382725
50202,1175.0,1160.0,1175.0,1160.0,11000,MFIN,2021-07-01,,,1177.5,1193.5,1180.979591408786
51053,1180.0,1180.0,1180.0,1180.0,19400,MFIN,2021-07-02,,,1179.3333333333333,1192.0,1180.761904429056
51904,1180.0,1180.0,1180.0,1110.0,1200,MFIN,2021-07-05,,,1180.0,1187.0,1180.5925923337102
52756,1170.0,1170.0,1170.0,1170.0,200,MFIN,2021-07-06,,,1178.0,1180.5,1178.238682926219
53590,1170.0,1170.0,1170.0,1170.0,10000,MFIN,2021-07-07,,,1176.1666666666667,1174.0,1176.4078644981705
54418,1170.0,1165.0,1170.0,1165.0,21000,MFIN,2021-07-08,,,1176.1666666666667,1173.0,1173.872783498577
55269,1165.0,1160.0,1165.0,1160.0,20300,MFIN,2021-07-09,,,1175.0,1171.5,1170.7899427211155
56122,1155.0,1155.0,1155.0,1155.0,30000,MFIN,2021-07-12,,,1173.5,1169.0,1167.2810665608677
56975,1150.0,1150.0,1150.0,1150.0,30000,MFIN,2021-07-13,,,1174.1666666666667,1166.5,1163.4408295473415
57828,1080.0,1130.0,1130.0,1070.0,109100,MFIN,2021-07-14,,,1173.8333333333333,1162.0,1156.0095340923767
58681,1125.0,1125.0,1125.0,1080.0,40500,MFIN,2021-07-15,,,1173.5,1158.5,1149.118526516293
59534,1125.0,1125.0,1125.0,1125.0,0,MFIN,2021-07-16,,,1173.1666666666667,1153.0,1143.7588539571168
60386,1080.0,1120.0,1120.0,1055.0,98000,MFIN,2021-07-19,,,1172.8333333333333,1147.0,1138.479108633313
61238,1120.0,1120.0,1120.0,1120.0,15000,MFIN,2021-07-21,,,1172.5,1142.0,1134.3726400481323
62090,1120.0,1120.0,1120.0,1120.0,200,MFIN,2021-07-22,,,1172.1666666666667,1137.0,1131.1787200374363
62942,1120.0,1150.0,1150.0,1120.0,40500,MFIN,2021-07-23,,,1172.1666666666667,1135.5,1135.3612266957837
