,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
481,50.0,50.0,50.0,50.0,0,MIRA,2021-04-01,,,,,
1321,50.0,50.0,50.0,50.0,300,MIRA,2021-04-05,,,,,
2161,50.0,50.0,50.0,50.0,1000,MIRA,2021-04-06,,,,,
3003,50.0,50.0,50.0,50.0,0,MIRA,2021-04-07,,,,,
3845,50.0,50.0,50.0,50.0,0,MIRA,2021-04-08,,,,,
4689,50.0,50.0,50.0,50.0,60100,MIRA,2021-04-09,,,,,
5532,50.0,50.0,50.0,50.0,200,MIRA,2021-04-12,,,,,
6376,50.0,50.0,50.0,50.0,100,MIRA,2021-04-13,,,,,50.0
7220,50.0,50.0,50.0,50.0,2400,MIRA,2021-04-14,,,,,50.0
8065,50.0,50.0,50.0,50.0,200,MIRA,2021-04-15,,,,50.0,50.0
8909,50.0,50.0,50.0,50.0,20300,MIRA,2021-04-16,,,,50.0,50.0
9753,50.0,50.0,50.0,50.0,1500,MIRA,2021-04-19,,,,50.0,50.0
10597,50.0,50.0,50.0,50.0,20300,MIRA,2021-04-20,,,,50.0,50.0
11441,50.0,50.0,50.0,50.0,0,MIRA,2021-04-21,,,,50.0,50.0
12285,50.0,50.0,50.0,50.0,1700,MIRA,2021-04-22,,,,50.0,50.0
13129,50.0,50.0,50.0,50.0,0,MIRA,2021-04-23,,,,50.0,50.0
13972,50.0,50.0,50.0,50.0,2800,MIRA,2021-04-26,,,,50.0,50.0
14815,50.0,50.0,50.0,50.0,100,MIRA,2021-04-27,,,,50.0,50.0
15659,50.0,50.0,50.0,50.0,0,MIRA,2021-04-28,,,,50.0,50.0
16503,50.0,50.0,50.0,50.0,324300,MIRA,2021-04-29,,,,50.0,50.0
17347,50.0,50.0,50.0,50.0,0,MIRA,2021-04-30,,,,50.0,50.0
18190,50.0,50.0,50.0,50.0,1700,MIRA,2021-05-03,,,,50.0,50.0
19033,50.0,50.0,50.0,50.0,0,MIRA,2021-05-04,,,,50.0,50.0
19877,50.0,50.0,50.0,50.0,0,MIRA,2021-05-05,,,,50.0,50.0
20721,50.0,50.0,50.0,50.0,4300,MIRA,2021-05-06,,,,50.0,50.0
21565,50.0,50.0,50.0,50.0,100,MIRA,2021-05-07,,,,50.0,50.0
22409,50.0,50.0,50.0,50.0,31700,MIRA,2021-05-10,,,,50.0,50.0
23252,50.0,50.0,50.0,50.0,800,MIRA,2021-05-11,,,,50.0,50.0
24094,50.0,50.0,50.0,50.0,100,MIRA,2021-05-17,,,,50.0,50.0
24934,50.0,50.0,50.0,50.0,100,MIRA,2021-05-18,,,50.0,50.0,50.0
25774,50.0,50.0,50.0,50.0,0,MIRA,2021-05-19,,,50.0,50.0,50.0
26689,50.0,50.0,50.0,50.0,300,MIRA,2021-05-20,,,50.0,50.0,50.0
27498,50.0,50.0,50.0,50.0,0,MIRA,2021-05-21,,,50.0,50.0,50.0
28340,50.0,50.0,50.0,50.0,200,MIRA,2021-05-24,,,50.0,50.0,50.0
29182,50.0,50.0,50.0,50.0,10000,MIRA,2021-05-25,,,50.0,50.0,50.0
29973,50.0,50.0,50.0,50.0,0,MIRA,2021-05-27,,,50.0,50.0,50.0
30815,50.0,50.0,50.0,50.0,200,MIRA,2021-05-28,,,50.0,50.0,50.0
31657,50.0,50.0,50.0,50.0,0,MIRA,2021-05-31,,,50.0,50.0,50.0
32499,50.0,50.0,50.0,50.0,100,MIRA,2021-06-02,,,50.0,50.0,50.0
33340,50.0,50.0,50.0,50.0,0,MIRA,2021-06-03,,,50.0,50.0,50.0
34181,50.0,50.0,50.0,50.0,0,MIRA,2021-06-04,,,50.0,50.0,50.0
35022,50.0,50.0,50.0,50.0,3700,MIRA,2021-06-07,,,50.0,50.0,50.0
35865,50.0,50.0,50.0,50.0,100,MIRA,2021-06-08,,,50.0,50.0,50.0
36708,50.0,50.0,50.0,50.0,0,MIRA,2021-06-09,,,50.0,50.0,50.0
37553,50.0,50.0,50.0,50.0,5000,MIRA,2021-06-10,,,50.0,50.0,50.0
38400,50.0,50.0,50.0,50.0,200,MIRA,2021-06-11,,,50.0,50.0,50.0
39247,50.0,50.0,50.0,50.0,6500,MIRA,2021-06-14,,,50.0,50.0,50.0
40094,50.0,50.0,50.0,50.0,50300,MIRA,2021-06-15,,,50.0,50.0,50.0
40941,50.0,50.0,50.0,50.0,32400,MIRA,2021-06-16,,,50.0,50.0,50.0
41788,50.0,50.0,50.0,50.0,0,MIRA,2021-06-17,,,50.0,50.0,50.0
42635,50.0,50.0,50.0,50.0,1100,MIRA,2021-06-18,,,50.0,50.0,50.0
43482,50.0,50.0,50.0,50.0,0,MIRA,2021-06-21,,,50.0,50.0,50.0
44329,50.0,50.0,50.0,50.0,0,MIRA,2021-06-22,,,50.0,50.0,50.0
45176,50.0,50.0,50.0,50.0,1000,MIRA,2021-06-23,,,50.0,50.0,50.0
46023,50.0,50.0,50.0,50.0,100,MIRA,2021-06-24,,,50.0,50.0,50.0
46870,50.0,50.0,50.0,50.0,0,MIRA,2021-06-25,,,50.0,50.0,50.0
47718,50.0,50.0,50.0,50.0,100,MIRA,2021-06-28,,,50.0,50.0,50.0
48562,50.0,50.0,50.0,50.0,300,MIRA,2021-06-29,,,50.0,50.0,50.0
49361,50.0,50.0,50.0,50.0,500,MIRA,2021-06-30,,,50.0,50.0,50.0
50212,50.0,50.0,50.0,50.0,100,MIRA,2021-07-01,,,50.0,50.0,50.0
51063,50.0,50.0,50.0,50.0,100,MIRA,2021-07-02,,,50.0,50.0,50.0
51914,50.0,50.0,50.0,50.0,1700,MIRA,2021-07-05,,,50.0,50.0,50.0
52766,50.0,50.0,50.0,50.0,200,MIRA,2021-07-06,,,50.0,50.0,50.0
53598,50.0,50.0,50.0,50.0,3700,MIRA,2021-07-07,,,50.0,50.0,50.0
54428,50.0,50.0,50.0,50.0,1000,MIRA,2021-07-08,,,50.0,50.0,50.0
55279,50.0,50.0,50.0,50.0,0,MIRA,2021-07-09,,,50.0,50.0,50.0
56132,50.0,50.0,50.0,50.0,0,MIRA,2021-07-12,,,50.0,50.0,50.0
56985,50.0,50.0,50.0,50.0,800,MIRA,2021-07-13,,,50.0,50.0,50.0
57838,50.0,50.0,50.0,50.0,0,MIRA,2021-07-14,,,50.0,50.0,50.0
58691,50.0,50.0,50.0,50.0,100,MIRA,2021-07-15,,,50.0,50.0,50.0
59544,50.0,50.0,50.0,50.0,0,MIRA,2021-07-16,,,50.0,50.0,50.0
60396,50.0,50.0,50.0,50.0,0,MIRA,2021-07-19,,,50.0,50.0,50.0
61248,50.0,50.0,50.0,50.0,100,MIRA,2021-07-21,,,50.0,50.0,50.0
62100,50.0,50.0,50.0,50.0,0,MIRA,2021-07-22,,,50.0,50.0,50.0
62952,50.0,50.0,50.0,50.0,10200,MIRA,2021-07-23,,,50.0,50.0,50.0
63804,50.0,50.0,50.0,50.0,0,MIRA,2021-07-26,,,50.0,50.0,50.0
64656,50.0,50.0,50.0,50.0,11300,MIRA,2021-07-27,,,50.0,50.0,50.0
65510,50.0,50.0,50.0,50.0,0,MIRA,2021-07-28,,,50.0,50.0,50.0
66364,50.0,50.0,50.0,50.0,0,MIRA,2021-07-29,,,50.0,50.0,50.0
67218,50.0,50.0,50.0,50.0,200,MIRA,2021-07-30,,,50.0,50.0,50.0
68072,50.0,50.0,50.0,50.0,0,MIRA,2021-08-02,,,50.0,50.0,50.0
68926,50.0,50.0,50.0,50.0,0,MIRA,2021-08-03,,,50.0,50.0,50.0
69780,50.0,50.0,50.0,50.0,100,MIRA,2021-08-04,,,50.0,50.0,50.0
70634,50.0,50.0,50.0,50.0,0,MIRA,2021-08-05,,,50.0,50.0,50.0
71489,50.0,50.0,50.0,50.0,0,MIRA,2021-08-06,,,50.0,50.0,50.0
72344,50.0,50.0,50.0,50.0,9700,MIRA,2021-08-09,,,50.0,50.0,50.0
73199,50.0,50.0,50.0,50.0,5100,MIRA,2021-08-10,,,50.0,50.0,50.0
74054,50.0,50.0,50.0,50.0,100,MIRA,2021-08-12,,,50.0,50.0,50.0
74909,50.0,50.0,50.0,50.0,4200,MIRA,2021-08-13,,,50.0,50.0,50.0
75764,50.0,50.0,50.0,50.0,200,MIRA,2021-08-16,,,50.0,50.0,50.0
76619,50.0,50.0,50.0,50.0,0,MIRA,2021-08-18,,,50.0,50.0,50.0
77474,50.0,50.0,50.0,50.0,0,MIRA,2021-08-19,,,50.0,50.0,50.0
78329,50.0,50.0,50.0,50.0,900,MIRA,2021-08-20,,,50.0,50.0,50.0
79184,50.0,50.0,50.0,50.0,200,MIRA,2021-08-23,,,50.0,50.0,50.0
80039,50.0,50.0,50.0,50.0,300,MIRA,2021-08-24,,,50.0,50.0,50.0
80894,50.0,50.0,50.0,50.0,300,MIRA,2021-08-25,,,50.0,50.0,50.0
81749,50.0,50.0,50.0,50.0,100,MIRA,2021-08-26,,,50.0,50.0,50.0
82604,50.0,50.0,50.0,50.0,200,MIRA,2021-08-27,,,50.0,50.0,50.0
83459,50.0,50.0,50.0,50.0,0,MIRA,2021-08-30,,,50.0,50.0,50.0
84314,50.0,50.0,50.0,50.0,2400,MIRA,2021-08-31,50.0,,50.0,50.0,50.0
