,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
484,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-01,,,,,
1324,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-05,,,,,
2164,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-06,,,,,
3006,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-07,,,,,
3848,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-08,,,,,
4692,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-09,,,,,
5535,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-12,,,,,
6379,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-13,,,,,27025.0
7223,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-14,,,,,27025.0
8068,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-15,,,,27025.0,27025.0
8912,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-16,,,,27025.0,27025.0
9756,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-19,,,,27025.0,27025.0
10600,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-20,,,,27025.0,27025.0
11444,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-21,,,,27025.0,27025.0
12288,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-22,,,,27025.0,27025.0
13132,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-23,,,,27025.0,27025.0
13975,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-26,,,,27025.0,27025.0
14818,27025.0,27025.0,27025.0,27025.0,0,MKPI,2021-04-27,,,,27025.0,27025.0
15662,26750.0,26750.0,26750.0,26750.0,100,MKPI,2021-04-28,,,,26997.5,26963.88888888889
16506,26750.0,26750.0,26750.0,26750.0,0,MKPI,2021-04-29,,,,26970.0,26916.35802469136
17350,26500.0,26500.0,26500.0,26500.0,100,MKPI,2021-04-30,,,,26917.5,26823.83401920439
18193,26500.0,26500.0,26500.0,26500.0,0,MKPI,2021-05-03,,,,26865.0,26751.87090382564
19036,26500.0,26500.0,26500.0,26500.0,0,MKPI,2021-05-04,,,,26812.5,26695.899591864385
19880,26500.0,26500.0,26500.0,26500.0,0,MKPI,2021-05-05,,,,26760.0,26652.366349227854
20724,26500.0,26500.0,26500.0,26500.0,0,MKPI,2021-05-06,,,,26707.5,26618.50716051055
21568,26500.0,26500.0,26500.0,26500.0,0,MKPI,2021-05-07,,,,26655.0,26592.17223595265
22412,25900.0,25900.0,25900.0,25900.0,100,MKPI,2021-05-10,,,,26542.5,26438.35618351873
23255,25800.0,25800.0,25800.0,25800.0,100,MKPI,2021-05-11,,,,26420.0,26296.4992538479
24097,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-17,,,,26325.0,26186.166086326142
24937,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-18,,,26741.666666666668,26230.0,26100.351400475887
25777,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-19,,,26700.833333333332,26160.0,26033.60664481458
26692,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-20,,,26660.0,26090.0,25981.694057078006
27501,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-21,,,26619.166666666668,26020.0,25941.31759994956
28343,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-24,,,26578.333333333332,25950.0,25909.913688849658
29185,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-25,,,26537.5,25880.0,25885.488424660845
29976,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-27,,,26496.666666666668,25810.0,25866.490996958437
30818,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-28,,,26455.833333333332,25800.0,25851.715219856564
31660,25800.0,25800.0,25800.0,25800.0,0,MKPI,2021-05-31,,,26415.0,25800.0,25840.222948777326
32502,25425.0,25200.0,25425.0,25200.0,300,MKPI,2021-06-02,,,26354.166666666668,25740.0,25697.951182382363
33343,25200.0,25200.0,25200.0,25200.0,0,MKPI,2021-06-03,,,26293.333333333332,25680.0,25587.295364075173
34184,25200.0,25200.0,25200.0,25200.0,0,MKPI,2021-06-04,,,26232.5,25620.0,25501.229727614023
35025,25200.0,25200.0,25200.0,25200.0,0,MKPI,2021-06-07,,,26171.666666666668,25560.0,25434.28978814424
35868,25200.0,25200.0,25200.0,25200.0,0,MKPI,2021-06-08,,,26110.833333333332,25500.0,25382.225390778854
36711,25200.0,25200.0,25200.0,25200.0,0,MKPI,2021-06-09,,,26050.0,25440.0,25341.730859494666
37556,25200.0,25200.0,25200.0,25200.0,0,MKPI,2021-06-10,,,25989.166666666668,25380.0,25310.235112940296
38403,25200.0,25200.0,25200.0,25200.0,0,MKPI,2021-06-11,,,25928.333333333332,25320.0,25285.738421175785
39250,25200.0,25200.0,25200.0,25200.0,0,MKPI,2021-06-14,,,25867.5,25260.0,25266.68543869228
40097,25200.0,25200.0,25200.0,25200.0,0,MKPI,2021-06-15,,,25806.666666666668,25200.0,25251.866452316215
40944,25200.0,25200.0,25200.0,25200.0,100,MKPI,2021-06-16,,,25755.0,25200.0,25240.34057402372
41791,25200.0,25200.0,25200.0,25200.0,100,MKPI,2021-06-17,,,25703.333333333332,25200.0,25231.37600201845
42638,25100.0,25100.0,25100.0,25100.0,100,MKPI,2021-06-18,,,25656.666666666668,25190.0,25202.181334903238
43485,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-06-21,,,25610.0,25180.0,25179.47437159141
44332,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-06-22,,,25563.333333333332,25170.0,25161.81340012665
45179,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-06-23,,,25516.666666666668,25160.0,25148.077088987397
46026,25100.0,25100.0,25100.0,25100.0,200,MKPI,2021-06-24,,,25470.0,25150.0,25137.39329143464
46873,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-06-25,,,25423.333333333332,25140.0,25129.08367111583
47721,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-06-28,,,25396.666666666668,25130.0,25122.62063309009
48565,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-06-29,,,25373.333333333332,25120.0,25117.593825736738
49364,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-06-30,,,25350.0,25110.0,25113.68408668413
50215,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-01,,,25326.666666666668,25100.0,25110.6431785321
51066,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-02,,,25303.333333333332,25100.0,25108.27802774719
51917,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-05,,,25280.0,25100.0,25106.438466025593
52769,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-06,,,25256.666666666668,25100.0,25105.00769579768
53601,25100.0,25100.0,25100.0,25100.0,100,MKPI,2021-07-07,,,25233.333333333332,25100.0,25103.894874509308
54431,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-08,,,25210.0,25100.0,25103.029346840573
55282,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-09,,,25186.666666666668,25100.0,25102.35615865378
56135,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-12,,,25163.333333333332,25100.0,25101.83256784183
56988,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-13,,,25140.0,25100.0,25101.425330543647
57841,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-14,,,25136.666666666668,25100.0,25101.108590422835
58694,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-15,,,25133.333333333332,25100.0,25100.862236995537
59547,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-16,,,25130.0,25100.0,25100.670628774307
60399,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-19,,,25126.666666666668,25100.0,25100.521600157794
61251,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-21,,,25123.333333333332,25100.0,25100.40568901162
62103,25100.0,25100.0,25100.0,25100.0,300,MKPI,2021-07-22,,,25120.0,25100.0,25100.315535897927
62955,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-23,,,25116.666666666668,25100.0,25100.2454168095
63807,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-26,,,25113.333333333332,25100.0,25100.190879740723
64659,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-27,,,25110.0,25100.0,25100.148462020563
65513,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-28,,,25106.666666666668,25100.0,25100.115470460438
66367,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-29,,,25103.333333333332,25100.0,25100.089810358117
67221,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-07-30,,,25100.0,25100.0,25100.069852500757
68075,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-08-02,,,25100.0,25100.0,25100.05432972281
68929,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-08-03,,,25100.0,25100.0,25100.042256451074
69783,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-08-04,,,25100.0,25100.0,25100.03286612861
70637,25100.0,25100.0,25100.0,25100.0,0,MKPI,2021-08-05,,,25100.0,25100.0,25100.025562544477
71492,25000.0,25000.0,25000.0,25000.0,100,MKPI,2021-08-06,,,25096.666666666668,25090.0,25077.797659756816
72347,25000.0,25000.0,25000.0,25000.0,100,MKPI,2021-08-09,,,25093.333333333332,25080.0,25060.509290921967
73202,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-10,,,25090.0,25070.0,25047.062781828197
74057,25000.0,25000.0,25000.0,25000.0,100,MKPI,2021-08-12,,,25086.666666666668,25060.0,25036.604385866376
74912,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-13,,,25083.333333333332,25050.0,25028.47007789607
75767,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-16,,,25080.0,25040.0,25022.143393919163
76622,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-18,,,25076.666666666668,25030.0,25017.222639714906
77477,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-19,,,25073.333333333332,25020.0,25013.39538644493
78332,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-20,,,25070.0,25010.0,25010.418633901612
79187,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-23,,,25066.666666666668,25000.0,25008.103381923476
80042,25000.0,25000.0,25000.0,24975.0,300,MKPI,2021-08-24,,,25063.333333333332,25000.0,25006.302630384926
80897,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-25,,,25060.0,25000.0,25004.902045854942
81752,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-26,,,25056.666666666668,25000.0,25003.812702331623
82607,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-27,,,25053.333333333332,25000.0,25002.965435146816
83462,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-30,,,25050.0,25000.0,25002.306449558633
84317,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-08-31,25644.5,,25046.666666666668,25000.0,25001.79390521227
85173,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-01,25624.25,,25043.333333333332,25000.0,25001.395259609544
86029,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-02,25604.0,,25040.0,25000.0,25001.085201918533
86885,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-03,25583.75,,25036.666666666668,25000.0,25000.844045936636
87743,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-06,25563.5,,25033.333333333332,25000.0,25000.65648017294
88604,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-07,25543.25,,25030.0,25000.0,25000.510595690066
89467,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-08,25523.0,,25026.666666666668,25000.0,25000.397129981164
90335,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-09,25502.75,,25023.333333333332,25000.0,25000.30887887424
91203,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-10,25482.5,,25020.0,25000.0,25000.240239124407
92071,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-13,25462.25,,25016.666666666668,25000.0,25000.186852652318
92939,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-14,25442.0,,25013.333333333332,25000.0,25000.145329840692
93807,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-15,25421.75,,25010.0,25000.0,25000.113034320537
94675,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-16,25401.5,,25006.666666666668,25000.0,25000.08791558264
95543,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-17,25381.25,,25003.333333333332,25000.0,25000.0683787865
96411,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-20,25361.0,,25000.0,25000.0,25000.05318350061
97279,25000.0,25000.0,25000.0,25000.0,12500,MKPI,2021-09-21,25340.75,,25000.0,25000.0,25000.04136494492
98148,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-22,25320.5,,25000.0,25000.0,25000.032172734936
99017,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-23,25300.25,,25000.0,25000.0,25000.025023238282
99886,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-24,25280.0,,25000.0,25000.0,25000.019462518663
100754,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-27,25262.5,,25000.0,25000.0,25000.015137514514
101622,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-28,25245.0,,25000.0,25000.0,25000.0117736224
102490,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-29,25230.0,,25000.0,25000.0,25000.009157261866
103358,25000.0,25000.0,25000.0,25000.0,0,MKPI,2021-09-30,25215.0,,25000.0,25000.0,25000.007122314786
104225,24925.0,24925.0,24925.0,24925.0,100,MKPI,2021-10-01,25199.25,,24997.5,24992.5,24983.3388729115
105092,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-04,25183.5,,24995.0,24985.0,24970.374678931166
105959,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-05,25167.75,,24992.5,24977.5,24960.291416946464
106826,25500.0,24925.0,25500.0,24925.0,1100,MKPI,2021-10-06,25152.0,,24990.0,24970.0,24952.44887984725
107693,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-07,25142.25,,24987.5,24962.5,24946.34912877008
108560,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-08,25133.5,,24985.0,24955.0,24941.604877932285
109426,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-11,25124.75,,24982.5,24947.5,24937.914905058442
110292,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-12,25116.0,,24980.0,24940.0,24935.044926156566
111158,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-13,25107.25,,24977.5,24932.5,24932.812720343994
112024,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-14,25098.5,,24975.0,24925.0,24931.076560267553
112890,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-15,25089.75,,24972.5,24925.0,24929.72621354143
113756,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-18,25081.0,,24970.0,24925.0,24928.675943865557
114622,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-19,25072.25,,24967.5,24925.0,24927.85906745099
115488,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-21,25063.5,,24965.0,24925.0,24927.22371912855
116353,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-22,25054.75,,24962.5,24925.0,24926.729559322204
117220,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-25,25046.0,,24960.0,24925.0,24926.345212806158
118088,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-26,25043.25,,24957.5,24925.0,24926.04627662701
118956,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-27,25040.5,,24955.0,24925.0,24925.813770709898
119824,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-28,25037.75,,24952.5,24925.0,24925.632932774366
120692,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-10-29,25035.0,,24950.0,24925.0,24925.49228104673
121560,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-01,25032.25,,24947.5,24925.0,24925.38288525857
122427,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-02,25029.5,,24945.0,24925.0,24925.297799645552
123294,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-03,25026.75,,24942.5,24925.0,24925.23162194654
124161,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-04,25024.0,,24940.0,24925.0,24925.180150402863
125028,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-05,25021.25,,24937.5,24925.0,24925.140116980005
125895,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-08,25018.5,,24935.0,24925.0,24925.108979873337
126761,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-09,25015.75,,24932.5,24925.0,24925.084762123708
127627,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-10,25013.0,,24930.0,24925.0,24925.065926096217
128493,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-11,25011.25,,24927.5,24925.0,24925.051275852613
129359,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-12,25009.5,,24925.0,24925.0,24925.039881218698
130226,24925.0,24925.0,24925.0,24925.0,0,MKPI,2021-11-15,25007.75,,24925.0,24925.0,24925.031018725655
