,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
485,9000.0,9050.0,9050.0,9000.0,1900,MLBI,2021-04-01,,,,,
1325,9050.0,9175.0,9200.0,9025.0,5300,MLBI,2021-04-05,,,,,
2165,9025.0,9175.0,9175.0,9025.0,25800,MLBI,2021-04-06,,,,,
3007,9150.0,9150.0,9150.0,9050.0,1200,MLBI,2021-04-07,,,,,
3849,9150.0,9100.0,9150.0,9100.0,1500,MLBI,2021-04-08,,,,,
4693,9075.0,9100.0,9100.0,9050.0,2300,MLBI,2021-04-09,,,,,
5536,9100.0,9050.0,9100.0,9050.0,6000,MLBI,2021-04-12,,,,,
6380,9075.0,9050.0,9075.0,9050.0,7400,MLBI,2021-04-13,,,,,9106.25
7224,9050.0,9050.0,9050.0,9000.0,6600,MLBI,2021-04-14,,,,,9093.75
8069,9025.0,9075.0,9075.0,9025.0,5100,MLBI,2021-04-15,,,,9097.5,9089.583333333334
8913,9075.0,9075.0,9075.0,9050.0,58300,MLBI,2021-04-16,,,,9100.0,9086.342592592593
9757,9075.0,9025.0,9075.0,9000.0,10400,MLBI,2021-04-19,,,,9085.0,9072.710905349795
10601,9025.0,9025.0,9025.0,8975.0,14500,MLBI,2021-04-20,,,,9070.0,9062.108481938729
11445,9100.0,9175.0,9200.0,9075.0,161900,MLBI,2021-04-21,,,,9072.5,9087.195485952345
12289,9175.0,9150.0,9200.0,9150.0,18400,MLBI,2021-04-22,,,,9077.5,9101.152044629602
13133,9200.0,9250.0,9350.0,9200.0,153700,MLBI,2021-04-23,,,,9092.5,9134.229368045246
13976,9250.0,9350.0,9400.0,9250.0,179700,MLBI,2021-04-26,,,,9122.5,9182.178397368525
14819,9400.0,9375.0,9500.0,9350.0,221500,MLBI,2021-04-27,,,,9155.0,9225.027642397741
15663,9375.0,9475.0,9500.0,9375.0,280000,MLBI,2021-04-28,,,,9197.5,9280.577055198242
16507,9375.0,8975.0,9400.0,8825.0,242300,MLBI,2021-04-29,,,,9187.5,9212.671042931966
17351,8975.0,8975.0,8975.0,8925.0,47100,MLBI,2021-04-30,,,,9177.5,9159.855255613751
18194,8950.0,8900.0,8975.0,8800.0,69900,MLBI,2021-05-03,,,,9165.0,9102.10964325514
19037,8900.0,8875.0,8900.0,8825.0,12200,MLBI,2021-05-04,,,,9150.0,9051.640833642887
19881,8875.0,8900.0,8925.0,8850.0,32200,MLBI,2021-05-05,,,,9122.5,9017.942870611134
20725,8900.0,8875.0,8900.0,8850.0,48400,MLBI,2021-05-06,,,,9095.0,8986.177788253104
21569,8875.0,8850.0,8900.0,8850.0,43700,MLBI,2021-05-07,,,,9055.0,8955.916057530192
22413,8850.0,8900.0,8925.0,8850.0,45100,MLBI,2021-05-10,,,,9010.0,8943.490266967927
23256,8900.0,8900.0,8900.0,8850.0,29000,MLBI,2021-05-11,,,,8962.5,8933.825763197276
24098,8900.0,8800.0,8900.0,8800.0,32600,MLBI,2021-05-17,,,,8895.0,8904.086704708992
24938,8800.0,8750.0,8825.0,8675.0,31400,MLBI,2021-05-18,,,9052.5,8872.5,8869.84521477366
25778,8750.0,8750.0,8775.0,8700.0,64400,MLBI,2021-05-19,,,9042.5,8850.0,8843.212944823958
26693,8800.0,8750.0,8800.0,8700.0,6300,MLBI,2021-05-20,,,9028.333333333334,8835.0,8822.4989570853
27502,8750.0,8700.0,8750.0,8650.0,39100,MLBI,2021-05-21,,,9012.5,8817.5,8795.2769666219
28344,8700.0,8700.0,8800.0,8600.0,27400,MLBI,2021-05-24,,,8997.5,8797.5,8774.104307372589
29186,8700.0,8700.0,8700.0,8600.0,10600,MLBI,2021-05-25,,,8984.166666666666,8780.0,8757.636683512013
29977,8700.0,8750.0,8800.0,8600.0,29400,MLBI,2021-05-27,,,8972.5,8770.0,8755.939642731566
30819,8750.0,8700.0,8750.0,8625.0,15600,MLBI,2021-05-28,,,8960.833333333334,8750.0,8743.50861101344
31661,8700.0,8775.0,8775.0,8650.0,18100,MLBI,2021-05-31,,,8951.666666666666,8737.5,8750.506697454897
32503,8775.0,8775.0,8800.0,8700.0,39400,MLBI,2021-06-02,,,8942.5,8735.0,8755.949653576032
33344,8750.0,8775.0,8800.0,8750.0,19300,MLBI,2021-06-03,,,8932.5,8737.5,8760.18306389247
34185,8775.0,8775.0,8775.0,8750.0,17900,MLBI,2021-06-04,,,8922.5,8740.0,8763.47571636081
35026,8775.0,8775.0,8775.0,8700.0,18100,MLBI,2021-06-07,,,8914.166666666666,8742.5,8766.03666828063
35869,8775.0,8700.0,8800.0,8700.0,125200,MLBI,2021-06-08,,,8903.333333333334,8742.5,8751.361853107157
