,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120733,625.0,600.0,680.0,585.0,2910200,MLPT,2020-07-01,,,,,
128154,590.0,595.0,640.0,590.0,798300,MLPT,2020-07-02,,,,,
101828,605.0,595.0,605.0,590.0,344800,MLPT,2020-07-03,,,,,
84521,595.0,595.0,610.0,590.0,175800,MLPT,2020-07-06,,,,,
34252,595.0,585.0,595.0,575.0,425000,MLPT,2020-07-07,,,,,
47429,585.0,590.0,605.0,575.0,322600,MLPT,2020-07-08,,,,,
114156,590.0,580.0,595.0,575.0,185800,MLPT,2020-07-09,,,,,
23548,580.0,600.0,675.0,575.0,3227500,MLPT,2020-07-10,,,,,592.5
15312,600.0,595.0,615.0,595.0,239500,MLPT,2020-07-13,,,,,593.0555555555555
31790,600.0,600.0,610.0,590.0,296000,MLPT,2020-07-14,,,,593.5,594.5987654320987
89459,600.0,605.0,625.0,595.0,212100,MLPT,2020-07-15,,,,594.0,596.9101508916324
21903,595.0,600.0,605.0,595.0,153600,MLPT,2020-07-16,,,,594.5,597.5967840268252
104265,600.0,600.0,605.0,595.0,116100,MLPT,2020-07-17,,,,595.0,598.130832020864
77933,600.0,585.0,600.0,580.0,214500,MLPT,2020-07-20,,,,594.0,595.2128693495608
102636,580.0,590.0,600.0,575.0,199400,MLPT,2020-07-21,,,,594.5,594.0544539385473
93579,590.0,610.0,635.0,580.0,676600,MLPT,2020-07-22,,,,596.5,597.5979086188702
8721,610.0,590.0,610.0,585.0,315500,MLPT,2020-07-23,,,,597.5,595.9094844813435
101014,590.0,580.0,595.0,570.0,275000,MLPT,2020-07-24,,,,595.5,592.3740434854894
54844,580.0,575.0,580.0,565.0,175400,MLPT,2020-07-27,,,,593.5,588.5131449331584
41669,575.0,555.0,575.0,545.0,213500,MLPT,2020-07-28,,,,589.0,581.0657793924565
110867,565.0,570.0,600.0,565.0,358900,MLPT,2020-07-29,,,,585.5,578.6067173052439
80387,585.0,585.0,620.0,585.0,1065000,MLPT,2020-07-30,,,,584.0,580.0274467929675
117453,585.0,555.0,585.0,545.0,490600,MLPT,2020-08-03,,,,579.5,574.4657919500858
7084,560.0,560.0,580.0,555.0,196900,MLPT,2020-08-04,,,,577.0,571.2511715167334
53200,575.0,565.0,575.0,560.0,119800,MLPT,2020-08-05,,,,574.5,569.8620222907927
69689,570.0,570.0,580.0,565.0,123100,MLPT,2020-08-06,,,,570.5,569.8926840039499
43306,565.0,570.0,585.0,560.0,183800,MLPT,2020-08-07,,,,568.5,569.9165320030721
98535,575.0,575.0,585.0,570.0,190900,MLPT,2020-08-10,,,,568.0,571.046191557945
52384,575.0,580.0,590.0,575.0,124200,MLPT,2020-08-11,,,,568.5,573.0359267672906
119916,580.0,580.0,590.0,575.0,128500,MLPT,2020-08-12,,,584.5,571.0,574.5834985967815
62265,590.0,605.0,685.0,590.0,2846800,MLPT,2020-08-13,,,584.6666666666666,574.5,581.3427211308301
87002,605.0,590.0,605.0,585.0,229400,MLPT,2020-08-14,,,584.5,575.0,583.2665608795345
60621,585.0,590.0,590.0,580.0,117300,MLPT,2020-08-18,,,584.3333333333334,578.5,584.7628806840823
88643,590.0,605.0,615.0,575.0,320200,MLPT,2020-08-19,,,584.6666666666666,583.0,589.2600183098418
10369,605.0,615.0,630.0,600.0,234800,MLPT,2020-08-24,,,585.6666666666666,588.0,594.9800142409881
128962,615.0,620.0,670.0,610.0,209000,MLPT,2020-08-25,,,586.6666666666666,593.0,600.540011076324
103449,620.0,610.0,620.0,595.0,145800,MLPT,2020-08-26,,,587.6666666666666,597.0,602.6422308371409
3789,610.0,605.0,630.0,595.0,150700,MLPT,2020-08-27,,,587.8333333333334,600.0,603.1661795399984
78745,610.0,610.0,610.0,600.0,71300,MLPT,2020-08-28,,,588.3333333333334,603.0,604.6848063088877
27668,620.0,595.0,625.0,585.0,318200,MLPT,2020-08-31,,,588.1666666666666,604.5,602.5326271291349
35063,590.0,605.0,615.0,585.0,218200,MLPT,2020-09-01,,,588.1666666666666,604.5,603.0809322115493
39201,605.0,600.0,615.0,590.0,123300,MLPT,2020-09-02,,,588.1666666666666,605.5,602.3962806089828
68036,610.0,600.0,610.0,595.0,41400,MLPT,2020-09-03,,,588.1666666666666,606.5,601.8637738069866
12844,590.0,590.0,595.0,585.0,210900,MLPT,2020-09-04,,,588.3333333333334,605.0,599.2273796276562
26850,585.0,595.0,620.0,585.0,328500,MLPT,2020-09-07,,,588.5,603.0,598.2879619326214
