,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124072,1000.0,995.0,1000.0,995.0,26900,MOLI,2020-07-01,,,,,
131493,995.0,1030.0,1030.0,995.0,36200,MOLI,2020-07-02,,,,,
105167,1000.0,1000.0,1005.0,1000.0,19200,MOLI,2020-07-03,,,,,
87026,1000.0,1000.0,1000.0,1000.0,0,MOLI,2020-07-06,,,,,
34255,1000.0,1000.0,1000.0,1000.0,0,MOLI,2020-07-07,,,,,
49100,1000.0,1000.0,1000.0,1000.0,0,MOLI,2020-07-08,,,,,
117495,1000.0,1000.0,1000.0,1000.0,0,MOLI,2020-07-09,,,,,
23551,1000.0,1000.0,1000.0,1000.0,0,MOLI,2020-07-10,,,,,1003.125
15315,1000.0,1000.0,1000.0,1000.0,0,MOLI,2020-07-13,,,,,1002.4305555555555
31793,990.0,1000.0,1000.0,955.0,29700,MOLI,2020-07-14,,,,1002.5,1001.8904320987655
92798,970.0,985.0,985.0,970.0,20000,MOLI,2020-07-15,,,,1001.5,998.1370027434842
21906,950.0,970.0,980.0,940.0,24400,MOLI,2020-07-16,,,,995.5,991.8843354671544
107604,965.0,965.0,965.0,965.0,5100,MOLI,2020-07-17,,,,992.0,985.9100386966757
80438,960.0,945.0,960.0,945.0,10200,MOLI,2020-07-20,,,,986.5,976.8189189863033
105975,940.0,935.0,940.0,935.0,5200,MOLI,2020-07-21,,,,980.0,967.5258258782359
96918,920.0,900.0,920.0,900.0,12300,MOLI,2020-07-22,,,,970.0,952.5200867941835
8724,895.0,890.0,895.0,890.0,11400,MOLI,2020-07-23,,,,959.0,938.6267341732538
104353,885.0,885.0,885.0,885.0,400,MOLI,2020-07-24,,,,947.5,926.7096821347529
57349,880.0,875.0,880.0,825.0,24700,MOLI,2020-07-27,,,,935.0,915.2186416603633
41672,815.0,815.0,845.0,815.0,27800,MOLI,2020-07-28,,,,916.5,892.9478324025048
114206,800.0,900.0,900.0,760.0,186600,MOLI,2020-07-29,,,,908.0,894.5149807575037
82892,850.0,900.0,900.0,850.0,25500,MOLI,2020-07-30,,,,901.0,895.7338739225029
120792,850.0,895.0,895.0,850.0,23600,MOLI,2020-08-03,,,,894.0,895.5707908286133
7087,900.0,900.0,900.0,900.0,10000,MOLI,2020-08-04,,,,889.5,896.5550595333659
55705,900.0,900.0,900.0,900.0,0,MOLI,2020-08-05,,,,886.0,897.3206018592846
72194,840.0,900.0,900.0,840.0,20400,MOLI,2020-08-06,,,,886.0,897.9160236683324
44143,850.0,950.0,950.0,850.0,27700,MOLI,2020-08-07,,,,892.0,909.4902406309252
101874,885.0,950.0,950.0,885.0,15200,MOLI,2020-08-10,,,,898.5,918.4924093796085
54889,950.0,900.0,960.0,885.0,70000,MOLI,2020-08-11,,,,901.0,914.3829850730289
123255,850.0,900.0,900.0,850.0,19200,MOLI,2020-08-12,,,942.8333333333334,909.5,911.1867661679113
