,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121574,880.0,880.0,880.0,880.0,0,MPRO,2020-07-01,,,,,
128995,825.0,825.0,825.0,825.0,200,MPRO,2020-07-02,,,,,
102669,825.0,870.0,870.0,820.0,1700,MPRO,2020-07-03,,,,,
85362,870.0,870.0,870.0,870.0,0,MPRO,2020-07-06,,,,,
34259,870.0,870.0,870.0,870.0,0,MPRO,2020-07-07,,,,,
48270,870.0,870.0,870.0,870.0,0,MPRO,2020-07-08,,,,,
114997,815.0,835.0,835.0,815.0,300,MPRO,2020-07-09,,,,,
23555,780.0,790.0,790.0,780.0,600,MPRO,2020-07-10,,,,,851.25
15319,770.0,835.0,860.0,770.0,900,MPRO,2020-07-13,,,,,847.6388888888889
31797,860.0,825.0,900.0,780.0,2400,MPRO,2020-07-14,,,,847.0,842.6080246913581
90300,790.0,805.0,805.0,790.0,900,MPRO,2020-07-15,,,,839.5,834.2506858710562
21910,805.0,805.0,805.0,805.0,0,MPRO,2020-07-16,,,,837.5,827.750533455266
105106,755.0,750.0,765.0,750.0,1200,MPRO,2020-07-17,,,,825.5,810.4726371318735
78774,750.0,790.0,790.0,750.0,700,MPRO,2020-07-20,,,,817.5,805.9231622136793
103477,755.0,755.0,755.0,755.0,600,MPRO,2020-07-21,,,,806.0,794.6069039439728
94420,745.0,745.0,745.0,745.0,200,MPRO,2020-07-22,,,,793.5,783.5831475119788
8728,715.0,725.0,725.0,710.0,700,MPRO,2020-07-23,,,,782.5,770.5646702870946
101855,715.0,730.0,730.0,715.0,200,MPRO,2020-07-24,,,,776.5,761.5502991121847
55685,750.0,800.0,900.0,680.0,16100,MPRO,2020-07-27,,,,773.0,770.0946770872548
41676,750.0,800.0,800.0,750.0,500,MPRO,2020-07-28,,,,770.5,776.7403044011982
111708,745.0,745.0,745.0,745.0,800,MPRO,2020-07-29,,,,764.5,769.6869034231541
81228,700.0,830.0,830.0,700.0,2900,MPRO,2020-07-30,,,,767.0,783.0898137735643
118294,880.0,840.0,880.0,840.0,600,MPRO,2020-08-03,,,,776.0,795.7365218238833
7091,840.0,840.0,840.0,840.0,0,MPRO,2020-08-04,,,,781.0,805.5728503074648
54041,890.0,890.0,890.0,890.0,100,MPRO,2020-08-05,,,,794.5,824.3344391280282
70530,875.0,875.0,875.0,875.0,200,MPRO,2020-08-06,,,,807.5,835.593452655133
44147,875.0,875.0,875.0,875.0,0,MPRO,2020-08-07,,,,822.5,844.3504631762146
99376,900.0,890.0,900.0,890.0,200,MPRO,2020-08-10,,,,838.5,854.4948046926113
53225,940.0,940.0,940.0,940.0,100,MPRO,2020-08-11,,,,852.5,873.4959592053643
120757,940.0,940.0,940.0,940.0,0,MPRO,2020-08-12,,,828.0,866.5,888.2746349375055
63106,900.0,900.0,900.0,900.0,1100,MPRO,2020-08-13,,,828.6666666666666,882.0,890.8802716180599
87843,900.0,900.0,900.0,900.0,0,MPRO,2020-08-14,,,831.1666666666666,889.0,892.9068779251577
61462,840.0,840.0,840.0,840.0,500,MPRO,2020-08-18,,,830.1666666666666,889.0,881.1497939417893
89484,840.0,840.0,840.0,840.0,0,MPRO,2020-08-19,,,829.1666666666666,889.0,872.0053952880584
10376,840.0,840.0,840.0,840.0,0,MPRO,2020-08-24,,,828.1666666666666,884.0,864.8930852240454
129803,820.0,820.0,820.0,820.0,600,MPRO,2020-08-25,,,826.5,878.5,854.9168440631464
104290,800.0,800.0,800.0,800.0,100,MPRO,2020-08-26,,,825.3333333333334,871.0,842.7131009380028
3796,800.0,800.0,800.0,800.0,400,MPRO,2020-08-27,,,825.6666666666666,862.0,833.2213007295577
79586,800.0,800.0,800.0,800.0,0,MPRO,2020-08-28,,,824.5,848.0,825.8387894563226
27675,800.0,800.0,800.0,800.0,0,MPRO,2020-08-31,,,823.6666666666666,834.0,820.0968362438065
35070,800.0,800.0,800.0,800.0,0,MPRO,2020-09-01,,,823.5,824.0,815.6308726340717
39208,800.0,800.0,800.0,800.0,0,MPRO,2020-09-02,,,823.3333333333334,814.0,812.1573453820557
68877,800.0,800.0,800.0,800.0,0,MPRO,2020-09-03,,,825.0,810.0,809.4557130749322
12851,800.0,800.0,800.0,800.0,0,MPRO,2020-09-04,,,825.3333333333334,806.0,807.3544435027251
26857,800.0,800.0,800.0,800.0,0,MPRO,2020-09-07,,,826.8333333333334,802.0,805.7201227243418
108402,755.0,755.0,755.0,755.0,3500,MPRO,2020-09-08,,,827.1666666666666,795.5,794.4489843411548
122383,705.0,730.0,730.0,705.0,1300,MPRO,2020-09-09,,,827.3333333333334,788.5,780.1269878208982
