,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121578,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-01,,,,,
128999,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-02,,,,,
102673,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-03,,,,,
85366,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-06,,,,,
34263,1000.0,1000.0,1000.0,1000.0,100,MSKY,2020-07-07,,,,,
48274,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-08,,,,,
115001,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-09,,,,,
23559,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-10,,,,,1000.0
15323,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-13,,,,,1000.0
31801,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-14,,,,1000.0,1000.0
90304,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-15,,,,1000.0,1000.0
21914,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-16,,,,1000.0,1000.0
105110,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-17,,,,1000.0,1000.0
78778,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-20,,,,1000.0,1000.0
103481,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-21,,,,1000.0,1000.0
94424,1000.0,1000.0,1000.0,1000.0,0,MSKY,2020-07-22,,,,1000.0,1000.0
8732,1000.0,1175.0,1175.0,1000.0,8500,MSKY,2020-07-23,,,,1017.5,1038.888888888889
101859,1175.0,1150.0,1175.0,1095.0,11300,MSKY,2020-07-24,,,,1032.5,1063.5802469135804
55689,1150.0,1100.0,1150.0,1100.0,9900,MSKY,2020-07-27,,,,1042.5,1071.6735253772292
41680,1090.0,1175.0,1175.0,1090.0,32900,MSKY,2020-07-28,,,,1060.0,1094.6349641822894
111712,1140.0,1140.0,1140.0,1140.0,100,MSKY,2020-07-29,,,,1074.0,1104.7160832528918
81232,1140.0,1140.0,1140.0,1140.0,0,MSKY,2020-07-30,,,,1088.0,1112.556953641138
118298,1140.0,1140.0,1140.0,1140.0,0,MSKY,2020-08-03,,,,1102.0,1118.655408387552
7095,1140.0,1140.0,1140.0,1140.0,0,MSKY,2020-08-04,,,,1116.0,1123.398650968096
54045,1140.0,1140.0,1140.0,1140.0,0,MSKY,2020-08-05,,,,1130.0,1127.0878396418525
70534,1140.0,1140.0,1140.0,1140.0,0,MSKY,2020-08-06,,,,1144.0,1129.9572086103296
44151,1140.0,1140.0,1140.0,1140.0,100,MSKY,2020-08-07,,,,1140.5,1132.1889400302564
99380,1140.0,1140.0,1140.0,1140.0,0,MSKY,2020-08-10,,,,1139.5,1133.924731134644
53229,1100.0,1100.0,1100.0,1100.0,400,MSKY,2020-08-11,,,,1139.5,1126.385901993612
120761,1100.0,1025.0,1225.0,1025.0,7102200,MSKY,2020-08-12,,,1061.5,1124.5,1103.8557015505871
63110,1000.0,955.0,1000.0,955.0,23800,MSKY,2020-08-13,,,1060.0,1106.0,1070.7766567615677
87847,915.0,890.0,915.0,890.0,32900,MSKY,2020-08-14,,,1056.3333333333333,1081.0,1030.6040663701083
61466,885.0,900.0,900.0,830.0,205600,MSKY,2020-08-18,,,1053.0,1057.0,1001.5809405100842
89488,900.0,900.0,900.0,850.0,29700,MSKY,2020-08-19,,,1049.6666666666667,1033.0,979.00739817451
10380,860.0,905.0,905.0,860.0,26900,MSKY,2020-08-24,,,1046.5,1009.5,962.5613096912855
129807,905.0,1000.0,1000.0,905.0,24300,MSKY,2020-08-25,,,1046.5,995.5,970.8810186487776
104294,1000.0,985.0,1000.0,930.0,42000,MSKY,2020-08-26,,,1046.0,980.0,974.0185700601604
3800,940.0,920.0,940.0,920.0,85700,MSKY,2020-08-27,,,1043.3333333333333,958.0,962.0144433801248
79590,920.0,920.0,920.0,880.0,21600,MSKY,2020-08-28,,,1040.6666666666667,940.0,952.6779004067638
27679,920.0,935.0,945.0,920.0,2700,MSKY,2020-08-31,,,1038.5,931.0,948.7494780941496
35074,870.0,930.0,935.0,870.0,7400,MSKY,2020-09-01,,,1036.1666666666667,928.5,944.5829274065608
39212,930.0,930.0,930.0,930.0,0,MSKY,2020-09-02,,,1033.8333333333333,932.5,941.3422768717695
68881,890.0,930.0,930.0,890.0,400,MSKY,2020-09-03,,,1031.5,935.5,938.8217709002652
12855,925.0,920.0,925.0,920.0,1100,MSKY,2020-09-04,,,1028.8333333333333,937.5,934.6391551446507
26861,900.0,950.0,950.0,860.0,12500,MSKY,2020-09-07,,,1027.1666666666667,942.0,938.0526762236171
108406,915.0,915.0,915.0,915.0,500,MSKY,2020-09-08,,,1024.3333333333333,933.5,932.9298592850356
122387,935.0,930.0,935.0,930.0,30100,MSKY,2020-09-09,,,1016.1666666666666,928.0,932.2787794439166
7910,930.0,930.0,930.0,865.0,22400,MSKY,2020-09-10,,,1008.8333333333334,929.0,931.7723840119352
17787,925.0,925.0,925.0,925.0,100,MSKY,2020-09-11,,,1003.0,929.5,930.2674097870607
44969,920.0,920.0,920.0,865.0,40700,MSKY,2020-09-14,,,994.5,928.0,927.9857631677139
66408,920.0,920.0,920.0,920.0,0,MSKY,2020-09-15,,,987.1666666666666,927.0,926.2111491304441
1322,920.0,920.0,920.0,920.0,0,MSKY,2020-09-16,,,979.8333333333334,926.0,924.8308937681232
56506,920.0,920.0,920.0,920.0,0,MSKY,2020-09-17,,,972.5,925.0,923.7573618196515
62286,860.0,905.0,910.0,860.0,2000,MSKY,2020-09-18,,,964.6666666666666,923.5,919.5890591930622
72178,900.0,895.0,900.0,845.0,6900,MSKY,2020-09-21,,,956.5,918.0,914.1248238168262
100200,900.0,895.0,900.0,895.0,1100,MSKY,2020-09-22,,,948.3333333333334,916.0,909.8748629686426
77131,930.0,930.0,930.0,930.0,2300,MSKY,2020-09-23,,,941.3333333333334,916.0,914.3471156422776
65581,930.0,930.0,930.0,930.0,0,MSKY,2020-09-24,,,934.3333333333334,916.0,917.8255343884381
96902,900.0,900.0,900.0,900.0,600,MSKY,2020-09-25,,,927.6666666666666,913.5,913.8643045243407
59818,890.0,890.0,890.0,890.0,1000,MSKY,2020-09-28,,,923.1666666666666,910.5,908.5611257411539
16138,900.0,900.0,900.0,900.0,500,MSKY,2020-09-29,,,921.3333333333334,908.5,906.6586533542308
84543,995.0,995.0,995.0,995.0,35000,MSKY,2020-09-30,,,924.8333333333334,916.0,926.2900637199573
91943,995.0,980.0,995.0,930.0,24600,MSKY,2020-10-01,,,927.5,922.0,938.2256051155223
68060,955.0,915.0,955.0,915.0,8900,MSKY,2020-10-02,,,928.0,923.0,933.0643595342951
12034,925.0,925.0,925.0,925.0,100,MSKY,2020-10-05,,,928.6666666666666,926.0,931.2722796377851
119939,925.0,885.0,925.0,865.0,22400,MSKY,2020-10-06,,,924.8333333333334,925.0,920.9895508293885
21092,825.0,825.0,865.0,825.0,129300,MSKY,2020-10-07,,,919.5,914.5,899.6585395339688
19436,825.0,815.0,825.0,770.0,85400,MSKY,2020-10-08,,,916.0,903.0,880.8455307486424
110065,780.0,820.0,825.0,780.0,17500,MSKY,2020-10-09,,,912.6666666666666,895.0,867.3243016933885
28500,825.0,850.0,850.0,825.0,11600,MSKY,2020-10-12,,,909.8333333333334,891.0,863.4744568726355
76305,825.0,850.0,850.0,825.0,10100,MSKY,2020-10-13,,,907.1666666666666,886.0,860.480133123161
106754,825.0,845.0,845.0,795.0,28400,MSKY,2020-10-14,,,904.3333333333334,871.0,857.0401035402363
14501,800.0,790.0,845.0,790.0,35400,MSKY,2020-10-15,,,899.6666666666666,852.0,842.1423027535171
5449,800.0,810.0,810.0,780.0,15800,MSKY,2020-10-16,,,896.0,841.5,834.9995688082911
496,800.0,755.0,800.0,755.0,88700,MSKY,2020-10-19,,,889.5,824.5,817.221886850893
124870,755.0,750.0,755.0,740.0,22000,MSKY,2020-10-20,,,884.0,811.0,802.2836897729168
74655,780.0,770.0,780.0,750.0,17100,MSKY,2020-10-21,,,878.6666666666666,805.5,795.1095364900464
30155,725.0,750.0,750.0,720.0,69900,MSKY,2020-10-22,,,872.6666666666666,799.0,785.0851950478138
32615,720.0,725.0,750.0,700.0,134600,MSKY,2020-10-23,,,866.0,789.5,771.7329294816329
57333,725.0,740.0,740.0,725.0,16300,MSKY,2020-10-26,,,860.0,778.5,764.6811673746034
52407,725.0,725.0,740.0,725.0,35200,MSKY,2020-10-27,,,853.5,766.0,755.8631301802471
88666,725.0,750.0,750.0,725.0,23300,MSKY,2020-11-02,,,847.8333333333334,756.5,754.5602123624144
83717,700.0,700.0,700.0,700.0,63100,MSKY,2020-11-03,,,840.5,747.5,742.4357207263223
6273,700.0,710.0,710.0,700.0,30500,MSKY,2020-11-04,,,834.0,737.5,735.2277827871395
18611,710.0,730.0,730.0,710.0,37500,MSKY,2020-11-05,,,828.5,735.0,734.0660532788863
42495,730.0,725.0,730.0,690.0,89100,MSKY,2020-11-06,,,822.8333333333334,732.5,732.0513747724672
91117,720.0,730.0,730.0,710.0,131000,MSKY,2020-11-09,,,816.1666666666666,728.5,731.5955137119189
2148,700.0,700.0,715.0,700.0,63900,MSKY,2020-11-10,,,808.5,723.5,724.5742884426036
24372,715.0,710.0,715.0,700.0,54800,MSKY,2020-11-11,,,802.1666666666666,722.0,721.3355576775806
77956,710.0,700.0,710.0,700.0,20200,MSKY,2020-11-12,,,795.8333333333334,718.0,716.5943226381182
75480,700.0,705.0,705.0,700.0,19000,MSKY,2020-11-13,,,789.3333333333334,716.0,714.0178064963142
73830,700.0,715.0,715.0,695.0,41100,MSKY,2020-11-16,,,780.0,712.5,714.2360717193554
40033,710.0,700.0,710.0,700.0,96000,MSKY,2020-11-17,,,770.6666666666666,712.5,711.0725002261653
16963,700.0,695.0,700.0,695.0,20200,MSKY,2020-11-18,,,763.3333333333334,711.0,707.5008335092397
67235,710.0,705.0,710.0,695.0,16200,MSKY,2020-11-19,,,756.0,708.5,706.9450927294087
80410,710.0,690.0,710.0,690.0,56300,MSKY,2020-11-20,,,749.5,705.0,703.1795165673178
71351,690.0,695.0,695.0,685.0,37900,MSKY,2020-11-23,,,745.1666666666666,701.5,701.361846219025
112527,695.0,690.0,695.0,650.0,43500,MSKY,2020-11-24,,,741.0,700.5,698.8369915036861
119113,660.0,685.0,685.0,660.0,31700,MSKY,2020-11-25,,,736.5,698.0,695.762104502867
58991,685.0,685.0,685.0,680.0,12500,MSKY,2020-11-26,903.8,,731.0,696.5,693.3705257244521
13675,685.0,685.0,685.0,680.0,13600,MSKY,2020-11-27,900.65,,725.5,694.5,691.5104088967961
117475,690.0,685.0,690.0,665.0,21900,MSKY,2020-11-30,897.5,,720.1666666666666,691.5,690.0636513641747
114178,685.0,685.0,685.0,680.0,6100,MSKY,2020-12-01,894.35,,716.6666666666666,690.0,688.9383955054692
116650,670.0,690.0,690.0,670.0,20100,MSKY,2020-12-02,891.25,,712.6666666666666,689.5,689.1743076153649
38390,690.0,690.0,690.0,685.0,14200,MSKY,2020-12-03,888.15,,710.5,688.0,689.3577948119505
30979,690.0,690.0,690.0,690.0,10300,MSKY,2020-12-04,885.05,,708.5,688.0,689.5005070759615
46623,690.0,685.0,690.0,685.0,11600,MSKY,2020-12-07,881.9,,705.6666666666666,687.0,688.5003943924145
92767,680.0,690.0,690.0,650.0,123800,MSKY,2020-12-08,878.8,,703.6666666666666,687.0,688.8336400829891
126523,685.0,680.0,690.0,660.0,48000,MSKY,2020-12-10,875.6,,702.1666666666666,686.5,686.870608953436
40857,675.0,685.0,685.0,665.0,26300,MSKY,2020-12-11,872.45,,700.3333333333334,686.5,686.4549180748946
73004,685.0,660.0,685.0,655.0,88900,MSKY,2020-12-14,869.05,,698.1666666666666,684.0,680.5760473915847
110889,665.0,650.0,665.0,640.0,82400,MSKY,2020-12-15,865.55,,694.8333333333334,680.5,673.7813701934548
128176,650.0,685.0,685.0,640.0,60400,MSKY,2020-12-16,862.4,,694.3333333333334,680.5,676.2743990393537
63928,680.0,685.0,685.0,660.0,17600,MSKY,2020-12-17,859.25,,693.5,680.0,678.2134214750529
98556,680.0,690.0,690.0,660.0,45900,MSKY,2020-12-18,856.15,,692.1666666666666,680.0,680.8326611472634
113352,690.0,685.0,690.0,655.0,74100,MSKY,2020-12-21,853.0,,690.8333333333334,679.5,681.7587364478715
33438,665.0,655.0,670.0,655.0,38100,MSKY,2020-12-22,847.8,,688.3333333333334,676.5,675.8123505705667
96073,655.0,655.0,655.0,650.0,9200,MSKY,2020-12-23,842.85,,686.8333333333334,673.0,671.1873837771074
64752,655.0,680.0,680.0,655.0,23500,MSKY,2020-12-28,838.65,,685.8333333333334,673.0,673.1457429377501
60641,665.0,680.0,680.0,660.0,20700,MSKY,2020-12-29,833.7,,685.1666666666666,672.5,674.6689111738057
127347,675.0,795.0,795.0,650.0,1226000,MSKY,2020-12-30,830.25,,688.1666666666666,686.0,701.4091531351822
4619,795.0,740.0,810.0,740.0,546100,MSKY,2021-01-04,826.25,,689.0,695.0,709.9848968829195
107578,690.0,700.0,790.0,690.0,750100,MSKY,2021-01-05,821.85,,689.0,696.5,707.7660309089374
124040,690.0,690.0,755.0,660.0,4759400,MSKY,2021-01-06,817.35,,688.8333333333334,697.0,703.8180240402846
29325,690.0,695.0,700.0,675.0,1035200,MSKY,2021-01-07,812.9,,688.5,697.5,701.8584631424436
47447,700.0,700.0,700.0,670.0,619400,MSKY,2021-01-08,808.5,,688.8333333333334,699.0,701.4454713330117
123210,685.0,680.0,700.0,680.0,530400,MSKY,2021-01-11,803.9,,688.3333333333334,701.5,696.6798110367869
49088,685.0,695.0,695.0,685.0,317000,MSKY,2021-01-12,799.45,,688.5,705.5,696.3065196952787
49917,685.0,695.0,695.0,680.0,337800,MSKY,2021-01-13,795.4,,688.8333333333334,707.0,696.0161819852167
125694,695.0,695.0,695.0,680.0,381700,MSKY,2021-01-14,792.1,,689.1666666666666,708.5,695.7903637662796
35895,685.0,695.0,695.0,670.0,318100,MSKY,2021-01-15,789.5,,689.5,698.5,695.614727373773
36725,685.0,685.0,685.0,685.0,10100,MSKY,2021-01-18,787.45,,689.5,693.0,693.2558990684901
105924,670.0,685.0,700.0,660.0,342000,MSKY,2021-01-19,785.3,,689.5,691.5,691.4212548310478
50747,695.0,675.0,695.0,675.0,315100,MSKY,2021-01-20,783.05,,689.0,690.0,687.7720870908149
51577,670.0,670.0,670.0,655.0,58500,MSKY,2021-01-21,780.7,,688.3333333333334,687.5,683.8227344039672
2973,670.0,670.0,685.0,660.0,227700,MSKY,2021-01-22,777.4,,687.6666666666666,684.5,680.75101564753
97727,665.0,660.0,685.0,660.0,254800,MSKY,2021-01-25,774.15,,686.8333333333334,682.5,676.1396788369678
45794,660.0,655.0,660.0,655.0,47300,MSKY,2021-01-26,771.5,,685.6666666666666,678.5,671.4419724287528
20262,650.0,660.0,660.0,645.0,8800,MSKY,2021-01-27,768.9,,685.0,675.0,668.89931188903
25198,660.0,620.0,660.0,620.0,13100,MSKY,2021-01-28,765.75,,682.8333333333334,667.5,658.0327981359122
54862,675.0,660.0,685.0,610.0,248300,MSKY,2021-01-29,763.05,,682.8333333333334,664.0,658.4699541057095
93596,620.0,665.0,665.0,620.0,109500,MSKY,2021-02-01,760.4,,683.3333333333334,662.0,659.9210754155519
26031,665.0,665.0,685.0,665.0,101200,MSKY,2021-02-02,757.75,,682.6666666666666,660.0,661.049725323207
9551,670.0,670.0,670.0,670.0,101000,MSKY,2021-02-03,755.25,,682.1666666666666,659.5,663.0386752513832
115819,670.0,670.0,685.0,670.0,111300,MSKY,2021-02-04,752.45,,681.5,659.5,664.5856363066314
