,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
500,1620.0,1625.0,1630.0,1615.0,261500,MTDL,2021-04-01,,,,,
1340,1625.0,1620.0,1635.0,1615.0,614800,MTDL,2021-04-05,,,,,
2180,1620.0,1630.0,1635.0,1615.0,234200,MTDL,2021-04-06,,,,,
3022,1630.0,1615.0,1630.0,1600.0,1297500,MTDL,2021-04-07,,,,,
3864,1615.0,1600.0,1615.0,1600.0,885100,MTDL,2021-04-08,,,,,
4708,1615.0,1620.0,1625.0,1600.0,1187200,MTDL,2021-04-09,,,,,
5551,1620.0,1625.0,1645.0,1600.0,868500,MTDL,2021-04-12,,,,,
6395,1625.0,1640.0,1645.0,1625.0,864600,MTDL,2021-04-13,,,,,1621.875
7239,1640.0,1645.0,1650.0,1640.0,540000,MTDL,2021-04-14,,,,,1627.013888888889
8084,1645.0,1635.0,1650.0,1620.0,696600,MTDL,2021-04-15,,,,1625.5,1628.7885802469136
8928,1645.0,1650.0,1650.0,1620.0,323100,MTDL,2021-04-16,,,,1628.0,1633.502229080933
9772,1650.0,1660.0,1675.0,1650.0,384900,MTDL,2021-04-19,,,,1632.0,1639.3906226185034
10616,1665.0,1670.0,1670.0,1650.0,422600,MTDL,2021-04-20,,,,1636.0,1646.1927064810582
11460,1675.0,1665.0,1675.0,1650.0,668900,MTDL,2021-04-21,,,,1641.0,1650.372105040823
12304,1665.0,1670.0,1670.0,1660.0,667400,MTDL,2021-04-22,,,,1648.0,1654.7338594761957
13148,1670.0,1655.0,1675.0,1650.0,167700,MTDL,2021-04-23,,,,1651.5,1654.7930018148188
13991,1655.0,1650.0,1665.0,1650.0,340000,MTDL,2021-04-26,,,,1654.0,1653.7278903004146
14834,1650.0,1650.0,1655.0,1650.0,323600,MTDL,2021-04-27,,,,1655.0,1652.8994702336558
15678,1650.0,1650.0,1660.0,1650.0,339100,MTDL,2021-04-28,,,,1655.5,1652.2551435150656
16522,1650.0,1650.0,1670.0,1650.0,268700,MTDL,2021-04-29,,,,1657.0,1651.7540005117178
17366,1580.0,1650.0,1660.0,1580.0,572900,MTDL,2021-04-30,,,,1657.0,1651.3642226202248
18209,1650.0,1700.0,1750.0,1615.0,4983800,MTDL,2021-05-03,,,,1661.0,1662.1721731490638
19052,1685.0,1700.0,1725.0,1685.0,1076000,MTDL,2021-05-04,,,,1664.0,1670.5783568937163
19896,1685.0,1685.0,1700.0,1680.0,284300,MTDL,2021-05-05,,,,1666.0,1673.7831664728906
20740,1680.0,1695.0,1720.0,1675.0,765200,MTDL,2021-05-06,,,,1668.5,1678.4980183678038
21584,1690.0,1680.0,1690.0,1675.0,1216700,MTDL,2021-05-07,,,,1671.0,1678.8317920638474
22428,1680.0,1695.0,1720.0,1680.0,516900,MTDL,2021-05-10,,,,1675.5,1682.42472716077
23271,1685.0,1690.0,1695.0,1680.0,351600,MTDL,2021-05-11,,,,1679.5,1684.1081211250435
24113,1690.0,1690.0,1705.0,1680.0,1315600,MTDL,2021-05-17,,,,1683.5,1685.4174275417004
