,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
503,122.0,121.0,124.0,116.0,3659300,MTPS,2021-04-01,,,,,
1343,121.0,119.0,123.0,117.0,1769000,MTPS,2021-04-05,,,,,
2183,119.0,122.0,126.0,119.0,6705300,MTPS,2021-04-06,,,,,
3025,124.0,122.0,125.0,121.0,1346300,MTPS,2021-04-07,,,,,
3867,122.0,128.0,128.0,122.0,4533200,MTPS,2021-04-08,,,,,
4711,130.0,128.0,131.0,127.0,3017700,MTPS,2021-04-09,,,,,
5554,128.0,126.0,130.0,123.0,2190600,MTPS,2021-04-12,,,,,
6398,127.0,128.0,130.0,121.0,2993700,MTPS,2021-04-13,,,,,124.25
7242,127.0,125.0,130.0,124.0,3743900,MTPS,2021-04-14,,,,,124.41666666666667
8087,125.0,128.0,128.0,123.0,3299900,MTPS,2021-04-15,,,,124.7,125.21296296296296
8931,131.0,130.0,150.0,130.0,30962600,MTPS,2021-04-16,,,,125.6,126.27674897119341
9775,131.0,125.0,132.0,123.0,4215800,MTPS,2021-04-19,,,,126.2,125.99302697759488
10619,125.0,128.0,128.0,123.0,3173200,MTPS,2021-04-20,,,,126.8,126.4390209825738
11463,133.0,134.0,156.0,130.0,75060400,MTPS,2021-04-21,,,,128.0,128.11923854200185
12307,136.0,129.0,138.0,126.0,7256300,MTPS,2021-04-22,,,,128.1,128.31496331044588
13151,129.0,131.0,133.0,127.0,4186300,MTPS,2021-04-23,,,,128.4,128.9116381303468
13994,131.0,143.0,147.0,130.0,17234300,MTPS,2021-04-26,,,,130.1,132.04238521249195
14837,145.0,135.0,145.0,133.0,5902500,MTPS,2021-04-27,,,,130.8,132.6996329430493
15681,135.0,133.0,136.0,130.0,3529300,MTPS,2021-04-28,,,,131.6,132.76638117792723
16525,134.0,134.0,141.0,132.0,5420400,MTPS,2021-04-29,,,,132.2,133.0405186939434
17369,135.0,139.0,148.0,131.0,19655200,MTPS,2021-04-30,,,,133.1,134.36484787306708
18212,138.0,139.0,141.0,135.0,4672500,MTPS,2021-05-03,,,,134.5,135.39488167905216
19055,139.0,141.0,145.0,138.0,4425000,MTPS,2021-05-04,,,,135.8,136.64046352815168
19899,141.0,142.0,143.0,138.0,1719600,MTPS,2021-05-05,,,,136.6,137.83147163300686
20743,142.0,150.0,155.0,139.0,12640700,MTPS,2021-05-06,,,,138.7,140.53558904789423
21587,153.0,140.0,153.0,140.0,10664600,MTPS,2021-05-07,,,,139.6,140.4165692594733
22431,142.0,139.0,145.0,131.0,8195100,MTPS,2021-05-10,,,,139.2,140.10177609070146
23274,139.0,137.0,140.0,134.0,1801500,MTPS,2021-05-11,,,,139.4,139.41249251499002
24116,137.0,132.0,142.0,132.0,3372300,MTPS,2021-05-17,,,,139.3,137.76527195610336
24956,132.0,133.0,136.0,123.0,2349600,MTPS,2021-05-18,,,132.03333333333333,139.2,136.70632263252483
25796,133.0,127.0,135.0,127.0,707100,MTPS,2021-05-19,,,132.23333333333332,138.0,134.5493620475193
26711,126.0,126.0,128.0,121.0,697200,MTPS,2021-05-20,,,132.46666666666667,136.7,132.64950381473724
27520,126.0,129.0,162.0,125.0,35763600,MTPS,2021-05-21,,,132.7,135.5,131.83850296701786
28362,130.0,130.0,135.0,127.0,1942100,MTPS,2021-05-24,,,132.96666666666667,134.3,131.429946752125
29204,132.0,131.0,143.0,128.0,4493900,MTPS,2021-05-25,,,133.06666666666666,132.4,131.33440302943055
29995,132.0,131.0,135.0,130.0,1153300,MTPS,2021-05-27,,,133.16666666666666,131.5,131.26009124511265
30837,131.0,138.0,139.0,130.0,3037800,MTPS,2021-05-28,,,133.56666666666666,131.4,132.75784874619873
31679,138.0,138.0,155.0,132.0,25374300,MTPS,2021-05-31,,,133.9,131.5,133.92277124704347
32521,139.0,141.0,147.0,136.0,5103200,MTPS,2021-06-02,,,134.43333333333334,132.4,135.49548874770048
