,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
504,244.0,244.0,244.0,244.0,0,MTRA,2021-04-01,,,,,
1344,244.0,244.0,244.0,244.0,0,MTRA,2021-04-05,,,,,
2184,244.0,244.0,244.0,244.0,0,MTRA,2021-04-06,,,,,
3026,244.0,244.0,244.0,244.0,0,MTRA,2021-04-07,,,,,
3868,244.0,244.0,244.0,244.0,0,MTRA,2021-04-08,,,,,
4712,244.0,244.0,244.0,244.0,0,MTRA,2021-04-09,,,,,
5555,244.0,244.0,244.0,244.0,0,MTRA,2021-04-12,,,,,
6399,244.0,244.0,244.0,244.0,0,MTRA,2021-04-13,,,,,244.0
7243,244.0,244.0,244.0,244.0,0,MTRA,2021-04-14,,,,,244.0
8088,244.0,244.0,244.0,244.0,0,MTRA,2021-04-15,,,,244.0,244.0
8932,244.0,244.0,244.0,244.0,0,MTRA,2021-04-16,,,,244.0,244.0
9776,244.0,244.0,244.0,244.0,0,MTRA,2021-04-19,,,,244.0,244.0
10620,244.0,244.0,244.0,244.0,0,MTRA,2021-04-20,,,,244.0,244.0
11464,244.0,244.0,244.0,244.0,0,MTRA,2021-04-21,,,,244.0,244.0
12308,244.0,244.0,244.0,244.0,0,MTRA,2021-04-22,,,,244.0,244.0
13152,244.0,244.0,244.0,244.0,0,MTRA,2021-04-23,,,,244.0,244.0
13995,244.0,244.0,244.0,244.0,0,MTRA,2021-04-26,,,,244.0,244.0
14838,244.0,244.0,244.0,244.0,0,MTRA,2021-04-27,,,,244.0,244.0
15682,244.0,244.0,244.0,244.0,0,MTRA,2021-04-28,,,,244.0,244.0
16526,244.0,244.0,244.0,244.0,0,MTRA,2021-04-29,,,,244.0,244.0
17370,244.0,244.0,244.0,244.0,0,MTRA,2021-04-30,,,,244.0,244.0
18213,244.0,244.0,244.0,244.0,0,MTRA,2021-05-03,,,,244.0,244.0
19056,244.0,244.0,244.0,244.0,0,MTRA,2021-05-04,,,,244.0,244.0
19900,244.0,244.0,244.0,244.0,0,MTRA,2021-05-05,,,,244.0,244.0
20744,244.0,244.0,244.0,244.0,0,MTRA,2021-05-06,,,,244.0,244.0
21588,244.0,244.0,244.0,244.0,0,MTRA,2021-05-07,,,,244.0,244.0
22432,244.0,244.0,244.0,244.0,0,MTRA,2021-05-10,,,,244.0,244.0
23275,244.0,244.0,244.0,244.0,0,MTRA,2021-05-11,,,,244.0,244.0
24117,244.0,244.0,244.0,244.0,0,MTRA,2021-05-17,,,,244.0,244.0
24957,244.0,244.0,244.0,244.0,0,MTRA,2021-05-18,,,244.0,244.0,244.0
25797,244.0,244.0,244.0,244.0,0,MTRA,2021-05-19,,,244.0,244.0,244.0
26712,244.0,244.0,244.0,244.0,0,MTRA,2021-05-20,,,244.0,244.0,244.0
27521,244.0,244.0,244.0,244.0,0,MTRA,2021-05-21,,,244.0,244.0,244.0
28363,244.0,244.0,244.0,244.0,0,MTRA,2021-05-24,,,244.0,244.0,244.0
29205,244.0,244.0,244.0,244.0,0,MTRA,2021-05-25,,,244.0,244.0,244.0
29996,244.0,244.0,244.0,244.0,0,MTRA,2021-05-27,,,244.0,244.0,244.0
