,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126588,220.0,220.0,220.0,220.0,3000,MTSM,2020-07-01,,,,,
134009,220.0,220.0,220.0,220.0,5000,MTSM,2020-07-02,,,,,
107683,220.0,220.0,220.0,220.0,5200,MTSM,2020-07-03,,,,,
89542,240.0,218.0,270.0,206.0,11800,MTSM,2020-07-06,,,,,
34269,216.0,204.0,216.0,204.0,1200,MTSM,2020-07-07,,,,,
51616,222.0,220.0,222.0,216.0,500,MTSM,2020-07-08,,,,,
120011,220.0,220.0,220.0,220.0,100,MTSM,2020-07-09,,,,,
23565,220.0,220.0,220.0,220.0,100,MTSM,2020-07-10,,,,,217.75
15329,220.0,206.0,220.0,206.0,6200,MTSM,2020-07-13,,,,,215.13888888888889
31807,204.0,204.0,216.0,192.0,1600,MTSM,2020-07-14,,,,215.2,212.66358024691357
95314,210.0,208.0,210.0,208.0,200,MTSM,2020-07-15,,,,214.0,211.62722908093278
21920,208.0,208.0,208.0,208.0,0,MTSM,2020-07-16,,,,212.8,210.82117817405882
110120,208.0,204.0,208.0,204.0,200,MTSM,2020-07-17,,,,211.2,209.30536080204575
82954,204.0,202.0,204.0,202.0,1500,MTSM,2020-07-20,,,,209.6,207.68194729048003
108491,210.0,212.0,238.0,210.0,18600,MTSM,2020-07-21,,,,210.4,208.64151455926225
99434,228.0,220.0,228.0,220.0,400,MTSM,2020-07-22,,,,210.4,211.16562243498174
8738,210.0,210.0,210.0,210.0,4100,MTSM,2020-07-23,,,,209.4,210.90659522720802
106869,208.0,206.0,208.0,206.0,700,MTSM,2020-07-24,,,,208.0,209.8162407322729
59865,202.0,202.0,202.0,202.0,100,MTSM,2020-07-27,,,,207.6,208.07929834732334
43354,200.0,200.0,200.0,200.0,200,MTSM,2020-07-28,,,,207.2,206.28389871458484
116722,218.0,200.0,218.0,200.0,300,MTSM,2020-07-29,,,,206.4,204.88747677801044
85408,199.0,199.0,199.0,199.0,100,MTSM,2020-07-30,,,,205.5,203.57914860511923
123308,199.0,199.0,199.0,199.0,100,MTSM,2020-08-03,,,,205.0,202.56156002620384
7101,199.0,216.0,216.0,199.0,300,MTSM,2020-08-04,,,,206.4,205.54788002038077
58221,216.0,216.0,216.0,216.0,200,MTSM,2020-08-05,,,,206.8,207.87057334918504
74710,216.0,202.0,216.0,202.0,300,MTSM,2020-08-06,,,,205.0,206.56600149381057
46659,202.0,202.0,202.0,202.0,0,MTSM,2020-08-07,,,,204.2,205.551334495186
104390,200.0,200.0,200.0,200.0,100,MTSM,2020-08-10,,,,203.6,204.3177046073669
57405,200.0,200.0,200.0,200.0,0,MTSM,2020-08-11,,,,203.4,203.35821469461868
125771,200.0,200.0,200.0,200.0,0,MTSM,2020-08-12,,,208.6,203.4,202.6119447624812
67286,200.0,200.0,200.0,200.0,0,MTSM,2020-08-13,,,207.93333333333334,203.4,202.03151259304093
92857,200.0,200.0,200.0,200.0,400,MTSM,2020-08-14,,,207.26666666666668,203.5,201.58006535014295
65642,200.0,200.0,200.0,200.0,0,MTSM,2020-08-18,,,206.6,203.6,201.22893971677786
94498,200.0,200.0,200.0,200.0,0,MTSM,2020-08-19,,,206.0,202.0,200.95584200193832
10386,200.0,200.0,200.0,200.0,100,MTSM,2020-08-24,,,205.86666666666667,200.4,200.74343266817425
134817,218.0,214.0,218.0,210.0,500,MTSM,2020-08-25,,,205.66666666666666,201.6,203.6893365196911
109304,214.0,210.0,214.0,210.0,300,MTSM,2020-08-26,,,205.33333333333334,202.4,205.09170618198198
3806,210.0,214.0,214.0,206.0,1000,MTSM,2020-08-27,,,205.13333333333333,203.8,207.07132703043044
83766,214.0,214.0,214.0,214.0,100,MTSM,2020-08-28,,,205.4,205.2,208.61103213477924
27685,212.0,212.0,212.0,212.0,100,MTSM,2020-08-31,,,205.66666666666666,206.4,209.3641361048283
35080,212.0,212.0,212.0,212.0,100,MTSM,2020-09-01,,,205.8,207.6,209.94988363708867
39218,210.0,212.0,212.0,210.0,500,MTSM,2020-09-02,,,205.93333333333334,208.8,210.40546505106897
73057,212.0,212.0,212.0,212.0,0,MTSM,2020-09-03,,,206.2,210.0,210.75980615083142
12861,212.0,212.0,212.0,198.0,400,MTSM,2020-09-04,,,206.53333333333333,211.2,211.03540478398
26867,212.0,212.0,212.0,212.0,0,MTSM,2020-09-07,,,206.53333333333333,212.4,211.24975927642888
113416,198.0,220.0,220.0,198.0,400,MTSM,2020-09-08,,,206.53333333333333,213.0,213.19425721500025
127397,220.0,210.0,220.0,210.0,600,MTSM,2020-09-09,,,206.53333333333333,213.0,212.48442227833354
7916,220.0,220.0,220.0,220.0,100,MTSM,2020-09-10,,,207.0,213.6,214.15455066092608
17793,216.0,216.0,216.0,216.0,100,MTSM,2020-09-11,,,207.46666666666667,213.8,214.56465051405362
47477,214.0,214.0,214.0,214.0,100,MTSM,2020-09-14,,,207.93333333333334,214.0,214.4391726220417
70584,214.0,204.0,214.0,204.0,700,MTSM,2020-09-15,,,208.06666666666666,213.2,212.1193564838102
1328,204.0,208.0,208.0,204.0,9000,MTSM,2020-09-16,,,208.36666666666667,212.8,211.2039439318524
60682,208.0,208.0,208.0,208.0,0,MTSM,2020-09-17,,,208.66666666666666,212.4,210.49195639144074
66462,200.0,200.0,200.0,200.0,100,MTSM,2020-09-18,,,208.13333333333333,211.2,208.16041052667612
76354,200.0,200.0,200.0,200.0,500,MTSM,2020-09-21,,,207.6,210.0,206.34698596519254
105210,200.0,200.0,200.0,200.0,1000,MTSM,2020-09-22,,,207.53333333333333,208.0,204.9365446395942
81307,200.0,200.0,200.0,200.0,0,MTSM,2020-09-23,,,207.46666666666667,207.0,203.83953471968437
69757,200.0,200.0,200.0,200.0,0,MTSM,2020-09-24,,,207.46666666666667,205.0,202.98630478197674
101912,200.0,200.0,200.0,200.0,600,MTSM,2020-09-25,,,207.46666666666667,203.4,202.32268149709301
63994,200.0,200.0,200.0,200.0,0,MTSM,2020-09-28,,,207.46666666666667,202.0,201.80653005329458
16144,200.0,200.0,200.0,200.0,100,MTSM,2020-09-29,,,207.46666666666667,201.6,201.40507893034024
88719,218.0,218.0,218.0,218.0,100,MTSM,2020-09-30,,,208.06666666666666,202.6,205.09283916804242
96953,218.0,218.0,218.0,218.0,100,MTSM,2020-10-01,,,208.66666666666666,203.6,207.96109713069967
72236,218.0,218.0,218.0,218.0,100,MTSM,2020-10-02,,,209.26666666666668,205.4,210.19196443498862
12040,218.0,218.0,218.0,218.0,100,MTSM,2020-10-05,,,209.86666666666667,207.2,211.9270834494356
124949,214.0,214.0,214.0,214.0,200,MTSM,2020-10-06,,,209.86666666666667,208.6,212.38773157178323
21098,214.0,208.0,214.0,208.0,1400,MTSM,2020-10-07,,,209.8,209.4,211.41268011138695
19442,208.0,208.0,208.0,208.0,10200,MTSM,2020-10-08,,,209.6,210.2,210.65430675330097
115075,208.0,208.0,208.0,208.0,0,MTSM,2020-10-09,,,209.4,211.0,210.064460808123
28506,222.0,218.0,222.0,218.0,200,MTSM,2020-10-12,,,209.6,212.8,211.82791396187343
80481,218.0,218.0,218.0,218.0,0,MTSM,2020-10-13,,,209.8,214.6,213.19948863701268
111764,218.0,218.0,218.0,218.0,0,MTSM,2020-10-14,,,210.0,214.6,214.26626893989874
14507,218.0,218.0,218.0,218.0,100,MTSM,2020-10-15,,,210.2,214.6,215.09598695325457
5455,218.0,218.0,218.0,218.0,100,MTSM,2020-10-16,,,210.4,214.6,215.74132318586467
502,218.0,218.0,218.0,218.0,100,MTSM,2020-10-19,,,210.6,214.6,216.24325136678362
129880,218.0,216.0,218.0,216.0,600,MTSM,2020-10-20,,,210.46666666666667,214.8,216.18919550749837
78831,216.0,216.0,216.0,216.0,200,MTSM,2020-10-21,,,210.66666666666666,215.6,216.14715206138763
30161,216.0,216.0,216.0,216.0,2400,MTSM,2020-10-22,,,210.53333333333333,216.4,216.1144516033015
32621,216.0,216.0,216.0,216.0,0,MTSM,2020-10-23,,,210.53333333333333,217.2,216.08901791367893
61509,216.0,216.0,216.0,216.0,0,MTSM,2020-10-26,,,210.6,217.0,216.06923615508362
56583,216.0,216.0,216.0,216.0,0,MTSM,2020-10-27,,,211.0,216.8,216.05385034284282
93676,216.0,216.0,216.0,216.0,0,MTSM,2020-11-02,,,211.26666666666668,216.6,216.04188359998886
87893,216.0,216.0,216.0,216.0,0,MTSM,2020-11-03,,,211.53333333333333,216.4,216.03257613332468
6279,216.0,216.0,216.0,216.0,0,MTSM,2020-11-04,,,212.06666666666666,216.2,216.02533699258586
18617,216.0,216.0,216.0,216.0,500,MTSM,2020-11-05,,,212.6,216.0,216.019706549789
45003,216.0,216.0,216.0,216.0,0,MTSM,2020-11-06,,,213.13333333333333,216.0,216.01532731650255
96127,216.0,216.0,216.0,216.0,0,MTSM,2020-11-09,,,213.66666666666666,216.0,216.01192124616864
2154,216.0,216.0,216.0,216.0,0,MTSM,2020-11-10,,,214.2,216.0,216.00927208035338
