,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
506,100.0,102.0,109.0,97.0,18318800,MTWI,2021-04-01,,,,,
1346,100.0,102.0,104.0,97.0,5908600,MTWI,2021-04-05,,,,,
2186,102.0,100.0,105.0,100.0,1834900,MTWI,2021-04-06,,,,,
3028,101.0,101.0,102.0,99.0,1389000,MTWI,2021-04-07,,,,,
3870,100.0,102.0,105.0,99.0,5137500,MTWI,2021-04-08,,,,,
4714,102.0,97.0,103.0,95.0,4682100,MTWI,2021-04-09,,,,,
5557,97.0,92.0,97.0,91.0,2314600,MTWI,2021-04-12,,,,,
6401,92.0,94.0,95.0,90.0,4123600,MTWI,2021-04-13,,,,,98.75
7245,94.0,116.0,124.0,93.0,49127600,MTWI,2021-04-14,,,,,102.58333333333333
8090,109.0,146.0,147.0,108.0,65509100,MTWI,2021-04-15,,,,105.2,112.23148148148148
8934,153.0,136.0,193.0,136.0,157520200,MTWI,2021-04-16,,,,108.6,117.51337448559671
9778,179.0,140.0,179.0,130.0,93835700,MTWI,2021-04-19,,,,112.4,122.51040237768633
10622,131.0,131.0,145.0,131.0,7411600,MTWI,2021-04-20,,,,115.5,124.39697962708937
11466,131.0,125.0,143.0,123.0,15762100,MTWI,2021-04-21,,,,117.9,124.53098415440284
12310,125.0,158.0,158.0,124.0,38224100,MTWI,2021-04-22,,,,123.5,131.9685432312022
13154,158.0,151.0,192.0,148.0,107268800,MTWI,2021-04-23,,,,128.9,136.1977558464906
13997,152.0,143.0,161.0,141.0,10942700,MTWI,2021-04-26,,,,134.0,137.70936565838159
14840,143.0,144.0,155.0,137.0,8843200,MTWI,2021-04-27,,,,139.0,139.10728440096347
15684,143.0,145.0,151.0,142.0,4439300,MTWI,2021-04-28,,,,141.9,140.41677675630493
16528,144.0,150.0,159.0,142.0,22371000,MTWI,2021-04-29,,,,142.3,142.5463819215705
17372,146.0,145.0,154.0,145.0,4334500,MTWI,2021-04-30,,,,143.2,143.09163038344371
18215,145.0,148.0,159.0,142.0,15717000,MTWI,2021-05-03,,,,144.0,144.18237918712288
19058,148.0,150.0,152.0,142.0,6564000,MTWI,2021-05-04,,,,145.9,145.4751838122067
19902,151.0,144.0,152.0,143.0,4074700,MTWI,2021-05-05,,,,147.8,145.14736518727187
20746,144.0,145.0,147.0,143.0,1991900,MTWI,2021-05-06,,,,146.5,145.1146173678781
21590,147.0,137.0,150.0,137.0,7268000,MTWI,2021-05-07,,,,145.1,143.3113690639052
22434,137.0,144.0,155.0,132.0,37819100,MTWI,2021-05-10,,,,145.2,143.46439816081516
23277,136.0,143.0,145.0,136.0,4246100,MTWI,2021-05-11,,,,145.1,143.3611985695229
24119,143.0,144.0,146.0,134.0,6303900,MTWI,2021-05-17,,,,145.0,143.50315444296226
24959,144.0,141.0,148.0,138.0,4704400,MTWI,2021-05-18,,,130.53333333333333,144.1,142.94689790008175
25799,135.0,136.0,141.0,135.0,1919500,MTWI,2021-05-19,,,131.66666666666666,143.2,141.4031428111747
26714,127.0,128.0,138.0,127.0,2242800,MTWI,2021-05-20,,,132.53333333333333,141.2,138.42466663091363
27523,128.0,128.0,137.0,128.0,3029300,MTWI,2021-05-21,,,133.46666666666667,139.0,136.10807404626615
28365,121.0,128.0,129.0,121.0,1731400,MTWI,2021-05-24,,,134.36666666666667,137.4,134.30627981376256
29207,121.0,128.0,134.0,121.0,2425800,MTWI,2021-05-25,,,135.23333333333332,135.7,132.9048842995931
29998,122.0,127.0,131.0,122.0,748100,MTWI,2021-05-27,,,136.23333333333332,134.7,131.59268778857242
30840,127.0,150.0,152.0,127.0,36397000,MTWI,2021-05-28,,,138.16666666666666,135.3,135.6832016133341
