,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120752,1005.0,1015.0,1015.0,1000.0,144200,MYOH,2020-07-01,,,,,
128173,1015.0,1015.0,1015.0,1000.0,212500,MYOH,2020-07-02,,,,,
101847,1035.0,1035.0,1045.0,1000.0,117100,MYOH,2020-07-03,,,,,
84540,1035.0,1035.0,1035.0,1020.0,77700,MYOH,2020-07-06,,,,,
34271,1020.0,1025.0,1025.0,1015.0,63900,MYOH,2020-07-07,,,,,
47448,1025.0,1020.0,1025.0,1020.0,132400,MYOH,2020-07-08,,,,,
114175,1020.0,1025.0,1025.0,1000.0,200700,MYOH,2020-07-09,,,,,
23567,1025.0,1015.0,1025.0,1000.0,33300,MYOH,2020-07-10,,,,,1023.125
15331,1005.0,1040.0,1040.0,1005.0,178500,MYOH,2020-07-13,,,,,1026.875
31809,1010.0,1090.0,1090.0,1010.0,133300,MYOH,2020-07-14,,,,1031.5,1040.9027777777778
89478,1090.0,1090.0,1090.0,1045.0,71200,MYOH,2020-07-15,,,,1039.0,1051.8132716049383
21922,1060.0,1090.0,1095.0,1060.0,113100,MYOH,2020-07-16,,,,1046.5,1060.2992112482855
104284,1070.0,1090.0,1090.0,1070.0,98500,MYOH,2020-07-17,,,,1052.0,1066.8993865264442
77952,1090.0,1085.0,1090.0,1070.0,70300,MYOH,2020-07-20,,,,1057.0,1070.9217450761232
102655,1070.0,1080.0,1085.0,1070.0,294400,MYOH,2020-07-21,,,,1062.5,1072.939135059207
93598,1080.0,1085.0,1090.0,1055.0,60000,MYOH,2020-07-22,,,,1069.0,1075.6193272682722
8740,1085.0,1090.0,1090.0,1070.0,52000,MYOH,2020-07-23,,,,1075.5,1078.8150323197672
101033,1090.0,1100.0,1100.0,1090.0,28500,MYOH,2020-07-24,,,,1084.0,1083.5228029153745
54863,1080.0,1100.0,1110.0,1075.0,149600,MYOH,2020-07-27,,,,1090.0,1087.1844022675136
41688,1090.0,1150.0,1150.0,1060.0,198900,MYOH,2020-07-28,,,,1096.0,1101.143423985844
110886,1150.0,1145.0,1150.0,1090.0,282700,MYOH,2020-07-29,,,,1101.5,1110.8893297667676
80406,1105.0,1135.0,1140.0,1105.0,51600,MYOH,2020-07-30,,,,1106.0,1116.2472564852637
