,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
508,2620.0,2560.0,2630.0,2560.0,2562800,MYOR,2021-04-01,,,,,
1348,2560.0,2560.0,2600.0,2520.0,1746300,MYOR,2021-04-05,,,,,
2188,2550.0,2530.0,2550.0,2430.0,2261900,MYOR,2021-04-06,,,,,
3030,2540.0,2530.0,2550.0,2510.0,1762600,MYOR,2021-04-07,,,,,
3872,2530.0,2530.0,2620.0,2520.0,8476600,MYOR,2021-04-08,,,,,
4716,2530.0,2650.0,2650.0,2530.0,2428300,MYOR,2021-04-09,,,,,
5559,2650.0,2540.0,2660.0,2540.0,1816500,MYOR,2021-04-12,,,,,
6403,2540.0,2530.0,2550.0,2440.0,2280000,MYOR,2021-04-13,,,,,2553.75
7247,2540.0,2600.0,2600.0,2540.0,2896500,MYOR,2021-04-14,,,,,2564.027777777778
8092,2600.0,2570.0,2620.0,2540.0,819400,MYOR,2021-04-15,,,,2560.0,2565.354938271605
8936,2580.0,2570.0,2600.0,2530.0,1170300,MYOR,2021-04-16,,,,2561.0,2566.3871742112483
9780,2570.0,2540.0,2570.0,2530.0,796400,MYOR,2021-04-19,,,,2559.0,2560.5233577198596
10624,2570.0,2540.0,2570.0,2530.0,507500,MYOR,2021-04-20,,,,2560.0,2555.962611559891
11468,2540.0,2500.0,2560.0,2500.0,711000,MYOR,2021-04-21,,,,2557.0,2543.526475657693
12312,2590.0,2490.0,2590.0,2480.0,2896700,MYOR,2021-04-22,,,,2553.0,2531.6317032893166
13156,2490.0,2450.0,2520.0,2430.0,5676600,MYOR,2021-04-23,,,,2533.0,2513.49132478058
13999,2450.0,2450.0,2540.0,2420.0,4310700,MYOR,2021-04-26,,,,2524.0,2499.3821414960066
14842,2460.0,2450.0,2460.0,2410.0,4621300,MYOR,2021-04-27,,,,2516.0,2488.408332274672
15686,2450.0,2450.0,2460.0,2410.0,4889300,MYOR,2021-04-28,,,,2501.0,2479.873147324745
16530,2450.0,2460.0,2480.0,2430.0,2655700,MYOR,2021-04-29,,,,2490.0,2475.4568923636903
17374,2470.0,2460.0,2500.0,2410.0,5764800,MYOR,2021-04-30,,,,2479.0,2472.0220273939813
18217,2460.0,2560.0,2580.0,2460.0,9215700,MYOR,2021-05-03,,,,2481.0,2491.5726879730964
