,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
511,75.0,82.0,88.0,75.0,4034100,MYTX,2021-04-01,,,,,
1351,83.0,82.0,88.0,79.0,8715400,MYTX,2021-04-05,,,,,
2191,82.0,79.0,82.0,78.0,919600,MYTX,2021-04-06,,,,,
3033,79.0,79.0,84.0,79.0,1915400,MYTX,2021-04-07,,,,,
3875,79.0,101.0,101.0,78.0,13102600,MYTX,2021-04-08,,,,,
4719,110.0,102.0,123.0,95.0,26384700,MYTX,2021-04-09,,,,,
5562,102.0,98.0,103.0,95.0,2590800,MYTX,2021-04-12,,,,,
6406,98.0,97.0,119.0,93.0,18200000,MYTX,2021-04-13,,,,,90.0
7250,98.0,102.0,104.0,97.0,2650300,MYTX,2021-04-14,,,,,92.66666666666667
8095,102.0,97.0,102.0,95.0,2682400,MYTX,2021-04-15,,,,91.9,93.62962962962963
8939,97.0,104.0,104.0,96.0,1231400,MYTX,2021-04-16,,,,94.1,95.93415637860083
9783,104.0,102.0,115.0,98.0,10378000,MYTX,2021-04-19,,,,96.1,97.28212162780065
10627,102.0,108.0,108.0,102.0,2141900,MYTX,2021-04-20,,,,99.0,99.66387237717828
11471,110.0,113.0,127.0,105.0,19571900,MYTX,2021-04-21,,,,102.4,102.62745629336088
12315,117.0,146.0,146.0,115.0,19591900,MYTX,2021-04-22,,,,106.9,112.26579933928068
13159,146.0,136.0,173.0,136.0,77812500,MYTX,2021-04-23,,,,110.3,117.54006615277386
14002,136.0,138.0,148.0,127.0,8444600,MYTX,2021-04-26,,,,114.3,122.08671811882411
14845,139.0,131.0,161.0,130.0,37732400,MYTX,2021-04-27,,,,117.7,124.06744742575208
15689,133.0,124.0,135.0,124.0,2996300,MYTX,2021-04-28,,,,119.9,124.05245910891828
16533,127.0,142.0,143.0,119.0,16505500,MYTX,2021-04-29,,,,124.4,128.04080152915867
17377,144.0,133.0,145.0,133.0,16533800,MYTX,2021-04-30,,,,127.3,129.14284563379007
18220,133.0,124.0,133.0,124.0,2547700,MYTX,2021-05-03,,,,129.5,127.99999104850339
19063,125.0,122.0,129.0,118.0,2748300,MYTX,2021-05-04,,,,130.9,126.66665970439152
19907,123.0,122.0,127.0,119.0,2001900,MYTX,2021-05-05,,,,131.8,125.62962421452674
20751,122.0,122.0,124.0,118.0,1315800,MYTX,2021-05-06,,,,129.4,124.82304105574302
21595,122.0,120.0,131.0,119.0,4430500,MYTX,2021-05-07,,,,127.8,123.75125415446679
22439,120.0,114.0,125.0,114.0,3169900,MYTX,2021-05-10,,,,125.4,121.58430878680751
23282,108.0,109.0,115.0,108.0,1906700,MYTX,2021-05-11,,,,123.2,118.7877957230725
24124,109.0,116.0,125.0,104.0,10213800,MYTX,2021-05-17,,,,122.4,118.16828556238973
24964,122.0,127.0,149.0,120.0,44466200,MYTX,2021-05-18,,,112.4,120.9,120.13088877074756
25804,128.0,125.0,138.0,119.0,24532400,MYTX,2021-05-19,,,113.83333333333333,120.1,121.21291348835922
26719,129.0,124.0,132.0,122.0,2647000,MYTX,2021-05-20,,,115.23333333333333,120.1,121.83226604650162
27528,129.0,122.0,129.0,119.0,2181800,MYTX,2021-05-21,,,116.66666666666667,120.1,121.86954025839015
28370,127.0,120.0,127.0,119.0,916900,MYTX,2021-05-24,,,118.03333333333333,119.9,121.45408686763678
29212,124.0,119.0,125.0,119.0,995600,MYTX,2021-05-25,,,118.63333333333334,119.6,120.90873423038416
30003,126.0,115.0,126.0,114.0,2541700,MYTX,2021-05-27,,,119.06666666666666,119.1,119.59568217918768
30845,119.0,112.0,121.0,110.0,2840400,MYTX,2021-05-28,,,119.53333333333333,118.9,117.90775280603486
31687,115.0,112.0,116.0,111.0,918200,MYTX,2021-05-31,,,120.03333333333333,119.2,116.59491884913822
32529,112.0,114.0,130.0,111.0,13793400,MYTX,2021-06-02,,,120.43333333333334,119.0,116.0182702159964
33370,114.0,115.0,117.0,111.0,1593600,MYTX,2021-06-03,,,121.03333333333333,117.8,115.79198794577498
34211,115.0,112.0,117.0,111.0,3778800,MYTX,2021-06-04,,,121.3,116.5,114.94932395782499
35052,113.0,112.0,114.0,110.0,1238600,MYTX,2021-06-07,,,121.63333333333334,115.3,114.29391863386388
35895,112.0,110.0,112.0,109.0,856800,MYTX,2021-06-08,,,121.7,114.1,113.33971449300525
36738,112.0,109.0,112.0,109.0,1747100,MYTX,2021-06-09,,,121.56666666666666,113.0,112.37533349455964
37583,111.0,109.0,112.0,106.0,2065300,MYTX,2021-06-10,,,120.33333333333333,112.0,111.6252593846575
38430,109.0,108.0,110.0,108.0,458900,MYTX,2021-06-11,,,119.4,111.3,110.81964618806694
39277,108.0,107.0,110.0,106.0,339200,MYTX,2021-06-14,,,118.36666666666666,110.8,109.97083592405207
40124,107.0,112.0,125.0,105.0,23877300,MYTX,2021-06-15,,,117.73333333333333,110.8,110.42176127426272
40971,112.0,107.0,123.0,106.0,23112700,MYTX,2021-06-16,,,117.16666666666667,110.1,109.66136987998212
41818,108.0,107.0,109.0,105.0,1156900,MYTX,2021-06-17,,,116.0,109.3,109.06995435109721
42665,106.0,104.0,109.0,103.0,1696900,MYTX,2021-06-18,,,115.03333333333333,108.5,107.94329782863116
43512,106.0,104.0,106.0,101.0,1083000,MYTX,2021-06-21,,,114.36666666666666,107.7,107.06700942226868
44359,104.0,102.0,104.0,99.0,1739800,MYTX,2021-06-22,,,113.7,106.9,105.9410073284312
45206,105.0,102.0,105.0,100.0,516200,MYTX,2021-06-23,,,113.03333333333333,106.2,105.06522792211315
46053,105.0,101.0,105.0,99.0,299200,MYTX,2021-06-24,,,112.33333333333333,105.4,104.16184393942135
46900,105.0,101.0,105.0,101.0,370800,MYTX,2021-06-25,,,111.7,104.7,103.45921195288327
47748,105.0,102.0,105.0,99.0,279900,MYTX,2021-06-28,,,111.3,104.2,103.13494263002032
48592,102.0,102.0,104.0,99.0,686100,MYTX,2021-06-29,,,111.06666666666666,103.2,102.88273315668248
49391,101.0,102.0,105.0,99.0,829200,MYTX,2021-06-30,,,110.6,102.7,102.68657023297526
50242,105.0,102.0,105.0,100.0,28300,MYTX,2021-07-01,,,109.76666666666667,102.2,102.53399907009187
51093,103.0,103.0,103.0,100.0,145700,MYTX,2021-07-02,,,109.03333333333333,102.1,102.63755483229367
51944,103.0,96.0,103.0,96.0,1639300,MYTX,2021-07-05,,,108.1,101.3,101.16254264733952
52796,93.0,95.0,103.0,90.0,2320400,MYTX,2021-07-06,,,107.2,100.6,99.79308872570851
53629,90.0,94.0,98.0,90.0,588300,MYTX,2021-07-07,,,106.33333333333333,99.8,98.50573567555107
54458,91.0,92.0,101.0,89.0,7243500,MYTX,2021-07-08,,,105.43333333333334,98.9,97.06001663653971
55309,86.0,92.0,96.0,86.0,368600,MYTX,2021-07-09,,,104.66666666666667,98.0,95.93556849508644
56162,97.0,90.0,97.0,90.0,170900,MYTX,2021-07-12,,,103.93333333333334,96.8,94.61655327395613
57015,95.0,92.0,95.0,89.0,146700,MYTX,2021-07-13,,,103.26666666666667,95.8,94.03509699085477
57868,95.0,90.0,95.0,86.0,223800,MYTX,2021-07-14,,,102.46666666666667,94.6,93.13840877066482
58721,84.0,90.0,93.0,84.0,282400,MYTX,2021-07-15,,,101.63333333333334,93.4,92.44098459940598
59574,90.0,86.0,90.0,86.0,218700,MYTX,2021-07-16,,,100.76666666666667,91.7,91.00965468842688
60426,86.0,86.0,90.0,86.0,121700,MYTX,2021-07-19,,,99.9,90.7,89.89639809099869
61278,86.0,90.0,90.0,85.0,250000,MYTX,2021-07-21,,,99.23333333333333,90.2,89.91942073744342
62130,90.0,95.0,98.0,88.0,3467100,MYTX,2021-07-22,,,98.76666666666667,90.3,91.04843835134488
62982,95.0,90.0,100.0,89.0,27518300,MYTX,2021-07-23,,,98.13333333333334,90.1,90.81545205104602
63834,90.0,89.0,92.0,87.0,678000,MYTX,2021-07-26,,,97.5,89.8,90.41201826192469
64686,89.0,90.0,92.0,87.0,564800,MYTX,2021-07-27,,,96.93333333333334,89.8,90.32045864816365
65540,88.0,90.0,92.0,86.0,531000,MYTX,2021-07-28,,,96.2,89.6,90.2492456152384
66394,90.0,90.0,93.0,88.0,1305900,MYTX,2021-07-29,,,95.63333333333334,89.6,90.19385770074098
67248,89.0,90.0,92.0,89.0,1640500,MYTX,2021-07-30,,,95.06666666666666,89.6,90.15077821168742
68102,85.0,88.0,94.0,85.0,2870600,MYTX,2021-08-02,,,94.53333333333333,89.8,89.67282749797911
68956,83.0,85.0,90.0,83.0,1312700,MYTX,2021-08-03,,,93.9,89.7,88.63442138731709
69810,86.0,85.0,88.0,85.0,414300,MYTX,2021-08-04,,,93.33333333333333,89.2,87.82677219013551
70664,85.0,86.0,90.0,80.0,541600,MYTX,2021-08-05,,,92.8,88.3,87.42082281454985
