,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124099,348.0,348.0,348.0,348.0,0,NICK,2020-07-01,,,,,
131520,348.0,348.0,348.0,348.0,0,NICK,2020-07-02,,,,,
105194,348.0,348.0,348.0,348.0,0,NICK,2020-07-03,,,,,
87053,348.0,348.0,348.0,348.0,0,NICK,2020-07-06,,,,,
34282,348.0,348.0,348.0,348.0,0,NICK,2020-07-07,,,,,
49127,348.0,348.0,348.0,348.0,0,NICK,2020-07-08,,,,,
117522,348.0,348.0,348.0,348.0,0,NICK,2020-07-09,,,,,
23578,348.0,348.0,348.0,348.0,0,NICK,2020-07-10,,,,,348.0
15342,348.0,348.0,348.0,348.0,0,NICK,2020-07-13,,,,,348.0
31820,348.0,348.0,348.0,348.0,0,NICK,2020-07-14,,,,348.0,348.0
92825,348.0,348.0,348.0,348.0,0,NICK,2020-07-15,,,,348.0,348.0
21933,348.0,348.0,348.0,348.0,0,NICK,2020-07-16,,,,348.0,348.0
107631,348.0,348.0,348.0,348.0,0,NICK,2020-07-17,,,,348.0,348.0
80465,348.0,348.0,348.0,348.0,0,NICK,2020-07-20,,,,348.0,348.0
106002,348.0,348.0,348.0,348.0,0,NICK,2020-07-21,,,,348.0,348.0
96945,348.0,348.0,348.0,348.0,0,NICK,2020-07-22,,,,348.0,348.0
8751,324.0,324.0,324.0,324.0,3006800,NICK,2020-07-23,,,,345.6,342.6666666666667
104380,324.0,324.0,324.0,324.0,100,NICK,2020-07-24,,,,343.2,338.51851851851853
57376,302.0,302.0,302.0,302.0,3501000,NICK,2020-07-27,,,,338.6,330.40329218106996
41699,308.0,308.0,308.0,308.0,3400,NICK,2020-07-28,,,,334.6,325.42478280749884
114233,308.0,308.0,308.0,308.0,600,NICK,2020-07-29,,,,330.6,321.5526088502769
82919,308.0,308.0,308.0,308.0,0,NICK,2020-07-30,,,,326.6,318.5409179946598
120819,308.0,308.0,308.0,308.0,0,NICK,2020-08-03,,,,322.6,316.1984917736243
7114,308.0,308.0,308.0,308.0,0,NICK,2020-08-04,,,,318.6,314.3766047128189
55732,308.0,308.0,308.0,308.0,0,NICK,2020-08-05,,,,314.6,312.9595814433036
72221,348.0,306.0,348.0,288.0,800,NICK,2020-08-06,,,,310.4,311.41300778923613
44169,306.0,306.0,306.0,306.0,0,NICK,2020-08-07,,,,308.6,310.21011716940586
101900,300.0,302.0,302.0,288.0,1400,NICK,2020-08-10,,,,306.4,308.38564668731567
54915,336.0,336.0,336.0,336.0,200,NICK,2020-08-11,,,,309.8,314.52216964569
123281,336.0,336.0,336.0,336.0,0,NICK,2020-08-12,,,331.73333333333335,312.6,319.29502083553666
64796,336.0,336.0,336.0,336.0,0,NICK,2020-08-13,,,331.3333333333333,315.4,323.0072384276396
90367,336.0,336.0,336.0,336.0,0,NICK,2020-08-14,,,330.93333333333334,318.2,325.894518777053
63152,314.0,322.0,322.0,314.0,2300,NICK,2020-08-18,,,330.06666666666666,319.6,325.02907015993014
92008,310.0,318.0,318.0,310.0,300,NICK,2020-08-19,,,329.06666666666666,320.6,323.46705456883456
10398,318.0,318.0,318.0,318.0,0,NICK,2020-08-24,,,328.06666666666666,321.6,322.252153553538
132327,318.0,318.0,318.0,318.0,0,NICK,2020-08-25,,,327.06666666666666,322.8,321.30723054164065
106814,318.0,314.0,318.0,314.0,200,NICK,2020-08-26,,,325.93333333333334,323.6,319.68340153238717
3818,312.0,312.0,312.0,312.0,400,NICK,2020-08-27,,,324.73333333333335,324.6,317.97597896963447
81276,312.0,312.0,312.0,312.0,0,NICK,2020-08-28,,,323.53333333333336,322.2,316.64798364304903
27697,308.0,298.0,308.0,292.0,10400,NICK,2020-08-31,,,321.8666666666667,318.4,312.503987277927
35092,302.0,302.0,302.0,302.0,200,NICK,2020-09-01,,,320.3333333333333,315.0,310.1697678828321
39230,282.0,300.0,302.0,282.0,10500,NICK,2020-09-02,,,318.73333333333335,311.4,307.90981946442497
