,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
518,1145.0,1125.0,1150.0,1105.0,431000,NIKL,2021-04-01,,,,,
1358,1130.0,1065.0,1135.0,1055.0,1008000,NIKL,2021-04-05,,,,,
2198,1080.0,1080.0,1095.0,1050.0,1083500,NIKL,2021-04-06,,,,,
3040,1085.0,1085.0,1105.0,1080.0,534800,NIKL,2021-04-07,,,,,
3882,1085.0,1100.0,1130.0,1080.0,1184800,NIKL,2021-04-08,,,,,
4726,1100.0,1100.0,1120.0,1100.0,915200,NIKL,2021-04-09,,,,,
5569,1100.0,1070.0,1100.0,1050.0,601600,NIKL,2021-04-12,,,,,
6413,1070.0,1020.0,1070.0,1005.0,729700,NIKL,2021-04-13,,,,,1080.625
7257,1020.0,1040.0,1045.0,1020.0,422700,NIKL,2021-04-14,,,,,1071.5972222222222
8102,1040.0,1035.0,1045.0,1020.0,327000,NIKL,2021-04-15,,,,1072.0,1063.4645061728395
8946,1035.0,1030.0,1045.0,1025.0,245100,NIKL,2021-04-16,,,,1062.5,1056.0279492455418
9790,1035.0,1020.0,1040.0,1010.0,265000,NIKL,2021-04-19,,,,1058.0,1048.0217383020881
10634,1020.0,1025.0,1030.0,1020.0,346700,NIKL,2021-04-20,,,,1052.5,1042.9057964571796
11478,1025.0,1010.0,1025.0,1005.0,347700,NIKL,2021-04-21,,,,1045.0,1035.593397244473
12322,1015.0,1010.0,1030.0,1010.0,312900,NIKL,2021-04-22,,,,1036.0,1029.90597563459
13166,1010.0,1020.0,1020.0,1010.0,250400,NIKL,2021-04-23,,,,1028.0,1027.7046477157924
14009,1020.0,1005.0,1035.0,1000.0,402300,NIKL,2021-04-26,,,,1021.5,1022.6591704456163
14852,1020.0,1005.0,1020.0,995.0,899200,NIKL,2021-04-27,,,,1020.0,1018.7349103465905
15696,1020.0,985.0,1025.0,975.0,1167700,NIKL,2021-04-28,,,,1014.5,1011.2382636029037
16540,1000.0,1065.0,1065.0,990.0,3345600,NIKL,2021-04-29,,,,1017.5,1023.1853161355917
17384,1075.0,1035.0,1090.0,1030.0,938100,NIKL,2021-04-30,,,,1018.0,1025.8108014387935
18227,1035.0,1015.0,1075.0,1015.0,1448000,NIKL,2021-05-03,,,,1017.5,1023.4084011190616
19070,1020.0,1095.0,1100.0,1020.0,2885600,NIKL,2021-05-04,,,,1024.5,1039.3176453148258
19914,1100.0,1085.0,1125.0,1070.0,2192800,NIKL,2021-05-05,,,,1032.0,1049.469279689309
20758,1105.0,1115.0,1150.0,1100.0,2745100,NIKL,2021-05-06,,,,1042.5,1064.0316619805735
21602,1120.0,1090.0,1130.0,1090.0,921600,NIKL,2021-05-07,,,,1049.5,1069.8024037626683
22446,1135.0,1110.0,1140.0,1095.0,1244300,NIKL,2021-05-10,,,,1060.0,1078.7352029265198
23289,1110.0,1075.0,1110.0,1070.0,1026200,NIKL,2021-05-11,,,,1067.0,1077.9051578317376
24131,1075.0,1000.0,1080.0,1000.0,2218200,NIKL,2021-05-17,,,,1068.5,1060.592900535796
24971,1015.0,1005.0,1050.0,950.0,1265700,NIKL,2021-05-18,,,1050.6666666666667,1062.5,1048.2389226389523
25811,1005.0,980.0,1005.0,975.0,995400,NIKL,2021-05-19,,,1045.8333333333333,1057.0,1033.074717608074
26727,980.0,985.0,1000.0,955.0,583400,NIKL,2021-05-20,,,1043.1666666666667,1054.0,1022.3914470285021
27535,985.0,960.0,990.0,960.0,666200,NIKL,2021-05-21,,,1039.1666666666667,1040.5,1008.5266810221683
28377,960.0,930.0,970.0,925.0,836600,NIKL,2021-05-24,,,1034.0,1025.0,991.0763074616865
29219,925.0,1100.0,1120.0,925.0,9020900,NIKL,2021-05-25,,,1034.0,1023.5,1015.2815724702006
30010,1105.0,1145.0,1145.0,1100.0,4385900,NIKL,2021-05-27,,,1035.5,1029.0,1044.1078896990448
30852,1160.0,1160.0,1200.0,1150.0,3221700,NIKL,2021-05-28,,,1038.5,1034.0,1069.861691988146
31694,1165.0,1210.0,1225.0,1155.0,3465600,NIKL,2021-05-31,,,1044.8333333333333,1047.5,1101.0035382130025
32536,1220.0,1270.0,1280.0,1210.0,4478100,NIKL,2021-06-02,,,1052.5,1074.5,1138.558307499002
33377,1280.0,1225.0,1280.0,1205.0,2687100,NIKL,2021-06-03,,,1058.8333333333333,1096.5,1157.767572499224
34218,1220.0,1190.0,1225.0,1170.0,1101800,NIKL,2021-06-04,,,1064.1666666666667,1117.5,1164.930334166063
35059,1195.0,1195.0,1215.0,1155.0,1090600,NIKL,2021-06-07,,,1070.0,1138.5,1171.61248212916
35902,1210.0,1150.0,1210.0,1150.0,1117200,NIKL,2021-06-08,,,1074.1666666666667,1157.5,1166.80970832268
36745,1150.0,1160.0,1175.0,1125.0,1172300,NIKL,2021-06-09,,,1079.1666666666667,1180.5,1165.296439806529
37590,1160.0,1165.0,1195.0,1140.0,927700,NIKL,2021-06-10,,,1084.3333333333333,1187.0,1165.230564293967
38437,1165.0,1190.0,1200.0,1165.0,691500,NIKL,2021-06-11,,,1090.0,1191.5,1170.734883339752
39284,1195.0,1215.0,1250.0,1190.0,2089300,NIKL,2021-06-14,,,1097.0,1197.0,1180.5715759309182
40131,1215.0,1200.0,1240.0,1160.0,1437300,NIKL,2021-06-15,,,1103.5,1196.0,1184.8890035018253
40978,1190.0,1165.0,1190.0,1160.0,528500,NIKL,2021-06-16,,,1109.5,1185.5,1180.4692249458642
41825,1160.0,1175.0,1195.0,1135.0,754300,NIKL,2021-06-17,,,1113.1666666666667,1180.5,1179.2538416245611
42672,1180.0,1130.0,1190.0,1120.0,929600,NIKL,2021-06-18,,,1116.3333333333333,1174.5,1168.3085434857699
43519,1130.0,1125.0,1165.0,1060.0,1041000,NIKL,2021-06-21,,,1120.0,1167.5,1158.6844227111544
44366,1145.0,1245.0,1245.0,1125.0,1870900,NIKL,2021-06-22,,,1125.0,1177.0,1177.8656621086757
45213,1245.0,1335.0,1360.0,1205.0,9571200,NIKL,2021-06-23,,,1133.3333333333333,1194.5,1212.7844038623034
46060,1335.0,1320.0,1405.0,1290.0,7557300,NIKL,2021-06-24,,,1140.1666666666667,1210.0,1236.6100918929026
46907,1340.0,1385.0,1385.0,1275.0,10949500,NIKL,2021-06-25,,,1150.0,1229.5,1269.5856270278132
47755,1385.0,1390.0,1435.0,1295.0,19944600,NIKL,2021-06-28,,,1159.3333333333333,1247.0,1296.344376577188
48599,1390.0,1300.0,1405.0,1300.0,2752900,NIKL,2021-06-29,,,1166.8333333333333,1257.0,1297.156737337813
49398,1300.0,1225.0,1310.0,1215.0,2382000,NIKL,2021-06-30,,,1174.3333333333333,1263.0,1281.121906818299
50249,1225.0,1185.0,1250.0,1150.0,2667900,NIKL,2021-07-01,,,1180.3333333333333,1264.0,1259.7614830808993
51100,1185.0,1200.0,1230.0,1185.0,766800,NIKL,2021-07-02,,,1187.6666666666667,1271.0,1246.4811535073661
51951,1220.0,1185.0,1285.0,1185.0,1406000,NIKL,2021-07-05,,,1194.3333333333333,1277.0,1232.8186749501735
52803,1190.0,1145.0,1245.0,1130.0,4673600,NIKL,2021-07-06,,,1200.5,1267.0,1213.303413850135
53635,1145.0,1100.0,1165.0,1090.0,2499500,NIKL,2021-07-07,,,1206.1666666666667,1243.5,1188.124877438994
54465,1100.0,1115.0,1135.0,1100.0,958900,NIKL,2021-07-08,,,1206.6666666666667,1223.0,1171.874904674773
55318,1125.0,1125.0,1140.0,1115.0,1117600,NIKL,2021-07-09,,,1206.0,1197.0,1161.45825919149
56171,1130.0,1115.0,1145.0,1115.0,1065300,NIKL,2021-07-12,,,1204.5,1169.5,1151.134201593381
57024,1115.0,1105.0,1115.0,1100.0,674700,NIKL,2021-07-13,,,1201.0,1150.0,1140.8821567948519
57877,1105.0,1065.0,1105.0,1060.0,707500,NIKL,2021-07-14,,,1194.1666666666667,1134.0,1124.0194552848848
58730,1080.0,1035.0,1085.0,1025.0,1293200,NIKL,2021-07-15,,,1187.8333333333333,1119.0,1104.237354110466
59583,1035.0,1080.0,1100.0,1030.0,1720200,NIKL,2021-07-16,,,1184.1666666666667,1107.0,1098.8512754192514
60435,1090.0,1115.0,1135.0,1070.0,1161100,NIKL,2021-07-19,,,1181.5,1100.0,1102.43988088164
61287,1115.0,1205.0,1205.0,1115.0,4729800,NIKL,2021-07-21,,,1183.3333333333333,1106.0,1125.2310184634978
62139,1250.0,1185.0,1265.0,1175.0,4034900,NIKL,2021-07-22,,,1184.1666666666667,1114.5,1138.5130143604983
62991,1195.0,1195.0,1240.0,1185.0,1754600,NIKL,2021-07-23,,,1185.1666666666667,1122.5,1151.0656778359432
63843,1215.0,1175.0,1220.0,1165.0,1358300,NIKL,2021-07-26,,,1184.6666666666667,1127.5,1156.3844160946226
64695,1175.0,1150.0,1200.0,1150.0,828500,NIKL,2021-07-27,,,1182.5,1131.0,1154.9656569624842
65549,1150.0,1110.0,1160.0,1105.0,630000,NIKL,2021-07-28,,,1179.5,1131.5,1144.9732887485989
66403,1110.0,1100.0,1125.0,1070.0,991700,NIKL,2021-07-29,,,1177.3333333333333,1135.0,1134.9792245822437
67257,1115.0,1085.0,1125.0,1080.0,491900,NIKL,2021-07-30,,,1174.3333333333333,1140.0,1123.872730230634
68111,1100.0,1095.0,1115.0,1085.0,277700,NIKL,2021-08-02,,,1173.1666666666667,1141.5,1117.45656795716
68965,1095.0,1085.0,1170.0,1080.0,2910700,NIKL,2021-08-03,,,1171.8333333333333,1138.5,1110.2439973000132
69819,1090.0,1085.0,1105.0,1080.0,603400,NIKL,2021-08-04,,,1166.5,1126.5,1104.6342201222326
70673,1090.0,1095.0,1125.0,1080.0,1151900,NIKL,2021-08-05,,,1158.5,1117.5,1102.493282317292
71528,1095.0,1110.0,1120.0,1090.0,430700,NIKL,2021-08-06,,,1151.5,1109.0,1104.1614418023382
72383,1115.0,1080.0,1115.0,1080.0,620200,NIKL,2021-08-09,,,1141.3333333333333,1099.5,1098.7922325129298
73238,1080.0,1060.0,1080.0,1040.0,596200,NIKL,2021-08-10,,,1130.3333333333333,1090.5,1090.1717363989453
74093,1060.0,1085.0,1090.0,1050.0,425600,NIKL,2021-08-12,,,1123.1666666666667,1088.0,1089.0224616436242
74948,1095.0,1060.0,1095.0,1060.0,373500,NIKL,2021-08-13,,,1117.6666666666667,1084.0,1082.5730257228188
75803,1060.0,1060.0,1080.0,1050.0,432100,NIKL,2021-08-16,,,1113.5,1081.5,1077.5567977844146
76658,1060.0,1050.0,1060.0,1030.0,557200,NIKL,2021-08-18,,,1108.5,1077.0,1071.4330649434335
77513,1050.0,1015.0,1050.0,1015.0,420100,NIKL,2021-08-19,,,1102.8333333333333,1070.0,1058.8923838448927
