,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
520,143.0,135.0,143.0,130.0,140700,NIRO,2021-04-01,,,,,
1360,133.0,160.0,170.0,127.0,5355700,NIRO,2021-04-05,,,,,
2200,160.0,150.0,168.0,149.0,3253800,NIRO,2021-04-06,,,,,
3042,150.0,140.0,150.0,140.0,204000,NIRO,2021-04-07,,,,,
3884,139.0,137.0,140.0,131.0,7661800,NIRO,2021-04-08,,,,,
4728,129.0,130.0,133.0,128.0,11144500,NIRO,2021-04-09,,,,,
5571,130.0,128.0,130.0,121.0,7785700,NIRO,2021-04-12,,,,,
6415,138.0,128.0,138.0,124.0,3515900,NIRO,2021-04-13,,,,,138.5
7259,138.0,131.0,138.0,125.0,111200,NIRO,2021-04-14,,,,,136.83333333333334
8104,141.0,131.0,141.0,127.0,508500,NIRO,2021-04-15,,,,137.0,135.53703703703704
8948,141.0,140.0,141.0,130.0,528800,NIRO,2021-04-16,,,,137.5,136.52880658436214
9792,136.0,143.0,152.0,135.0,84200,NIRO,2021-04-19,,,,135.8,137.966849565615
10636,138.0,140.0,140.0,138.0,41100,NIRO,2021-04-20,,,,134.8,138.4186607732561
11480,150.0,140.0,150.0,136.0,29600,NIRO,2021-04-21,,,,134.8,138.7700694903103
12324,150.0,145.0,150.0,136.0,3800,NIRO,2021-04-22,,,,135.6,140.15449849246357
13168,146.0,140.0,150.0,138.0,33900,NIRO,2021-04-23,,,,136.6,140.12016549413835
14011,150.0,147.0,150.0,140.0,116500,NIRO,2021-04-26,,,,138.5,141.64901760655204
14854,150.0,144.0,150.0,142.0,1000,NIRO,2021-04-27,,,,140.1,142.17145813842936
15698,154.0,145.0,154.0,140.0,46100,NIRO,2021-04-28,,,,141.5,142.80002299655618
16542,152.0,150.0,152.0,150.0,1600,NIRO,2021-04-29,,,,143.4,144.40001788621035
17386,160.0,150.0,160.0,145.0,14900,NIRO,2021-04-30,,,,144.4,145.6444583559414
18229,160.0,147.0,160.0,147.0,2700,NIRO,2021-05-03,,,,144.8,145.94568983239887
19072,157.0,152.0,157.0,141.0,21100,NIRO,2021-05-04,,,,146.0,147.29109209186578
19916,152.0,142.0,152.0,142.0,145800,NIRO,2021-05-05,,,,146.2,146.11529384922895
20760,152.0,142.0,152.0,140.0,28000,NIRO,2021-05-06,,,,145.9,145.20078410495586
21604,152.0,148.0,152.0,140.0,6100,NIRO,2021-05-07,,,,146.7,145.82283208163233
22448,145.0,151.0,151.0,141.0,5900,NIRO,2021-05-10,,,,147.1,146.9733138412696
23291,160.0,145.0,160.0,141.0,66400,NIRO,2021-05-11,,,,147.2,146.5347996543208
24133,155.0,149.0,155.0,149.0,5600,NIRO,2021-05-17,,,,147.6,147.08262195336061
24973,159.0,149.0,159.0,149.0,1100,NIRO,2021-05-18,,,142.63333333333333,147.5,147.50870596372494
25813,152.0,151.0,152.0,142.0,21200,NIRO,2021-05-19,,,143.16666666666666,147.6,148.28454908289717
26729,161.0,150.0,161.0,146.0,11600,NIRO,2021-05-20,,,142.83333333333334,147.9,148.66576039780892
27537,160.0,150.0,160.0,142.0,45100,NIRO,2021-05-21,,,142.83333333333334,147.7,148.96225808718472
28379,160.0,140.0,160.0,140.0,853400,NIRO,2021-05-24,,,142.83333333333334,147.5,146.97064517892144
29221,150.0,145.0,150.0,140.0,14600,NIRO,2021-05-25,,,143.1,147.8,146.53272402805
30012,155.0,146.0,155.0,140.0,34000,NIRO,2021-05-27,,,143.63333333333333,147.6,146.41434091070556
30854,156.0,150.0,156.0,141.0,6200,NIRO,2021-05-28,,,144.36666666666667,147.5,147.21115404165988
31696,160.0,149.0,160.0,142.0,73400,NIRO,2021-05-31,,,145.06666666666666,147.9,147.60867536573545
32538,159.0,149.0,159.0,149.0,3200,NIRO,2021-06-02,,,145.66666666666666,147.9,147.91785861779425
33379,149.0,141.0,149.0,140.0,441000,NIRO,2021-06-03,,,146.0,147.1,146.38055670272885
34220,151.0,145.0,151.0,141.0,23500,NIRO,2021-06-04,,,146.16666666666666,146.5,146.07376632434466
35061,150.0,149.0,150.0,143.0,1000,NIRO,2021-06-07,,,146.36666666666667,146.4,146.7240404744903
35904,144.0,145.0,149.0,143.0,368600,NIRO,2021-06-08,,,146.53333333333333,145.9,146.340920369048
36747,149.0,147.0,149.0,143.0,201900,NIRO,2021-06-09,,,146.76666666666668,146.6,146.48738250925956
37592,147.0,147.0,147.0,143.0,6000,NIRO,2021-06-10,,,146.83333333333334,146.8,146.60129750720188
38439,143.0,147.0,147.0,143.0,6700,NIRO,2021-06-11,,,147.06666666666666,146.9,146.689898061157
39286,143.0,147.0,147.0,143.0,57700,NIRO,2021-06-14,,,147.06666666666666,146.6,146.75880960312213
40133,147.0,149.0,149.0,143.0,9800,NIRO,2021-06-15,,,147.23333333333332,146.6,147.25685191353944
40980,145.0,146.0,149.0,145.0,4200,NIRO,2021-06-16,,,147.26666666666668,146.3,146.97755148830845
41827,143.0,148.0,148.0,143.0,678200,NIRO,2021-06-17,,,147.2,147.0,147.20476226868436
