,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124104,785.0,785.0,785.0,785.0,100,NOBU,2020-07-01,,,,,
131525,785.0,785.0,785.0,785.0,0,NOBU,2020-07-02,,,,,
105199,735.0,780.0,780.0,735.0,500,NOBU,2020-07-03,,,,,
87058,780.0,780.0,780.0,780.0,0,NOBU,2020-07-06,,,,,
34287,730.0,775.0,775.0,730.0,800,NOBU,2020-07-07,,,,,
49132,725.0,765.0,765.0,725.0,1600,NOBU,2020-07-08,,,,,
117527,730.0,765.0,765.0,730.0,200,NOBU,2020-07-09,,,,,
23583,730.0,730.0,730.0,730.0,1500,NOBU,2020-07-10,,,,,770.625
15347,730.0,730.0,730.0,730.0,600,NOBU,2020-07-13,,,,,761.5972222222222
31825,730.0,730.0,730.0,730.0,0,NOBU,2020-07-14,,,,762.5,754.5756172839506
92830,730.0,730.0,730.0,730.0,1500,NOBU,2020-07-15,,,,757.0,749.1143689986283
21938,730.0,730.0,730.0,730.0,0,NOBU,2020-07-16,,,,751.5,744.8667314433775
107636,680.0,680.0,680.0,680.0,800,NOBU,2020-07-17,,,,741.5,730.451902233738
80470,680.0,680.0,680.0,680.0,0,NOBU,2020-07-20,,,,731.5,719.2403684040185
106007,680.0,800.0,800.0,680.0,200,NOBU,2020-07-21,,,,734.0,737.1869532031254
96950,780.0,750.0,780.0,745.0,3600,NOBU,2020-07-22,,,,732.5,740.0342969357642
8756,750.0,750.0,750.0,750.0,400,NOBU,2020-07-23,,,,731.0,742.2488976167056
104385,745.0,745.0,745.0,745.0,100,NOBU,2020-07-24,,,,732.5,742.8602537018821
57381,745.0,745.0,745.0,745.0,0,NOBU,2020-07-27,,,,734.0,743.3357528792417
41704,780.0,780.0,795.0,780.0,900,NOBU,2020-07-28,,,,739.0,751.4833633505214
114238,780.0,780.0,780.0,780.0,100,NOBU,2020-07-29,,,,744.0,757.8203937170722
82924,780.0,730.0,780.0,730.0,1300,NOBU,2020-07-30,,,,744.0,751.6380840021673
120824,730.0,680.0,730.0,680.0,1500,NOBU,2020-08-03,,,,744.0,735.7185097794634
7119,645.0,770.0,770.0,635.0,2100,NOBU,2020-08-04,,,,753.0,743.3366187173604
55737,770.0,720.0,770.0,720.0,7400,NOBU,2020-08-05,,,,745.0,738.1507034468358
72226,720.0,720.0,720.0,720.0,19500,NOBU,2020-08-06,,,,742.0,734.1172137919834
44174,675.0,675.0,675.0,675.0,800,NOBU,2020-08-07,,,,734.5,720.9800551715426
101905,650.0,665.0,665.0,650.0,5200,NOBU,2020-08-10,,,,726.5,708.5400429111999
54920,625.0,770.0,770.0,625.0,12300,NOBU,2020-08-11,,,,729.0,722.1978111531555
123286,770.0,720.0,770.0,720.0,9800,NOBU,2020-08-12,,,741.5,723.0,721.7094086746765
64801,700.0,695.0,700.0,670.0,2700,NOBU,2020-08-13,,,738.5,714.5,715.7739845247484
90372,695.0,695.0,695.0,695.0,600,NOBU,2020-08-14,,,735.5,711.0,711.1575435192487
63157,655.0,730.0,730.0,655.0,200,NOBU,2020-08-18,,,733.8333333333334,716.0,715.3447560705268
92013,720.0,710.0,720.0,710.0,10900,NOBU,2020-08-19,,,731.5,710.0,714.1570324992987
10403,710.0,710.0,710.0,710.0,100,NOBU,2020-08-24,,,729.3333333333334,709.0,713.2332474994545
132332,700.0,700.0,700.0,700.0,11000,NOBU,2020-08-25,,,727.1666666666666,707.0,710.2925258329091
106819,700.0,700.0,700.0,700.0,0,NOBU,2020-08-26,,,725.0,709.5,708.0052978700404
3823,700.0,700.0,700.0,700.0,0,NOBU,2020-08-27,,,724.0,713.0,706.2263427878092
81281,660.0,700.0,700.0,660.0,600,NOBU,2020-08-28,,,723.0,706.0,704.8427110571849
27702,725.0,725.0,725.0,725.0,200,NOBU,2020-08-31,,,722.8333333333334,706.5,709.3221086000327
35097,725.0,745.0,750.0,725.0,16100,NOBU,2020-09-01,,,723.3333333333334,711.5,717.2505289111366
39235,745.0,775.0,780.0,745.0,7200,NOBU,2020-09-02,,,724.8333333333334,719.5,730.0837447086618
