,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
524,50.0,50.0,50.0,50.0,0,NUSA,2021-04-01,,,,,
1364,50.0,50.0,50.0,50.0,0,NUSA,2021-04-05,,,,,
2204,50.0,50.0,50.0,50.0,0,NUSA,2021-04-06,,,,,
3046,50.0,50.0,50.0,50.0,0,NUSA,2021-04-07,,,,,
3888,50.0,50.0,50.0,50.0,0,NUSA,2021-04-08,,,,,
4732,50.0,50.0,50.0,50.0,0,NUSA,2021-04-09,,,,,
5575,50.0,50.0,50.0,50.0,0,NUSA,2021-04-12,,,,,
6419,50.0,50.0,50.0,50.0,0,NUSA,2021-04-13,,,,,50.0
7264,50.0,50.0,50.0,50.0,0,NUSA,2021-04-14,,,,,50.0
8109,50.0,50.0,50.0,50.0,0,NUSA,2021-04-15,,,,50.0,50.0
8953,50.0,50.0,50.0,50.0,0,NUSA,2021-04-16,,,,50.0,50.0
9797,50.0,50.0,50.0,50.0,0,NUSA,2021-04-19,,,,50.0,50.0
10641,50.0,50.0,50.0,50.0,0,NUSA,2021-04-20,,,,50.0,50.0
11485,50.0,50.0,50.0,50.0,0,NUSA,2021-04-21,,,,50.0,50.0
12329,50.0,50.0,50.0,50.0,0,NUSA,2021-04-22,,,,50.0,50.0
13173,50.0,50.0,50.0,50.0,0,NUSA,2021-04-23,,,,50.0,50.0
14016,50.0,50.0,50.0,50.0,0,NUSA,2021-04-26,,,,50.0,50.0
14859,50.0,50.0,50.0,50.0,0,NUSA,2021-04-27,,,,50.0,50.0
15703,50.0,50.0,50.0,50.0,0,NUSA,2021-04-28,,,,50.0,50.0
16547,50.0,50.0,50.0,50.0,0,NUSA,2021-04-29,,,,50.0,50.0
17391,50.0,50.0,50.0,50.0,0,NUSA,2021-04-30,,,,50.0,50.0
18234,50.0,50.0,50.0,50.0,0,NUSA,2021-05-03,,,,50.0,50.0
19077,50.0,50.0,50.0,50.0,0,NUSA,2021-05-04,,,,50.0,50.0
19921,50.0,50.0,50.0,50.0,0,NUSA,2021-05-05,,,,50.0,50.0
20765,50.0,50.0,50.0,50.0,0,NUSA,2021-05-06,,,,50.0,50.0
21609,50.0,50.0,50.0,50.0,0,NUSA,2021-05-07,,,,50.0,50.0
22453,50.0,50.0,50.0,50.0,0,NUSA,2021-05-10,,,,50.0,50.0
23296,50.0,50.0,50.0,50.0,0,NUSA,2021-05-11,,,,50.0,50.0
24138,50.0,50.0,50.0,50.0,0,NUSA,2021-05-17,,,,50.0,50.0
24978,50.0,50.0,50.0,50.0,0,NUSA,2021-05-18,,,50.0,50.0,50.0
25818,50.0,50.0,50.0,50.0,0,NUSA,2021-05-19,,,50.0,50.0,50.0
26734,50.0,50.0,50.0,50.0,0,NUSA,2021-05-20,,,50.0,50.0,50.0
27542,50.0,50.0,50.0,50.0,0,NUSA,2021-05-21,,,50.0,50.0,50.0
28384,50.0,50.0,50.0,50.0,0,NUSA,2021-05-24,,,50.0,50.0,50.0
29226,50.0,50.0,50.0,50.0,0,NUSA,2021-05-25,,,50.0,50.0,50.0
30017,50.0,50.0,50.0,50.0,0,NUSA,2021-05-27,,,50.0,50.0,50.0
30859,50.0,50.0,50.0,50.0,0,NUSA,2021-05-28,,,50.0,50.0,50.0
31701,50.0,50.0,50.0,50.0,0,NUSA,2021-05-31,,,50.0,50.0,50.0
32543,50.0,50.0,50.0,50.0,0,NUSA,2021-06-02,,,50.0,50.0,50.0
33384,50.0,50.0,50.0,50.0,0,NUSA,2021-06-03,,,50.0,50.0,50.0
34225,50.0,50.0,50.0,50.0,0,NUSA,2021-06-04,,,50.0,50.0,50.0
35066,50.0,50.0,50.0,50.0,0,NUSA,2021-06-07,,,50.0,50.0,50.0
35909,50.0,50.0,50.0,50.0,0,NUSA,2021-06-08,,,50.0,50.0,50.0
36752,50.0,50.0,50.0,50.0,0,NUSA,2021-06-09,,,50.0,50.0,50.0
37597,50.0,50.0,50.0,50.0,0,NUSA,2021-06-10,,,50.0,50.0,50.0
38444,50.0,50.0,50.0,50.0,0,NUSA,2021-06-11,,,50.0,50.0,50.0
39291,50.0,50.0,50.0,50.0,0,NUSA,2021-06-14,,,50.0,50.0,50.0
40138,50.0,50.0,50.0,50.0,0,NUSA,2021-06-15,,,50.0,50.0,50.0
40985,50.0,50.0,50.0,50.0,0,NUSA,2021-06-16,,,50.0,50.0,50.0
41832,50.0,50.0,50.0,50.0,0,NUSA,2021-06-17,,,50.0,50.0,50.0
42679,50.0,50.0,50.0,50.0,0,NUSA,2021-06-18,,,50.0,50.0,50.0
43526,50.0,50.0,50.0,50.0,0,NUSA,2021-06-21,,,50.0,50.0,50.0
44373,50.0,50.0,50.0,50.0,0,NUSA,2021-06-22,,,50.0,50.0,50.0
45220,50.0,50.0,50.0,50.0,0,NUSA,2021-06-23,,,50.0,50.0,50.0
46067,50.0,50.0,50.0,50.0,0,NUSA,2021-06-24,,,50.0,50.0,50.0
46914,50.0,50.0,50.0,50.0,0,NUSA,2021-06-25,,,50.0,50.0,50.0
47762,50.0,50.0,50.0,50.0,0,NUSA,2021-06-28,,,50.0,50.0,50.0
48606,50.0,50.0,50.0,50.0,0,NUSA,2021-06-29,,,50.0,50.0,50.0
49405,50.0,50.0,50.0,50.0,0,NUSA,2021-06-30,,,50.0,50.0,50.0
50256,50.0,50.0,50.0,50.0,0,NUSA,2021-07-01,,,50.0,50.0,50.0
51107,50.0,50.0,50.0,50.0,0,NUSA,2021-07-02,,,50.0,50.0,50.0
51958,50.0,50.0,50.0,50.0,0,NUSA,2021-07-05,,,50.0,50.0,50.0
52810,50.0,50.0,50.0,50.0,0,NUSA,2021-07-06,,,50.0,50.0,50.0
53641,50.0,50.0,50.0,50.0,0,NUSA,2021-07-07,,,50.0,50.0,50.0
54472,50.0,50.0,50.0,50.0,0,NUSA,2021-07-08,,,50.0,50.0,50.0
55325,50.0,50.0,50.0,50.0,0,NUSA,2021-07-09,,,50.0,50.0,50.0
56178,50.0,50.0,50.0,50.0,0,NUSA,2021-07-12,,,50.0,50.0,50.0
57031,50.0,50.0,50.0,50.0,0,NUSA,2021-07-13,,,50.0,50.0,50.0
57884,50.0,50.0,50.0,50.0,0,NUSA,2021-07-14,,,50.0,50.0,50.0
58737,50.0,50.0,50.0,50.0,0,NUSA,2021-07-15,,,50.0,50.0,50.0
59590,50.0,50.0,50.0,50.0,0,NUSA,2021-07-16,,,50.0,50.0,50.0
60442,50.0,50.0,50.0,50.0,0,NUSA,2021-07-19,,,50.0,50.0,50.0
61294,50.0,50.0,50.0,50.0,0,NUSA,2021-07-21,,,50.0,50.0,50.0
62146,50.0,50.0,50.0,50.0,0,NUSA,2021-07-22,,,50.0,50.0,50.0
62998,50.0,50.0,50.0,50.0,0,NUSA,2021-07-23,,,50.0,50.0,50.0
63850,50.0,50.0,50.0,50.0,0,NUSA,2021-07-26,,,50.0,50.0,50.0
64702,50.0,50.0,50.0,50.0,0,NUSA,2021-07-27,,,50.0,50.0,50.0
65556,50.0,50.0,50.0,50.0,0,NUSA,2021-07-28,,,50.0,50.0,50.0
66410,50.0,50.0,50.0,50.0,0,NUSA,2021-07-29,,,50.0,50.0,50.0
67264,50.0,50.0,50.0,50.0,0,NUSA,2021-07-30,,,50.0,50.0,50.0
68118,50.0,50.0,50.0,50.0,0,NUSA,2021-08-02,,,50.0,50.0,50.0
68972,50.0,50.0,50.0,50.0,0,NUSA,2021-08-03,,,50.0,50.0,50.0
69826,50.0,50.0,50.0,50.0,0,NUSA,2021-08-04,,,50.0,50.0,50.0
70680,50.0,50.0,50.0,50.0,0,NUSA,2021-08-05,,,50.0,50.0,50.0
71535,50.0,50.0,50.0,50.0,0,NUSA,2021-08-06,,,50.0,50.0,50.0
72390,50.0,50.0,50.0,50.0,0,NUSA,2021-08-09,,,50.0,50.0,50.0
73245,50.0,50.0,50.0,50.0,0,NUSA,2021-08-10,,,50.0,50.0,50.0
74100,50.0,50.0,50.0,50.0,0,NUSA,2021-08-12,,,50.0,50.0,50.0
74955,50.0,50.0,50.0,50.0,0,NUSA,2021-08-13,,,50.0,50.0,50.0
75810,50.0,50.0,50.0,50.0,0,NUSA,2021-08-16,,,50.0,50.0,50.0
76665,50.0,50.0,50.0,50.0,0,NUSA,2021-08-18,,,50.0,50.0,50.0
77520,50.0,50.0,50.0,50.0,0,NUSA,2021-08-19,,,50.0,50.0,50.0
78375,50.0,50.0,50.0,50.0,0,NUSA,2021-08-20,,,50.0,50.0,50.0
79230,50.0,50.0,50.0,50.0,0,NUSA,2021-08-23,,,50.0,50.0,50.0
80085,50.0,50.0,50.0,50.0,0,NUSA,2021-08-24,,,50.0,50.0,50.0
80940,50.0,50.0,50.0,50.0,0,NUSA,2021-08-25,,,50.0,50.0,50.0
81795,50.0,50.0,50.0,50.0,0,NUSA,2021-08-26,,,50.0,50.0,50.0
82650,50.0,50.0,50.0,50.0,0,NUSA,2021-08-27,,,50.0,50.0,50.0
83505,50.0,50.0,50.0,50.0,0,NUSA,2021-08-30,,,50.0,50.0,50.0
84360,50.0,50.0,50.0,50.0,0,NUSA,2021-08-31,50.0,,50.0,50.0,50.0
85216,50.0,50.0,50.0,50.0,0,NUSA,2021-09-01,50.0,,50.0,50.0,50.0
86072,50.0,50.0,50.0,50.0,0,NUSA,2021-09-02,50.0,,50.0,50.0,50.0
86928,50.0,50.0,50.0,50.0,0,NUSA,2021-09-03,50.0,,50.0,50.0,50.0
87786,50.0,50.0,50.0,50.0,0,NUSA,2021-09-06,50.0,,50.0,50.0,50.0
88647,50.0,50.0,50.0,50.0,0,NUSA,2021-09-07,50.0,,50.0,50.0,50.0
89510,50.0,50.0,50.0,50.0,0,NUSA,2021-09-08,50.0,,50.0,50.0,50.0
90378,50.0,50.0,50.0,50.0,0,NUSA,2021-09-09,50.0,,50.0,50.0,50.0
91246,50.0,50.0,50.0,50.0,0,NUSA,2021-09-10,50.0,,50.0,50.0,50.0
92114,50.0,50.0,50.0,50.0,0,NUSA,2021-09-13,50.0,,50.0,50.0,50.0
92982,50.0,50.0,50.0,50.0,0,NUSA,2021-09-14,50.0,,50.0,50.0,50.0
93850,50.0,50.0,50.0,50.0,0,NUSA,2021-09-15,50.0,,50.0,50.0,50.0
94718,50.0,50.0,50.0,50.0,0,NUSA,2021-09-16,50.0,,50.0,50.0,50.0
95586,50.0,50.0,50.0,50.0,0,NUSA,2021-09-17,50.0,,50.0,50.0,50.0
96454,50.0,50.0,50.0,50.0,0,NUSA,2021-09-20,50.0,,50.0,50.0,50.0
97322,50.0,50.0,50.0,50.0,0,NUSA,2021-09-21,50.0,,50.0,50.0,50.0
98191,50.0,50.0,50.0,50.0,0,NUSA,2021-09-22,50.0,,50.0,50.0,50.0
99060,50.0,50.0,50.0,50.0,0,NUSA,2021-09-23,50.0,,50.0,50.0,50.0
99929,50.0,50.0,50.0,50.0,0,NUSA,2021-09-24,50.0,,50.0,50.0,50.0
100797,50.0,50.0,50.0,50.0,0,NUSA,2021-09-27,50.0,,50.0,50.0,50.0
101665,50.0,50.0,50.0,50.0,0,NUSA,2021-09-28,50.0,,50.0,50.0,50.0
102533,50.0,50.0,50.0,50.0,0,NUSA,2021-09-29,50.0,,50.0,50.0,50.0
103401,50.0,50.0,50.0,50.0,0,NUSA,2021-09-30,50.0,,50.0,50.0,50.0
104268,50.0,50.0,50.0,50.0,0,NUSA,2021-10-01,50.0,,50.0,50.0,50.0
105135,50.0,50.0,50.0,50.0,0,NUSA,2021-10-04,50.0,,50.0,50.0,50.0
106002,50.0,50.0,50.0,50.0,0,NUSA,2021-10-05,50.0,,50.0,50.0,50.0
106869,50.0,50.0,50.0,50.0,0,NUSA,2021-10-06,50.0,,50.0,50.0,50.0
107736,50.0,50.0,50.0,50.0,0,NUSA,2021-10-07,50.0,,50.0,50.0,50.0
108603,50.0,50.0,50.0,50.0,0,NUSA,2021-10-08,50.0,,50.0,50.0,50.0
109469,50.0,50.0,50.0,50.0,0,NUSA,2021-10-11,50.0,,50.0,50.0,50.0
110335,50.0,50.0,50.0,50.0,0,NUSA,2021-10-12,50.0,,50.0,50.0,50.0
111201,50.0,50.0,50.0,50.0,0,NUSA,2021-10-13,50.0,,50.0,50.0,50.0
112067,50.0,50.0,50.0,50.0,0,NUSA,2021-10-14,50.0,,50.0,50.0,50.0
112933,50.0,50.0,50.0,50.0,0,NUSA,2021-10-15,50.0,,50.0,50.0,50.0
113799,50.0,50.0,50.0,50.0,0,NUSA,2021-10-18,50.0,,50.0,50.0,50.0
114665,50.0,50.0,50.0,50.0,0,NUSA,2021-10-19,50.0,,50.0,50.0,50.0
115531,50.0,50.0,50.0,50.0,0,NUSA,2021-10-21,50.0,,50.0,50.0,50.0
116396,50.0,50.0,50.0,50.0,0,NUSA,2021-10-22,50.0,,50.0,50.0,50.0
117263,50.0,50.0,50.0,50.0,0,NUSA,2021-10-25,50.0,,50.0,50.0,50.0
118131,50.0,50.0,50.0,50.0,0,NUSA,2021-10-26,50.0,,50.0,50.0,50.0
118999,50.0,50.0,50.0,50.0,0,NUSA,2021-10-27,50.0,,50.0,50.0,50.0
119867,50.0,50.0,50.0,50.0,0,NUSA,2021-10-28,50.0,,50.0,50.0,50.0
120735,50.0,50.0,50.0,50.0,0,NUSA,2021-10-29,50.0,,50.0,50.0,50.0
121603,50.0,50.0,50.0,50.0,0,NUSA,2021-11-01,50.0,,50.0,50.0,50.0
122470,50.0,50.0,50.0,50.0,0,NUSA,2021-11-02,50.0,,50.0,50.0,50.0
123337,50.0,50.0,50.0,50.0,0,NUSA,2021-11-03,50.0,,50.0,50.0,50.0
124204,50.0,50.0,50.0,50.0,0,NUSA,2021-11-04,50.0,,50.0,50.0,50.0
125071,50.0,50.0,50.0,50.0,0,NUSA,2021-11-05,50.0,,50.0,50.0,50.0
125938,50.0,50.0,50.0,50.0,0,NUSA,2021-11-08,50.0,,50.0,50.0,50.0
126804,50.0,50.0,50.0,50.0,0,NUSA,2021-11-09,50.0,,50.0,50.0,50.0
127670,50.0,50.0,50.0,50.0,0,NUSA,2021-11-10,50.0,,50.0,50.0,50.0
128536,50.0,50.0,50.0,50.0,0,NUSA,2021-11-11,50.0,,50.0,50.0,50.0
129402,50.0,50.0,50.0,50.0,0,NUSA,2021-11-12,50.0,,50.0,50.0,50.0
130269,50.0,50.0,50.0,50.0,0,NUSA,2021-11-15,50.0,,50.0,50.0,50.0
