,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120773,9.0,10.0,10.0,8.0,887600,NZIA-W,2020-07-01,,,,,
128194,10.0,8.0,10.0,7.0,1005900,NZIA-W,2020-07-02,,,,,
101868,7.0,6.0,8.0,5.0,1583500,NZIA-W,2020-07-03,,,,,
84561,6.0,6.0,7.0,5.0,1554700,NZIA-W,2020-07-06,,,,,
34292,6.0,4.0,6.0,3.0,1597300,NZIA-W,2020-07-07,,,,,
47469,4.0,4.0,5.0,3.0,988900,NZIA-W,2020-07-08,,,,,
114196,4.0,5.0,5.0,3.0,2216600,NZIA-W,2020-07-09,,,,,
23587,5.0,6.0,8.0,5.0,3114700,NZIA-W,2020-07-10,,,,,6.125
15351,6.0,6.0,6.0,5.0,227600,NZIA-W,2020-07-13,,,,,6.097222222222222
31829,6.0,6.0,6.0,5.0,226200,NZIA-W,2020-07-14,,,,6.1,6.075617283950617
89498,6.0,5.0,6.0,5.0,212800,NZIA-W,2020-07-15,,,,5.6,5.8365912208504795
21942,6.0,9.0,13.0,5.0,8607000,NZIA-W,2020-07-16,,,,5.7,6.539570949550373
104304,9.0,6.0,10.0,6.0,3357100,NZIA-W,2020-07-17,,,,5.7,6.419666294094735
77972,6.0,7.0,7.0,6.0,953200,NZIA-W,2020-07-20,,,,5.8,6.54862933985146
102675,6.0,7.0,7.0,6.0,459200,NZIA-W,2020-07-21,,,,6.1,6.64893393099558
93618,5.0,6.0,7.0,5.0,548400,NZIA-W,2020-07-22,,,,6.3,6.50472639077434
8760,6.0,7.0,7.0,6.0,395400,NZIA-W,2020-07-23,,,,6.5,6.614787192824487
101053,5.0,6.0,7.0,5.0,663700,NZIA-W,2020-07-24,,,,6.5,6.4781678166412675
54883,6.0,6.0,7.0,5.0,170400,NZIA-W,2020-07-27,,,,6.5,6.3719083018320966
41708,6.0,6.0,7.0,5.0,250800,NZIA-W,2020-07-28,,,,6.5,6.289262012536075
