,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126615,316.0,316.0,316.0,316.0,0,OMRE,2020-07-01,,,,,
134036,316.0,316.0,316.0,316.0,0,OMRE,2020-07-02,,,,,
107710,316.0,316.0,316.0,316.0,0,OMRE,2020-07-03,,,,,
89569,316.0,316.0,316.0,316.0,0,OMRE,2020-07-06,,,,,
34296,316.0,316.0,316.0,316.0,0,OMRE,2020-07-07,,,,,
51643,316.0,316.0,316.0,316.0,0,OMRE,2020-07-08,,,,,
120038,316.0,316.0,316.0,316.0,0,OMRE,2020-07-09,,,,,
23591,316.0,316.0,316.0,316.0,0,OMRE,2020-07-10,,,,,316.0
15355,316.0,316.0,316.0,316.0,0,OMRE,2020-07-13,,,,,316.0
31833,316.0,316.0,316.0,316.0,0,OMRE,2020-07-14,,,,316.0,316.0
95340,316.0,316.0,316.0,316.0,0,OMRE,2020-07-15,,,,316.0,316.0
21946,316.0,316.0,316.0,316.0,0,OMRE,2020-07-16,,,,316.0,316.0
110146,316.0,316.0,316.0,316.0,0,OMRE,2020-07-17,,,,316.0,316.0
82980,316.0,316.0,316.0,316.0,0,OMRE,2020-07-20,,,,316.0,316.0
108517,316.0,316.0,316.0,316.0,0,OMRE,2020-07-21,,,,316.0,316.0
99460,316.0,316.0,316.0,316.0,0,OMRE,2020-07-22,,,,316.0,316.0
8764,316.0,316.0,316.0,316.0,0,OMRE,2020-07-23,,,,316.0,316.0
106895,316.0,316.0,316.0,316.0,0,OMRE,2020-07-24,,,,316.0,316.0
59891,316.0,316.0,316.0,316.0,0,OMRE,2020-07-27,,,,316.0,316.0
43380,316.0,316.0,316.0,316.0,0,OMRE,2020-07-28,,,,316.0,316.0
116748,316.0,316.0,316.0,316.0,0,OMRE,2020-07-29,,,,316.0,316.0
85434,316.0,316.0,316.0,316.0,0,OMRE,2020-07-30,,,,316.0,316.0
123334,316.0,316.0,316.0,316.0,0,OMRE,2020-08-03,,,,316.0,316.0
7127,316.0,316.0,316.0,316.0,0,OMRE,2020-08-04,,,,316.0,316.0
58247,316.0,316.0,316.0,316.0,0,OMRE,2020-08-05,,,,316.0,316.0
