,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
533,86.0,86.0,88.0,85.0,1225500,PAMG,2021-04-01,,,,,
1373,87.0,85.0,87.0,84.0,1664400,PAMG,2021-04-05,,,,,
2213,85.0,85.0,86.0,83.0,1061200,PAMG,2021-04-06,,,,,
3055,85.0,85.0,86.0,84.0,696100,PAMG,2021-04-07,,,,,
3897,85.0,90.0,93.0,85.0,9422200,PAMG,2021-04-08,,,,,
4741,91.0,88.0,91.0,87.0,2491300,PAMG,2021-04-09,,,,,
5584,88.0,86.0,89.0,86.0,1250600,PAMG,2021-04-12,,,,,
6428,86.0,88.0,89.0,85.0,517900,PAMG,2021-04-13,,,,,86.625
7273,89.0,88.0,89.0,86.0,610000,PAMG,2021-04-14,,,,,86.93055555555556
8118,89.0,87.0,89.0,87.0,323700,PAMG,2021-04-15,,,,86.8,86.94598765432099
8962,87.0,87.0,89.0,86.0,563400,PAMG,2021-04-16,,,,86.9,86.95799039780522
9806,87.0,86.0,88.0,86.0,651600,PAMG,2021-04-19,,,,87.0,86.74510364273739
10650,86.0,87.0,89.0,86.0,668600,PAMG,2021-04-20,,,,87.2,86.80174727768464
11494,87.0,87.0,88.0,87.0,269200,PAMG,2021-04-21,,,,87.4,86.84580343819917
12338,88.0,87.0,88.0,86.0,371100,PAMG,2021-04-22,,,,87.1,86.88006934082158
13182,88.0,87.0,88.0,86.0,537000,PAMG,2021-04-23,,,,87.0,86.90672059841678
14025,87.0,85.0,88.0,85.0,642900,PAMG,2021-04-26,,,,86.9,86.48300490987972
14868,86.0,84.0,86.0,84.0,951900,PAMG,2021-04-27,,,,86.5,85.93122604101757
15712,84.0,84.0,87.0,84.0,320300,PAMG,2021-04-28,,,,86.1,85.50206469856921
16556,84.0,85.0,86.0,83.0,314500,PAMG,2021-04-29,,,,85.9,85.39049476555384
17400,85.0,85.0,85.0,84.0,668500,PAMG,2021-04-30,,,,85.7,85.30371815098631
18243,85.0,85.0,86.0,84.0,323100,PAMG,2021-05-03,,,,85.6,85.23622522854491
19086,84.0,85.0,86.0,83.0,83200,PAMG,2021-05-04,,,,85.4,85.18373073331271
19930,85.0,85.0,85.0,83.0,1015100,PAMG,2021-05-05,,,,85.2,85.14290168146545
20774,85.0,84.0,85.0,84.0,45400,PAMG,2021-05-06,,,,84.9,84.88892353002868
21618,84.0,83.0,85.0,83.0,77800,PAMG,2021-05-07,,,,84.5,84.46916274557786
22462,84.0,84.0,85.0,83.0,30300,PAMG,2021-05-10,,,,84.4,84.36490435767168
23305,84.0,83.0,84.0,82.0,495400,PAMG,2021-05-11,,,,84.3,84.06159227818908
24147,83.0,82.0,84.0,80.0,293800,PAMG,2021-05-17,,,,84.1,83.60346066081372
24987,82.0,83.0,87.0,80.0,3361400,PAMG,2021-05-18,,,85.53333333333333,83.9,83.469358291744
25827,83.0,81.0,83.0,81.0,660100,PAMG,2021-05-19,,,85.36666666666666,83.5,82.92061200468977
26745,80.0,81.0,83.0,80.0,376200,PAMG,2021-05-20,,,85.23333333333333,83.1,82.49380933698093
27551,83.0,81.0,83.0,81.0,239700,PAMG,2021-05-21,,,85.1,82.7,82.16185170654073
28393,80.0,80.0,82.0,79.0,442200,PAMG,2021-05-24,,,84.93333333333334,82.2,81.68144021619834
29235,80.0,80.0,82.0,79.0,444300,PAMG,2021-05-25,,,84.6,81.8,81.30778683482093
30026,79.0,81.0,81.0,79.0,157500,PAMG,2021-05-27,,,84.36666666666666,81.6,81.23938976041627
30868,82.0,81.0,82.0,79.0,554500,PAMG,2021-05-28,,,84.2,81.3,81.18619203587933
31710,81.0,87.0,91.0,79.0,12649900,PAMG,2021-05-31,,,84.16666666666667,81.7,82.47814936123947
32552,88.0,86.0,89.0,84.0,1055500,PAMG,2021-06-02,,,84.1,82.1,83.2607828365196
33393,86.0,86.0,89.0,85.0,329700,PAMG,2021-06-03,,,84.06666666666666,82.4,83.86949776173746
34234,85.0,84.0,87.0,84.0,339600,PAMG,2021-06-04,,,83.96666666666667,82.7,83.89849825912914
35075,85.0,84.0,85.0,83.0,430700,PAMG,2021-06-07,,,83.9,83.0,83.92105420154489
35918,85.0,82.0,85.0,82.0,266000,PAMG,2021-06-08,,,83.73333333333333,83.1,83.49415326786824
36761,82.0,84.0,84.0,82.0,161400,PAMG,2021-06-09,,,83.63333333333334,83.5,83.6065636527864
37606,84.0,84.0,85.0,83.0,177300,PAMG,2021-06-10,,,83.53333333333333,83.9,83.6939939521672
38453,84.0,83.0,85.0,83.0,259900,PAMG,2021-06-11,,,83.4,84.1,83.53977307390782
39300,83.0,83.0,85.0,82.0,227800,PAMG,2021-06-14,,,83.33333333333333,84.3,83.4198235019283
40147,83.0,83.0,84.0,82.0,607600,PAMG,2021-06-15,,,83.3,83.9,83.32652939038869
40994,84.0,82.0,84.0,82.0,162600,PAMG,2021-06-16,,,83.23333333333333,83.5,83.03174508141342
41841,83.0,82.0,83.0,80.0,723600,PAMG,2021-06-17,,,83.13333333333334,83.1,82.80246839665489
42688,81.0,80.0,83.0,79.0,644900,PAMG,2021-06-18,,,82.96666666666667,82.7,82.1796976418427
43535,80.0,77.0,80.0,76.0,1254100,PAMG,2021-06-21,,,82.7,82.0,81.0286537214332
44382,77.0,79.0,83.0,77.0,755600,PAMG,2021-06-22,,,82.5,81.7,80.57784178333694
45229,82.0,80.0,82.0,80.0,218700,PAMG,2021-06-23,,,82.33333333333333,81.3,80.44943249815095
46076,80.0,84.0,88.0,80.0,3045000,PAMG,2021-06-24,,,82.33333333333333,81.3,81.23844749856185
46923,85.0,86.0,87.0,83.0,680900,PAMG,2021-06-25,,,82.43333333333334,81.6,82.29657027665922
47771,87.0,82.0,88.0,81.0,541300,PAMG,2021-06-28,,,82.36666666666666,81.5,82.23066577073496
48615,82.0,81.0,86.0,79.0,311900,PAMG,2021-06-29,,,82.3,81.3,81.95718448834941
49414,81.0,81.0,82.0,80.0,290400,PAMG,2021-06-30,,,82.26666666666667,81.2,81.74447682427177
50265,81.0,82.0,84.0,80.0,711100,PAMG,2021-07-01,,,82.23333333333333,81.2,81.80125975221138
51116,83.0,80.0,84.0,79.0,713100,PAMG,2021-07-02,,,82.2,81.2,81.40097980727552
51967,81.0,79.0,82.0,79.0,433600,PAMG,2021-07-05,,,82.13333333333334,81.4,80.86742873899207
52819,79.0,81.0,81.0,78.0,1036800,PAMG,2021-07-06,,,82.13333333333334,81.6,80.89688901921606
53650,80.0,81.0,81.0,80.0,213200,PAMG,2021-07-07,,,82.16666666666667,81.7,80.91980257050137
54481,81.0,82.0,82.0,80.0,634300,PAMG,2021-07-08,,,82.23333333333333,81.5,81.1598464437233
55334,82.0,82.0,83.0,81.0,599000,PAMG,2021-07-09,,,82.26666666666667,81.1,81.346547234007
56187,82.0,87.0,87.0,80.0,2911100,PAMG,2021-07-12,,,82.46666666666667,81.6,82.60287007089434
57040,87.0,81.0,92.0,81.0,9202100,PAMG,2021-07-13,,,82.26666666666667,81.6,82.24667672180671
57893,82.0,81.0,84.0,81.0,913600,PAMG,2021-07-14,,,82.1,81.6,81.9696374502941
