,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120784,1050.0,1000.0,1050.0,975.0,813400,PANS,2020-07-01,,,,,
128205,1020.0,1130.0,1190.0,1020.0,5067600,PANS,2020-07-02,,,,,
101879,1140.0,1105.0,1160.0,1090.0,4815000,PANS,2020-07-03,,,,,
84572,1135.0,1110.0,1135.0,1085.0,5150900,PANS,2020-07-06,,,,,
34303,1115.0,1065.0,1130.0,1045.0,9343500,PANS,2020-07-07,,,,,
47480,995.0,995.0,995.0,995.0,344200,PANS,2020-07-08,,,,,
114207,930.0,930.0,930.0,930.0,360800,PANS,2020-07-09,,,,,
23598,870.0,865.0,910.0,865.0,2511100,PANS,2020-07-10,,,,,1025.0
15362,865.0,880.0,900.0,840.0,1348100,PANS,2020-07-13,,,,,992.7777777777778
31840,880.0,870.0,890.0,865.0,389300,PANS,2020-07-14,,,,995.0,965.4938271604939
89509,875.0,875.0,885.0,865.0,422900,PANS,2020-07-15,,,,982.5,945.3840877914953
21953,875.0,875.0,875.0,865.0,680900,PANS,2020-07-16,,,,957.0,929.7431793933853
104315,875.0,865.0,880.0,865.0,319100,PANS,2020-07-17,,,,933.0,915.3558061948552
77983,865.0,860.0,875.0,855.0,326200,PANS,2020-07-20,,,,908.0,903.0545159293318
102686,860.0,855.0,870.0,845.0,660000,PANS,2020-07-21,,,,887.0,892.3757346117026
93629,860.0,855.0,865.0,850.0,354100,PANS,2020-07-22,,,,873.0,884.070015809102
8771,855.0,845.0,860.0,845.0,517000,PANS,2020-07-23,,,,864.5,875.3877900737459
101064,840.0,845.0,850.0,830.0,456700,PANS,2020-07-24,,,,862.5,868.6349478351357
54894,845.0,835.0,845.0,830.0,235500,PANS,2020-07-27,,,,858.0,861.1605149828833
41719,835.0,815.0,835.0,815.0,491500,PANS,2020-07-28,,,,852.5,850.9026227644648
110917,815.0,810.0,820.0,805.0,279700,PANS,2020-07-29,,,,846.0,841.8131510390282
80437,810.0,805.0,810.0,800.0,272300,PANS,2020-07-30,,,,839.0,833.6324508081331
117503,805.0,780.0,815.0,760.0,728400,PANS,2020-08-03,,,,830.5,821.7141284063257
7134,780.0,805.0,815.0,770.0,230200,PANS,2020-08-04,,,,825.0,817.9998776493644
53250,805.0,810.0,810.0,790.0,656900,PANS,2020-08-05,,,,820.5,816.2221270606168
69739,805.0,815.0,825.0,805.0,288500,PANS,2020-08-06,,,,816.5,815.9505432693686
43355,815.0,820.0,825.0,810.0,127700,PANS,2020-08-07,,,,814.0,816.8504225428422
98584,820.0,805.0,820.0,785.0,238800,PANS,2020-08-10,,,,810.0,814.2169953110995
52433,800.0,805.0,820.0,800.0,192800,PANS,2020-08-11,,,,807.0,812.1687741308551
119965,810.0,805.0,820.0,800.0,253800,PANS,2020-08-12,,,884.5,806.0,810.5757132128873
62314,805.0,820.0,825.0,800.0,1043600,PANS,2020-08-13,,,878.5,807.0,812.669999165579
87051,830.0,825.0,850.0,820.0,561700,PANS,2020-08-14,,,868.3333333333334,809.0,815.4099993510059
60670,825.0,830.0,840.0,825.0,316100,PANS,2020-08-18,,,859.1666666666666,814.0,818.652221717449
88692,840.0,835.0,840.0,830.0,490400,PANS,2020-08-19,,,850.0,817.0,822.2850613357937
10418,840.0,835.0,845.0,830.0,579400,PANS,2020-08-24,,,842.3333333333334,819.5,825.1106032611729
129011,840.0,840.0,845.0,840.0,273300,PANS,2020-08-25,,,837.1666666666666,822.0,828.4193580920233
