,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120788,212.0,212.0,212.0,204.0,400,PCAR,2020-07-01,,,,,
128209,202.0,214.0,214.0,202.0,200,PCAR,2020-07-02,,,,,
101883,214.0,214.0,214.0,214.0,0,PCAR,2020-07-03,,,,,
84576,214.0,214.0,214.0,214.0,0,PCAR,2020-07-06,,,,,
34307,214.0,214.0,214.0,214.0,0,PCAR,2020-07-07,,,,,
47484,214.0,214.0,214.0,214.0,0,PCAR,2020-07-08,,,,,
114211,214.0,214.0,214.0,214.0,0,PCAR,2020-07-09,,,,,
23602,214.0,214.0,214.0,214.0,0,PCAR,2020-07-10,,,,,213.75
15366,214.0,214.0,214.0,214.0,0,PCAR,2020-07-13,,,,,213.80555555555554
31844,214.0,200.0,214.0,200.0,200,PCAR,2020-07-14,,,,212.4,210.73765432098764
89513,186.0,210.0,210.0,186.0,600,PCAR,2020-07-15,,,,212.2,210.57373113854595
21957,196.0,210.0,210.0,196.0,5300,PCAR,2020-07-16,,,,211.8,210.4462353299802
104319,210.0,210.0,210.0,210.0,0,PCAR,2020-07-17,,,,211.4,210.34707192331794
77987,210.0,210.0,210.0,210.0,0,PCAR,2020-07-20,,,,211.0,210.2699448292473
102690,210.0,210.0,214.0,210.0,3600,PCAR,2020-07-21,,,,210.6,210.20995708941456
93633,210.0,218.0,218.0,210.0,8000,PCAR,2020-07-22,,,,211.0,211.94107773621133
8775,214.0,226.0,228.0,214.0,30800,PCAR,2020-07-23,,,,212.2,215.06528268371991
101068,224.0,282.0,282.0,224.0,37100,PCAR,2020-07-24,,,,219.0,229.93966430955993
54898,288.0,352.0,352.0,288.0,157300,PCAR,2020-07-27,,,,232.8,257.06418335187993
41723,388.0,380.0,440.0,358.0,197500,PCAR,2020-07-28,,,,250.8,284.38325371812886
110921,380.0,362.0,416.0,360.0,120500,PCAR,2020-07-29,,,,266.0,301.6314195585447
80441,354.0,414.0,414.0,354.0,30500,PCAR,2020-07-30,,,,286.4,326.60221521220143
117507,424.0,386.0,426.0,386.0,29600,PCAR,2020-08-03,,,,304.0,339.80172294282335
7138,386.0,386.0,386.0,386.0,0,PCAR,2020-08-04,,,,321.6,350.0680067333071
53254,384.0,360.0,384.0,360.0,15200,PCAR,2020-08-05,,,,336.6,352.2751163481277
69743,336.0,336.0,336.0,336.0,17500,PCAR,2020-08-06,,,,348.4,348.65842382632155
43359,336.0,370.0,370.0,314.0,43100,PCAR,2020-08-07,,,,362.8,353.40099630936123
98588,370.0,350.0,370.0,350.0,20600,PCAR,2020-08-10,,,,369.6,352.6452193517254
52437,346.0,368.0,370.0,346.0,12400,PCAR,2020-08-11,,,,371.2,356.05739282911975
119969,368.0,378.0,378.0,346.0,102300,PCAR,2020-08-12,,,278.06666666666666,371.0,360.933527755982
62318,376.0,374.0,376.0,354.0,22300,PCAR,2020-08-13,,,283.46666666666664,372.2,363.8371882546527
87055,374.0,374.0,374.0,374.0,200,PCAR,2020-08-14,,,288.8,368.2,366.09559086472984
