,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126627,400.0,380.0,410.0,380.0,1400,PDES,2020-07-01,,,,,
134048,380.0,390.0,410.0,380.0,1500,PDES,2020-07-02,,,,,
107722,364.0,470.0,470.0,364.0,1700,PDES,2020-07-03,,,,,
89581,490.0,490.0,490.0,490.0,100,PDES,2020-07-06,,,,,
34308,500.0,500.0,500.0,500.0,100,PDES,2020-07-07,,,,,
51655,550.0,466.0,550.0,466.0,200,PDES,2020-07-08,,,,,
120050,490.0,460.0,490.0,450.0,300,PDES,2020-07-09,,,,,
23603,460.0,460.0,460.0,460.0,0,PDES,2020-07-10,,,,,452.0
15367,490.0,470.0,500.0,470.0,300,PDES,2020-07-13,,,,,456.0
31845,460.0,488.0,500.0,460.0,1000,PDES,2020-07-14,,,,457.4,463.1111111111111
95352,500.0,470.0,500.0,460.0,300,PDES,2020-07-15,,,,466.4,464.641975308642
21958,490.0,460.0,490.0,460.0,200,PDES,2020-07-16,,,,473.4,463.6104252400549
110158,440.0,450.0,450.0,440.0,200,PDES,2020-07-17,,,,471.4,460.5858862978205
82992,460.0,460.0,460.0,460.0,100,PDES,2020-07-20,,,,468.4,460.4556893427493
108529,470.0,470.0,470.0,470.0,100,PDES,2020-07-21,,,,465.4,462.57664726658277
99472,470.0,470.0,470.0,470.0,0,PDES,2020-07-22,,,,465.8,464.22628120734214
8776,470.0,470.0,470.0,470.0,0,PDES,2020-07-23,,,,466.8,465.5093298279328
106907,470.0,470.0,470.0,470.0,0,PDES,2020-07-24,,,,467.8,466.5072565328366
59903,470.0,470.0,470.0,470.0,0,PDES,2020-07-27,,,,467.8,467.2834217477618
43392,470.0,470.0,470.0,470.0,0,PDES,2020-07-28,,,,466.0,467.88710580381473
116760,470.0,470.0,470.0,470.0,0,PDES,2020-07-29,,,,466.0,468.35663784741143
85446,470.0,470.0,470.0,470.0,0,PDES,2020-07-30,,,,467.0,468.72182943687557
123346,470.0,470.0,470.0,470.0,0,PDES,2020-08-03,,,,469.0,469.00586733979213
7139,470.0,470.0,470.0,470.0,0,PDES,2020-08-04,,,,470.0,469.2267857087272
58259,470.0,470.0,470.0,470.0,0,PDES,2020-08-05,,,,470.0,469.3986111067878
74748,470.0,470.0,470.0,470.0,0,PDES,2020-08-06,,,,470.0,469.5322530830572
46696,450.0,450.0,450.0,450.0,100,PDES,2020-08-07,,,,468.0,465.1917523979334
104427,450.0,450.0,450.0,450.0,0,PDES,2020-08-10,,,,466.0,461.8158074206149
57442,450.0,450.0,450.0,450.0,0,PDES,2020-08-11,,,,464.0,459.19007243825604
125808,450.0,450.0,450.0,450.0,100,PDES,2020-08-12,,,461.8,462.0,457.1478341186436
67323,450.0,450.0,450.0,450.0,0,PDES,2020-08-13,,,464.1333333333333,460.0,455.55942653672275
92894,450.0,450.0,450.0,450.0,0,PDES,2020-08-14,,,466.1333333333333,458.0,454.32399841745104
65679,450.0,450.0,450.0,450.0,0,PDES,2020-08-18,,,465.46666666666664,456.0,453.3631098802397
94535,450.0,450.0,450.0,450.0,0,PDES,2020-08-19,,,464.1333333333333,454.0,452.6157521290753
10423,450.0,450.0,450.0,450.0,1900,PDES,2020-08-24,,,462.46666666666664,452.0,452.0344738781697
134854,466.0,466.0,466.0,466.0,5300,PDES,2020-08-25,,,462.46666666666664,451.6,455.13792412746534
109341,436.0,444.0,444.0,436.0,400,PDES,2020-08-26,,,461.93333333333334,451.0,452.6628298769175
3843,424.0,424.0,424.0,424.0,1600,PDES,2020-08-27,,,460.73333333333335,448.4,446.2933121264914
83803,402.0,396.0,402.0,396.0,300,PDES,2020-08-28,,,458.26666666666665,443.0,435.11702054282665
27722,396.0,396.0,396.0,396.0,500,PDES,2020-08-31,,,455.2,437.6,426.4243493110874
35117,376.0,376.0,376.0,376.0,200,PDES,2020-09-01,,,452.06666666666666,430.2,415.218938353068
39255,356.0,356.0,356.0,356.0,100,PDES,2020-09-02,,,448.6,420.8,402.05917427460844
73094,356.0,356.0,356.0,356.0,0,PDES,2020-09-03,,,445.46666666666664,411.4,391.8238022135843
12898,336.0,336.0,336.0,336.0,100,PDES,2020-09-04,,,441.3333333333333,400.0,379.4185128327878
26904,336.0,336.0,336.0,336.0,100,PDES,2020-09-07,,,436.8666666666667,388.6,369.7699544255016
