,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
543,1180.0,1205.0,1205.0,1180.0,139100,PEHA,2021-04-01,,,,,
1383,1205.0,1185.0,1220.0,1185.0,170800,PEHA,2021-04-05,,,,,
2223,1185.0,1190.0,1200.0,1180.0,106500,PEHA,2021-04-06,,,,,
3065,1200.0,1240.0,1260.0,1190.0,185000,PEHA,2021-04-07,,,,,
3907,1240.0,1230.0,1240.0,1205.0,51900,PEHA,2021-04-08,,,,,
4751,1235.0,1250.0,1285.0,1230.0,186300,PEHA,2021-04-09,,,,,
5594,1260.0,1250.0,1270.0,1240.0,334800,PEHA,2021-04-12,,,,,
6438,1250.0,1225.0,1250.0,1215.0,92200,PEHA,2021-04-13,,,,,1221.875
7283,1220.0,1215.0,1220.0,1185.0,122100,PEHA,2021-04-14,,,,,1220.3472222222222
8128,1225.0,1200.0,1225.0,1185.0,228400,PEHA,2021-04-15,,,,1219.0,1215.8256172839506
8972,1200.0,1200.0,1215.0,1190.0,118300,PEHA,2021-04-16,,,,1218.5,1212.3088134430727
9816,1200.0,1250.0,1250.0,1180.0,622200,PEHA,2021-04-19,,,,1225.0,1220.6846326779455
10660,1250.0,1300.0,1305.0,1230.0,1070800,PEHA,2021-04-20,,,,1236.0,1238.3102698606242
11504,1300.0,1270.0,1320.0,1260.0,404500,PEHA,2021-04-21,,,,1239.0,1245.3524321138188
12348,1285.0,1250.0,1285.0,1250.0,74000,PEHA,2021-04-22,,,,1241.0,1246.3852249774147
13192,1250.0,1230.0,1250.0,1230.0,113500,PEHA,2021-04-23,,,,1239.0,1242.7440638713226
14035,1230.0,1225.0,1250.0,1225.0,50500,PEHA,2021-04-26,,,,1236.5,1238.8009385665844
14878,1225.0,1245.0,1245.0,1225.0,37400,PEHA,2021-04-27,,,,1238.5,1240.17850777401
15722,1250.0,1230.0,1250.0,1220.0,117900,PEHA,2021-04-28,,,,1240.0,1237.9166171575635
16566,1240.0,1255.0,1270.0,1230.0,159000,PEHA,2021-04-29,,,,1245.5,1241.7129244558828
17410,1255.0,1265.0,1300.0,1255.0,306800,PEHA,2021-04-30,,,,1252.0,1246.8878301323532
18253,1255.0,1260.0,1260.0,1200.0,73700,PEHA,2021-05-03,,,,1253.0,1249.801645658497
19096,1260.0,1250.0,1260.0,1240.0,9300,PEHA,2021-05-04,,,,1248.0,1249.845724401053
19940,1250.0,1240.0,1265.0,1225.0,82500,PEHA,2021-05-05,,,,1245.0,1247.6577856452634
20784,1240.0,1245.0,1270.0,1240.0,216800,PEHA,2021-05-06,,,,1244.5,1247.0671666129826
21628,1260.0,1250.0,1265.0,1245.0,125200,PEHA,2021-05-07,,,,1246.5,1247.7189073656532
22472,1250.0,1235.0,1260.0,1225.0,102600,PEHA,2021-05-10,,,,1247.5,1244.892483506619
23315,1235.0,1230.0,1260.0,1225.0,53600,PEHA,2021-05-11,,,,1246.0,1241.5830427273704
24157,1230.0,1220.0,1255.0,1205.0,42600,PEHA,2021-05-17,,,,1245.0,1236.786811010177
24997,1220.0,1185.0,1220.0,1175.0,231100,PEHA,2021-05-18,,,1234.1666666666667,1238.0,1225.2786307856932
25837,1185.0,1190.0,1210.0,1185.0,114200,PEHA,2021-05-19,,,1233.6666666666667,1230.5,1217.438935055539
26755,1190.0,1200.0,1240.0,1185.0,59400,PEHA,2021-05-20,,,1234.1666666666667,1224.5,1213.5636161543082
27561,1230.0,1195.0,1230.0,1195.0,154900,PEHA,2021-05-21,,,1234.3333333333333,1219.0,1209.4383681200175
