,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121629,228.0,214.0,250.0,214.0,1059000,PICO,2020-07-01,,,,,
129050,214.0,204.0,214.0,200.0,2388600,PICO,2020-07-02,,,,,
102724,198.0,193.0,220.0,192.0,803800,PICO,2020-07-03,,,,,
85417,193.0,228.0,248.0,193.0,5474400,PICO,2020-07-06,,,,,
34315,232.0,214.0,234.0,214.0,1140500,PICO,2020-07-07,,,,,
48326,202.0,200.0,208.0,200.0,888800,PICO,2020-07-08,,,,,
115053,187.0,204.0,216.0,187.0,972600,PICO,2020-07-09,,,,,
23610,200.0,198.0,210.0,197.0,890900,PICO,2020-07-10,,,,,206.875
15374,198.0,199.0,204.0,198.0,415700,PICO,2020-07-13,,,,,205.125
31852,198.0,200.0,204.0,197.0,772300,PICO,2020-07-14,,,,205.4,203.98611111111111
90355,190.0,194.0,204.0,190.0,171500,PICO,2020-07-15,,,,203.4,201.76697530864197
21965,184.0,194.0,200.0,184.0,134000,PICO,2020-07-16,,,,202.4,200.04098079561044
105161,184.0,195.0,197.0,184.0,176500,PICO,2020-07-17,,,,202.6,198.92076284103035
78829,185.0,195.0,200.0,185.0,235500,PICO,2020-07-20,,,,199.3,198.04948220969027
103532,198.0,196.0,204.0,196.0,712600,PICO,2020-07-21,,,,197.5,197.594041718648
94475,198.0,197.0,204.0,195.0,441000,PICO,2020-07-22,,,,197.2,197.46203244783732
8783,196.0,200.0,216.0,196.0,1164000,PICO,2020-07-23,,,,196.8,198.0260252372068
101910,202.0,195.0,202.0,192.0,486700,PICO,2020-07-24,,,,196.5,197.35357518449416
55740,197.0,193.0,197.0,186.0,173200,PICO,2020-07-27,,,,195.9,196.38611403238434
41731,193.0,188.0,196.0,188.0,94100,PICO,2020-07-28,,,,194.7,194.52253313629893
111763,188.0,197.0,197.0,185.0,232200,PICO,2020-07-29,,,,195.0,195.0730813282325
81283,197.0,188.0,199.0,188.0,708900,PICO,2020-07-30,,,,194.4,193.50128547751416
118349,178.0,180.0,195.0,178.0,168600,PICO,2020-08-03,,,,192.9,190.50099981584435
7146,182.0,177.0,189.0,177.0,95500,PICO,2020-08-04,,,,191.1,187.5007776345456
54096,177.0,186.0,188.0,177.0,82800,PICO,2020-08-05,,,,190.1,187.16727149353548
70585,190.0,185.0,193.0,182.0,287300,PICO,2020-08-06,,,,188.9,186.68565560608315
44201,188.0,181.0,188.0,179.0,321400,PICO,2020-08-07,,,,187.0,185.4221765825091
99430,180.0,178.0,188.0,176.0,682300,PICO,2020-08-10,,,,185.3,183.7728040086182
53279,183.0,174.0,183.0,171.0,566200,PICO,2020-08-11,,,,183.4,181.60106978448084
120811,174.0,173.0,177.0,173.0,184000,PICO,2020-08-12,,,194.0,181.9,179.6897209434851
63160,171.0,174.0,185.0,167.0,477500,PICO,2020-08-13,,,192.66666666666666,179.6,178.42533851159953
87897,170.0,174.0,177.0,170.0,81900,PICO,2020-08-14,,,191.66666666666666,178.2,177.4419299534663
61516,171.0,164.0,173.0,162.0,914100,PICO,2020-08-18,,,190.7,176.6,174.45483440825157
89538,154.0,153.0,164.0,153.0,3155300,PICO,2020-08-19,,,188.2,174.2,169.6870934286401
10430,145.0,166.0,182.0,145.0,5299100,PICO,2020-08-24,,,186.6,172.2,168.86773933338677
129857,175.0,163.0,180.0,162.0,2830900,PICO,2020-08-25,,,185.36666666666667,170.0,167.56379725930083
104344,154.0,160.0,166.0,154.0,510700,PICO,2020-08-26,,,183.9,167.9,165.88295342390063
3850,160.0,160.0,168.0,157.0,1300100,PICO,2020-08-27,,,182.63333333333333,166.1,164.5756304408116
79640,155.0,187.0,210.0,155.0,9075700,PICO,2020-08-28,,,182.23333333333332,167.4,169.55882367618682
27729,179.0,174.0,190.0,174.0,1808600,PICO,2020-08-31,,,181.36666666666667,167.5,170.5457517481453
35124,164.0,163.0,167.0,162.0,2172300,PICO,2020-09-01,,,180.33333333333334,166.4,168.86891802633525
39262,158.0,166.0,168.0,158.0,2495300,PICO,2020-09-02,,,179.4,165.6,168.23138068714965
68931,167.0,166.0,172.0,163.0,1515200,PICO,2020-09-03,,,178.43333333333334,165.8,167.7355183122275
12905,168.0,166.0,184.0,159.0,5692300,PICO,2020-09-04,,,177.46666666666667,167.1,167.34984757617696
26911,167.0,165.0,171.0,160.0,536900,PICO,2020-09-07,,,176.43333333333334,167.0,166.8276592259154
108456,155.0,171.0,178.0,155.0,7145700,PICO,2020-09-08,,,175.56666666666666,167.8,167.75484606460086
122437,179.0,165.0,188.0,164.0,6562400,PICO,2020-09-09,,,174.4,168.3,167.1426580502451
7960,155.0,154.0,166.0,154.0,1913800,PICO,2020-09-10,,,173.03333333333333,167.7,164.22206737241285
17837,145.0,154.0,162.0,145.0,1096200,PICO,2020-09-11,,,171.73333333333332,164.4,161.95049684520998
45019,144.0,157.0,160.0,144.0,794700,PICO,2020-09-14,,,170.7,162.7,160.85038643516333
66458,157.0,154.0,160.0,152.0,674100,PICO,2020-09-15,,,169.26666666666668,161.8,159.32807833846036
1372,145.0,157.0,168.0,145.0,2637600,PICO,2020-09-16,,,168.23333333333332,160.9,158.81072759658028
56556,156.0,154.0,160.0,153.0,486900,PICO,2020-09-17,,,167.36666666666667,159.7,157.74167701956245
62336,145.0,154.0,157.0,145.0,271800,PICO,2020-09-18,,,166.6,158.5,156.91019323743745
72228,146.0,150.0,156.0,146.0,571800,PICO,2020-09-21,,,165.4,157.0,155.37459474022913
100250,140.0,152.0,162.0,140.0,1275300,PICO,2020-09-22,,,164.3,155.1,154.62468479795598
77180,152.0,155.0,160.0,148.0,473100,PICO,2020-09-23,,,163.43333333333334,154.1,154.70808817618797
65630,150.0,150.0,159.0,150.0,340900,PICO,2020-09-24,,,162.5,153.7,153.6618463592573
96951,146.0,152.0,157.0,146.0,521600,PICO,2020-09-25,,,161.76666666666668,153.5,153.29254716831124
59867,145.0,157.0,159.0,145.0,182100,PICO,2020-09-28,,,161.23333333333332,153.5,154.1164255753532
16187,153.0,156.0,160.0,153.0,375500,PICO,2020-09-29,,,160.63333333333333,153.7,154.53499766971916
84592,148.0,156.0,163.0,148.0,268000,PICO,2020-09-30,,,160.03333333333333,153.6,154.8605537431149
91992,146.0,156.0,159.0,146.0,144600,PICO,2020-10-01,,,159.76666666666668,153.8,155.1137640224227
68109,148.0,165.0,175.0,148.0,2254800,PICO,2020-10-02,,,160.16666666666666,154.9,157.31070535077322
12083,167.0,165.0,178.0,160.0,6137200,PICO,2020-10-05,,,160.13333333333333,156.4,159.01943749504585
119988,167.0,163.0,171.0,162.0,1198700,PICO,2020-10-06,,,160.13333333333333,157.5,159.90400694059122
21141,167.0,167.0,182.0,164.0,8988700,PICO,2020-10-07,,,160.36666666666667,158.7,161.4808942871265
19485,169.0,171.0,187.0,163.0,7514000,PICO,2020-10-08,,,160.73333333333332,160.8,163.5962511122095
110114,161.0,160.0,184.0,160.0,7066600,PICO,2020-10-09,,,159.83333333333334,161.6,162.79708419838516
28549,162.0,156.0,171.0,154.0,10370900,PICO,2020-10-12,,,159.23333333333332,161.5,161.28662104318846
76354,146.0,158.0,161.0,146.0,1693100,PICO,2020-10-13,,,159.06666666666666,161.7,160.55626081136882
106803,160.0,156.0,165.0,155.0,753200,PICO,2020-10-14,,,158.73333333333332,161.7,159.54375840884242
14550,147.0,150.0,159.0,147.0,2783100,PICO,2020-10-15,,,158.2,161.1,157.42292320687744
5498,149.0,152.0,157.0,149.0,2118200,PICO,2020-10-16,,,157.73333333333332,159.8,156.21782916090467
545,148.0,154.0,155.0,148.0,584500,PICO,2020-10-19,,,157.36666666666667,158.7,155.72497823625918
124919,148.0,150.0,156.0,148.0,1809400,PICO,2020-10-20,,,156.66666666666666,157.4,154.4527608504238
74704,150.0,148.0,151.0,147.0,883100,PICO,2020-10-21,,,156.1,155.5,153.01881399477406
30204,144.0,146.0,149.0,144.0,983700,PICO,2020-10-22,,,155.83333333333334,153.0,151.45907755149094
32664,144.0,145.0,147.0,144.0,353100,PICO,2020-10-23,,,155.53333333333333,151.5,150.02372698449295
57382,144.0,145.0,149.0,140.0,652100,PICO,2020-10-26,,,155.13333333333333,150.4,148.90734321016117
52456,141.0,144.0,148.0,135.0,1108300,PICO,2020-10-27,,,154.8,149.0,147.816822496792
88715,134.0,137.0,140.0,134.0,727400,PICO,2020-11-02,,,154.13333333333333,147.1,145.41308416417158
83766,129.0,138.0,141.0,129.0,565700,PICO,2020-11-03,,,153.6,145.9,143.765732127689
6322,138.0,139.0,150.0,138.0,2296900,PICO,2020-11-04,,,153.1,144.6,142.70668054375813
18660,140.0,140.0,142.0,139.0,200900,PICO,2020-11-05,,,152.76666666666668,143.2,142.10519597847855
42544,136.0,140.0,143.0,136.0,641500,PICO,2020-11-06,,,152.36666666666667,142.2,141.63737464992775
91166,137.0,141.0,143.0,137.0,608600,PICO,2020-11-09,,,151.9,141.5,141.4957358388327
2197,133.0,140.0,144.0,133.0,448000,PICO,2020-11-10,,,151.56666666666666,140.9,141.1633500968699
24421,132.0,137.0,141.0,132.0,332200,PICO,2020-11-11,,,151.06666666666666,140.1,140.23816118645436
78005,137.0,139.0,142.0,137.0,816200,PICO,2020-11-12,,,150.46666666666667,139.5,139.96301425613117
75529,136.0,137.0,140.0,136.0,553200,PICO,2020-11-13,,,149.83333333333334,138.8,139.30456664365758
73879,129.0,137.0,139.0,129.0,315600,PICO,2020-11-16,,,149.2,138.8,138.7924407228448
40082,130.0,137.0,139.0,130.0,144400,PICO,2020-11-17,,,148.56666666666666,138.7,138.3941205622126
17012,135.0,138.0,143.0,135.0,665400,PICO,2020-11-18,,,147.66666666666666,138.6,138.30653821505425
67284,136.0,139.0,140.0,136.0,105600,PICO,2020-11-19,,,146.8,138.5,138.46064083393108
80459,140.0,138.0,140.0,137.0,229400,PICO,2020-11-20,,,145.96666666666667,138.3,138.35827620416862
71400,131.0,142.0,144.0,131.0,1905500,PICO,2020-11-23,,,145.13333333333333,138.4,139.1675481587978
112576,145.0,147.0,153.0,145.0,2744000,PICO,2020-11-24,,,144.33333333333334,139.1,140.9080930123983
119162,150.0,147.0,153.0,146.0,1067000,PICO,2020-11-25,,,143.9,140.1,142.26185012075422
59040,148.0,144.0,150.0,143.0,348900,PICO,2020-11-26,165.77,,143.5,140.6,142.6481056494755
13724,145.0,146.0,152.0,144.0,2151900,PICO,2020-11-27,165.09,,143.1,141.5,143.39297106070316
117524,146.0,142.0,148.0,141.0,691500,PICO,2020-11-30,164.47,,142.63333333333333,142.0,143.08342193610247
114227,142.0,142.0,144.0,140.0,295800,PICO,2020-12-01,163.96,,142.36666666666667,142.5,142.84266150585748
