,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120797,50.0,50.0,50.0,50.0,0,PKPK,2020-07-01,,,,,
128218,50.0,50.0,50.0,50.0,699600,PKPK,2020-07-02,,,,,
101892,50.0,50.0,50.0,50.0,100,PKPK,2020-07-03,,,,,
84585,50.0,50.0,50.0,50.0,114500,PKPK,2020-07-06,,,,,
34317,50.0,50.0,50.0,50.0,129300,PKPK,2020-07-07,,,,,
47494,50.0,50.0,50.0,50.0,0,PKPK,2020-07-08,,,,,
114221,50.0,50.0,50.0,50.0,5000,PKPK,2020-07-09,,,,,
23612,50.0,50.0,50.0,50.0,102700,PKPK,2020-07-10,,,,,50.0
15376,50.0,50.0,50.0,50.0,249400,PKPK,2020-07-13,,,,,50.0
31854,50.0,50.0,51.0,50.0,150300,PKPK,2020-07-14,,,,50.0,50.0
89523,50.0,50.0,51.0,50.0,114200,PKPK,2020-07-15,,,,50.0,50.0
21967,50.0,50.0,50.0,50.0,77700,PKPK,2020-07-16,,,,50.0,50.0
104329,50.0,52.0,53.0,50.0,1549300,PKPK,2020-07-17,,,,50.2,50.44444444444444
77997,51.0,54.0,70.0,50.0,35318400,PKPK,2020-07-20,,,,50.6,51.23456790123457
102700,54.0,51.0,58.0,51.0,5496800,PKPK,2020-07-21,,,,50.7,51.18244170096022
93643,51.0,50.0,51.0,50.0,1605400,PKPK,2020-07-22,,,,50.7,50.91967687852461
8785,51.0,50.0,51.0,50.0,402500,PKPK,2020-07-23,,,,50.7,50.715304238852475
101078,50.0,50.0,53.0,50.0,1118200,PKPK,2020-07-24,,,,50.7,50.5563477413297
54908,50.0,50.0,51.0,50.0,414200,PKPK,2020-07-27,,,,50.7,50.4327149099231
41733,50.0,50.0,52.0,50.0,70000,PKPK,2020-07-28,,,,50.7,50.3365560410513
110931,50.0,50.0,51.0,50.0,51800,PKPK,2020-07-29,,,,50.7,50.26176580970657
80451,50.0,51.0,51.0,50.0,162300,PKPK,2020-07-30,,,,50.8,50.425817851994
117517,57.0,50.0,57.0,50.0,260500,PKPK,2020-08-03,,,,50.6,50.331191662662
7148,51.0,50.0,51.0,50.0,115200,PKPK,2020-08-04,,,,50.2,50.25759351540378
53264,50.0,50.0,50.0,50.0,1200,PKPK,2020-08-05,,,,50.1,50.200350511980716
69753,50.0,50.0,50.0,50.0,27600,PKPK,2020-08-06,,,,50.1,50.155828175985
43369,50.0,50.0,50.0,50.0,3100,PKPK,2020-08-07,,,,50.1,50.121199692432775
98598,51.0,50.0,52.0,50.0,208400,PKPK,2020-08-10,,,,50.1,50.094266427447714
52447,50.0,50.0,51.0,50.0,63000,PKPK,2020-08-11,,,,50.1,50.07331833245933
119979,50.0,50.0,50.0,50.0,1300,PKPK,2020-08-12,,,50.266666666666666,50.1,50.05702536969059
62328,50.0,50.0,50.0,50.0,33800,PKPK,2020-08-13,,,50.266666666666666,50.1,50.04435306531491
87065,50.0,50.0,50.0,50.0,74600,PKPK,2020-08-14,,,50.266666666666666,50.0,50.03449682857826
60684,50.0,50.0,50.0,50.0,0,PKPK,2020-08-18,,,50.266666666666666,50.0,50.02683086667198
88706,50.0,50.0,50.0,50.0,7600,PKPK,2020-08-19,,,50.266666666666666,50.0,50.02086845185598
10432,50.0,50.0,50.0,50.0,73700,PKPK,2020-08-24,,,50.266666666666666,50.0,50.01623101811021
129025,50.0,50.0,51.0,50.0,121300,PKPK,2020-08-25,,,50.266666666666666,50.0,50.01262412519683
103512,50.0,50.0,50.0,50.0,117100,PKPK,2020-08-26,,,50.266666666666666,50.0,50.00981876404198
3852,50.0,50.0,51.0,50.0,370500,PKPK,2020-08-27,,,50.266666666666666,50.0,50.007636816477095
78808,50.0,50.0,50.0,50.0,20200,PKPK,2020-08-28,,,50.266666666666666,50.0,50.005939746148854
27731,50.0,50.0,51.0,50.0,738200,PKPK,2020-08-31,,,50.266666666666666,50.0,50.00461980256022
35126,50.0,50.0,50.0,50.0,100,PKPK,2020-09-01,,,50.266666666666666,50.0,50.00359317976906
39264,50.0,50.0,50.0,50.0,237300,PKPK,2020-09-02,,,50.266666666666666,50.0,50.00279469537594
68099,50.0,50.0,54.0,50.0,1240700,PKPK,2020-09-03,,,50.2,50.0,50.00217365195906
12907,51.0,50.0,51.0,50.0,230600,PKPK,2020-09-04,,,50.06666666666667,50.0,50.00169061819038
26913,50.0,50.0,51.0,50.0,554500,PKPK,2020-09-07,,,50.03333333333333,50.0,50.00131492525919
107624,50.0,51.0,51.0,50.0,330900,PKPK,2020-09-08,,,50.06666666666667,50.1,50.22324494186826
121605,50.0,50.0,50.0,50.0,10500,PKPK,2020-09-09,,,50.06666666666667,50.1,50.17363495478642
7962,50.0,50.0,50.0,50.0,30000,PKPK,2020-09-10,,,50.06666666666667,50.1,50.13504940927833
17839,50.0,50.0,50.0,50.0,300,PKPK,2020-09-11,,,50.06666666666667,50.1,50.1050384294387
44187,50.0,50.0,50.0,50.0,100,PKPK,2020-09-14,,,50.06666666666667,50.1,50.0816965562301
65626,50.0,50.0,50.0,50.0,0,PKPK,2020-09-15,,,50.06666666666667,50.1,50.06354176595674
1374,50.0,50.0,50.0,50.0,0,PKPK,2020-09-16,,,50.03333333333333,50.1,50.04942137352191
55724,50.0,50.0,50.0,50.0,0,PKPK,2020-09-17,,,50.03333333333333,50.1,50.038438846072594
61504,50.0,50.0,50.0,50.0,30500,PKPK,2020-09-18,,,50.03333333333333,50.1,50.029896880278685
71396,50.0,50.0,50.0,50.0,4300,PKPK,2020-09-21,,,50.03333333333333,50.1,50.02325312910564
99418,50.0,50.0,50.0,50.0,1000,PKPK,2020-09-22,,,50.03333333333333,50.0,50.01808576708216
76348,50.0,50.0,50.0,50.0,0,PKPK,2020-09-23,,,50.03333333333333,50.0,50.01406670773057
64798,50.0,50.0,50.0,50.0,0,PKPK,2020-09-24,,,50.03333333333333,50.0,50.010940772679334
96119,50.0,50.0,50.0,50.0,84900,PKPK,2020-09-25,,,50.03333333333333,50.0,50.0085094898617
59035,50.0,50.0,50.0,50.0,0,PKPK,2020-09-28,,,50.03333333333333,50.0,50.006618492114654
16189,50.0,50.0,50.0,50.0,5400,PKPK,2020-09-29,,,50.03333333333333,50.0,50.005147716089176
83760,50.0,50.0,50.0,50.0,24800,PKPK,2020-09-30,,,50.03333333333333,50.0,50.00400377918047
91160,50.0,50.0,50.0,50.0,0,PKPK,2020-10-01,,,50.03333333333333,50.0,50.0031140504737
67277,50.0,50.0,50.0,50.0,0,PKPK,2020-10-02,,,50.03333333333333,50.0,50.00242203925732
12085,50.0,50.0,50.0,50.0,200,PKPK,2020-10-05,,,50.03333333333333,50.0,50.00188380831125
119156,50.0,50.0,50.0,50.0,30900,PKPK,2020-10-06,,,50.03333333333333,50.0,50.00146518424208
21143,50.0,50.0,58.0,50.0,8120700,PKPK,2020-10-07,,,50.03333333333333,50.0,50.001139587743836
19487,50.0,55.0,67.0,50.0,23708500,PKPK,2020-10-08,,,50.2,50.5,51.111997457134095
109282,57.0,52.0,58.0,52.0,4492000,PKPK,2020-10-09,,,50.266666666666666,50.7,51.30933135554874
28551,52.0,51.0,52.0,50.0,1785900,PKPK,2020-10-12,,,50.3,50.8,51.240591054315686
75522,51.0,50.0,53.0,50.0,980000,PKPK,2020-10-13,,,50.3,50.8,50.96490415335664
105971,50.0,50.0,52.0,50.0,633000,PKPK,2020-10-14,,,50.3,50.8,50.750481008166275
14552,51.0,50.0,51.0,50.0,347300,PKPK,2020-10-15,,,50.3,50.8,50.58370745079599
5500,50.0,50.0,51.0,50.0,529400,PKPK,2020-10-16,,,50.3,50.8,50.45399468395244
547,50.0,50.0,51.0,50.0,413200,PKPK,2020-10-19,,,50.3,50.8,50.35310697640745
124087,50.0,50.0,50.0,50.0,256800,PKPK,2020-10-20,,,50.266666666666666,50.8,50.27463875942802
73872,50.0,51.0,56.0,50.0,4014600,PKPK,2020-10-21,,,50.3,50.9,50.4358301462218
30206,51.0,50.0,51.0,50.0,694400,PKPK,2020-10-22,,,50.3,50.4,50.33897900261695
32666,50.0,50.0,50.0,50.0,94500,PKPK,2020-10-23,,,50.3,50.2,50.26365033536874
56550,50.0,50.0,50.0,50.0,5300,PKPK,2020-10-26,,,50.3,50.1,50.20506137195346
51624,50.0,50.0,50.0,50.0,65500,PKPK,2020-10-27,,,50.3,50.1,50.15949217818603
87883,50.0,50.0,50.0,50.0,0,PKPK,2020-11-02,,,50.3,50.1,50.12404947192247
82934,50.0,50.0,51.0,50.0,469100,PKPK,2020-11-03,,,50.3,50.1,50.09648292260636
6324,50.0,50.0,52.0,50.0,663600,PKPK,2020-11-04,,,50.3,50.1,50.07504227313828
18662,50.0,52.0,56.0,50.0,1823800,PKPK,2020-11-05,,,50.36666666666667,50.3,50.50281065688533
42546,52.0,52.0,54.0,50.0,896600,PKPK,2020-11-06,,,50.43333333333333,50.5,50.8355193997997
90334,54.0,52.0,54.0,51.0,840900,PKPK,2020-11-09,,,50.5,50.6,51.09429286651088
2199,52.0,50.0,52.0,50.0,561100,PKPK,2020-11-10,,,50.5,50.6,50.8511166739529
24423,50.0,50.0,54.0,50.0,1773000,PKPK,2020-11-11,,,50.5,50.6,50.6619796352967
77173,51.0,50.0,52.0,50.0,613100,PKPK,2020-11-12,,,50.5,50.6,50.51487304967522
74697,51.0,50.0,51.0,50.0,382100,PKPK,2020-11-13,,,50.5,50.6,50.40045681641406
73047,50.0,50.0,51.0,50.0,246500,PKPK,2020-11-16,,,50.5,50.6,50.311466412766485
40084,50.0,50.0,51.0,50.0,162400,PKPK,2020-11-17,,,50.5,50.6,50.24225165437393
17014,51.0,50.0,51.0,50.0,46800,PKPK,2020-11-18,,,50.5,50.6,50.188417953401945
66452,50.0,51.0,52.0,50.0,1989700,PKPK,2020-11-19,,,50.53333333333333,50.5,50.36876951931262
79627,50.0,51.0,51.0,50.0,799000,PKPK,2020-11-20,,,50.56666666666667,50.4,50.509042959465376
70568,51.0,51.0,51.0,50.0,878500,PKPK,2020-11-23,,,50.6,50.3,50.61814452402862
111744,50.0,50.0,51.0,50.0,1171500,PKPK,2020-11-24,,,50.43333333333333,50.3,50.48077907424448
118330,51.0,50.0,54.0,50.0,2059000,PKPK,2020-11-25,,,50.36666666666667,50.3,50.37393927996793
58208,51.0,52.0,54.0,51.0,3040500,PKPK,2020-11-26,50.29,,50.4,50.5,50.73528610664172
13726,53.0,51.0,53.0,50.0,1144500,PKPK,2020-11-27,50.3,,50.43333333333333,50.6,50.7941114162769
116692,51.0,51.0,52.0,50.0,1157000,PKPK,2020-11-30,50.31,,50.46666666666667,50.7,50.83986443488203
113395,51.0,51.0,51.0,50.0,303700,PKPK,2020-12-01,50.32,,50.5,50.8,50.87545011601936
115867,50.0,50.0,51.0,50.0,106500,PKPK,2020-12-02,50.32,,50.5,50.8,50.68090564579283
