,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
66462,50.0,47.0,90.0,29.0,90468700,PLAN-W,2020-09-15,,,,,
1376,50.0,41.0,90.0,39.0,88479700,PLAN-W,2020-09-16,,,,,
56560,41.0,41.0,41.0,37.0,4541200,PLAN-W,2020-09-17,,,,,
62340,41.0,39.0,52.0,39.0,58844300,PLAN-W,2020-09-18,,,,,
72232,40.0,37.0,41.0,37.0,97854600,PLAN-W,2020-09-21,,,,,
100254,37.0,34.0,37.0,34.0,80625600,PLAN-W,2020-09-22,,,,,
77184,34.0,27.0,35.0,25.0,64761800,PLAN-W,2020-09-23,,,,,
65634,27.0,15.0,27.0,13.0,138160300,PLAN-W,2020-09-24,,,,,35.125
96955,15.0,19.0,22.0,15.0,54108700,PLAN-W,2020-09-25,,,,,31.541666666666668
59871,19.0,15.0,21.0,14.0,60739400,PLAN-W,2020-09-28,,,,31.5,27.86574074074074
16191,15.0,14.0,20.0,13.0,97437300,PLAN-W,2020-09-29,,,,28.2,24.784465020576132
84596,15.0,12.0,15.0,11.0,56366600,PLAN-W,2020-09-30,,,,25.3,21.943472793781435
91996,13.0,10.0,13.0,9.0,32883200,PLAN-W,2020-10-01,,,,22.2,19.28936772849667
68113,10.0,10.0,13.0,9.0,41119100,PLAN-W,2020-10-02,,,,19.3,17.225063788830745
12087,11.0,10.0,11.0,8.0,31169000,PLAN-W,2020-10-05,,,,16.6,15.619494057979468
119992,10.0,9.0,11.0,8.0,52855900,PLAN-W,2020-10-06,,,,14.1,14.148495378428475
21145,9.0,9.0,10.0,8.0,12083600,PLAN-W,2020-10-07,,,,12.3,13.004385294333257
19489,8.0,9.0,9.0,7.0,30603700,PLAN-W,2020-10-08,,,,11.7,12.114521895592533
110118,9.0,8.0,9.0,7.0,8342200,PLAN-W,2020-10-09,,,,10.6,11.20018369657197
28553,7.0,6.0,8.0,6.0,77265500,PLAN-W,2020-10-12,,,,9.7,10.044587319555978
76358,6.0,6.0,7.0,5.0,19627400,PLAN-W,2020-10-13,,,,8.9,9.145790137432428
106807,6.0,7.0,7.0,6.0,7227500,PLAN-W,2020-10-14,,,,8.4,8.668947884669667
14554,7.0,8.0,9.0,7.0,20121400,PLAN-W,2020-10-15,,,,8.2,8.52029279918752
5502,9.0,8.0,9.0,7.0,13777600,PLAN-W,2020-10-16,,,,8.0,8.404672177145848
549,8.0,8.0,8.0,7.0,7856200,PLAN-W,2020-10-19,,,,7.8,8.314745026668993
124923,8.0,8.0,8.0,7.0,3356200,PLAN-W,2020-10-20,,,,7.7,8.244801687409216
74708,8.0,8.0,8.0,7.0,6201100,PLAN-W,2020-10-21,,,,7.6,8.19040131242939
30208,8.0,7.0,8.0,6.0,19331400,PLAN-W,2020-10-22,,,,7.4,7.9258676874450815
32668,7.0,7.0,7.0,6.0,3559400,PLAN-W,2020-10-23,,,,7.3,7.720119312457285
57386,6.0,7.0,7.0,6.0,1491800,PLAN-W,2020-10-26,,,16.2,7.4,7.560092798577888
52460,7.0,7.0,7.0,6.0,1345400,PLAN-W,2020-10-27,,,14.866666666666667,7.5,7.435627732227246
88719,7.0,6.0,7.0,6.0,13910100,PLAN-W,2020-11-02,,,13.7,7.4,7.116599347287858
83770,6.0,6.0,7.0,6.0,20080200,PLAN-W,2020-11-03,,,12.533333333333333,7.2,6.868466159001668
6326,6.0,6.0,6.0,5.0,2542800,PLAN-W,2020-11-04,,,11.433333333333334,7.0,6.675473679223519
18664,5.0,6.0,6.0,5.0,2701400,PLAN-W,2020-11-05,,,10.4,6.8,6.525368417173849
42548,6.0,6.0,6.0,5.0,3081900,PLAN-W,2020-11-06,,,9.466666666666667,6.6,6.408619880024104
91170,6.0,6.0,6.0,5.0,3882500,PLAN-W,2020-11-09,,,8.766666666666667,6.4,6.3178154622409695
2201,6.0,6.0,6.0,5.0,3472500,PLAN-W,2020-11-10,,,8.466666666666667,6.3,6.247189803965198
24425,6.0,5.0,6.0,5.0,8052800,PLAN-W,2020-11-11,,,8.0,6.1,5.970036514195154
78009,5.0,5.0,5.0,4.0,9960300,PLAN-W,2020-11-12,,,7.666666666666667,5.9,5.754472844374009
