,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
103617,370.0,386.0,420.0,360.0,62108100,PMMP,2020-12-18,,,,,
118413,388.0,360.0,394.0,360.0,36090300,PMMP,2020-12-21,,,,,
33495,360.0,336.0,360.0,336.0,6031400,PMMP,2020-12-22,,,,,
101134,334.0,314.0,336.0,314.0,6977100,PMMP,2020-12-23,,,,,
68979,312.0,294.0,312.0,294.0,1437500,PMMP,2020-12-28,,,,,
64868,274.0,274.0,278.0,274.0,2796900,PMMP,2020-12-29,,,,,
132408,256.0,256.0,256.0,256.0,3519600,PMMP,2020-12-30,,,,,
4676,240.0,256.0,270.0,240.0,16833400,PMMP,2021-01-04,,,,,309.5
112639,260.0,320.0,320.0,256.0,19294000,PMMP,2021-01-05,,,,,311.8333333333333
129101,328.0,304.0,360.0,298.0,25448300,PMMP,2021-01-06,,,,310.0,310.09259259259255
29382,310.0,306.0,318.0,302.0,13710900,PMMP,2021-01-07,,,,302.0,309.1831275720164
50840,306.0,306.0,312.0,294.0,18888200,PMMP,2021-01-08,,,,296.6,308.4757658893461
128271,306.0,308.0,312.0,298.0,16915200,PMMP,2021-01-11,,,,293.8,308.3700401361581
53315,308.0,292.0,308.0,292.0,9833200,PMMP,2021-01-12,,,,291.6,304.73225343923406
54144,292.0,276.0,310.0,274.0,12996900,PMMP,2021-01-13,,,,289.8,298.34730823051535
130755,278.0,276.0,280.0,270.0,5025500,PMMP,2021-01-14,,,,290.0,293.3812397348453
35952,278.0,270.0,278.0,270.0,6171400,PMMP,2021-01-15,,,,291.4,288.18540868265745
36782,270.0,292.0,302.0,264.0,14554200,PMMP,2021-01-18,,,,295.0,289.0330956420669
110985,292.0,280.0,294.0,274.0,4973800,PMMP,2021-01-19,,,,291.0,287.0257410549409
54974,276.0,284.0,298.0,276.0,6792900,PMMP,2021-01-20,,,,289.0,286.35335415384293
55804,284.0,286.0,296.0,280.0,6069200,PMMP,2021-01-21,,,,287.0,286.2748310085445
3030,286.0,282.0,292.0,276.0,7604100,PMMP,2021-01-22,,,,284.6,285.3248685622013
102788,282.0,270.0,282.0,264.0,4755400,PMMP,2021-01-25,,,,280.8,281.91934221504545
49187,270.0,256.0,274.0,254.0,5738600,PMMP,2021-01-26,,,,277.2,276.1594883894798
20319,256.0,250.0,260.0,242.0,4206500,PMMP,2021-01-27,,,,274.6,270.3462687473732
25255,250.0,240.0,272.0,240.0,9991500,PMMP,2021-01-28,,,,271.0,263.6026534701791
59089,242.0,256.0,266.0,240.0,8365500,PMMP,2021-01-29,,,,269.6,261.9131749212504
98657,256.0,280.0,280.0,240.0,7608500,PMMP,2021-02-01,,,,268.4,265.93246938319476
26088,280.0,262.0,282.0,262.0,5955800,PMMP,2021-02-02,,,,266.6,265.0585872980404
9608,260.0,244.0,278.0,244.0,5239300,PMMP,2021-02-03,,,287.2,262.6,260.3789012318092
120880,246.0,252.0,260.0,242.0,6443600,PMMP,2021-02-04,,,282.73333333333335,259.2,258.51692318029603
11259,252.0,254.0,254.0,246.0,5437800,PMMP,2021-02-05,,,279.2,256.4,257.51316247356357
37616,254.0,266.0,272.0,250.0,7359700,PMMP,2021-02-08,,,276.8666666666667,256.0,259.39912636832725
91245,266.0,262.0,272.0,262.0,5238700,PMMP,2021-02-09,,,275.1333333333333,256.6,259.97709828647675
90409,262.0,260.0,266.0,252.0,4653100,PMMP,2021-02-10,,,274.0,257.6,259.9821875561486
87112,260.0,270.0,272.0,260.0,6660600,PMMP,2021-02-11,,,273.8666666666667,260.6,262.2083680992267
114294,270.0,292.0,304.0,270.0,11175700,PMMP,2021-02-15,,,275.06666666666666,264.2,268.828730743843
106091,294.0,290.0,298.0,286.0,5084300,PMMP,2021-02-16,,,276.2,265.2,273.5334572452112
100304,290.0,282.0,290.0,278.0,3808100,PMMP,2021-02-17,,,274.93333333333334,267.2,275.4149111907198
73932,286.0,270.0,286.0,270.0,4969400,PMMP,2021-02-18,,,273.8,269.8,274.2115975927821
62387,270.0,268.0,272.0,262.0,4633300,PMMP,2021-02-19,,,272.53333333333336,271.4,272.83124257216383
86277,270.0,270.0,272.0,266.0,4020100,PMMP,2021-02-22,,,271.3333333333333,273.0,272.20207755612745
22787,270.0,266.0,276.0,266.0,3764700,PMMP,2021-02-23,,,269.93333333333334,273.0,270.82383809921026
45881,268.0,258.0,274.0,258.0,9954700,PMMP,2021-02-24,,,268.8,272.6,267.97409629938574
52484,260.0,282.0,302.0,258.0,19748000,PMMP,2021-02-25,,,269.0,274.8,271.0909637884111
92079,264.0,338.0,342.0,264.0,37106600,PMMP,2021-02-26,,,271.06666666666666,281.6,285.9596385020975
48355,350.0,344.0,384.0,340.0,85916700,PMMP,2021-03-01,,,273.53333333333336,286.8,298.8574966127425
42576,346.0,322.0,360.0,320.0,29090900,PMMP,2021-03-02,,,274.53333333333336,290.0,304.0002751432442
44223,322.0,304.0,336.0,300.0,20075700,PMMP,2021-03-03,,,275.3333333333333,292.2,304.00021400030107
40092,304.0,314.0,324.0,300.0,14826000,PMMP,2021-03-04,,,276.3333333333333,296.6,306.2223886669008
