,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126648,790.0,790.0,810.0,790.0,300,POLU,2020-07-01,,,,,
134069,790.0,910.0,980.0,735.0,3600,POLU,2020-07-02,,,,,
107743,1130.0,910.0,1130.0,910.0,10200,POLU,2020-07-03,,,,,
89602,910.0,850.0,910.0,850.0,300,POLU,2020-07-06,,,,,
34330,800.0,805.0,805.0,800.0,200,POLU,2020-07-07,,,,,
51677,805.0,805.0,805.0,805.0,0,POLU,2020-07-08,,,,,
120072,910.0,910.0,910.0,910.0,200,POLU,2020-07-09,,,,,
23625,910.0,910.0,910.0,910.0,300,POLU,2020-07-10,,,,,861.25
15389,860.0,860.0,860.0,860.0,100,POLU,2020-07-13,,,,,860.9722222222222
31867,860.0,930.0,1070.0,860.0,2700,POLU,2020-07-14,,,,868.0,876.3117283950617
95374,930.0,930.0,930.0,930.0,100,POLU,2020-07-15,,,,882.0,888.2424554183813
21980,930.0,930.0,980.0,930.0,3500,POLU,2020-07-16,,,,884.0,897.5219097698521
110180,880.0,880.0,880.0,880.0,100,POLU,2020-07-17,,,,881.0,893.6281520432183
83014,820.0,835.0,1040.0,820.0,7400,POLU,2020-07-20,,,,879.5,880.599673811392
108551,820.0,825.0,825.0,820.0,200,POLU,2020-07-21,,,,881.5,868.2441907421937
99494,780.0,780.0,780.0,780.0,100,POLU,2020-07-22,,,,879.0,848.6343705772617
8798,900.0,900.0,900.0,900.0,1100,POLU,2020-07-23,,,,878.0,860.0489548934258
106929,900.0,840.0,900.0,840.0,400,POLU,2020-07-24,,,,871.0,855.5936315837756
59925,790.0,1020.0,1030.0,790.0,4000,POLU,2020-07-27,,,,887.0,892.1283801207144
43414,1000.0,950.0,1000.0,950.0,4600,POLU,2020-07-28,,,,889.0,904.988740093889
116782,900.0,950.0,950.0,900.0,1700,POLU,2020-07-29,,,,891.0,914.9912422952469
85468,900.0,900.0,900.0,900.0,1000,POLU,2020-07-30,,,,888.0,911.6598551185253
123368,900.0,850.0,900.0,840.0,700,POLU,2020-08-03,,,,885.0,897.9576650921864
7161,1030.0,950.0,1030.0,950.0,9100,POLU,2020-08-04,,,,896.5,909.5226284050339
58281,890.0,890.0,900.0,890.0,2000,POLU,2020-08-05,,,,903.0,905.1842665372485
74770,890.0,910.0,1020.0,890.0,500,POLU,2020-08-06,,,,916.0,906.2544295289711
46718,1130.0,1000.0,1130.0,860.0,14400,POLU,2020-08-07,,,,926.0,927.086778522533
104449,1000.0,930.0,1130.0,930.0,106500,POLU,2020-08-10,,,,935.0,927.7341610730812
57464,880.0,975.0,975.0,880.0,2200,POLU,2020-08-11,,,,930.5,938.2376808346187
125830,910.0,910.0,970.0,910.0,900,POLU,2020-08-12,,,894.5,926.5,931.9626406491478
67345,910.0,850.0,910.0,850.0,3000,POLU,2020-08-13,,,896.5,916.5,913.7487205048927
92916,900.0,960.0,1050.0,900.0,2300,POLU,2020-08-14,,,898.1666666666666,922.5,924.0267826149166
65701,960.0,895.0,960.0,895.0,5600,POLU,2020-08-18,,,897.6666666666666,927.0,917.5763864782684
94557,845.0,835.0,845.0,835.0,6500,POLU,2020-08-19,,,897.1666666666666,915.5,899.2260783719865
10445,790.0,810.0,810.0,790.0,1000,POLU,2020-08-24,,,897.3333333333334,907.5,879.3980609559895
134876,805.0,765.0,805.0,755.0,21400,POLU,2020-08-25,,,896.0,893.0,853.9762696324364
109363,750.0,950.0,955.0,750.0,22900,POLU,2020-08-26,,,897.3333333333334,888.0,875.3148763807839
3865,1000.0,885.0,1000.0,885.0,13600,POLU,2020-08-27,,,896.5,883.5,877.467126073943
83825,870.0,830.0,870.0,830.0,1600,POLU,2020-08-28,,,895.5,869.0,866.918875835289
27745,800.0,850.0,850.0,800.0,2700,POLU,2020-08-31,,,892.8333333333334,863.0,863.1591256496692
35140,850.0,850.0,850.0,850.0,1000,POLU,2020-09-01,,,890.1666666666666,863.0,860.2348755052983
39278,800.0,800.0,800.0,800.0,100,POLU,2020-09-02,,,885.8333333333334,847.0,846.849347615232
73117,750.0,775.0,775.0,750.0,600,POLU,2020-09-03,,,882.3333333333334,835.0,830.8828259229582
12921,730.0,820.0,825.0,730.0,5300,POLU,2020-09-04,,,881.8333333333334,833.5,828.4644201623008
26927,820.0,820.0,820.0,820.0,100,POLU,2020-09-07,,,881.6666666666666,834.5,826.5834379040117
113476,820.0,820.0,820.0,820.0,0,POLU,2020-09-08,,,883.0,840.0,825.1204517031202
127457,785.0,840.0,895.0,785.0,3700,POLU,2020-09-09,,,881.0,829.0,828.4270179913158
7976,785.0,785.0,825.0,785.0,2100,POLU,2020-09-10,,,879.1666666666666,819.0,818.7765695488011
17853,785.0,785.0,785.0,785.0,400,POLU,2020-09-11,,,871.3333333333334,814.5,811.2706652046231
47537,785.0,785.0,795.0,785.0,2300,POLU,2020-09-14,,,865.8333333333334,808.0,805.4327396035958
70646,765.0,765.0,765.0,765.0,1900,POLU,2020-09-15,,,859.6666666666666,799.5,796.4476863583523
1390,730.0,755.0,755.0,730.0,700,POLU,2020-09-16,,,854.8333333333334,795.0,787.2370893898295
60744,755.0,760.0,760.0,755.0,200,POLU,2020-09-17,,,851.8333333333334,793.5,781.1844028587562
66524,760.0,760.0,760.0,760.0,200,POLU,2020-09-18,,,845.5,787.5,776.4767577790326
76416,760.0,750.0,760.0,715.0,1400,POLU,2020-09-21,,,840.8333333333334,780.5,770.5930338281364
105272,700.0,710.0,710.0,700.0,200,POLU,2020-09-22,,,834.1666666666666,769.5,757.1279151996616
81368,670.0,700.0,700.0,670.0,700,POLU,2020-09-23,,,824.1666666666666,755.5,744.4328229330702
69818,685.0,710.0,710.0,685.0,700,POLU,2020-09-24,,,816.8333333333334,748.0,736.781084503499
101973,710.0,710.0,710.0,710.0,0,POLU,2020-09-25,,,808.0,740.5,730.8297323916103
64055,665.0,680.0,680.0,665.0,500,POLU,2020-09-28,,,800.3333333333334,730.0,719.5342363045858
16205,680.0,680.0,680.0,680.0,100,POLU,2020-09-29,,,794.6666666666666,721.5,710.7488504591223
88780,680.0,850.0,850.0,640.0,883300,POLU,2020-09-30,,,791.0,731.0,741.6935503570951
97014,860.0,795.0,1020.0,795.0,173400,POLU,2020-10-01,,,787.6666666666666,734.5,753.5394280555184
72297,795.0,950.0,980.0,740.0,64500,POLU,2020-10-02,,,791.5,753.5,797.1973329320699
12101,960.0,950.0,1000.0,885.0,25400,POLU,2020-10-05,,,796.1666666666666,773.5,831.1534811693878
125010,950.0,995.0,1000.0,950.0,1100,POLU,2020-10-06,,,803.8333333333334,802.0,867.5638186873016
21159,985.0,995.0,995.0,985.0,6000,POLU,2020-10-07,,,805.3333333333334,831.5,895.8829700901234
19503,995.0,995.0,1080.0,950.0,9500,POLU,2020-10-08,,,809.0,860.0,917.9089767367626
115136,995.0,1060.0,1070.0,995.0,2700,POLU,2020-10-09,,,816.6666666666666,895.0,949.4847596841487
28567,1010.0,1010.0,1120.0,1000.0,4500,POLU,2020-10-12,,,822.0,928.0,962.932590865449
80542,1010.0,1010.0,1010.0,1010.0,0,POLU,2020-10-13,,,827.3333333333334,961.0,973.3920151175714
111825,960.0,980.0,1080.0,960.0,8800,POLU,2020-10-14,,,833.3333333333334,974.0,974.8604562025555
14568,1030.0,990.0,1030.0,990.0,3200,POLU,2020-10-15,,,840.5,993.5,978.2247992686542
5516,990.0,990.0,990.0,990.0,0,POLU,2020-10-16,,,846.1666666666666,997.5,980.8415105422866
563,1000.0,985.0,1000.0,985.0,160200,POLU,2020-10-19,,,851.6666666666666,1001.0,981.7656193106674
129941,985.0,930.0,1000.0,930.0,1500,POLU,2020-10-20,,,855.3333333333334,994.5,970.2621483527413
78892,925.0,980.0,1000.0,925.0,1500,POLU,2020-10-21,,,860.0,993.0,972.4261153854654
30222,1000.0,1000.0,1000.0,1000.0,100,POLU,2020-10-22,,,867.1666666666666,993.5,978.5536452998065
32682,980.0,980.0,980.0,980.0,500,POLU,2020-10-23,,,873.6666666666666,985.5,978.875057455405
61570,1000.0,1000.0,1000.0,980.0,3100,POLU,2020-10-26,,,880.8333333333334,984.5,983.5694891319816
56644,950.0,1000.0,1000.0,950.0,200,POLU,2020-10-27,,,888.6666666666666,983.5,987.2207137693191
93737,975.0,1110.0,1160.0,975.0,11700,POLU,2020-11-02,,,900.5,996.5,1014.5049995983593
87954,1200.0,1035.0,1200.0,1035.0,15400,POLU,2020-11-03,,,909.6666666666666,1001.0,1019.0594441320573
6340,1035.0,1035.0,1035.0,1035.0,0,POLU,2020-11-04,,,918.8333333333334,1005.5,1022.6017898804889
18678,1050.0,965.0,1100.0,965.0,5000,POLU,2020-11-05,,,926.0,1003.5,1009.8013921292692
45064,1010.0,900.0,1045.0,900.0,46000,POLU,2020-11-06,,,932.3333333333334,1000.5,985.4010827672093
96188,940.0,840.0,990.0,840.0,31500,POLU,2020-11-09,,,937.0,986.5,953.0897310411628
2215,890.0,785.0,890.0,785.0,30300,POLU,2020-11-10,,,939.5,965.0,915.73645747646
24439,785.0,735.0,785.0,735.0,47300,POLU,2020-11-11,,,940.3333333333334,940.5,875.5728002594689
82193,735.0,725.0,735.0,685.0,54600,POLU,2020-11-12,,,941.8333333333334,913.0,842.1121779795869
79717,725.0,785.0,800.0,725.0,11400,POLU,2020-11-13,,,945.3333333333334,891.5,829.4205828730121
78067,770.0,790.0,840.0,735.0,28300,POLU,2020-11-16,,,943.3333333333334,859.5,820.660453345676
40934,740.0,835.0,895.0,740.0,21400,POLU,2020-11-17,,,944.6666666666666,839.5,823.8470192688592
17030,780.0,800.0,835.0,780.0,32100,POLU,2020-11-18,,,939.6666666666666,816.0,818.5476816535571
71472,800.0,830.0,840.0,800.0,18100,POLU,2020-11-19,,,935.6666666666666,802.5,821.0926412860999
84647,800.0,820.0,830.0,775.0,10200,POLU,2020-11-20,,,929.8333333333334,794.5,820.849832111411
75588,820.0,815.0,820.0,815.0,1800,POLU,2020-11-23,,,923.8333333333334,792.0,819.5498694199864
117598,800.0,760.0,810.0,760.0,96300,POLU,2020-11-24,,,916.0,789.5,806.3165651044338
124184,815.0,720.0,815.0,720.0,7200,POLU,2020-11-25,,,904.6666666666666,788.0,787.1351061923374
63228,720.0,755.0,760.0,700.0,17000,POLU,2020-11-26,870.1,,896.1666666666666,791.0,779.993971482929
13742,780.0,795.0,795.0,775.0,39100,POLU,2020-11-27,870.15,,889.0,792.0,783.3286444867226
122546,795.0,780.0,795.0,745.0,6800,POLU,2020-11-30,868.85,,882.3333333333334,791.0,782.5889457118953
119249,775.0,825.0,850.0,775.0,2800,POLU,2020-12-01,868.0,,876.8333333333334,790.0,792.0136244425853
121721,780.0,815.0,820.0,775.0,3100,POLU,2020-12-02,867.65,,871.0,791.5,797.1217078997886
38457,760.0,790.0,800.0,760.0,8900,POLU,2020-12-03,867.5,,864.5,787.5,795.53910614428
31046,790.0,790.0,790.0,790.0,3000,POLU,2020-12-04,867.35,,859.8333333333334,784.5,794.3081936677734
50026,785.0,790.0,795.0,785.0,7100,POLU,2020-12-07,866.15,,853.5,782.0,793.350817297157
97838,840.0,785.0,840.0,785.0,400,POLU,2020-12-08,864.9,,846.3333333333334,784.5,791.495080120011
131594,735.0,735.0,785.0,735.0,1400,POLU,2020-12-10,863.65,,838.1666666666666,786.0,778.9406178711197
41758,735.0,795.0,795.0,710.0,13400,POLU,2020-12-11,862.3,,831.3333333333334,790.0,782.5093694553153
77241,790.0,795.0,795.0,790.0,41900,POLU,2020-12-14,860.95,,824.5,790.0,785.2850651319119
115960,795.0,755.0,795.0,750.0,600,POLU,2020-12-15,859.2,,812.6666666666666,787.5,778.5550506581537
133247,750.0,725.0,750.0,725.0,9800,POLU,2020-12-16,857.65,,802.3333333333334,777.5,766.6539282896752
68165,700.0,770.0,790.0,700.0,8000,POLU,2020-12-17,857.0,,793.5,773.0,767.3974997808584
103628,775.0,770.0,775.0,765.0,1800,POLU,2020-12-18,856.45,,787.0,771.0,767.9758331628899
118424,765.0,765.0,765.0,765.0,7300,POLU,2020-12-21,856.3,,782.5,768.5,767.31453690447
33506,795.0,760.0,795.0,760.0,2300,POLU,2020-12-22,854.9,,779.8333333333334,765.5,765.6890842590321
101145,715.0,730.0,730.0,715.0,500,POLU,2020-12-23,853.8,,778.0,760.0,757.7581766459139
68990,730.0,725.0,730.0,725.0,8200,POLU,2020-12-28,850.85,,777.6666666666666,759.0,750.4785818357108
64879,690.0,700.0,700.0,690.0,700,POLU,2020-12-29,848.35,,776.8333333333334,749.5,739.2611192055529
132419,690.0,750.0,870.0,690.0,21800,POLU,2020-12-30,846.35,,775.6666666666666,745.0,741.6475371598744
4687,750.0,745.0,750.0,700.0,35200,POLU,2021-01-04,844.8,,774.1666666666666,744.0,742.3925289021246
112650,700.0,745.0,745.0,700.0,3100,POLU,2021-01-05,843.75,,771.1666666666666,746.0,742.9719669238747
129112,795.0,700.0,795.0,700.0,2000,POLU,2021-01-06,841.25,,767.8333333333334,739.0,733.4226409407914
29393,700.0,745.0,750.0,700.0,4600,POLU,2021-01-07,839.8,,765.0,736.5,735.9953873983933
50851,745.0,745.0,745.0,745.0,300,POLU,2021-01-08,838.15,,762.5,734.5,737.9964124209725
128282,695.0,725.0,725.0,695.0,1400,POLU,2021-01-11,835.4,,759.5,731.0,735.1083207718675
53326,760.0,725.0,760.0,725.0,4500,POLU,2021-01-12,833.35,,758.3333333333334,730.5,732.8620272670081
54155,725.0,725.0,725.0,725.0,100,POLU,2021-01-13,830.85,,758.5,730.5,731.1149100965619
130766,720.0,720.0,720.0,720.0,300,POLU,2021-01-14,828.95,,757.3333333333334,732.5,728.6449300751036
35963,760.0,685.0,820.0,685.0,2800,POLU,2021-01-15,827.3,,753.6666666666666,726.0,718.9460567250806
36793,685.0,675.0,770.0,675.0,2700,POLU,2021-01-18,824.45,,750.1666666666666,719.0,709.1802663417293
110996,675.0,630.0,675.0,630.0,4400,POLU,2021-01-19,821.8,,743.6666666666666,707.5,691.5846515991228
54985,630.0,600.0,630.0,600.0,2800,POLU,2021-01-20,819.45,,736.5,697.5,671.2325067993178
55815,590.0,645.0,710.0,590.0,5800,POLU,2021-01-21,817.8,,731.6666666666666,687.5,665.4030608439139
3041,700.0,600.0,750.0,600.0,68300,POLU,2021-01-22,816.15,,725.3333333333334,673.0,650.8690473230441
102799,600.0,575.0,600.0,565.0,17100,POLU,2021-01-25,812.4,,718.1666666666666,658.0,634.0092590290343
49198,575.0,605.0,630.0,535.0,5700,POLU,2021-01-26,809.6,,712.1666666666666,646.0,627.5627570225822
20330,605.0,650.0,650.0,575.0,35900,POLU,2021-01-27,807.8,,709.3333333333334,638.5,632.5488110175639
25266,645.0,605.0,645.0,605.0,600,POLU,2021-01-28,805.35,,703.0,627.0,626.4268530136609
59100,600.0,565.0,600.0,565.0,9400,POLU,2021-01-29,802.5,,695.3333333333334,615.0,612.7764412328473
98668,630.0,575.0,630.0,575.0,5800,POLU,2021-02-01,800.25,,689.3333333333334,605.0,604.3816765144368
26099,540.0,645.0,650.0,540.0,3600,POLU,2021-02-02,798.95,,686.6666666666666,606.5,613.4079706223397
9619,645.0,645.0,725.0,645.0,2400,POLU,2021-02-03,797.2,,682.5,611.0,620.428421595153
120891,605.0,655.0,660.0,600.0,5000,POLU,2021-02-04,795.55,,678.6666666666666,612.0,628.1109945740079
11270,650.0,650.0,650.0,610.0,1300,POLU,2021-02-05,793.85,,674.8333333333334,617.0,632.9752180020062
37627,645.0,605.0,645.0,605.0,900,POLU,2021-02-08,791.5,,669.6666666666666,620.0,626.7585028904492
91256,605.0,600.0,655.0,575.0,15400,POLU,2021-02-09,789.65,,665.3333333333334,619.5,620.8121689147938
90420,575.0,600.0,600.0,575.0,1300,POLU,2021-02-10,787.8,,661.1666666666666,614.5,616.187242489284
87123,575.0,575.0,580.0,575.0,23500,POLU,2021-02-11,785.7,,657.0,611.5,607.0345219361097
114305,575.0,585.0,585.0,575.0,2700,POLU,2021-02-15,783.9,,651.5,613.5,602.1379615058631
106102,550.0,610.0,610.0,550.0,1300,POLU,2021-02-16,782.45,,647.0,617.0,603.8850811712268
100315,600.0,605.0,605.0,570.0,2000,POLU,2021-02-17,780.9,,642.3333333333334,613.0,604.1328409109542
73943,605.0,605.0,605.0,605.0,200,POLU,2021-02-18,779.35,,639.1666666666666,609.0,604.3255429307421
62398,605.0,605.0,605.0,605.0,100,POLU,2021-02-19,777.9,,634.5,604.0,604.4754222794661
86288,605.0,605.0,605.0,605.0,0,POLU,2021-02-22,776.85,,629.8333333333334,599.5,604.5919951062514
22798,605.0,605.0,605.0,605.0,0,POLU,2021-02-23,775.9,,625.8333333333334,599.5,604.6826628604177
45892,570.0,605.0,605.0,570.0,6500,POLU,2021-02-24,774.85,,621.8333333333334,600.0,604.7531822247694
52495,595.0,595.0,595.0,595.0,100,POLU,2021-02-25,773.7,,617.5,599.5,602.5858083970428
