,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126650,50.0,50.0,50.0,50.0,0,POOL,2020-07-01,,,,,
134071,50.0,50.0,50.0,50.0,0,POOL,2020-07-02,,,,,
107745,50.0,50.0,50.0,50.0,0,POOL,2020-07-03,,,,,
89604,50.0,50.0,50.0,50.0,0,POOL,2020-07-06,,,,,
34332,50.0,50.0,50.0,50.0,0,POOL,2020-07-07,,,,,
51679,50.0,50.0,50.0,50.0,0,POOL,2020-07-08,,,,,
120074,50.0,50.0,50.0,50.0,0,POOL,2020-07-09,,,,,
23627,50.0,50.0,50.0,50.0,0,POOL,2020-07-10,,,,,50.0
15391,50.0,50.0,50.0,50.0,0,POOL,2020-07-13,,,,,50.0
31869,50.0,50.0,50.0,50.0,0,POOL,2020-07-14,,,,50.0,50.0
95376,50.0,50.0,50.0,50.0,0,POOL,2020-07-15,,,,50.0,50.0
21982,50.0,50.0,50.0,50.0,0,POOL,2020-07-16,,,,50.0,50.0
110182,50.0,50.0,50.0,50.0,0,POOL,2020-07-17,,,,50.0,50.0
83016,50.0,50.0,50.0,50.0,0,POOL,2020-07-20,,,,50.0,50.0
108553,50.0,50.0,50.0,50.0,0,POOL,2020-07-21,,,,50.0,50.0
99496,50.0,50.0,50.0,50.0,0,POOL,2020-07-22,,,,50.0,50.0
8800,50.0,50.0,50.0,50.0,0,POOL,2020-07-23,,,,50.0,50.0
106931,50.0,50.0,50.0,50.0,0,POOL,2020-07-24,,,,50.0,50.0
59927,50.0,50.0,50.0,50.0,0,POOL,2020-07-27,,,,50.0,50.0
43416,50.0,50.0,50.0,50.0,0,POOL,2020-07-28,,,,50.0,50.0
116784,50.0,50.0,50.0,50.0,0,POOL,2020-07-29,,,,50.0,50.0
85470,50.0,50.0,50.0,50.0,0,POOL,2020-07-30,,,,50.0,50.0
