,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
572,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-01,,,,,
1412,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-05,,,,,
2252,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-06,,,,,
3094,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-07,,,,,
3936,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-08,,,,,
4780,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-09,,,,,
5623,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-12,,,,,
6467,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-13,,,,,2.0
7312,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-14,,,,,2.0
8157,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-15,,,,2.0,2.0
9001,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-16,,,,2.0,2.0
9845,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-19,,,,2.0,2.0
10689,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-20,,,,2.0,2.0
11533,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-21,,,,2.0,2.0
12377,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-22,,,,2.0,2.0
13221,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-23,,,,2.0,2.0
14064,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-26,,,,2.0,2.0
14907,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-27,,,,2.0,2.0
15751,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-28,,,,2.0,2.0
16595,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-29,,,,2.0,2.0
17439,2.0,2.0,2.0,2.0,0,POSA-W,2021-04-30,,,,2.0,2.0
18282,2.0,2.0,2.0,2.0,0,POSA-W,2021-05-03,,,,2.0,2.0
19125,2.0,2.0,2.0,2.0,0,POSA-W,2021-05-04,,,,2.0,2.0
19969,2.0,2.0,2.0,2.0,0,POSA-W,2021-05-05,,,,2.0,2.0
20813,2.0,2.0,2.0,2.0,0,POSA-W,2021-05-06,,,,2.0,2.0
21657,2.0,2.0,2.0,2.0,0,POSA-W,2021-05-07,,,,2.0,2.0
