,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121648,50.0,50.0,50.0,50.0,11400,POSA,2020-07-01,,,,,
129069,50.0,50.0,50.0,50.0,100,POSA,2020-07-02,,,,,
102743,50.0,50.0,50.0,50.0,200,POSA,2020-07-03,,,,,
85436,50.0,50.0,50.0,50.0,0,POSA,2020-07-06,,,,,
34334,50.0,50.0,50.0,50.0,1800,POSA,2020-07-07,,,,,
48345,50.0,50.0,50.0,50.0,6600,POSA,2020-07-08,,,,,
115072,50.0,50.0,50.0,50.0,1000,POSA,2020-07-09,,,,,
23629,50.0,50.0,50.0,50.0,2700,POSA,2020-07-10,,,,,50.0
15393,50.0,50.0,50.0,50.0,5600,POSA,2020-07-13,,,,,50.0
31871,50.0,50.0,50.0,50.0,1200,POSA,2020-07-14,,,,50.0,50.0
90374,50.0,50.0,50.0,50.0,1900,POSA,2020-07-15,,,,50.0,50.0
21984,50.0,50.0,50.0,50.0,11100,POSA,2020-07-16,,,,50.0,50.0
105180,50.0,50.0,50.0,50.0,10500,POSA,2020-07-17,,,,50.0,50.0
78848,50.0,50.0,50.0,50.0,500,POSA,2020-07-20,,,,50.0,50.0
103551,50.0,50.0,50.0,50.0,42400,POSA,2020-07-21,,,,50.0,50.0
94494,50.0,50.0,50.0,50.0,1400,POSA,2020-07-22,,,,50.0,50.0
8802,50.0,50.0,50.0,50.0,400,POSA,2020-07-23,,,,50.0,50.0
101929,50.0,50.0,50.0,50.0,5300,POSA,2020-07-24,,,,50.0,50.0
55759,50.0,50.0,50.0,50.0,10100,POSA,2020-07-27,,,,50.0,50.0
41750,50.0,50.0,50.0,50.0,4300,POSA,2020-07-28,,,,50.0,50.0
111782,50.0,50.0,50.0,50.0,1900,POSA,2020-07-29,,,,50.0,50.0
81302,50.0,50.0,50.0,50.0,10600,POSA,2020-07-30,,,,50.0,50.0
118368,50.0,50.0,50.0,50.0,2300,POSA,2020-08-03,,,,50.0,50.0
7165,50.0,50.0,50.0,50.0,0,POSA,2020-08-04,,,,50.0,50.0
54115,50.0,50.0,50.0,50.0,200,POSA,2020-08-05,,,,50.0,50.0
70604,50.0,50.0,50.0,50.0,14000,POSA,2020-08-06,,,,50.0,50.0
44220,50.0,50.0,50.0,50.0,3400,POSA,2020-08-07,,,,50.0,50.0
99449,50.0,50.0,50.0,50.0,100,POSA,2020-08-10,,,,50.0,50.0
53298,50.0,50.0,50.0,50.0,2100,POSA,2020-08-11,,,,50.0,50.0
120830,50.0,50.0,50.0,50.0,56000,POSA,2020-08-12,,,50.0,50.0,50.0
63179,50.0,50.0,50.0,50.0,1000,POSA,2020-08-13,,,50.0,50.0,50.0
87916,50.0,50.0,50.0,50.0,6100,POSA,2020-08-14,,,50.0,50.0,50.0
61535,50.0,50.0,50.0,50.0,5100,POSA,2020-08-18,,,50.0,50.0,50.0
89557,50.0,50.0,50.0,50.0,700,POSA,2020-08-19,,,50.0,50.0,50.0
10449,50.0,50.0,50.0,50.0,5800,POSA,2020-08-24,,,50.0,50.0,50.0
129876,50.0,50.0,50.0,50.0,1300,POSA,2020-08-25,,,50.0,50.0,50.0
104363,50.0,50.0,50.0,50.0,100,POSA,2020-08-26,,,50.0,50.0,50.0
3869,50.0,50.0,50.0,50.0,1500,POSA,2020-08-27,,,50.0,50.0,50.0
79659,50.0,50.0,50.0,50.0,21800,POSA,2020-08-28,,,50.0,50.0,50.0
27749,50.0,50.0,50.0,50.0,300,POSA,2020-08-31,,,50.0,50.0,50.0
35144,50.0,50.0,50.0,50.0,2000,POSA,2020-09-01,,,50.0,50.0,50.0
