,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
78852,90.0,50.0,95.0,25.0,196996600,PPGL-W,2020-07-20,,,,,
103555,51.0,25.0,59.0,23.0,258459200,PPGL-W,2020-07-21,,,,,
94498,21.0,9.0,31.0,8.0,419155100,PPGL-W,2020-07-22,,,,,
8806,10.0,10.0,10.0,7.0,68948800,PPGL-W,2020-07-23,,,,,
101933,10.0,10.0,11.0,9.0,33198300,PPGL-W,2020-07-24,,,,,
55763,10.0,10.0,11.0,9.0,26388700,PPGL-W,2020-07-27,,,,,
41754,10.0,10.0,11.0,9.0,27424000,PPGL-W,2020-07-28,,,,,
111786,10.0,9.0,10.0,9.0,9813400,PPGL-W,2020-07-29,,,,,16.625
81306,10.0,11.0,11.0,9.0,15641200,PPGL-W,2020-07-30,,,,,15.375
118372,11.0,10.0,11.0,10.0,12257600,PPGL-W,2020-08-03,,,,15.4,14.180555555555555
7169,10.0,13.0,14.0,10.0,61692500,PPGL-W,2020-08-04,,,,11.7,13.91820987654321
54119,13.0,14.0,16.0,12.0,117569800,PPGL-W,2020-08-05,,,,10.6,13.936385459533609
70608,14.0,14.0,16.0,14.0,58263900,PPGL-W,2020-08-06,,,,11.1,13.950522024081696
44224,14.0,13.0,15.0,13.0,9787100,PPGL-W,2020-08-07,,,,11.4,13.739294907619097
99453,13.0,14.0,15.0,12.0,9469500,PPGL-W,2020-08-10,,,,11.8,13.797229372592632
53302,14.0,12.0,15.0,12.0,40320000,PPGL-W,2020-08-11,,,,12.0,13.397845067572048
120834,12.0,13.0,13.0,11.0,11473800,PPGL-W,2020-08-12,,,,12.3,13.309435052556037
63183,13.0,13.0,13.0,12.0,1071700,PPGL-W,2020-08-13,,,,12.7,13.240671707543584
87920,12.0,15.0,17.0,12.0,62955000,PPGL-W,2020-08-14,,,,13.1,13.631633550311676
61539,15.0,15.0,17.0,14.0,32056500,PPGL-W,2020-08-18,,,,13.6,13.935714983575748
89561,15.0,14.0,16.0,14.0,13876000,PPGL-W,2020-08-19,,,,13.7,13.950000542781137
10453,15.0,14.0,16.0,14.0,8072100,PPGL-W,2020-08-24,,,,13.7,13.961111533274217
129880,14.0,14.0,15.0,14.0,3968300,PPGL-W,2020-08-25,,,,13.7,13.969753414768835
104367,14.0,15.0,15.0,13.0,9472900,PPGL-W,2020-08-26,,,,13.9,14.19869710037576
3873,15.0,14.0,15.0,13.0,3069600,PPGL-W,2020-08-27,,,,13.9,14.154542189181146
79663,14.0,15.0,15.0,13.0,8352800,PPGL-W,2020-08-28,,,,14.2,14.342421702696447
27753,15.0,15.0,16.0,13.0,10041700,PPGL-W,2020-08-31,,,,14.4,14.488550213208347
35148,15.0,15.0,16.0,14.0,8817300,PPGL-W,2020-09-01,,,,14.6,14.60220572138427
39286,15.0,15.0,16.0,14.0,6355500,PPGL-W,2020-09-02,,,,14.6,14.690604449965543
68955,15.0,16.0,16.0,14.0,8307500,PPGL-W,2020-09-03,,,14.566666666666666,14.7,14.98158123886209
12929,16.0,15.0,16.0,14.0,25819800,PPGL-W,2020-09-04,,,13.4,14.8,14.985674296892736
26935,15.0,15.0,16.0,14.0,4392500,PPGL-W,2020-09-07,,,13.066666666666666,14.9,14.988857786472128
108480,14.0,15.0,15.0,13.0,11406100,PPGL-W,2020-09-08,,,13.266666666666667,15.0,14.991333833922766
122461,14.0,14.0,15.0,13.0,4640000,PPGL-W,2020-09-09,,,13.4,14.9,14.771037426384375
7984,15.0,11.0,15.0,10.0,22702800,PPGL-W,2020-09-10,,,13.433333333333334,14.6,13.93302910941007
17861,11.0,15.0,23.0,9.0,60990100,PPGL-W,2020-09-11,,,13.6,14.6,14.170133751763387
45043,16.0,16.0,17.0,15.0,11183600,PPGL-W,2020-09-14,,,13.8,14.7,14.576770695815968
66484,17.0,24.0,40.0,15.0,91092400,PPGL-W,2020-09-15,,,14.3,15.6,16.67082165230131
1398,60.0,23.0,60.0,19.0,50717900,PPGL-W,2020-09-16,,,14.7,16.4,18.077305729567687
56582,22.0,21.0,24.0,20.0,13935100,PPGL-W,2020-09-17,,,15.066666666666666,16.9,18.726793345219313
62362,21.0,19.0,22.0,18.0,26667900,PPGL-W,2020-09-18,,,15.266666666666667,17.3,18.78750593517058
72254,19.0,19.0,21.0,18.0,13559500,PPGL-W,2020-09-21,,,15.433333333333334,17.7,18.834726838466004
